     index           time           Name             ID        Type      Format  Len      Data
  00000000    17:20:03.213.460             接收            009        DATA    STANDARD    8      42 87 00 00 00 00 00 00 
  00000001    17:20:03.145.508             接收            008        DATA    STANDARD    8      04 AA 00 00 00 00 00 00 
  00000002    17:20:03.152.266             接收            022        DATA    STANDARD    8      00 AB 04 00 00 00 00 00 
  00000003    17:20:03.160.704             接收            00A        DATA    STANDARD    8      00 7E 00 00 00 00 00 00 
  00000004    17:20:03.045.507             接收            008        DATA    STANDARD    8      0C 0A 00 00 00 00 00 00 
  00000005    17:20:03.095.475             接收            008        DATA    STANDARD    8      0D 0A 00 00 00 00 00 00 
  00000006    17:20:02.395.366             接收            008        DATA    STANDARD    8      01 AA 00 00 00 00 00 00 
  00000007    17:20:02.400.320             接收            01F        DATA    STANDARD    8      00 AB 01 00 00 00 00 00 
  00000008    17:20:03.195.459             接收            008        DATA    STANDARD    8      0E 0A 00 00 00 00 00 00 
  00000009    17:20:01.495.303             接收            008        DATA    STANDARD    8      0F 0A 00 00 00 00 00 00 
  00000010    17:20:02.695.351             接收            008        DATA    STANDARD    8      02 AA 00 00 00 00 00 00 
  00000011    17:20:02.701.704             接收            020        DATA    STANDARD    8      00 AB 02 00 00 00 00 00 
  00000012    17:20:01.595.241             接收            008        DATA    STANDARD    8      10 0A 00 00 00 00 00 00 
  00000013    17:20:01.645.397             接收            008        DATA    STANDARD    8      20 82 00 01 00 00 00 00 
  00000014    17:20:02.995.491             接收            008        DATA    STANDARD    8      03 AA 00 00 00 00 00 00 
  00000015    17:20:03.001.678             接收            021        DATA    STANDARD    8      00 AB 03 00 00 00 00 00 
  00000016    17:20:01.745.383             接收            008        DATA    STANDARD    8      00 83 00 00 00 00 00 00 
  00000017    17:20:01.795.303             接收            008        DATA    STANDARD    8      00 84 00 00 00 00 00 00 
  00000018    17:20:01.895.244             接收            008        DATA    STANDARD    8      00 85 00 00 00 20 20 32 
  00000019    17:20:01.945.330             接收            008        DATA    STANDARD    8      00 86 00 00 00 02 01 05 
  00000020    17:19:52.043.897             接收            008        DATA    STANDARD    8      14 0A 10 04 01 19 32 12 
  00000021    17:20:02.845.446             接收            008        DATA    STANDARD    8      01 BC 02 00 00 00 00 00 
  00000022    17:20:02.145.388             接收            008        DATA    STANDARD    8      00 01 02 00 00 02 0C 00 
  00000023    17:20:02.195.336             接收            008        DATA    STANDARD    8      01 0A 00 00 00 00 00 00 
  00000024    17:20:02.295.332             接收            008        DATA    STANDARD    8      02 0A 00 00 00 00 00 00 
  00000025    17:20:02.345.428             接收            008        DATA    STANDARD    8      03 0A 00 00 00 00 00 00 
  00000026    17:20:02.445.366             接收            008        DATA    STANDARD    8      04 0A 00 00 00 00 02 13 
  00000027    17:20:02.495.362             接收            008        DATA    STANDARD    8      05 0A 00 00 00 00 00 00 
  00000028    17:20:02.595.475             接收            008        DATA    STANDARD    8      06 0A 00 00 00 00 00 00 
  00000029    17:20:02.645.429             接收            008        DATA    STANDARD    8      07 0A 00 00 00 00 00 00 
  00000030    17:20:02.745.459             接收            008        DATA    STANDARD    8      08 0A 00 00 00 00 00 00 
  00000031    17:20:02.795.335             接收            008        DATA    STANDARD    8      09 0A 00 00 00 00 00 00 
  00000032    17:19:52.393.914             接收            008        DATA    STANDARD    8      0A 0A 00 00 02 19 32 13 
  00000033    17:20:02.945.448             接收            008        DATA    STANDARD    8      0B 0A 00 00 00 00 00 00 
  00000034    17:19:53.244.004             接收            008        DATA    STANDARD    8      14 0A 10 04 01 19 32 13 
  00000035    17:19:53.794.069             接收            008        DATA    STANDARD    8      14 0A 10 04 01 19 32 14 
  00000036    17:19:54.144.225             接收            008        DATA    STANDARD    8      0A 0A 00 00 02 19 32 14 
  00000037    17:19:54.994.209             接收            008        DATA    STANDARD    8      14 0A 10 04 01 19 32 15 
  00000038    17:19:55.544.268             接收            008        DATA    STANDARD    8      14 0A 10 04 01 19 32 16 
  00000039    17:19:55.894.352             接收            008        DATA    STANDARD    8      0A 0A 00 00 02 19 32 16 
  00000040    17:19:56.744.446             接收            008        DATA    STANDARD    8      14 0A 10 04 01 19 32 17 
  00000041    17:19:57.294.432             接收            008        DATA    STANDARD    8      14 0A 10 04 01 19 32 18 
  00000042    17:19:57.644.616             接收            008        DATA    STANDARD    8      0A 0A 00 00 02 19 32 18 
  00000043    17:19:59.044.727             接收            008        DATA    STANDARD    8      14 0A 10 04 01 19 32 19 
  00000044    17:19:59.394.848             接收            008        DATA    STANDARD    8      0A 0A 00 00 02 19 32 20 
  00000045    17:20:00.244.884             接收            008        DATA    STANDARD    8      14 0A 10 04 01 19 32 20 
  00000046    17:20:00.794.870             接收            008        DATA    STANDARD    8      14 0A 10 04 01 19 32 21 
  00000047    17:20:01.145.101             接收            008        DATA    STANDARD    8      0A 0A 00 00 02 19 32 21 
  00000048    17:20:01.995.085             接收            008        DATA    STANDARD    8      14 0A 10 04 01 19 32 22 
  00000049    17:20:02.545.116             接收            008        DATA    STANDARD    8      14 0A 10 04 01 19 32 23 
  00000050    17:20:02.895.289             接收            008        DATA    STANDARD    8      0A 0A 00 00 02 19 32 23 
