     index           time           Name             ID        Type      Format  Len      Data
  00000001     9:47:56.730.693             接收            3AF        DATA    STANDARD    8      07 00 00 00 00 00 00 FD 
  00000002     9:47:56.730.703             接收       03401010        DATA    EXTENDED    8      5F 18 01 00 00 0A D2 00 
  00000003     9:47:56.730.708             接收            3AF        DATA    STANDARD    8      01 00 00 00 00 00 00 FB 
  00000004     9:47:56.754.971             接收            3AF        DATA    STANDARD    8      02 00 00 00 00 00 00 F8 
  00000005     9:47:56.768.756             接收       03401012        DATA    EXTENDED    8      00 02 1A 59 00 00 00 00 
  00000006     9:47:56.785.010             接收            3AF        DATA    STANDARD    8      03 00 00 00 00 00 00 F9 
  00000007     9:47:56.858.967             接收       03401014        DATA    EXTENDED    8      00 08 60 00 9B 02 00 00 
  00000008     9:47:56.858.976             接收            3AF        DATA    STANDARD    8      04 00 00 00 00 00 00 FE 
  00000009     9:47:56.858.981             接收            3AF        DATA    STANDARD    8      05 00 00 00 00 00 00 FF 
  00000010     9:47:56.858.986             接收       03401020        DATA    EXTENDED    8      00 00 00 00 00 00 00 00 
  00000011     9:47:56.877.672             接收            3AF        DATA    STANDARD    8      06 00 00 00 00 00 00 FC 
  00000012     9:47:56.897.960             接收            3AF        DATA    STANDARD    8      07 00 00 00 00 00 00 FD 
  00000013     9:47:56.907.805             接收       03401030        DATA    EXTENDED    8      00 00 00 00 00 00 00 00 
  00000014     9:47:56.929.125             接收            3AF        DATA    STANDARD    8      01 00 00 00 00 00 00 FB 
  00000015     9:47:56.961.030             接收       03401038        DATA    EXTENDED    8      00 00 00 00 00 00 00 00 
  00000016     9:47:56.961.056             接收            3AF        DATA    STANDARD    8      02 00 00 00 00 00 00 F8 
  00000017     9:47:56.988.290             接收            3AF        DATA    STANDARD    8      03 00 00 00 00 00 00 F9 
  00000018     9:47:57.026.897             接收       03401040        DATA    EXTENDED    8      00 00 00 00 00 00 00 00 
  00000019     9:47:57.026.924             接收            3AF        DATA    STANDARD    8      04 00 00 00 00 00 00 FE 
  00000020     9:47:57.056.771             接收            3AF        DATA    STANDARD    8      05 00 00 00 00 00 00 FF 
  00000021     9:47:57.056.798             接收       03401008        DATA    EXTENDED    8      00 01 00 00 00 07 D0 03 
  00000022     9:47:57.080.726             接收            3AF        DATA    STANDARD    8      06 00 00 00 00 00 00 FC 
  00000023     9:47:57.119.629             接收       03401010        DATA    EXTENDED    8      5F 18 01 00 00 0A D2 00 
  00000024     9:47:57.119.659             接收            3AF        DATA    STANDARD    8      07 00 00 00 00 00 00 FD 
  00000025     9:47:57.179.646             接收            3AF        DATA    STANDARD    8      01 00 00 00 00 00 00 FB 
  00000026     9:47:57.179.655             接收       03401012        DATA    EXTENDED    8      00 02 1A 59 00 00 00 00 
  00000027     9:47:57.179.660             接收            3AF        DATA    STANDARD    8      02 00 00 00 00 00 00 F8 
  00000028     9:47:57.204.540             接收            3AF        DATA    STANDARD    8      03 00 00 00 00 00 00 F9 
  00000029     9:47:57.221.900             接收       03401014        DATA    EXTENDED    8      00 08 60 00 9B 02 00 00 
  00000030     9:47:57.242.546             接收            3AF        DATA    STANDARD    8      04 00 00 00 00 00 00 FE 
  00000031     9:47:57.275.693             接收       03401020        DATA    EXTENDED    8      00 00 00 00 00 00 00 00 
  00000032     9:47:57.275.722             接收            3AF        DATA    STANDARD    8      05 00 00 00 00 00 00 FF 
  00000033     9:47:57.287.354             接收            3AF        DATA    STANDARD    8      06 00 00 00 00 00 00 FC 
  00000034     9:47:57.318.271             接收       03401030        DATA    EXTENDED    8      00 00 00 00 00 00 00 00 
  00000035     9:47:57.318.299             接收            3AF        DATA    STANDARD    8      07 00 00 00 00 00 00 FD 
  00000036     9:47:57.368.237             接收            3AF        DATA    STANDARD    8      01 00 00 00 00 00 00 FB 
  00000037     9:47:57.368.266             接收       03401038        DATA    EXTENDED    8      00 00 00 00 00 00 00 00 
  00000038     9:47:57.381.626             接收            3AF        DATA    STANDARD    8      02 00 00 00 00 00 00 F8 
  00000039     9:47:57.429.916             接收       03401040        DATA    EXTENDED    8      00 00 00 00 00 00 00 00 
  00000040     9:47:57.429.927             接收            3AF        DATA    STANDARD    8      03 00 00 00 00 00 00 F9 
  00000041     9:47:57.471.463             接收            3AF        DATA    STANDARD    8      04 00 00 00 00 00 00 FE 
  00000042     9:47:57.471.480             接收       03401008        DATA    EXTENDED    8      00 01 00 00 00 07 D0 03 
  00000043     9:47:57.471.485             接收            3AF        DATA    STANDARD    8      05 00 00 00 00 00 00 FF 
  00000044     9:47:57.504.472             接收            3AF        DATA    STANDARD    8      06 00 00 00 00 00 00 FC 
  00000045     9:47:57.523.346             接收       03401010        DATA    EXTENDED    8      5F 18 01 00 00 0A D2 00 
  00000046     9:47:57.534.942             接收            3AF        DATA    STANDARD    8      07 00 00 00 00 00 00 FD 
  00000047     9:47:57.566.172             接收       03401012        DATA    EXTENDED    8      00 02 1A 59 00 00 00 00 
  00000048     9:47:57.566.200             接收            3AF        DATA    STANDARD    8      01 00 00 00 00 00 00 FB 
  00000049     9:47:57.599.328             接收            3AF        DATA    STANDARD    8      02 00 00 00 00 00 00 F8 
  00000050     9:47:57.620.029             接收       03401014        DATA    EXTENDED    8      00 08 60 00 9B 02 00 00 
