     index           time           Name             ID        Type      Format  Len      Data
  00000001    11:34:46.161.475             接收       03401020        DATA    EXTENDED    8      00 00 00 00 00 00 00 00 
  00000002    11:34:46.161.485             接收            3AF        DATA    STANDARD    8      03 00 00 00 00 00 00 F9 
  00000003    11:34:46.161.490             接收            3AF        DATA    STANDARD    8      04 00 00 00 00 00 00 FE 
  00000004    11:34:46.161.495             接收       03401030        DATA    EXTENDED    8      00 00 00 00 00 00 00 00 
  00000005    11:34:46.161.499             接收            3AF        DATA    STANDARD    8      05 00 00 00 00 00 00 FF 
  00000006    11:34:46.204.426             接收            3AF        DATA    STANDARD    8      06 00 00 00 00 00 00 FC 
  00000007    11:34:46.204.434             接收       03401038        DATA    EXTENDED    8      00 00 00 00 00 00 00 00 
  00000008    11:34:46.206.839             接收            3AF        DATA    STANDARD    8      07 00 00 00 00 00 00 FD 
  00000009    11:34:46.237.780             接收       03401040        DATA    EXTENDED    8      00 00 00 00 00 00 00 00 
  00000010    11:34:46.237.790             接收            3AF        DATA    STANDARD    8      01 00 00 00 00 00 00 FB 
  00000011    11:34:46.268.135             接收            3AF        DATA    STANDARD    8      02 00 00 00 00 00 00 F8 
  00000012    11:34:46.290.893             接收       03401008        DATA    EXTENDED    8      00 01 00 00 00 07 D0 04 
  00000013    11:34:46.302.792             接收            3AF        DATA    STANDARD    8      03 00 00 00 00 00 00 F9 
  00000014    11:34:46.331.976             接收            3AF        DATA    STANDARD    8      04 00 00 00 00 00 00 FE 
  00000015    11:34:46.352.163             接收       03401010        DATA    EXTENDED    8      5F 18 01 00 00 0A D2 00 
  00000016    11:34:46.363.456             接收            3AF        DATA    STANDARD    8      05 00 00 00 00 00 00 FF 
  00000017    11:34:46.391.855             接收       03401012        DATA    EXTENDED    8      00 02 1A B8 00 00 00 00 
  00000018    11:34:46.391.883             接收            3AF        DATA    STANDARD    8      06 00 00 00 00 00 00 FC 
  00000019    11:34:46.423.098             接收            3AF        DATA    STANDARD    8      07 00 00 00 00 00 00 FD 
  00000020    11:34:46.445.038             接收       03401014        DATA    EXTENDED    8      00 00 20 00 98 01 20 00 
  00000021    11:34:46.458.129             接收            3AF        DATA    STANDARD    8      01 00 00 00 00 00 00 FB 
  00000022    11:34:46.500.413             接收            3AF        DATA    STANDARD    8      02 00 00 00 00 00 00 F8 
  00000023    11:34:46.500.436             接收       03401020        DATA    EXTENDED    8      00 00 00 00 00 00 00 00 
  00000024    11:34:46.558.463             接收            3AF        DATA    STANDARD    8      03 00 00 00 00 00 00 F9 
  00000025    11:34:46.558.472             接收       03401030        DATA    EXTENDED    8      00 00 00 00 00 00 00 00 
  00000026    11:34:46.558.478             接收            3AF        DATA    STANDARD    8      04 00 00 00 00 00 00 FE 
  00000027    11:34:46.567.889             接收            3AF        DATA    STANDARD    8      05 00 00 00 00 00 00 FF 
  00000028    11:34:46.583.828             接收       03401038        DATA    EXTENDED    8      00 00 00 00 00 00 00 00 
  00000029    11:34:46.600.173             接收            3AF        DATA    STANDARD    8      06 00 00 00 00 00 00 FC 
  00000030    11:34:46.635.049             接收            3AF        DATA    STANDARD    8      07 00 00 00 00 00 00 FD 
  00000031    11:34:46.635.078             接收       03401040        DATA    EXTENDED    8      00 00 00 00 00 00 00 00 
  00000032    11:34:46.665.967             接收            3AF        DATA    STANDARD    8      01 00 00 00 00 00 00 FB 
  00000033    11:34:46.695.234             接收       03401008        DATA    EXTENDED    8      00 01 00 00 00 07 D0 04 
  00000034    11:34:46.695.261             接收            3AF        DATA    STANDARD    8      02 00 00 00 00 00 00 F8 
  00000035    11:34:46.727.697             接收            3AF        DATA    STANDARD    8      03 00 00 00 00 00 00 F9 
  00000036    11:34:46.738.199             接收       03401010        DATA    EXTENDED    8      5F 18 01 00 00 0A D2 00 
  00000037    11:34:46.757.609             接收            3AF        DATA    STANDARD    8      04 00 00 00 00 00 00 FE 
