     index           time           Name             ID        Type      Format  Len      Data
  00000001    11:45:07.707.246             接收            3AF        DATA    STANDARD    8      03 00 00 00 00 00 00 F9 
  00000002    11:45:07.707.257             接收            3AF        DATA    STANDARD    8      04 00 00 00 00 00 00 FE 
  00000003    11:45:07.707.262             接收       03401014        DATA    EXTENDED    8      00 00 60 00 98 01 20 00 
  00000004    11:45:07.707.266             接收            3AF        DATA    STANDARD    8      05 00 00 00 00 00 00 FF 
  00000005    11:45:07.735.967             接收       03401020        DATA    EXTENDED    8      00 00 00 00 00 00 00 00 
  00000006    11:45:07.735.977             接收            3AF        DATA    STANDARD    8      06 00 00 00 00 00 00 FC 
  00000007    11:45:07.773.646             接收            3AF        DATA    STANDARD    8      07 00 00 00 00 00 00 FD 
  00000008    11:45:07.784.905             接收       03401030        DATA    EXTENDED    8      00 00 00 00 00 00 00 00 
  00000009    11:45:07.802.740             接收            3AF        DATA    STANDARD    8      01 00 00 00 00 00 00 FB 
  00000010    11:45:07.832.745             接收            3AF        DATA    STANDARD    8      02 00 00 00 00 00 00 F8 
  00000011    11:45:07.832.771             接收       03401038        DATA    EXTENDED    8      00 00 00 00 00 00 00 00 
  00000012    11:45:07.852.040             接收            3AF        DATA    STANDARD    8      03 00 00 00 00 00 00 F9 
  00000013    11:45:07.883.989             接收       03401040        DATA    EXTENDED    8      00 00 00 00 00 00 00 00 
  00000014    11:45:07.884.016             接收            3AF        DATA    STANDARD    8      04 00 00 00 00 00 00 FE 
  00000015    11:45:07.914.867             接收            3AF        DATA    STANDARD    8      05 00 00 00 00 00 00 FF 
  00000016    11:45:07.928.084             接收       03401008        DATA    EXTENDED    8      00 01 00 00 00 07 D0 03 
  00000017    11:45:07.941.263             接收            3AF        DATA    STANDARD    8      06 00 00 00 00 00 00 FC 
  00000018    11:45:07.976.699             接收            3AF        DATA    STANDARD    8      07 00 00 00 00 00 00 FD 
  00000019    11:45:07.976.725             接收       03401010        DATA    EXTENDED    8      5F 18 01 00 00 0A D2 00 
  00000020    11:45:08.010.585             接收            3AF        DATA    STANDARD    8      01 00 00 00 00 00 00 FB 
  00000021    11:45:08.034.570             接收       03401012        DATA    EXTENDED    8      00 02 1A BC 00 00 00 00 
  00000022    11:45:08.034.618             接收            3AF        DATA    STANDARD    8      02 00 00 00 00 00 00 F8 
  00000023    11:45:08.149.233             接收            3AF        DATA    STANDARD    8      03 00 00 00 00 00 00 F9 
  00000024    11:45:08.149.241             接收       03401014        DATA    EXTENDED    8      00 00 60 00 98 01 20 00 
  00000025    11:45:08.149.250             接收            3AF        DATA    STANDARD    8      04 00 00 00 00 00 00 FE 
  00000026    11:45:08.149.253             接收            3AF        DATA    STANDARD    8      05 00 00 00 00 00 00 FF 
  00000027    11:45:08.149.257             接收       03401020        DATA    EXTENDED    8      00 00 00 00 00 00 00 00 
  00000028    11:45:08.149.261             接收            3AF        DATA    STANDARD    8      06 00 00 00 00 00 00 FC 
  00000029    11:45:08.195.185             接收       03401030        DATA    EXTENDED    8      00 00 00 00 00 00 00 00 
  00000030    11:45:08.195.196             接收            3AF        DATA    STANDARD    8      07 00 00 00 00 00 00 FD 
  00000031    11:45:08.227.235             接收            3AF        DATA    STANDARD    8      01 00 00 00 00 00 00 FB 
  00000032    11:45:08.227.260             接收       03401038        DATA    EXTENDED    8      00 00 00 00 00 00 00 00 
  00000033    11:45:08.237.943             接收            3AF        DATA    STANDARD    8      02 00 00 00 00 00 00 F8 
  00000034    11:45:08.271.578             接收            3AF        DATA    STANDARD    8      03 00 00 00 00 00 00 F9 
  00000035    11:45:08.292.298             接收       03401040        DATA    EXTENDED    8      00 00 00 00 00 00 00 00 
  00000036    11:45:08.300.268             接收            3AF        DATA    STANDARD    8      04 00 00 00 00 00 00 FE 
  00000037    11:45:08.331.864             接收       03401008        DATA    EXTENDED    8      00 01 00 00 00 07 D0 03 
  00000038    11:45:08.331.889             接收            3AF        DATA    STANDARD    8      05 00 00 00 00 00 00 FF 
  00000039    11:45:08.361.930             接收            3AF        DATA    STANDARD    8      06 00 00 00 00 00 00 FC 
  00000040    11:45:08.458.095             接收       03401010        DATA    EXTENDED    8      5F 18 01 00 00 0A D2 00 
  00000041    11:45:08.458.104             接收            3AF        DATA    STANDARD    8      07 00 00 00 00 00 00 FD 
  00000042    11:45:08.458.108             接收            3AF        DATA    STANDARD    8      01 00 00 00 00 00 00 FB 
  00000043    11:45:08.458.111             接收       03401012        DATA    EXTENDED    8      00 02 1A BC 00 00 00 00 
  00000044    11:45:08.458.115             接收            3AF        DATA    STANDARD    8      02 00 00 00 00 00 00 F8 
  00000045    11:45:08.474.360             接收       03401014        DATA    EXTENDED    8      00 00 60 00 98 01 20 00 
  00000046    11:45:08.491.220             接收            3AF        DATA    STANDARD    8      03 00 00 00 00 00 00 F9 
  00000047    11:45:08.510.026             接收            3AF        DATA    STANDARD    8      04 00 00 00 00 00 00 FE 
  00000048    11:45:08.541.754             接收       03401020        DATA    EXTENDED    8      00 00 00 00 00 00 00 00 
  00000049    11:45:08.541.788             接收            3AF        DATA    STANDARD    8      05 00 00 00 00 00 00 FF 
  00000050    11:45:08.574.207             接收            3AF        DATA    STANDARD    8      06 00 00 00 00 00 00 FC 
  00000051    11:45:08.585.652             接收       03401030        DATA    EXTENDED    8      00 00 00 00 00 00 00 00 
  00000052    11:45:08.598.591             接收            3AF        DATA    STANDARD    8      07 00 00 00 00 00 00 FD 
  00000053    11:45:08.634.999             接收       03401038        DATA    EXTENDED    8      00 00 00 00 00 00 00 00 
  00000054    11:45:08.635.026             接收            3AF        DATA    STANDARD    8      01 00 00 00 00 00 00 FB 
  00000055    11:45:08.666.888             接收            3AF        DATA    STANDARD    8      02 00 00 00 00 00 00 F8 
  00000056    11:45:08.680.072             接收       03401040        DATA    EXTENDED    8      00 00 00 00 00 00 00 00 
  00000057    11:45:08.757.947             接收            3AF        DATA    STANDARD    8      03 00 00 00 00 00 00 F9 
  00000058    11:45:08.757.955             接收            3AF        DATA    STANDARD    8      04 00 00 00 00 00 00 FE 
  00000059    11:45:08.757.959             接收       03401008        DATA    EXTENDED    8      00 01 00 00 00 07 D0 03 
  00000060    11:45:08.757.963             接收            3AF        DATA    STANDARD    8      05 00 00 00 00 00 00 FF 
  00000061    11:45:08.792.425             接收       03401010        DATA    EXTENDED    8      5F 18 01 00 00 0A D2 00 
  00000062    11:45:08.792.434             接收            3AF        DATA    STANDARD    8      06 00 00 00 00 00 00 FC 
  00000063    11:45:08.817.892             接收            3AF        DATA    STANDARD    8      07 00 00 00 00 00 00 FD 
  00000064    11:45:08.833.477             接收       03401012        DATA    EXTENDED    8      00 02 1A BC 00 00 00 00 
  00000065    11:45:08.854.370             接收            3AF        DATA    STANDARD    8      01 00 00 00 00 00 00 FB 
  00000066    11:45:08.886.282             接收            3AF        DATA    STANDARD    8      02 00 00 00 00 00 00 F8 
  00000067    11:45:08.886.308             接收       03401014        DATA    EXTENDED    8      00 00 60 00 98 01 20 00 
  00000068    11:45:08.910.237             接收            3AF        DATA    STANDARD    8      03 00 00 00 00 00 00 F9 
  00000069    11:45:08.928.005             接收       03401020        DATA    EXTENDED    8      00 00 00 00 00 00 00 00 
  00000070    11:45:08.948.117             接收            3AF        DATA    STANDARD    8      04 00 00 00 00 00 00 FE 
  00000071    11:45:08.959.264             接收            3AF        DATA    STANDARD    8      05 00 00 00 00 00 00 FF 
  00000072    11:45:08.980.100             接收       03401030        DATA    EXTENDED    8      00 00 00 00 00 00 00 00 
  00000073    11:45:08.991.269             接收            3AF        DATA    STANDARD    8      06 00 00 00 00 00 00 FC 
  00000074    11:45:09.078.270             接收            3AF        DATA    STANDARD    8      07 00 00 00 00 00 00 FD 
  00000075    11:45:09.078.278             接收       03401038        DATA    EXTENDED    8      00 00 00 00 00 00 00 00 
  00000076    11:45:09.078.282             接收            3AF        DATA    STANDARD    8      01 00 00 00 00 00 00 FB 
  00000077    11:45:09.078.286             接收       03401040        DATA    EXTENDED    8      00 00 00 00 00 00 00 00 
  00000078    11:45:09.080.199             接收            3AF        DATA    STANDARD    8      02 00 00 00 00 00 00 F8 
  00000079    11:45:09.111.308             接收            3AF        DATA    STANDARD    8      03 00 00 00 00 00 00 F9 
  00000080    11:45:09.126.639             接收       03401008        DATA    EXTENDED    8      00 01 00 00 00 07 D0 03 
  00000081    11:45:09.148.314             接收            3AF        DATA    STANDARD    8      04 00 00 00 00 00 00 FE 
  00000082    11:45:09.176.760             接收            3AF        DATA    STANDARD    8      05 00 00 00 00 00 00 FF 
  00000083    11:45:09.176.786             接收       03401010        DATA    EXTENDED    8      5F 18 01 00 00 0A D2 00 
  00000084    11:45:09.197.836             接收            3AF        DATA    STANDARD    8      06 00 00 00 00 00 00 FC 
  00000085    11:45:09.228.564             接收       03401012        DATA    EXTENDED    8      00 02 1A BC 00 00 00 00 
  00000086    11:45:09.228.590             接收            3AF        DATA    STANDARD    8      07 00 00 00 00 00 00 FD 
  00000087    11:45:09.270.942             接收            3AF        DATA    STANDARD    8      01 00 00 00 00 00 00 FB 
  00000088    11:45:09.292.813             接收       03401014        DATA    EXTENDED    8      00 00 60 00 98 01 20 00 
  00000089    11:45:09.292.842             接收            3AF        DATA    STANDARD    8      02 00 00 00 00 00 00 F8 
  00000090    11:45:09.383.296             接收            3AF        DATA    STANDARD    8      03 00 00 00 00 00 00 F9 
  00000091    11:45:09.383.304             接收       03401020        DATA    EXTENDED    8      00 00 00 00 00 00 00 00 
  00000092    11:45:09.383.308             接收            3AF        DATA    STANDARD    8      04 00 00 00 00 00 00 FE 
  00000093    11:45:09.383.312             接收       03401030        DATA    EXTENDED    8      00 00 00 00 00 00 00 00 
  00000094    11:45:09.383.316             接收            3AF        DATA    STANDARD    8      05 00 00 00 00 00 00 FF 
  00000095    11:45:09.419.890             接收            3AF        DATA    STANDARD    8      06 00 00 00 00 00 00 FC 
  00000096    11:45:09.424.958             接收       03401038        DATA    EXTENDED    8      00 00 00 00 00 00 00 00 
  00000097    11:45:09.446.018             接收            3AF        DATA    STANDARD    8      07 00 00 00 00 00 00 FD 
  00000098    11:45:09.470.603             接收            3AF        DATA    STANDARD    8      01 00 00 00 00 00 00 FB 
  00000099    11:45:09.497.600             接收       03401040        DATA    EXTENDED    8      00 00 00 00 00 00 00 00 
  00000100    11:45:09.510.936             接收            3AF        DATA    STANDARD    8      02 00 00 00 00 00 00 F8 
  00000101    11:45:09.541.852             接收       03401008        DATA    EXTENDED    8      00 01 00 00 00 07 D0 03 
  00000102    11:45:09.541.880             接收            3AF        DATA    STANDARD    8      03 00 00 00 00 00 00 F9 
  00000103    11:45:09.563.818             接收            3AF        DATA    STANDARD    8      04 00 00 00 00 00 00 FE 
  00000104    11:45:09.585.515             接收       03401010        DATA    EXTENDED    8      5F 18 01 00 00 0A D2 00 
  00000105    11:45:09.605.705             接收            3AF        DATA    STANDARD    8      05 00 00 00 00 00 00 FF 
  00000106    11:45:09.708.054             接收            3AF        DATA    STANDARD    8      06 00 00 00 00 00 00 FC 
  00000107    11:45:09.708.062             接收       03401012        DATA    EXTENDED    8      00 02 1A BC 00 00 00 00 
  00000108    11:45:09.708.066             接收            3AF        DATA    STANDARD    8      07 00 00 00 00 00 00 FD 
  00000109    11:45:09.708.070             接收       03401014        DATA    EXTENDED    8      00 00 60 00 98 01 20 00 
