     index           time           Name             ID        Type      Format  Len      Data
  00000001    10:34:24.730.409             接收       03401030        DATA    EXTENDED    8      00 00 00 00 00 00 00 00 
  00000002    10:34:24.730.419             接收            3AF        DATA    STANDARD    8      02 00 00 00 00 00 00 F8 
  00000003    10:34:24.730.424             接收            3AF        DATA    STANDARD    8      03 00 00 00 00 00 00 F9 
  00000004    10:34:24.755.226             接收       03401038        DATA    EXTENDED    8      00 00 00 00 00 00 00 00 
  00000005    10:34:24.755.237             接收            3AF        DATA    STANDARD    8      04 00 00 00 00 00 00 FE 
  00000006    10:34:24.788.190             接收            3AF        DATA    STANDARD    8      05 00 00 00 00 00 00 FF 
  00000007    10:34:24.807.461             接收       03401040        DATA    EXTENDED    8      00 00 00 00 00 00 00 00 
  00000008    10:34:24.818.639             接收            3AF        DATA    STANDARD    8      06 00 00 00 00 00 00 FC 
  00000009    10:34:24.848.492             接收       03401008        DATA    EXTENDED    8      00 01 00 00 00 07 D0 03 
  00000010    10:34:24.848.520             接收            3AF        DATA    STANDARD    8      07 00 00 00 00 00 00 FD 
  00000011    10:34:24.881.394             接收            3AF        DATA    STANDARD    8      01 00 00 00 00 00 00 FB 
  00000012    10:34:24.901.244             接收       03401010        DATA    EXTENDED    8      5F 18 01 00 00 0A D2 00 
  00000013    10:34:24.912.511             接收            3AF        DATA    STANDARD    8      02 00 00 00 00 00 00 F8 
  00000014    10:34:24.933.197             接收            3AF        DATA    STANDARD    8      03 00 00 00 00 00 00 F9 
  00000015    10:34:24.993.760             接收       03401012        DATA    EXTENDED    8      00 02 1A 8C 00 00 00 00 
  00000016    10:34:24.993.768             接收            3AF        DATA    STANDARD    8      04 00 00 00 00 00 00 FE 
  00000017    10:34:24.993.773             接收       03401014        DATA    EXTENDED    8      00 00 60 00 98 01 20 00 
  00000018    10:34:25.001.907             接收            3AF        DATA    STANDARD    8      05 00 00 00 00 00 00 FF 
  00000019    10:34:25.022.812             接收            3AF        DATA    STANDARD    8      06 00 00 00 00 00 00 FC 
  00000020    10:34:25.048.833             接收       03401020        DATA    EXTENDED    8      00 00 00 00 00 00 00 00 
  00000021    10:34:25.065.438             接收            3AF        DATA    STANDARD    8      07 00 00 00 00 00 00 FD 
  00000022    10:34:25.085.718             接收            3AF        DATA    STANDARD    8      01 00 00 00 00 00 00 FB 
  00000023    10:34:25.099.199             接收       03401030        DATA    EXTENDED    8      00 00 00 00 00 00 00 00 
  00000024    10:34:25.119.640             接收            3AF        DATA    STANDARD    8      02 00 00 00 00 00 00 F8 
  00000025    10:34:25.142.580             接收       03401038        DATA    EXTENDED    8      00 00 00 00 00 00 00 00 
  00000026    10:34:25.159.164             接收            3AF        DATA    STANDARD    8      03 00 00 00 00 00 00 F9 
  00000027    10:34:25.174.031             接收            3AF        DATA    STANDARD    8      04 00 00 00 00 00 00 FE 
  00000028    10:34:25.194.964             接收       03401040        DATA    EXTENDED    8      00 00 00 00 00 00 00 00 
  00000029    10:34:25.204.456             接收            3AF        DATA    STANDARD    8      05 00 00 00 00 00 00 FF 
  00000030    10:34:25.243.344             接收            3AF        DATA    STANDARD    8      06 00 00 00 00 00 00 FC 
  00000031    10:34:25.243.372             接收       03401008        DATA    EXTENDED    8      00 01 00 00 00 07 D0 03 
  00000032    10:34:25.297.833             接收            3AF        DATA    STANDARD    8      07 00 00 00 00 00 00 FD 
  00000033    10:34:25.297.843             接收       03401010        DATA    EXTENDED    8      5F 18 01 00 00 0A D2 00 
  00000034    10:34:25.297.848             接收            3AF        DATA    STANDARD    8      01 00 00 00 00 00 00 FB 
  00000035    10:34:25.337.939             接收            3AF        DATA    STANDARD    8      02 00 00 00 00 00 00 F8 
  00000036    10:34:25.350.067             接收       03401012        DATA    EXTENDED    8      00 02 1A 8C 00 00 00 00 
  00000037    10:34:25.370.940             接收            3AF        DATA    STANDARD    8      03 00 00 00 00 00 00 F9 
  00000038    10:34:25.383.300             接收            3AF        DATA    STANDARD    8      04 00 00 00 00 00 00 FE 
  00000039    10:34:25.400.467             接收       03401014        DATA    EXTENDED    8      00 00 60 00 98 01 20 00 
  00000040    10:34:25.430.964             接收            3AF        DATA    STANDARD    8      05 00 00 00 00 00 00 FF 
  00000041    10:34:25.460.760             接收       03401020        DATA    EXTENDED    8      00 00 00 00 00 00 00 00 
  00000042    10:34:25.460.771             接收            3AF        DATA    STANDARD    8      06 00 00 00 00 00 00 FC 
  00000043    10:34:25.473.715             接收            3AF        DATA    STANDARD    8      07 00 00 00 00 00 00 FD 
  00000044    10:34:25.493.205             接收       03401030        DATA    EXTENDED    8      00 00 00 00 00 00 00 00 
  00000045    10:34:25.504.483             接收            3AF        DATA    STANDARD    8      01 00 00 00 00 00 00 FB 
  00000046    10:34:25.535.675             接收            3AF        DATA    STANDARD    8      02 00 00 00 00 00 00 F8 
  00000047    10:34:25.555.641             接收       03401038        DATA    EXTENDED    8      00 00 00 00 00 00 00 00 
  00000048    10:34:25.624.277             接收            3AF        DATA    STANDARD    8      03 00 00 00 00 00 00 F9 
  00000049    10:34:25.624.285             接收       03401040        DATA    EXTENDED    8      00 00 00 00 00 00 00 00 
  00000050    10:34:25.624.289             接收            3AF        DATA    STANDARD    8      04 00 00 00 00 00 00 FE 
  00000051    10:34:25.624.294             接收            3AF        DATA    STANDARD    8      05 00 00 00 00 00 00 FF 
  00000052    10:34:25.650.346             接收       03401008        DATA    EXTENDED    8      00 01 00 00 00 07 D0 03 
  00000053    10:34:25.661.308             接收            3AF        DATA    STANDARD    8      06 00 00 00 00 00 00 FC 
  00000054    10:34:25.681.527             接收            3AF        DATA    STANDARD    8      07 00 00 00 00 00 00 FD 
  00000055    10:34:25.693.173             接收       03401010        DATA    EXTENDED    8      5F 18 01 00 00 0A D2 00 
  00000056    10:34:25.722.229             接收            3AF        DATA    STANDARD    8      01 00 00 00 00 00 00 FB 
  00000057    10:34:25.743.868             接收       03401012        DATA    EXTENDED    8      00 02 1A 8C 00 00 00 00 
  00000058    10:34:25.752.473             接收            3AF        DATA    STANDARD    8      02 00 00 00 00 00 00 F8 
  00000059    10:34:25.773.270             接收            3AF        DATA    STANDARD    8      03 00 00 00 00 00 00 F9 
  00000060    10:34:25.805.202             接收       03401014        DATA    EXTENDED    8      00 00 60 00 98 01 20 00 
  00000061    10:34:25.805.229             接收            3AF        DATA    STANDARD    8      04 00 00 00 00 00 00 FE 
  00000062    10:34:25.835.629             接收            3AF        DATA    STANDARD    8      05 00 00 00 00 00 00 FF 
  00000063    10:34:25.848.161             接收       03401020        DATA    EXTENDED    8      00 00 00 00 00 00 00 00 
  00000064    10:34:25.869.287             接收            3AF        DATA    STANDARD    8      06 00 00 00 00 00 00 FC 
  00000065    10:34:25.929.028             接收       03401030        DATA    EXTENDED    8      00 00 00 00 00 00 00 00 
  00000066    10:34:25.929.037             接收            3AF        DATA    STANDARD    8      07 00 00 00 00 00 00 FD 
  00000067    10:34:25.929.042             接收            3AF        DATA    STANDARD    8      01 00 00 00 00 00 00 FB 
  00000068    10:34:25.942.110             接收       03401038        DATA    EXTENDED    8      00 00 00 00 00 00 00 00 
  00000069    10:34:25.954.758             接收            3AF        DATA    STANDARD    8      02 00 00 00 00 00 00 F8 
  00000070    10:34:25.992.835             接收            3AF        DATA    STANDARD    8      03 00 00 00 00 00 00 F9 
  00000071    10:34:25.992.858             接收       03401040        DATA    EXTENDED    8      00 00 00 00 00 00 00 00 
  00000072    10:34:26.026.592             接收            3AF        DATA    STANDARD    8      04 00 00 00 00 00 00 FE 
  00000073    10:34:26.053.016             接收       03401008        DATA    EXTENDED    8      00 01 00 00 00 07 D0 03 
  00000074    10:34:26.053.043             接收            3AF        DATA    STANDARD    8      05 00 00 00 00 00 00 FF 
