     index           time           Name             ID        Type      Format  Len      Data
  00000001    10:49:19.089.196             接收       03401012        DATA    EXTENDED    8      00 02 1A A3 00 00 00 00 
  00000002    10:49:19.089.205             接收            3AF        DATA    STANDARD    8      02 00 00 00 00 00 00 F8 
  00000003    10:49:19.089.209             接收            3AF        DATA    STANDARD    8      03 00 00 00 00 00 00 F9 
  00000004    10:49:19.089.213             接收       03401014        DATA    EXTENDED    8      00 00 60 00 98 01 20 00 
  00000005    10:49:19.089.217             接收            3AF        DATA    STANDARD    8      04 00 00 00 00 00 00 FE 
  00000006    10:49:19.099.170             接收            3AF        DATA    STANDARD    8      05 00 00 00 00 00 00 FF 
  00000007    10:49:19.119.952             接收       03401020        DATA    EXTENDED    8      00 00 00 00 00 00 00 00 
  00000008    10:49:19.147.990             接收            3AF        DATA    STANDARD    8      06 00 00 00 00 00 00 FC 
  00000009    10:49:19.159.182             接收       03401030        DATA    EXTENDED    8      00 00 00 00 00 00 00 00 
  00000010    10:49:19.159.209             接收            3AF        DATA    STANDARD    8      07 00 00 00 00 00 00 FD 
  00000011    10:49:19.190.563             接收            3AF        DATA    STANDARD    8      01 00 00 00 00 00 00 FB 
  00000012    10:49:19.209.319             接收       03401038        DATA    EXTENDED    8      00 00 00 00 00 00 00 00 
  00000013    10:49:19.229.650             接收            3AF        DATA    STANDARD    8      02 00 00 00 00 00 00 F8 
  00000014    10:49:19.253.474             接收            3AF        DATA    STANDARD    8      03 00 00 00 00 00 00 F9 
  00000015    10:49:19.273.568             接收       03401040        DATA    EXTENDED    8      00 00 00 00 00 00 00 00 
  00000016    10:49:19.291.602             接收            3AF        DATA    STANDARD    8      04 00 00 00 00 00 00 FE 
  00000017    10:49:19.302.704             接收       03401008        DATA    EXTENDED    8      00 01 00 00 00 07 D0 03 
  00000018    10:49:19.363.676             接收            3AF        DATA    STANDARD    8      05 00 00 00 00 00 00 FF 
  00000019    10:49:19.363.684             接收            3AF        DATA    STANDARD    8      06 00 00 00 00 00 00 FC 
  00000020    10:49:19.363.688             接收       03401010        DATA    EXTENDED    8      5F 18 01 00 00 0A D2 00 
  00000021    10:49:19.379.198             接收            3AF        DATA    STANDARD    8      07 00 00 00 00 00 00 FD 
  00000022    10:49:19.400.296             接收            3AF        DATA    STANDARD    8      01 00 00 00 00 00 00 FB 
  00000023    10:49:19.428.899             接收       03401012        DATA    EXTENDED    8      00 02 1A A3 00 00 00 00 
  00000024    10:49:19.428.924             接收            3AF        DATA    STANDARD    8      02 00 00 00 00 00 00 F8 
  00000025    10:49:19.462.087             接收       03401014        DATA    EXTENDED    8      00 00 60 00 98 01 20 00 
  00000026    10:49:19.462.100             接收            3AF        DATA    STANDARD    8      03 00 00 00 00 00 00 F9 
  00000027    10:49:19.498.664             接收            3AF        DATA    STANDARD    8      04 00 00 00 00 00 00 FE 
  00000028    10:49:19.502.586             接收       03401020        DATA    EXTENDED    8      00 00 00 00 00 00 00 00 
  00000029    10:49:19.525.069             接收            3AF        DATA    STANDARD    8      05 00 00 00 00 00 00 FF 
  00000030    10:49:19.555.769             接收            3AF        DATA    STANDARD    8      06 00 00 00 00 00 00 FC 
  00000031    10:49:19.555.797             接收       03401030        DATA    EXTENDED    8      00 00 00 00 00 00 00 00 
  00000032    10:49:19.586.466             接收            3AF        DATA    STANDARD    8      07 00 00 00 00 00 00 FD 
  00000033    10:49:19.619.665             接收       03401038        DATA    EXTENDED    8      00 00 00 00 00 00 00 00 
  00000034    10:49:19.619.693             接收            3AF        DATA    STANDARD    8      01 00 00 00 00 00 00 FB 
  00000035    10:49:19.676.285             接收            3AF        DATA    STANDARD    8      02 00 00 00 00 00 00 F8 
  00000036    10:49:19.676.293             接收       03401040        DATA    EXTENDED    8      00 00 00 00 00 00 00 00 
  00000037    10:49:19.676.297             接收            3AF        DATA    STANDARD    8      03 00 00 00 00 00 00 F9 
