     index           time           Name             ID        Type      Format  Len      Data
  00000001    11:59:10.903.353             接收       03401010        DATA    EXTENDED    8      5F 18 01 00 00 0A D2 00 
  00000002    11:59:10.903.364             接收            3AF        DATA    STANDARD    8      07 00 00 00 00 00 00 FD 
  00000003    11:59:10.903.369             接收            3AF        DATA    STANDARD    8      01 00 00 00 00 00 00 FB 
  00000004    11:59:10.903.374             接收       03401012        DATA    EXTENDED    8      00 02 1A C2 00 00 00 00 
  00000005    11:59:10.903.379             接收            3AF        DATA    STANDARD    8      02 00 00 00 00 00 00 F8 
  00000006    11:59:10.944.665             接收            3AF        DATA    STANDARD    8      03 00 00 00 00 00 00 F9 
  00000007    11:59:10.944.675             接收       03401014        DATA    EXTENDED    8      00 00 60 00 98 01 20 00 
  00000008    11:59:10.976.602             接收            3AF        DATA    STANDARD    8      04 00 00 00 00 00 00 FE 
  00000009    11:59:10.988.304             接收       03401020        DATA    EXTENDED    8      00 00 00 00 00 00 00 00 
  00000010    11:59:10.988.336             接收            3AF        DATA    STANDARD    8      05 00 00 00 00 00 00 FF 
  00000011    11:59:11.018.726             接收            3AF        DATA    STANDARD    8      06 00 00 00 00 00 00 FC 
  00000012    11:59:11.039.341             接收       03401030        DATA    EXTENDED    8      00 00 00 00 00 00 00 00 
  00000013    11:59:11.051.579             接收            3AF        DATA    STANDARD    8      07 00 00 00 00 00 00 FD 
  00000014    11:59:11.083.455             接收            3AF        DATA    STANDARD    8      01 00 00 00 00 00 00 FB 
  00000015    11:59:11.096.326             接收       03401038        DATA    EXTENDED    8      00 00 00 00 00 00 00 00 
  00000016    11:59:11.113.445             接收            3AF        DATA    STANDARD    8      02 00 00 00 00 00 00 F8 
  00000017    11:59:11.133.426             接收       03401040        DATA    EXTENDED    8      00 00 00 00 00 00 00 00 
  00000018    11:59:11.144.394             接收            3AF        DATA    STANDARD    8      03 00 00 00 00 00 00 F9 
  00000019    11:59:11.178.311             接收            3AF        DATA    STANDARD    8      04 00 00 00 00 00 00 FE 
  00000020    11:59:11.272.700             接收       03401008        DATA    EXTENDED    8      00 01 00 00 00 07 D0 0E 
  00000021    11:59:11.272.708             接收            3AF        DATA    STANDARD    8      05 00 00 00 00 00 00 FF 
  00000022    11:59:11.272.713             接收            3AF        DATA    STANDARD    8      06 00 00 00 00 00 00 FC 
  00000023    11:59:11.272.717             接收       03401010        DATA    EXTENDED    8      5F 18 01 00 00 0A D2 00 
  00000024    11:59:11.272.720             接收            3AF        DATA    STANDARD    8      07 00 00 00 00 00 00 FD 
  00000025    11:59:11.290.143             接收       03401012        DATA    EXTENDED    8      00 02 1A C2 00 00 00 00 
  00000026    11:59:11.290.152             接收            3AF        DATA    STANDARD    8      01 00 00 00 00 00 00 FB 
  00000027    11:59:11.334.809             接收            3AF        DATA    STANDARD    8      02 00 00 00 00 00 00 F8 
  00000028    11:59:11.334.819             接收       03401014        DATA    EXTENDED    8      00 00 60 00 98 01 20 00 
  00000029    11:59:11.350.667             接收            3AF        DATA    STANDARD    8      03 00 00 00 00 00 00 F9 
  00000030    11:59:11.381.031             接收            3AF        DATA    STANDARD    8      04 00 00 00 00 00 00 FE 
  00000031    11:59:11.393.656             接收       03401020        DATA    EXTENDED    8      00 00 00 00 00 00 00 00 
  00000032    11:59:11.434.857             接收            3AF        DATA    STANDARD    8      05 00 00 00 00 00 00 FF 
  00000033    11:59:11.434.878             接收       03401030        DATA    EXTENDED    8      00 00 00 00 00 00 00 00 
  00000034    11:59:11.444.503             接收            3AF        DATA    STANDARD    8      06 00 00 00 00 00 00 FC 
  00000035    11:59:11.476.308             接收            3AF        DATA    STANDARD    8      07 00 00 00 00 00 00 FD 
  00000036    11:59:11.495.213             接收       03401038        DATA    EXTENDED    8      00 00 00 00 00 00 00 00 
  00000037    11:59:11.576.489             接收            3AF        DATA    STANDARD    8      01 00 00 00 00 00 00 FB 
  00000038    11:59:11.576.498             接收            3AF        DATA    STANDARD    8      02 00 00 00 00 00 00 F8 
