     index           time           Name             ID        Type      Format  Len      Data
  00000001    11:04:06.637.145             接收            3AF        DATA    STANDARD    8      01 00 00 00 00 00 00 FB 
  00000002    11:04:06.637.154             接收            3AF        DATA    STANDARD    8      02 00 00 00 00 00 00 F8 
  00000003    11:04:06.637.158             接收       03401010        DATA    EXTENDED    8      5F 18 01 00 00 0A D2 00 
  00000004    11:04:06.637.162             接收            3AF        DATA    STANDARD    8      03 00 00 00 00 00 00 F9 
  00000005    11:04:06.674.292             接收       03401012        DATA    EXTENDED    8      00 02 1A B1 00 00 00 00 
  00000006    11:04:06.674.311             接收            3AF        DATA    STANDARD    8      04 00 00 00 00 00 00 FE 
  00000007    11:04:06.709.731             接收            3AF        DATA    STANDARD    8      05 00 00 00 00 00 00 FF 
  00000008    11:04:06.709.758             接收       03401014        DATA    EXTENDED    8      00 00 60 00 98 01 20 00 
  00000009    11:04:06.742.723             接收            3AF        DATA    STANDARD    8      06 00 00 00 00 00 00 FC 
  00000010    11:04:06.768.734             接收            3AF        DATA    STANDARD    8      07 00 00 00 00 00 00 FD 
  00000011    11:04:06.768.760             接收       03401020        DATA    EXTENDED    8      00 00 00 00 00 00 00 00 
  00000012    11:04:06.805.528             接收            3AF        DATA    STANDARD    8      01 00 00 00 00 00 00 FB 
  00000013    11:04:06.864.472             接收       03401030        DATA    EXTENDED    8      00 00 00 00 00 00 00 00 
  00000014    11:04:06.864.480             接收            3AF        DATA    STANDARD    8      02 00 00 00 00 00 00 F8 
  00000015    11:04:06.864.485             接收            3AF        DATA    STANDARD    8      03 00 00 00 00 00 00 F9 
  00000016    11:04:06.864.488             接收       03401038        DATA    EXTENDED    8      00 00 00 00 00 00 00 00 
  00000017    11:04:06.878.215             接收            3AF        DATA    STANDARD    8      04 00 00 00 00 00 00 FE 
  00000018    11:04:06.911.340             接收            3AF        DATA    STANDARD    8      05 00 00 00 00 00 00 FF 
  00000019    11:04:06.930.491             接收       03401040        DATA    EXTENDED    8      00 00 00 00 00 00 00 00 
  00000020    11:04:06.943.553             接收            3AF        DATA    STANDARD    8      06 00 00 00 00 00 00 FC 
  00000021    11:04:06.971.430             接收       03401008        DATA    EXTENDED    8      00 01 00 00 00 07 D0 05 
  00000022    11:04:06.971.453             接收            3AF        DATA    STANDARD    8      07 00 00 00 00 00 00 FD 
  00000023    11:04:07.008.071             接收            3AF        DATA    STANDARD    8      01 00 00 00 00 00 00 FB 
  00000024    11:04:07.026.261             接收       03401010        DATA    EXTENDED    8      5F 18 01 00 00 0A D2 00 
  00000025    11:04:07.026.285             接收            3AF        DATA    STANDARD    8      02 00 00 00 00 00 00 F8 
  00000026    11:04:07.069.169             接收            3AF        DATA    STANDARD    8      03 00 00 00 00 00 00 F9 
  00000027    11:04:07.069.193             接收       03401012        DATA    EXTENDED    8      00 02 1A B1 00 00 00 00 
  00000028    11:04:07.099.969             接收            3AF        DATA    STANDARD    8      04 00 00 00 00 00 00 FE 
  00000029    11:04:07.111.471             接收       03401014        DATA    EXTENDED    8      00 00 60 00 98 01 20 00 
  00000030    11:04:07.175.378             接收            3AF        DATA    STANDARD    8      05 00 00 00 00 00 00 FF 
  00000031    11:04:07.175.386             接收            3AF        DATA    STANDARD    8      06 00 00 00 00 00 00 FC 
  00000032    11:04:07.175.389             接收       03401020        DATA    EXTENDED    8      00 00 00 00 00 00 00 00 
  00000033    11:04:07.178.839             接收            3AF        DATA    STANDARD    8      07 00 00 00 00 00 00 FD 
  00000034    11:04:07.208.786             接收            3AF        DATA    STANDARD    8      01 00 00 00 00 00 00 FB 
  00000035    11:04:07.222.317             接收       03401030        DATA    EXTENDED    8      00 00 00 00 00 00 00 00 
  00000036    11:04:07.243.831             接收            3AF        DATA    STANDARD    8      02 00 00 00 00 00 00 F8 
  00000037    11:04:07.275.769             接收       03401038        DATA    EXTENDED    8      00 00 00 00 00 00 00 00 
  00000038    11:04:07.275.795             接收            3AF        DATA    STANDARD    8      03 00 00 00 00 00 00 F9 
  00000039    11:04:07.307.474             接收            3AF        DATA    STANDARD    8      04 00 00 00 00 00 00 FE 
  00000040    11:04:07.318.887             接收       03401040        DATA    EXTENDED    8      00 00 00 00 00 00 00 00 
  00000041    11:04:07.331.931             接收            3AF        DATA    STANDARD    8      05 00 00 00 00 00 00 FF 
  00000042    11:04:07.369.376             接收            3AF        DATA    STANDARD    8      06 00 00 00 00 00 00 FC 
  00000043    11:04:07.369.404             接收       03401008        DATA    EXTENDED    8      00 01 00 00 00 07 D0 05 
  00000044    11:04:07.392.313             接收            3AF        DATA    STANDARD    8      07 00 00 00 00 00 00 FD 
  00000045    11:04:07.434.142             接收       03401010        DATA    EXTENDED    8      5F 18 01 00 00 0A D2 00 
  00000046    11:04:07.434.167             接收            3AF        DATA    STANDARD    8      01 00 00 00 00 00 00 FB 
  00000047    11:04:07.476.041             接收            3AF        DATA    STANDARD    8      02 00 00 00 00 00 00 F8 
  00000048    11:04:07.476.050             接收       03401012        DATA    EXTENDED    8      00 02 1A B1 00 00 00 00 
  00000049    11:04:07.494.333             接收            3AF        DATA    STANDARD    8      03 00 00 00 00 00 00 F9 
  00000050    11:04:07.525.820             接收            3AF        DATA    STANDARD    8      04 00 00 00 00 00 00 FE 
  00000051    11:04:07.525.832             接收       03401014        DATA    EXTENDED    8      00 00 60 00 98 01 20 00 
  00000052    11:04:07.537.320             接收            3AF        DATA    STANDARD    8      05 00 00 00 00 00 00 FF 
  00000053    11:04:07.567.995             接收       03401020        DATA    EXTENDED    8      00 00 00 00 00 00 00 00 
  00000054    11:04:07.568.021             接收            3AF        DATA    STANDARD    8      06 00 00 00 00 00 00 FC 
  00000055    11:04:07.598.791             接收            3AF        DATA    STANDARD    8      07 00 00 00 00 00 00 FD 
  00000056    11:04:07.619.691             接收       03401030        DATA    EXTENDED    8      00 00 00 00 00 00 00 00 
  00000057    11:04:07.632.863             接收            3AF        DATA    STANDARD    8      01 00 00 00 00 00 00 FB 
  00000058    11:04:07.659.892             接收            3AF        DATA    STANDARD    8      02 00 00 00 00 00 00 F8 
  00000059    11:04:07.678.635             接收       03401038        DATA    EXTENDED    8      00 00 00 00 00 00 00 00 
  00000060    11:04:07.691.622             接收            3AF        DATA    STANDARD    8      03 00 00 00 00 00 00 F9 
  00000061    11:04:07.723.834             接收       03401040        DATA    EXTENDED    8      00 00 00 00 00 00 00 00 
  00000062    11:04:07.723.862             接收            3AF        DATA    STANDARD    8      04 00 00 00 00 00 00 FE 
  00000063    11:04:07.802.972             接收            3AF        DATA    STANDARD    8      05 00 00 00 00 00 00 FF 
  00000064    11:04:07.802.981             接收       03401008        DATA    EXTENDED    8      00 01 00 00 00 07 D0 05 
  00000065    11:04:07.802.985             接收            3AF        DATA    STANDARD    8      06 00 00 00 00 00 00 FC 
  00000066    11:04:07.819.118             接收            3AF        DATA    STANDARD    8      07 00 00 00 00 00 00 FD 
  00000067    11:04:07.819.128             接收       03401010        DATA    EXTENDED    8      5F 18 01 00 00 0A D2 00 
  00000068    11:04:07.848.423             接收            3AF        DATA    STANDARD    8      01 00 00 00 00 00 00 FB 
  00000069    11:04:07.861.205             接收       03401012        DATA    EXTENDED    8      00 02 1A B1 00 00 00 00 
  00000070    11:04:07.880.651             接收            3AF        DATA    STANDARD    8      02 00 00 00 00 00 00 F8 
  00000071    11:04:07.901.078             接收            3AF        DATA    STANDARD    8      03 00 00 00 00 00 00 F9 
  00000072    11:04:07.912.813             接收       03401014        DATA    EXTENDED    8      00 00 60 00 98 01 20 00 
  00000073    11:04:07.932.964             接收            3AF        DATA    STANDARD    8      04 00 00 00 00 00 00 FE 
  00000074    11:04:07.964.880             接收            3AF        DATA    STANDARD    8      05 00 00 00 00 00 00 FF 
  00000075    11:04:07.964.906             接收       03401020        DATA    EXTENDED    8      00 00 00 00 00 00 00 00 
  00000076    11:04:07.987.542             接收            3AF        DATA    STANDARD    8      06 00 00 00 00 00 00 FC 
  00000077    11:04:08.019.389             接收       03401030        DATA    EXTENDED    8      00 00 00 00 00 00 00 00 
  00000078    11:04:08.019.417             接收            3AF        DATA    STANDARD    8      07 00 00 00 00 00 00 FD 
  00000079    11:04:08.055.618             接收            3AF        DATA    STANDARD    8      01 00 00 00 00 00 00 FB 
  00000080    11:04:08.108.003             接收       03401038        DATA    EXTENDED    8      00 00 00 00 00 00 00 00 
  00000081    11:04:08.108.014             接收            3AF        DATA    STANDARD    8      02 00 00 00 00 00 00 F8 
  00000082    11:04:08.108.019             接收            3AF        DATA    STANDARD    8      03 00 00 00 00 00 00 F9 
  00000083    11:04:08.116.397             接收       03401040        DATA    EXTENDED    8      00 00 00 00 00 00 00 00 
  00000084    11:04:08.149.255             接收            3AF        DATA    STANDARD    8      04 00 00 00 00 00 00 FE 
  00000085    11:04:08.181.278             接收       03401008        DATA    EXTENDED    8      00 01 00 00 00 07 D0 05 
  00000086    11:04:08.181.305             接收            3AF        DATA    STANDARD    8      05 00 00 00 00 00 00 FF 
  00000087    11:04:08.205.888             接收            3AF        DATA    STANDARD    8      06 00 00 00 00 00 00 FC 
  00000088    11:04:08.224.660             接收       03401010        DATA    EXTENDED    8      5F 18 01 00 00 0A D2 00 
  00000089    11:04:08.237.885             接收            3AF        DATA    STANDARD    8      07 00 00 00 00 00 00 FD 
  00000090    11:04:08.277.048             接收            3AF        DATA    STANDARD    8      01 00 00 00 00 00 00 FB 
  00000091    11:04:08.277.078             接收       03401012        DATA    EXTENDED    8      00 02 1A B1 00 00 00 00 
  00000092    11:04:08.288.002             接收            3AF        DATA    STANDARD    8      02 00 00 00 00 00 00 F8 
  00000093    11:04:08.316.582             接收       03401014        DATA    EXTENDED    8      00 00 60 00 98 01 20 00 
  00000094    11:04:08.336.892             接收            3AF        DATA    STANDARD    8      03 00 00 00 00 00 00 F9 
  00000095    11:04:08.350.951             接收            3AF        DATA    STANDARD    8      04 00 00 00 00 00 00 FE 
  00000096    11:04:08.370.807             接收       03401020        DATA    EXTENDED    8      00 00 00 00 00 00 00 00 
  00000097    11:04:08.432.553             接收            3AF        DATA    STANDARD    8      05 00 00 00 00 00 00 FF 
  00000098    11:04:08.432.564             接收            3AF        DATA    STANDARD    8      06 00 00 00 00 00 00 FC 
  00000099    11:04:08.432.575             接收       03401030        DATA    EXTENDED    8      00 00 00 00 00 00 00 00 
  00000100    11:04:08.441.436             接收            3AF        DATA    STANDARD    8      07 00 00 00 00 00 00 FD 
  00000101    11:04:08.461.557             接收       03401038        DATA    EXTENDED    8      00 00 00 00 00 00 00 00 
  00000102    11:04:08.473.416             接收            3AF        DATA    STANDARD    8      01 00 00 00 00 00 00 FB 
  00000103    11:04:08.499.903             接收            3AF        DATA    STANDARD    8      02 00 00 00 00 00 00 F8 
  00000104    11:04:08.519.730             接收       03401040        DATA    EXTENDED    8      00 00 00 00 00 00 00 00 
  00000105    11:04:08.536.510             接收            3AF        DATA    STANDARD    8      03 00 00 00 00 00 00 F9 
  00000106    11:04:08.566.904             接收            3AF        DATA    STANDARD    8      04 00 00 00 00 00 00 FE 
  00000107    11:04:08.566.929             接收       03401008        DATA    EXTENDED    8      00 01 00 00 00 07 D0 05 
  00000108    11:04:08.586.802             接收            3AF        DATA    STANDARD    8      05 00 00 00 00 00 00 FF 
  00000109    11:04:08.616.816             接收       03401010        DATA    EXTENDED    8      5F 18 01 00 00 0A D2 00 
  00000110    11:04:08.630.095             接收            3AF        DATA    STANDARD    8      06 00 00 00 00 00 00 FC 
  00000111    11:04:08.658.871             接收            3AF        DATA    STANDARD    8      07 00 00 00 00 00 00 FD 
  00000112    11:04:08.674.117             接收       03401012        DATA    EXTENDED    8      00 02 1A B1 00 00 00 00 
  00000113    11:04:08.753.307             接收            3AF        DATA    STANDARD    8      01 00 00 00 00 00 00 FB 
  00000114    11:04:08.753.316             接收            3AF        DATA    STANDARD    8      02 00 00 00 00 00 00 F8 
  00000115    11:04:08.753.320             接收       03401014        DATA    EXTENDED    8      00 00 60 00 98 01 20 00 
  00000116    11:04:08.753.325             接收            3AF        DATA    STANDARD    8      03 00 00 00 00 00 00 F9 
  00000117    11:04:08.776.197             接收       03401020        DATA    EXTENDED    8      00 00 00 00 00 00 00 00 
  00000118    11:04:08.776.207             接收            3AF        DATA    STANDARD    8      04 00 00 00 00 00 00 FE 
  00000119    11:04:08.808.189             接收            3AF        DATA    STANDARD    8      05 00 00 00 00 00 00 FF 
  00000120    11:04:08.819.540             接收       03401030        DATA    EXTENDED    8      00 00 00 00 00 00 00 00 
  00000121    11:04:08.829.137             接收            3AF        DATA    STANDARD    8      06 00 00 00 00 00 00 FC 
  00000122    11:04:08.861.584             接收            3AF        DATA    STANDARD    8      07 00 00 00 00 00 00 FD 
  00000123    11:04:08.880.415             接收       03401038        DATA    EXTENDED    8      00 00 00 00 00 00 00 00 
  00000124    11:04:08.893.542             接收            3AF        DATA    STANDARD    8      01 00 00 00 00 00 00 FB 
  00000125    11:04:08.910.699             接收       03401040        DATA    EXTENDED    8      00 00 00 00 00 00 00 00 
  00000126    11:04:08.930.014             接收            3AF        DATA    STANDARD    8      02 00 00 00 00 00 00 F8 
  00000127    11:04:08.959.037             接收            3AF        DATA    STANDARD    8      03 00 00 00 00 00 00 F9 
  00000128    11:04:08.972.541             接收       03401008        DATA    EXTENDED    8      00 01 00 00 00 07 D0 05 
  00000129    11:04:08.993.091             接收            3AF        DATA    STANDARD    8      04 00 00 00 00 00 00 FE 
  00000130    11:04:09.054.552             接收            3AF        DATA    STANDARD    8      05 00 00 00 00 00 00 FF 
  00000131    11:04:09.054.561             接收       03401010        DATA    EXTENDED    8      5F 18 01 00 00 0A D2 00 
  00000132    11:04:09.054.565             接收            3AF        DATA    STANDARD    8      06 00 00 00 00 00 00 FC 
  00000133    11:04:09.064.437             接收       03401012        DATA    EXTENDED    8      00 02 1A B1 00 00 00 00 
  00000134    11:04:09.084.742             接收            3AF        DATA    STANDARD    8      07 00 00 00 00 00 00 FD 
  00000135    11:04:09.097.604             接收            3AF        DATA    STANDARD    8      01 00 00 00 00 00 00 FB 
  00000136    11:04:09.113.006             接收       03401014        DATA    EXTENDED    8      00 00 60 00 98 01 20 00 
  00000137    11:04:09.129.590             接收            3AF        DATA    STANDARD    8      02 00 00 00 00 00 00 F8 
  00000138    11:04:09.161.523             接收            3AF        DATA    STANDARD    8      03 00 00 00 00 00 00 F9 
  00000139    11:04:09.176.413             接收       03401020        DATA    EXTENDED    8      00 00 00 00 00 00 00 00 
  00000140    11:04:09.193.425             接收            3AF        DATA    STANDARD    8      04 00 00 00 00 00 00 FE 
  00000141    11:04:09.213.328             接收       03401030        DATA    EXTENDED    8      00 00 00 00 00 00 00 00 
  00000142    11:04:09.223.642             接收            3AF        DATA    STANDARD    8      05 00 00 00 00 00 00 FF 
  00000143    11:04:09.256.396             接收            3AF        DATA    STANDARD    8      06 00 00 00 00 00 00 FC 
  00000144    11:04:09.277.212             接收       03401038        DATA    EXTENDED    8      00 00 00 00 00 00 00 00 
  00000145    11:04:09.277.238             接收            3AF        DATA    STANDARD    8      07 00 00 00 00 00 00 FD 
  00000146    11:04:09.359.955             接收            3AF        DATA    STANDARD    8      01 00 00 00 00 00 00 FB 
  00000147    11:04:09.359.964             接收       03401040        DATA    EXTENDED    8      00 00 00 00 00 00 00 00 
  00000148    11:04:09.359.968             接收            3AF        DATA    STANDARD    8      02 00 00 00 00 00 00 F8 
  00000149    11:04:09.377.639             接收       03401008        DATA    EXTENDED    8      00 01 00 00 00 07 D0 05 
  00000150    11:04:09.377.649             接收            3AF        DATA    STANDARD    8      03 00 00 00 00 00 00 F9 
  00000151    11:04:09.397.845             接收            3AF        DATA    STANDARD    8      04 00 00 00 00 00 00 FE 
  00000152    11:04:09.426.635             接收       03401010        DATA    EXTENDED    8      5F 18 01 00 00 0A D2 00 
  00000153    11:04:09.428.630             接收            3AF        DATA    STANDARD    8      05 00 00 00 00 00 00 FF 
  00000154    11:04:09.459.636             接收            3AF        DATA    STANDARD    8      06 00 00 00 00 00 00 FC 
  00000155    11:04:09.473.344             接收       03401012        DATA    EXTENDED    8      00 02 1A B1 00 00 00 00 
  00000156    11:04:09.494.440             接收            3AF        DATA    STANDARD    8      07 00 00 00 00 00 00 FD 
  00000157    11:04:09.522.593             接收       03401014        DATA    EXTENDED    8      00 00 60 00 98 01 20 00 
  00000158    11:04:09.522.604             接收            3AF        DATA    STANDARD    8      01 00 00 00 00 00 00 FB 
  00000159    11:04:09.555.293             接收            3AF        DATA    STANDARD    8      02 00 00 00 00 00 00 F8 
  00000160    11:04:09.569.792             接收       03401020        DATA    EXTENDED    8      00 00 00 00 00 00 00 00 
  00000161    11:04:09.582.907             接收            3AF        DATA    STANDARD    8      03 00 00 00 00 00 00 F9 
  00000162    11:04:09.614.276             接收            3AF        DATA    STANDARD    8      04 00 00 00 00 00 00 FE 
  00000163    11:04:09.614.303             接收       03401030        DATA    EXTENDED    8      00 00 00 00 00 00 00 00 
  00000164    11:04:09.683.044             接收            3AF        DATA    STANDARD    8      05 00 00 00 00 00 00 FF 
  00000165    11:04:09.683.053             接收       03401038        DATA    EXTENDED    8      00 00 00 00 00 00 00 00 
  00000166    11:04:09.683.057             接收            3AF        DATA    STANDARD    8      06 00 00 00 00 00 00 FC 
  00000167    11:04:09.711.008             接收            3AF        DATA    STANDARD    8      07 00 00 00 00 00 00 FD 
  00000168    11:04:09.711.017             接收       03401040        DATA    EXTENDED    8      00 00 00 00 00 00 00 00 
  00000169    11:04:09.737.335             接收            3AF        DATA    STANDARD    8      01 00 00 00 00 00 00 FB 
  00000170    11:04:09.776.792             接收            3AF        DATA    STANDARD    8      02 00 00 00 00 00 00 F8 
  00000171    11:04:09.776.818             接收       03401008        DATA    EXTENDED    8      00 01 00 00 00 07 D0 05 
  00000172    11:04:09.788.621             接收            3AF        DATA    STANDARD    8      03 00 00 00 00 00 00 F9 
  00000173    11:04:09.818.891             接收       03401010        DATA    EXTENDED    8      5F 18 01 00 00 0A D2 00 
  00000174    11:04:09.818.917             接收            3AF        DATA    STANDARD    8      04 00 00 00 00 00 00 FE 
  00000175    11:04:09.849.636             接收            3AF        DATA    STANDARD    8      05 00 00 00 00 00 00 FF 
  00000176    11:04:09.869.540             接收       03401012        DATA    EXTENDED    8      00 02 1A B1 00 00 00 00 
  00000177    11:04:09.882.622             接收            3AF        DATA    STANDARD    8      06 00 00 00 00 00 00 FC 
  00000178    11:04:09.909.304             接收            3AF        DATA    STANDARD    8      07 00 00 00 00 00 00 FD 
  00000179    11:04:09.928.488             接收       03401014        DATA    EXTENDED    8      00 00 60 00 98 01 20 00 
  00000180    11:04:09.987.607             接收            3AF        DATA    STANDARD    8      01 00 00 00 00 00 00 FB 
  00000181    11:04:09.987.615             接收       03401020        DATA    EXTENDED    8      00 00 00 00 00 00 00 00 
  00000182    11:04:09.987.620             接收            3AF        DATA    STANDARD    8      02 00 00 00 00 00 00 F8 
  00000183    11:04:10.003.869             接收            3AF        DATA    STANDARD    8      03 00 00 00 00 00 00 F9 
  00000184    11:04:10.017.917             接收       03401030        DATA    EXTENDED    8      00 00 00 00 00 00 00 00 
  00000185    11:04:10.038.215             接收            3AF        DATA    STANDARD    8      04 00 00 00 00 00 00 FE 
  00000186    11:04:10.069.787             接收            3AF        DATA    STANDARD    8      05 00 00 00 00 00 00 FF 
  00000187    11:04:10.069.812             接收       03401038        DATA    EXTENDED    8      00 00 00 00 00 00 00 00 
  00000188    11:04:10.089.955             接收            3AF        DATA    STANDARD    8      06 00 00 00 00 00 00 FC 
  00000189    11:04:10.117.875             接收       03401040        DATA    EXTENDED    8      00 00 00 00 00 00 00 00 
  00000190    11:04:10.117.902             接收            3AF        DATA    STANDARD    8      07 00 00 00 00 00 00 FD 
  00000191    11:04:10.151.791             接收            3AF        DATA    STANDARD    8      01 00 00 00 00 00 00 FB 
  00000192    11:04:10.161.318             接收       03401008        DATA    EXTENDED    8      00 01 00 00 00 07 D0 05 
  00000193    11:04:10.192.495             接收            3AF        DATA    STANDARD    8      02 00 00 00 00 00 00 F8 
  00000194    11:04:10.212.652             接收            3AF        DATA    STANDARD    8      03 00 00 00 00 00 00 F9 
  00000195    11:04:10.212.679             接收       03401010        DATA    EXTENDED    8      5F 18 01 00 00 0A D2 00 
  00000196    11:04:10.239.125             接收            3AF        DATA    STANDARD    8      04 00 00 00 00 00 00 FE 
  00000197    11:04:10.295.430             接收       03401012        DATA    EXTENDED    8      00 02 1A B1 00 00 00 00 
  00000198    11:04:10.295.439             接收            3AF        DATA    STANDARD    8      05 00 00 00 00 00 00 FF 
  00000199    11:04:10.304.386             接收            3AF        DATA    STANDARD    8      06 00 00 00 00 00 00 FC 
  00000200    11:04:10.315.125             接收       03401014        DATA    EXTENDED    8      00 00 60 00 98 01 20 00 
  00000201    11:04:10.336.371             接收            3AF        DATA    STANDARD    8      07 00 00 00 00 00 00 FD 
  00000202    11:04:10.370.250             接收            3AF        DATA    STANDARD    8      01 00 00 00 00 00 00 FB 
  00000203    11:04:10.370.277             接收       03401020        DATA    EXTENDED    8      00 00 00 00 00 00 00 00 
  00000204    11:04:10.397.634             接收            3AF        DATA    STANDARD    8      02 00 00 00 00 00 00 F8 
  00000205    11:04:10.433.425             接收       03401030        DATA    EXTENDED    8      00 00 00 00 00 00 00 00 
  00000206    11:04:10.433.449             接收            3AF        DATA    STANDARD    8      03 00 00 00 00 00 00 F9 
