     index           time           Name             ID        Type      Format  Len      Data
  00000001    10:47:20.251.245             接收            3AF        DATA    STANDARD    8      03 00 00 00 00 00 00 F9 
  00000002    10:47:20.251.259             接收       03401012        DATA    EXTENDED    8      00 02 1A A1 00 00 00 00 
  00000003    10:47:20.251.264             接收            3AF        DATA    STANDARD    8      04 00 00 00 00 00 00 FE 
  00000004    10:47:20.251.268             接收       03401014        DATA    EXTENDED    8      00 00 60 00 98 01 20 00 
  00000005    10:47:20.251.273             接收            3AF        DATA    STANDARD    8      05 00 00 00 00 00 00 FF 
  00000006    10:47:20.285.762             接收            3AF        DATA    STANDARD    8      06 00 00 00 00 00 00 FC 
  00000007    10:47:20.298.793             接收       03401020        DATA    EXTENDED    8      00 00 00 00 00 00 00 00 
  00000008    10:47:20.314.866             接收            3AF        DATA    STANDARD    8      07 00 00 00 00 00 00 FD 
  00000009    10:47:20.349.128             接收            3AF        DATA    STANDARD    8      01 00 00 00 00 00 00 FB 
  00000010    10:47:20.349.173             接收       03401030        DATA    EXTENDED    8      00 00 00 00 00 00 00 00 
  00000011    10:47:20.369.662             接收            3AF        DATA    STANDARD    8      02 00 00 00 00 00 00 F8 
  00000012    10:47:20.430.575             接收       03401038        DATA    EXTENDED    8      00 00 00 00 00 00 00 00 
  00000013    10:47:20.430.601             接收            3AF        DATA    STANDARD    8      03 00 00 00 00 00 00 F9 
  00000014    10:47:20.430.614             接收            3AF        DATA    STANDARD    8      04 00 00 00 00 00 00 FE 
  00000015    10:47:20.461.530             接收       03401040        DATA    EXTENDED    8      00 00 00 00 00 00 00 00 
  00000016    10:47:20.461.543             接收            3AF        DATA    STANDARD    8      05 00 00 00 00 00 00 FF 
  00000017    10:47:20.501.276             接收            3AF        DATA    STANDARD    8      06 00 00 00 00 00 00 FC 
  00000018    10:47:20.501.303             接收       03401008        DATA    EXTENDED    8      00 01 00 00 00 07 D0 03 
  00000019    10:47:20.519.525             接收            3AF        DATA    STANDARD    8      07 00 00 00 00 00 00 FD 
  00000020    10:47:20.555.487             接收       03401010        DATA    EXTENDED    8      5F 18 01 00 00 0A D2 00 
  00000021    10:47:20.555.514             接收            3AF        DATA    STANDARD    8      01 00 00 00 00 00 00 FB 
  00000022    10:47:20.613.596             接收            3AF        DATA    STANDARD    8      02 00 00 00 00 00 00 F8 
  00000023    10:47:20.613.605             接收       03401012        DATA    EXTENDED    8      00 02 1A A1 00 00 00 00 
  00000024    10:47:20.613.609             接收            3AF        DATA    STANDARD    8      03 00 00 00 00 00 00 F9 
  00000025    10:47:20.646.174             接收            3AF        DATA    STANDARD    8      04 00 00 00 00 00 00 FE 
  00000026    10:47:20.646.200             接收       03401014        DATA    EXTENDED    8      00 00 60 00 98 01 20 00 
  00000027    10:47:20.681.131             接收            3AF        DATA    STANDARD    8      05 00 00 00 00 00 00 FF 
  00000028    10:47:20.713.062             接收       03401020        DATA    EXTENDED    8      00 00 00 00 00 00 00 00 
  00000029    10:47:20.713.089             接收            3AF        DATA    STANDARD    8      06 00 00 00 00 00 00 FC 
  00000030    10:47:20.738.993             接收            3AF        DATA    STANDARD    8      07 00 00 00 00 00 00 FD 
  00000031    10:47:20.752.725             接收       03401030        DATA    EXTENDED    8      00 00 00 00 00 00 00 00 
  00000032    10:47:20.772.877             接收            3AF        DATA    STANDARD    8      01 00 00 00 00 00 00 FB 
  00000033    10:47:20.806.996             接收            3AF        DATA    STANDARD    8      02 00 00 00 00 00 00 F8 
  00000034    10:47:20.807.024             接收       03401038        DATA    EXTENDED    8      00 00 00 00 00 00 00 00 
  00000035    10:47:20.818.005             接收            3AF        DATA    STANDARD    8      03 00 00 00 00 00 00 F9 
  00000036    10:47:20.850.956             接收       03401040        DATA    EXTENDED    8      00 00 00 00 00 00 00 00 
  00000037    10:47:20.850.984             接收            3AF        DATA    STANDARD    8      04 00 00 00 00 00 00 FE 
  00000038    10:47:20.932.527             接收            3AF        DATA    STANDARD    8      05 00 00 00 00 00 00 FF 
  00000039    10:47:20.932.535             接收       03401008        DATA    EXTENDED    8      00 01 00 00 00 07 D0 03 
  00000040    10:47:20.932.540             接收            3AF        DATA    STANDARD    8      06 00 00 00 00 00 00 FC 
  00000041    10:47:20.939.574             接收            3AF        DATA    STANDARD    8      07 00 00 00 00 00 00 FD 
  00000042    10:47:20.959.166             接收       03401010        DATA    EXTENDED    8      5F 18 01 00 00 0A D2 00 
  00000043    10:47:20.971.598             接收            3AF        DATA    STANDARD    8      01 00 00 00 00 00 00 FB 
  00000044    10:47:21.004.593             接收       03401012        DATA    EXTENDED    8      00 02 1A A1 00 00 00 00 
  00000045    10:47:21.004.621             接收            3AF        DATA    STANDARD    8      02 00 00 00 00 00 00 F8 
  00000046    10:47:21.036.408             接收            3AF        DATA    STANDARD    8      03 00 00 00 00 00 00 F9 
  00000047    10:47:21.057.150             接收       03401014        DATA    EXTENDED    8      00 00 60 00 98 01 20 00 
  00000048    10:47:21.068.400             接收            3AF        DATA    STANDARD    8      04 00 00 00 00 00 00 FE 
  00000049    10:47:21.097.671             接收            3AF        DATA    STANDARD    8      05 00 00 00 00 00 00 FF 
  00000050    10:47:21.097.704             接收       03401020        DATA    EXTENDED    8      00 00 00 00 00 00 00 00 
  00000051    10:47:21.117.912             接收            3AF        DATA    STANDARD    8      06 00 00 00 00 00 00 FC 
  00000052    10:47:21.150.895             接收       03401030        DATA    EXTENDED    8      00 00 00 00 00 00 00 00 
  00000053    10:47:21.150.923             接收            3AF        DATA    STANDARD    8      07 00 00 00 00 00 00 FD 
  00000054    10:47:21.238.275             接收            3AF        DATA    STANDARD    8      01 00 00 00 00 00 00 FB 
  00000055    10:47:21.238.283             接收       03401038        DATA    EXTENDED    8      00 00 00 00 00 00 00 00 
  00000056    10:47:21.238.288             接收            3AF        DATA    STANDARD    8      02 00 00 00 00 00 00 F8 
  00000057    10:47:21.238.292             接收            3AF        DATA    STANDARD    8      03 00 00 00 00 00 00 F9 
  00000058    10:47:21.255.497             接收       03401040        DATA    EXTENDED    8      00 00 00 00 00 00 00 00 
  00000059    10:47:21.276.623             接收            3AF        DATA    STANDARD    8      04 00 00 00 00 00 00 FE 
  00000060    10:47:21.302.937             接收       03401008        DATA    EXTENDED    8      00 01 00 00 00 07 D0 03 
  00000061    10:47:21.302.961             接收            3AF        DATA    STANDARD    8      05 00 00 00 00 00 00 FF 
  00000062    10:47:21.338.379             接收            3AF        DATA    STANDARD    8      06 00 00 00 00 00 00 FC 
  00000063    10:47:21.351.548             接收       03401010        DATA    EXTENDED    8      5F 18 01 00 00 0A D2 00 
  00000064    10:47:21.361.332             接收            3AF        DATA    STANDARD    8      07 00 00 00 00 00 00 FD 
  00000065    10:47:21.393.246             接收            3AF        DATA    STANDARD    8      01 00 00 00 00 00 00 FB 
  00000066    10:47:21.430.881             接收       03401012        DATA    EXTENDED    8      00 02 1A A1 00 00 00 00 
  00000067    10:47:21.430.892             接收            3AF        DATA    STANDARD    8      02 00 00 00 00 00 00 F8 
  00000068    10:47:21.460.011             接收       03401014        DATA    EXTENDED    8      00 00 60 00 98 01 20 00 
  00000069    10:47:21.460.023             接收            3AF        DATA    STANDARD    8      03 00 00 00 00 00 00 F9 
  00000070    10:47:21.494.491             接收            3AF        DATA    STANDARD    8      04 00 00 00 00 00 00 FE 
  00000071    10:47:21.494.503             接收       03401020        DATA    EXTENDED    8      00 00 00 00 00 00 00 00 
  00000072    10:47:21.539.251             接收            3AF        DATA    STANDARD    8      05 00 00 00 00 00 00 FF 
  00000073    10:47:21.539.261             接收            3AF        DATA    STANDARD    8      06 00 00 00 00 00 00 FC 
  00000074    10:47:21.553.285             接收       03401030        DATA    EXTENDED    8      00 00 00 00 00 00 00 00 
  00000075    10:47:21.586.644             接收            3AF        DATA    STANDARD    8      07 00 00 00 00 00 00 FD 
  00000076    10:47:21.595.668             接收       03401038        DATA    EXTENDED    8      00 00 00 00 00 00 00 00 
  00000077    10:47:21.616.293             接收            3AF        DATA    STANDARD    8      01 00 00 00 00 00 00 FB 
  00000078    10:47:21.636.063             接收            3AF        DATA    STANDARD    8      02 00 00 00 00 00 00 F8 
  00000079    10:47:21.662.024             接收       03401040        DATA    EXTENDED    8      00 00 00 00 00 00 00 00 
  00000080    10:47:21.662.048             接收            3AF        DATA    STANDARD    8      03 00 00 00 00 00 00 F9 
  00000081    10:47:21.691.640             接收            3AF        DATA    STANDARD    8      04 00 00 00 00 00 00 FE 
  00000082    10:47:21.709.956             接收       03401008        DATA    EXTENDED    8      00 01 00 00 00 07 D0 03 
  00000083    10:47:21.724.523             接收            3AF        DATA    STANDARD    8      05 00 00 00 00 00 00 FF 
  00000084    10:47:21.753.644             接收       03401010        DATA    EXTENDED    8      5F 18 01 00 00 0A D2 00 
  00000085    10:47:21.753.667             接收            3AF        DATA    STANDARD    8      06 00 00 00 00 00 00 FC 
  00000086    10:47:21.786.017             接收            3AF        DATA    STANDARD    8      07 00 00 00 00 00 00 FD 
  00000087    10:47:21.806.140             接收       03401012        DATA    EXTENDED    8      00 02 1A A1 00 00 00 00 
  00000088    10:47:21.865.253             接收            3AF        DATA    STANDARD    8      01 00 00 00 00 00 00 FB 
  00000089    10:47:21.865.262             接收            3AF        DATA    STANDARD    8      02 00 00 00 00 00 00 F8 
  00000090    10:47:21.865.266             接收       03401014        DATA    EXTENDED    8      00 00 60 00 98 01 20 00 
  00000091    10:47:21.877.669             接收            3AF        DATA    STANDARD    8      03 00 00 00 00 00 00 F9 
  00000092    10:47:21.898.887             接收       03401020        DATA    EXTENDED    8      00 00 00 00 00 00 00 00 
  00000093    10:47:21.898.898             接收            3AF        DATA    STANDARD    8      04 00 00 00 00 00 00 FE 
  00000094    10:47:21.930.790             接收            3AF        DATA    STANDARD    8      05 00 00 00 00 00 00 FF 
  00000095    10:47:21.955.240             接收       03401030        DATA    EXTENDED    8      00 00 00 00 00 00 00 00 
  00000096    10:47:21.975.856             接收            3AF        DATA    STANDARD    8      06 00 00 00 00 00 00 FC 
  00000097    10:47:21.994.783             接收            3AF        DATA    STANDARD    8      07 00 00 00 00 00 00 FD 
  00000098    10:47:21.994.808             接收       03401038        DATA    EXTENDED    8      00 00 00 00 00 00 00 00 
  00000099    10:47:22.035.118             接收            3AF        DATA    STANDARD    8      01 00 00 00 00 00 00 FB 
  00000100    10:47:22.049.485             接收       03401040        DATA    EXTENDED    8      00 00 00 00 00 00 00 00 
  00000101    10:47:22.049.513             接收            3AF        DATA    STANDARD    8      02 00 00 00 00 00 00 F8 
  00000102    10:47:22.086.075             接收            3AF        DATA    STANDARD    8      03 00 00 00 00 00 00 F9 
  00000103    10:47:22.098.425             接收       03401008        DATA    EXTENDED    8      00 01 00 00 00 07 D0 03 
  00000104    10:47:22.119.312             接收            3AF        DATA    STANDARD    8      04 00 00 00 00 00 00 FE 
  00000105    10:47:22.173.614             接收            3AF        DATA    STANDARD    8      05 00 00 00 00 00 00 FF 
  00000106    10:47:22.173.622             接收       03401010        DATA    EXTENDED    8      5F 18 01 00 00 0A D2 00 
  00000107    10:47:22.173.627             接收            3AF        DATA    STANDARD    8      06 00 00 00 00 00 00 FC 
  00000108    10:47:22.211.037             接收       03401012        DATA    EXTENDED    8      00 02 1A A1 00 00 00 00 
  00000109    10:47:22.211.065             接收            3AF        DATA    STANDARD    8      07 00 00 00 00 00 00 FD 
  00000110    10:47:22.244.947             接收            3AF        DATA    STANDARD    8      01 00 00 00 00 00 00 FB 
  00000111    10:47:22.244.977             接收       03401014        DATA    EXTENDED    8      00 00 60 00 98 01 20 00 
  00000112    10:47:22.270.431             接收            3AF        DATA    STANDARD    8      02 00 00 00 00 00 00 F8 
  00000113    10:47:22.288.983             接收            3AF        DATA    STANDARD    8      03 00 00 00 00 00 00 F9 
  00000114    10:47:22.301.355             接收       03401020        DATA    EXTENDED    8      00 00 00 00 00 00 00 00 
  00000115    10:47:22.337.726             接收            3AF        DATA    STANDARD    8      04 00 00 00 00 00 00 FE 
  00000116    10:47:22.347.492             接收       03401030        DATA    EXTENDED    8      00 00 00 00 00 00 00 00 
  00000117    10:47:22.367.684             接收            3AF        DATA    STANDARD    8      05 00 00 00 00 00 00 FF 
  00000118    10:47:22.380.930             接收            3AF        DATA    STANDARD    8      06 00 00 00 00 00 00 FC 
  00000119    10:47:22.429.107             接收       03401038        DATA    EXTENDED    8      00 00 00 00 00 00 00 00 
  00000120    10:47:22.429.138             接收            3AF        DATA    STANDARD    8      07 00 00 00 00 00 00 FD 
