     index           time           Name             ID        Type      Format  Len      Data
  00000001    10:24:28.163.356             接收            3AF        DATA    STANDARD    8      07 00 00 00 00 00 00 FD 
  00000002    10:24:28.163.366             接收            3AF        DATA    STANDARD    8      01 00 00 00 00 00 00 FB 
  00000003    10:24:28.163.371             接收       03401012        DATA    EXTENDED    8      00 02 1A 7E 00 00 00 00 
  00000004    10:24:28.163.376             接收            3AF        DATA    STANDARD    8      02 00 00 00 00 00 00 F8 
  00000005    10:24:28.163.380             接收       03401014        DATA    EXTENDED    8      00 00 60 00 98 01 20 00 
  00000006    10:24:28.163.385             接收            3AF        DATA    STANDARD    8      03 00 00 00 00 00 00 F9 
  00000007    10:24:28.193.599             接收            3AF        DATA    STANDARD    8      04 00 00 00 00 00 00 FE 
  00000008    10:24:28.205.791             接收       03401020        DATA    EXTENDED    8      00 00 00 00 00 00 00 00 
  00000009    10:24:28.223.413             接收            3AF        DATA    STANDARD    8      05 00 00 00 00 00 00 FF 
  00000010    10:24:28.256.464             接收            3AF        DATA    STANDARD    8      06 00 00 00 00 00 00 FC 
  00000011    10:24:28.256.490             接收       03401030        DATA    EXTENDED    8      00 00 00 00 00 00 00 00 
  00000012    10:24:28.286.610             接收            3AF        DATA    STANDARD    8      07 00 00 00 00 00 00 FD 
  00000013    10:24:28.320.392             接收       03401038        DATA    EXTENDED    8      00 00 00 00 00 00 00 00 
  00000014    10:24:28.320.420             接收            3AF        DATA    STANDARD    8      01 00 00 00 00 00 00 FB 
  00000015    10:24:28.347.251             接收            3AF        DATA    STANDARD    8      02 00 00 00 00 00 00 F8 
  00000016    10:24:28.367.856             接收       03401040        DATA    EXTENDED    8      00 00 00 00 00 00 00 00 
  00000017    10:24:28.416.343             接收            3AF        DATA    STANDARD    8      03 00 00 00 00 00 00 F9 
  00000018    10:24:28.416.354             接收            3AF        DATA    STANDARD    8      04 00 00 00 00 00 00 FE 
  00000019    10:24:28.416.361             接收       03401008        DATA    EXTENDED    8      00 01 00 00 00 07 D0 04 
  00000020    10:24:28.439.700             接收            3AF        DATA    STANDARD    8      05 00 00 00 00 00 00 FF 
  00000021    10:24:28.460.023             接收       03401010        DATA    EXTENDED    8      5F 18 01 00 00 0A D2 00 
  00000022    10:24:28.471.645             接收            3AF        DATA    STANDARD    8      06 00 00 00 00 00 00 FC 
  00000023    10:24:28.498.570             接收            3AF        DATA    STANDARD    8      07 00 00 00 00 00 00 FD 
  00000024    10:24:28.504.265             接收       03401012        DATA    EXTENDED    8      00 02 1A 7E 00 00 00 00 
  00000025    10:24:28.522.924             接收            3AF        DATA    STANDARD    8      01 00 00 00 00 00 00 FB 
  00000026    10:24:28.557.842             接收            3AF        DATA    STANDARD    8      02 00 00 00 00 00 00 F8 
  00000027    10:24:28.557.870             接收       03401014        DATA    EXTENDED    8      00 00 60 00 98 01 20 00 
  00000028    10:24:28.581.760             接收            3AF        DATA    STANDARD    8      03 00 00 00 00 00 00 F9 
  00000029    10:24:28.615.685             接收       03401020        DATA    EXTENDED    8      00 00 00 00 00 00 00 00 
  00000030    10:24:28.615.712             接收            3AF        DATA    STANDARD    8      04 00 00 00 00 00 00 FE 
  00000031    10:24:28.642.229             接收            3AF        DATA    STANDARD    8      05 00 00 00 00 00 00 FF 
  00000032    10:24:28.662.843             接收       03401030        DATA    EXTENDED    8      00 00 00 00 00 00 00 00 
  00000033    10:24:28.682.467             接收            3AF        DATA    STANDARD    8      06 00 00 00 00 00 00 FC 
  00000034    10:24:28.738.495             接收            3AF        DATA    STANDARD    8      07 00 00 00 00 00 00 FD 
  00000035    10:24:28.738.504             接收       03401038        DATA    EXTENDED    8      00 00 00 00 00 00 00 00 
  00000036    10:24:28.738.509             接收            3AF        DATA    STANDARD    8      01 00 00 00 00 00 00 FB 
  00000037    10:24:28.753.485             接收       03401040        DATA    EXTENDED    8      00 00 00 00 00 00 00 00 
  00000038    10:24:28.774.198             接收            3AF        DATA    STANDARD    8      02 00 00 00 00 00 00 F8 
  00000039    10:24:28.802.474             接收            3AF        DATA    STANDARD    8      03 00 00 00 00 00 00 F9 
  00000040    10:24:28.802.499             接收       03401008        DATA    EXTENDED    8      00 01 00 00 00 07 D0 04 
  00000041    10:24:28.838.410             接收            3AF        DATA    STANDARD    8      04 00 00 00 00 00 00 FE 
  00000042    10:24:28.850.236             接收            3AF        DATA    STANDARD    8      05 00 00 00 00 00 00 FF 
  00000043    10:24:28.863.529             接收       03401010        DATA    EXTENDED    8      5F 18 01 00 00 0A D2 00 
  00000044    10:24:28.882.092             接收            3AF        DATA    STANDARD    8      06 00 00 00 00 00 00 FC 
