3AF      07 00 00 00 00 00 00 FD 
03401010      5F 18 01 00 00 0A D2 00 
3AF      01 00 00 00 00 00 00 FB 
3AF      02 00 00 00 00 00 00 F8 
03401012      00 02 1A A9 00 00 00 00 
3AF      03 00 00 00 00 00 00 F9 
03401014      00 00 60 00 98 01 20 00 
3AF      04 00 00 00 00 00 00 FE 
3AF      05 00 00 00 00 00 00 FF 
03401020      00 00 00 00 00 00 00 00 
3AF      06 00 00 00 00 00 00 FC 
03401030      00 00 00 00 00 00 00 00 
03401038      00 00 00 00 00 00 00 00 
03401040      00 00 00 00 00 00 00 00 
03401008      00 01 00 00 00 07 D0 03 
03401030      00 08 00 00 00 00 00 00 
03401012      00 02 1A AA 00 00 00 00 
03401014      00 10 60 14 18 01 20 00 
03401014      00 12 60 14 18 01 20 00 
03401030      00 08 20 00 00 00 00 00 
03401014      00 12 60 17 18 01 20 00 
03401030      00 08 A0 00 00 00 00 00 
03401008      00 01 00 00 11 07 D0 03 
03401014      00 12 60 17 10 01 20 00 
03401008      00 01 00 00 05 07 D0 03 
03401008      00 01 00 00 22 07 D0 03 
03401008      00 01 00 00 A4 07 D0 03 
03401008      00 01 00 01 60 07 D0 03 
03401014      00 12 60 17 00 01 20 00 
03401008      00 01 00 02 49 07 D0 03 
03401008      00 01 00 03 32 07 D0 03 
03401008      00 01 00 03 FE 07 D0 03 
03401008      00 01 00 04 E2 07 D0 03 
03401008      00 01 00 05 BF 07 D0 03 
03401008      00 01 00 06 9D 07 D0 03 
03401008      00 01 00 07 5E 07 D0 03 
03401008      00 01 00 07 C4 07 D0 04 
03401008      00 01 00 07 EC 07 D0 04 
03401008      00 01 00 07 E1 07 D0 04 
03401008      00 01 00 07 D5 07 D0 04 
03401008      00 01 00 07 DB 07 D0 04 
03401008      00 01 00 07 DB 07 D0 05 
03401008      00 01 00 07 E1 07 D0 05 
03401008      00 01 00 07 E1 07 D0 06 
03401008      00 01 00 07 DB 07 D0 06 
03401014      00 12 60 17 08 01 20 00 
03401008      00 01 00 07 DB 07 D0 07 
03401008      00 01 00 07 E1 07 D0 07 
03401008      00 01 00 07 DB 07 D0 08 
03401008      00 01 00 07 E1 07 D0 08 
03401008      00 01 00 07 DB 07 D0 09 
03401008      00 01 00 07 DB 07 D0 0A 
03401008      00 01 00 07 DB 07 D0 0B 
03401008      00 01 00 07 B3 07 D0 0B 
03401008      00 01 00 07 25 07 D0 0B 
03401008      00 01 00 06 5E 07 D0 0B 
03401008      00 01 00 05 6A 07 D0 0C 
03401008      00 01 00 04 92 07 D0 0C 
03401008      00 01 00 03 B4 07 D0 0C 
03401008      00 01 00 02 D1 07 D0 0C 
03401008      00 01 00 01 EE 07 D0 0C 
03401008      00 01 00 01 10 07 D0 0C 
03401008      00 01 00 00 5A 07 D0 0C 
03401008      00 01 00 00 1C 07 D0 0C 
03401008      00 01 00 00 00 07 D0 0C 
03401014      00 12 60 00 18 01 20 00 
03401014      00 10 60 00 18 01 20 00 
03401014      00 10 60 20 98 01 20 00 
03401030      00 00 A0 00 00 00 00 00 
03401014      00 10 60 20 99 01 20 00 
03401014      00 10 60 20 9B 00 00 00 
03401014      00 10 60 00 9B 02 00 00 
03401014      00 10 60 10 9B 02 00 00 
03401014      00 10 60 10 9B 00 00 00 
03401014      00 10 60 10 9B 00 20 00 
03401014      00 10 60 00 98 01 20 00 
