03401010      5F 18 01 00 00 0A D2 00 
3AF      07 00 00 00 00 00 00 FD 
3AF      01 00 00 00 00 00 00 FB 
03401012      00 02 1A C2 00 00 00 00 
3AF      02 00 00 00 00 00 00 F8 
3AF      03 00 00 00 00 00 00 F9 
03401014      00 00 60 00 98 01 20 00 
3AF      04 00 00 00 00 00 00 FE 
03401020      00 00 00 00 00 00 00 00 
3AF      05 00 00 00 00 00 00 FF 
3AF      06 00 00 00 00 00 00 FC 
03401030      00 00 00 00 00 00 00 00 
03401038      00 00 00 00 00 00 00 00 
03401040      00 00 00 00 00 00 00 00 
03401008      00 01 00 00 00 07 D0 0E 
03401014      00 08 60 14 18 01 20 00 
03401030      00 10 00 00 00 00 00 00 
03401012      00 02 1A C3 00 00 00 00 
03401014      00 0A 60 14 18 01 20 00 
03401014      00 0A 60 17 18 01 20 00 
03401008      00 01 00 00 05 07 D0 0E 
03401008      00 01 00 00 4F 07 D0 0E 
03401014      00 0A 60 17 08 01 20 00 
03401008      00 01 00 00 FA 07 D0 0E 
03401008      00 01 00 01 D7 07 D0 0E 
03401014      00 0A 60 17 00 01 20 00 
03401008      00 01 00 02 BA 07 D0 0E 
03401008      00 01 00 03 81 07 D0 0E 
03401008      00 01 00 03 ED 07 D0 0E 
03401008      00 01 00 04 0F 07 D0 0E 
03401008      00 01 00 04 0A 07 D0 0D 
03401008      00 01 00 03 FE 07 D0 0D 
03401008      00 01 00 03 ED 07 D0 0D 
03401008      00 01 00 03 5F 07 D0 0D 
03401008      00 01 00 02 93 07 D0 0D 
03401008      00 01 00 01 9E 07 D0 0D 
03401014      00 0A 60 17 10 01 20 00 
03401008      00 01 00 00 C6 07 D0 0D 
03401008      00 01 00 00 49 07 D0 0D 
03401008      00 01 00 00 0B 07 D0 0D 
03401008      00 01 00 00 05 07 D0 0D 
03401008      00 01 00 00 00 07 D0 0D 
03401014      00 0A 60 00 18 01 20 00 
03401014      00 08 60 00 18 01 20 00 
03401014      00 08 60 20 98 01 20 00 
03401014      00 08 60 20 9B 00 20 00 
03401014      00 08 60 20 9B 00 00 00 
03401014      00 08 60 00 9B 02 00 00 
03401014      00 08 60 10 9B 02 00 00 
03401014      00 08 60 10 9B 00 00 00 
03401014      00 08 60 10 9B 00 20 00 
