3AF      01 00 00 00 00 00 00 FB 
3AF      02 00 00 00 00 00 00 F8 
03401012      00 02 1A 81 00 00 00 00 
3AF      03 00 00 00 00 00 00 F9 
3AF      04 00 00 00 00 00 00 FE 
03401014      00 00 60 00 98 01 20 00 
3AF      05 00 00 00 00 00 00 FF 
03401020      00 00 00 00 00 00 00 00 
3AF      06 00 00 00 00 00 00 FC 
3AF      07 00 00 00 00 00 00 FD 
03401030      00 00 00 00 00 00 00 00 
03401038      00 00 00 00 00 00 00 00 
03401040      00 00 00 00 00 00 00 00 
03401008      00 01 00 00 00 07 D0 18 
03401010      5F 18 01 00 00 0A D2 00 
03401014      00 08 60 00 98 01 20 00 
03401030      04 00 00 00 00 00 00 00 
03401012      00 02 1A 82 00 00 00 00 
03401014      00 0A 60 14 18 01 20 00 
03401008      00 01 00 00 05 07 D0 18 
03401014      00 0A 60 17 18 01 20 00 
03401008      00 01 00 00 3E 07 D0 18 
03401014      00 0A 60 17 08 01 20 00 
03401008      00 01 00 00 DD 07 D0 18 
03401008      00 01 00 01 AF 07 D0 18 
03401014      00 0A 60 17 00 01 20 00 
03401008      00 01 00 02 98 07 D0 18 
03401008      00 01 00 03 76 07 D0 18 
03401008      00 01 00 04 4E 07 D0 18 
03401008      00 01 00 05 2B 07 D0 18 
03401008      00 01 00 06 0F 07 D0 17 
03401008      00 01 00 06 E1 07 D0 17 
03401008      00 01 00 07 8B 07 D0 17 
03401014      00 0A 60 17 10 01 20 00 
03401008      00 01 00 07 D5 07 D0 17 
03401008      00 01 00 07 E1 07 D0 17 
03401038      08 00 00 00 00 00 00 00 
03401008      00 01 00 07 DB 07 D0 16 
03401008      00 01 00 07 DB 07 D0 15 
03401008      00 01 00 07 D5 07 D0 15 
03401008      00 01 00 07 DB 07 D0 14 
03401008      00 01 00 07 DB 07 D0 13 
03401008      00 01 00 07 DB 07 D0 12 
03401008      00 01 00 07 E1 07 D0 12 
03401008      00 01 00 07 DB 07 D0 11 
03401008      00 01 00 07 D5 07 D0 10 
03401008      00 01 00 07 DB 07 D0 10 
03401008      00 01 00 07 D5 07 D0 0F 
03401008      00 01 00 07 DB 07 D0 0F 
03401008      00 01 00 07 DB 07 D0 0E 
03401008      00 01 00 07 D5 07 D0 0D 
03401008      00 01 00 07 DB 07 D0 0D 
03401008      00 01 00 07 E1 07 D0 0C 
03401008      00 01 00 07 DB 07 D0 0C 
03401008      00 01 00 07 D5 07 D0 0B 
03401008      00 01 00 07 DB 07 D0 0B 
03401008      00 01 00 07 DB 07 D0 0A 
03401008      00 01 00 07 D5 07 D0 0A 
03401008      00 01 00 07 D5 07 D0 09 
03401008      00 01 00 07 DB 07 D0 09 
03401008      00 01 00 07 DB 07 D0 08 
03401008      00 01 00 07 DB 07 D0 07 
03401008      00 01 00 07 E1 07 D0 07 
03401008      00 01 00 07 D5 07 D0 07 
03401008      00 01 00 07 DB 07 D0 06 
03401008      00 01 00 07 DB 07 D0 05 
03401008      00 01 00 07 D5 07 D0 05 
03401008      00 01 00 07 DB 07 D0 04 
03401008      00 01 00 07 CA 07 D0 04 
03401008      00 01 00 07 58 07 D0 03 
03401008      00 01 00 06 9D 07 D0 03 
03401008      00 01 00 05 B4 07 D0 03 
03401008      00 01 00 04 D0 07 D0 03 
03401008      00 01 00 03 F9 07 D0 03 
03401008      00 01 00 03 10 07 D0 03 
03401008      00 01 00 02 32 07 D0 03 
03401008      00 01 00 01 54 07 D0 03 
03401008      00 01 00 00 88 07 D0 03 
03401008      00 01 00 00 2D 07 D0 03 
03401008      00 01 00 00 00 07 D0 03 
03401008      00 01 00 00 05 07 D0 03 
03401014      00 0A 60 03 18 01 20 00 
03401014      00 0A 60 00 18 01 20 00 
03401014      00 10 60 00 18 01 20 00 
03401014      00 10 60 20 98 01 20 00 
03401014      00 10 60 20 9B 00 00 00 
03401014      00 10 60 00 9B 02 00 00 
03401014      00 10 60 10 9B 02 00 00 
03401014      00 10 60 10 9B 00 00 00 
03401014      00 10 60 10 9B 00 20 00 
03401012      00 02 1A 83 00 00 00 00 
03401014      00 10 60 14 18 01 20 00 
03401014      00 12 60 14 18 01 20 00 
03401014      00 12 60 17 18 01 20 00 
03401008      00 01 00 00 0B 07 D0 03 
03401014      00 12 60 17 10 01 20 00 
03401008      00 01 00 00 16 07 D0 03 
03401008      00 01 00 00 7D 07 D0 03 
03401008      00 01 00 01 38 07 D0 03 
03401008      00 01 00 02 16 07 D0 03 
03401014      00 12 60 17 00 01 20 00 
03401008      00 01 00 02 FF 07 D0 03 
03401008      00 01 00 03 D1 07 D0 03 
03401008      00 01 00 04 AE 07 D0 03 
03401008      00 01 00 05 8C 07 D0 03 
03401008      00 01 00 06 20 07 D0 03 
03401008      00 01 00 06 64 07 D0 03 
03401008      00 01 00 06 6F 07 D0 03 
03401008      00 01 00 06 5E 07 D0 04 
03401008      00 01 00 06 59 07 D0 04 
03401008      00 01 00 05 F8 07 D0 04 
03401008      00 01 00 05 3C 07 D0 04 
03401008      00 01 00 04 59 07 D0 04 
03401008      00 01 00 03 70 07 D0 04 
03401008      00 01 00 02 98 07 D0 04 
03401008      00 01 00 01 B5 07 D0 04 
03401014      00 12 60 17 08 01 20 00 
03401008      00 01 00 00 D2 07 D0 04 
03401008      00 01 00 00 44 07 D0 04 
03401008      00 01 00 00 22 07 D0 04 
03401008      00 01 00 00 0B 07 D0 04 
03401008      00 01 00 00 05 07 D0 04 
03401014      00 12 60 00 18 01 20 00 
03401008      00 01 00 00 00 07 D0 04 
03401014      00 10 60 00 9B 02 80 00 
03401030      00 20 00 00 00 00 00 00 
