3AF      06 00 00 00 00 00 00 FC 
03401010      5F 18 01 00 00 0A D2 00 
3AF      07 00 00 00 00 00 00 FD 
03401012      00 02 1A 92 00 00 00 00 
3AF      01 00 00 00 00 00 00 FB 
3AF      02 00 00 00 00 00 00 F8 
03401014      00 00 60 00 98 01 20 00 
3AF      03 00 00 00 00 00 00 F9 
3AF      04 00 00 00 00 00 00 FE 
03401020      00 00 00 00 00 00 00 00 
3AF      05 00 00 00 00 00 00 FF 
03401030      00 00 00 00 00 00 00 00 
03401038      00 00 00 00 00 00 00 00 
03401040      00 00 00 00 00 00 00 00 
03401008      00 01 00 00 00 07 D0 0B 
03401030      10 00 00 00 00 00 00 00 
03401012      00 02 1A 93 00 00 00 00 
03401014      00 0A 60 14 18 01 20 00 
03401014      00 0A 60 17 18 01 20 00 
03401008      00 01 00 00 05 07 D0 0B 
03401008      00 01 00 00 33 07 D0 0B 
03401008      00 01 00 00 CC 07 D0 0B 
03401014      00 0A 60 17 08 01 20 00 
03401008      00 01 00 01 9E 07 D0 0B 
03401014      00 0A 60 17 00 01 20 00 
03401008      00 01 00 02 82 07 D0 0B 
03401008      00 01 00 03 65 07 D0 0B 
03401008      00 01 00 04 3D 07 D0 0B 
03401008      00 01 00 05 15 07 D0 0B 
03401008      00 01 00 05 F8 07 D0 0A 
03401008      00 01 00 06 D6 07 D0 0A 
03401008      00 01 00 07 80 07 D0 0A 
03401014      00 0A 60 17 10 01 20 00 
03401008      00 01 00 07 D0 07 D0 0A 
03401008      00 01 00 07 E1 07 D0 0A 
03401008      00 01 00 07 D5 07 D0 09 
03401008      00 01 00 07 E1 07 D0 09 
03401008      00 01 00 07 DB 07 D0 09 
03401008      00 01 00 07 DB 07 D0 08 
03401008      00 01 00 07 DB 07 D0 07 
03401008      00 01 00 07 DB 07 D0 06 
03401008      00 01 00 07 D5 07 D0 06 
03401008      00 01 00 07 91 07 D0 06 
03401008      00 01 00 06 F8 07 D0 06 
03401008      00 01 00 06 20 07 D0 05 
03401008      00 01 00 05 31 07 D0 05 
03401008      00 01 00 04 59 07 D0 05 
03401008      00 01 00 03 81 07 D0 05 
03401008      00 01 00 02 93 07 D0 05 
03401008      00 01 00 01 BB 07 D0 05 
03401008      00 01 00 00 DD 07 D0 05 
03401008      00 01 00 00 3E 07 D0 05 
03401008      00 01 00 00 16 07 D0 05 
03401008      00 01 00 00 05 07 D0 05 
03401008      00 01 00 00 00 07 D0 05 
03401014      00 0A 60 00 18 01 20 00 
03401014      00 08 60 00 18 01 20 00 
03401014      00 08 60 20 98 01 20 00 
03401014      00 08 60 20 9B 00 20 00 
03401014      00 08 60 20 9B 00 00 00 
03401014      00 08 60 00 9B 02 00 00 
03401014      00 08 60 10 9B 02 00 00 
03401014      00 08 60 10 9B 00 00 00 
