     index           time           Name             ID        Type      Format  Len      Data
  00000001     9:50:49.419.670             接收            3AF        DATA    STANDARD    8      04 00 00 00 00 00 00 FE 
  00000002     9:50:49.419.680             接收       03401040        DATA    EXTENDED    8      00 00 00 00 00 00 00 00 
  00000003     9:50:49.455.904             接收            3AF        DATA    STANDARD    8      05 00 00 00 00 00 00 FF 
  00000004     9:50:49.474.547             接收       03401008        DATA    EXTENDED    8      00 01 00 06 64 07 D0 04 
  00000005     9:50:49.474.556             接收            3AF        DATA    STANDARD    8      06 00 00 00 00 00 00 FC 
  00000006     9:50:49.507.075             接收            3AF        DATA    STANDARD    8      07 00 00 00 00 00 00 FD 
  00000007     9:50:49.516.846             接收       03401010        DATA    EXTENDED    8      5F 18 01 00 00 0A D2 00 
  00000008     9:50:49.534.736             接收            3AF        DATA    STANDARD    8      01 00 00 00 00 00 00 FB 
  00000009     9:50:49.565.966             接收            3AF        DATA    STANDARD    8      02 00 00 00 00 00 00 F8 
  00000010     9:50:49.586.231             接收       03401012        DATA    EXTENDED    8      00 02 1A 5D 00 00 00 00 
  00000011     9:50:49.598.071             接收            3AF        DATA    STANDARD    8      03 00 00 00 00 00 00 F9 
  00000012     9:50:49.619.043             接收       03401014        DATA    EXTENDED    8      00 12 60 17 00 01 20 00 
  00000013     9:50:49.681.549             接收            3AF        DATA    STANDARD    8      04 00 00 00 00 00 00 FE 
  00000014     9:50:49.681.560             接收            3AF        DATA    STANDARD    8      05 00 00 00 00 00 00 FF 
  00000015     9:50:49.681.566             接收       03401020        DATA    EXTENDED    8      00 00 00 00 00 00 00 00 
  00000016     9:50:49.692.487             接收            3AF        DATA    STANDARD    8      06 00 00 00 00 00 00 FC 
  00000017     9:50:49.726.541             接收            3AF        DATA    STANDARD    8      07 00 00 00 00 00 00 FD 
  00000018     9:50:49.726.552             接收       03401030        DATA    EXTENDED    8      18 00 00 00 00 00 00 00 
  00000019     9:50:49.755.897             接收            3AF        DATA    STANDARD    8      01 00 00 00 00 00 00 FB 
  00000020     9:50:49.770.498             接收       03401038        DATA    EXTENDED    8      00 00 00 00 00 00 00 00 
  00000021     9:50:49.786.186             接收            3AF        DATA    STANDARD    8      02 00 00 00 00 00 00 F8 
  00000022     9:50:49.818.348             接收            3AF        DATA    STANDARD    8      03 00 00 00 00 00 00 F9 
  00000023     9:50:49.832.848             接收       03401040        DATA    EXTENDED    8      00 00 00 00 00 00 00 00 
  00000024     9:50:49.848.971             接收            3AF        DATA    STANDARD    8      04 00 00 00 00 00 00 FE 
  00000025     9:50:49.863.575             接收            3AF        DATA    STANDARD    8      05 00 00 00 00 00 00 FF 
  00000026     9:50:49.879.848             接收       03401008        DATA    EXTENDED    8      00 01 00 06 47 07 D0 04 
  00000027     9:50:49.894.378             接收            3AF        DATA    STANDARD    8      06 00 00 00 00 00 00 FC 
  00000028     9:50:49.932.140             接收       03401010        DATA    EXTENDED    8      5F 18 01 00 00 0A D2 00 
  00000029     9:50:49.932.210             接收            3AF        DATA    STANDARD    8      07 00 00 00 00 00 00 FD 
  00000030     9:50:49.987.738             接收            3AF        DATA    STANDARD    8      01 00 00 00 00 00 00 FB 
  00000031     9:50:49.987.746             接收       03401012        DATA    EXTENDED    8      00 02 1A 5D 00 00 00 00 
  00000032     9:50:49.987.751             接收            3AF        DATA    STANDARD    8      02 00 00 00 00 00 00 F8 
  00000033     9:50:50.021.218             接收            3AF        DATA    STANDARD    8      03 00 00 00 00 00 00 F9 
  00000034     9:50:50.021.236             接收       03401014        DATA    EXTENDED    8      00 12 60 17 00 01 20 00 
  00000035     9:50:50.056.900             接收            3AF        DATA    STANDARD    8      04 00 00 00 00 00 00 FE 
  00000036     9:50:50.087.834             接收       03401020        DATA    EXTENDED    8      00 00 00 00 00 00 00 00 
  00000037     9:50:50.087.864             接收            3AF        DATA    STANDARD    8      05 00 00 00 00 00 00 FF 
  00000038     9:50:50.114.555             接收            3AF        DATA    STANDARD    8      06 00 00 00 00 00 00 FC 
  00000039     9:50:50.133.460             接收       03401030        DATA    EXTENDED    8      18 00 00 00 00 00 00 00 
  00000040     9:50:50.133.486             接收            3AF        DATA    STANDARD    8      07 00 00 00 00 00 00 FD 
  00000041     9:50:50.178.580             接收            3AF        DATA    STANDARD    8      01 00 00 00 00 00 00 FB 
  00000042     9:50:50.178.607             接收       03401038        DATA    EXTENDED    8      00 00 00 00 00 00 00 00 
  00000043     9:50:50.210.496             接收            3AF        DATA    STANDARD    8      02 00 00 00 00 00 00 F8 
  00000044     9:50:50.224.970             接收       03401040        DATA    EXTENDED    8      00 00 00 00 00 00 00 00 
  00000045     9:50:50.224.997             接收            3AF        DATA    STANDARD    8      03 00 00 00 00 00 00 F9 
  00000046     9:50:50.305.865             接收            3AF        DATA    STANDARD    8      04 00 00 00 00 00 00 FE 
  00000047     9:50:50.305.873             接收       03401008        DATA    EXTENDED    8      00 01 00 05 C5 07 D0 04 
  00000048     9:50:50.305.877             接收            3AF        DATA    STANDARD    8      05 00 00 00 00 00 00 FF 
  00000049     9:50:50.316.386             接收            3AF        DATA    STANDARD    8      06 00 00 00 00 00 00 FC 
  00000050     9:50:50.330.421             接收       03401010        DATA    EXTENDED    8      5F 18 01 00 00 0A D2 00 
  00000051     9:50:50.348.845             接收            3AF        DATA    STANDARD    8      07 00 00 00 00 00 00 FD 
  00000052     9:50:50.368.982             接收       03401012        DATA    EXTENDED    8      00 02 1A 5D 00 00 00 00 
  00000053     9:50:50.380.549             接收            3AF        DATA    STANDARD    8      01 00 00 00 00 00 00 FB 
  00000054     9:50:50.433.235             接收            3AF        DATA    STANDARD    8      02 00 00 00 00 00 00 F8 
  00000055     9:50:50.433.260             接收       03401014        DATA    EXTENDED    8      00 12 60 17 00 01 20 00 
  00000056     9:50:50.433.731             接收            3AF        DATA    STANDARD    8      03 00 00 00 00 00 00 F9 
  00000057     9:50:50.477.846             接收            3AF        DATA    STANDARD    8      04 00 00 00 00 00 00 FE 
  00000058     9:50:50.477.870             接收       03401020        DATA    EXTENDED    8      00 00 00 00 00 00 00 00 
  00000059     9:50:50.500.071             接收            3AF        DATA    STANDARD    8      05 00 00 00 00 00 00 FF 
  00000060     9:50:50.526.646             接收       03401030        DATA    EXTENDED    8      18 00 00 00 00 00 00 00 
  00000061     9:50:50.526.673             接收            3AF        DATA    STANDARD    8      06 00 00 00 00 00 00 FC 
  00000062     9:50:50.614.542             接收            3AF        DATA    STANDARD    8      07 00 00 00 00 00 00 FD 
  00000063     9:50:50.614.550             接收       03401038        DATA    EXTENDED    8      00 00 00 00 00 00 00 00 
  00000064     9:50:50.614.554             接收            3AF        DATA    STANDARD    8      01 00 00 00 00 00 00 FB 
  00000065     9:50:50.614.558             接收            3AF        DATA    STANDARD    8      02 00 00 00 00 00 00 F8 
  00000066     9:50:50.630.752             接收       03401040        DATA    EXTENDED    8      00 00 00 00 00 00 00 00 
  00000067     9:50:50.651.627             接收            3AF        DATA    STANDARD    8      03 00 00 00 00 00 00 F9 
  00000068     9:50:50.676.968             接收       03401008        DATA    EXTENDED    8      00 01 00 04 F8 07 D0 04 
  00000069     9:50:50.676.991             接收            3AF        DATA    STANDARD    8      04 00 00 00 00 00 00 FE 
  00000070     9:50:50.712.403             接收            3AF        DATA    STANDARD    8      05 00 00 00 00 00 00 FF 
  00000071     9:50:50.725.399             接收       03401010        DATA    EXTENDED    8      5F 18 01 00 00 0A D2 00 
  00000072     9:50:50.746.321             接收            3AF        DATA    STANDARD    8      06 00 00 00 00 00 00 FC 
  00000073     9:50:50.773.838             接收            3AF        DATA    STANDARD    8      07 00 00 00 00 00 00 FD 
  00000074     9:50:50.773.863             接收       03401012        DATA    EXTENDED    8      00 02 1A 5D 00 00 00 00 
  00000075     9:50:50.806.091             接收            3AF        DATA    STANDARD    8      01 00 00 00 00 00 00 FB 
  00000076     9:50:50.837.090             接收       03401014        DATA    EXTENDED    8      00 12 60 17 00 01 20 00 
  00000077     9:50:50.837.119             接收            3AF        DATA    STANDARD    8      02 00 00 00 00 00 00 F8 
  00000078     9:50:50.871.041             接收            3AF        DATA    STANDARD    8      03 00 00 00 00 00 00 F9 
  00000079     9:50:50.871.069             接收       03401020        DATA    EXTENDED    8      00 00 00 00 00 00 00 00 
  00000080     9:50:50.934.038             接收            3AF        DATA    STANDARD    8      04 00 00 00 00 00 00 FE 
  00000081     9:50:50.934.046             接收            3AF        DATA    STANDARD    8      05 00 00 00 00 00 00 FF 
  00000082     9:50:50.934.050             接收       03401030        DATA    EXTENDED    8      18 00 00 00 00 00 00 00 
  00000083     9:50:50.942.713             接收            3AF        DATA    STANDARD    8      06 00 00 00 00 00 00 FC 
  00000084     9:50:50.975.590             接收       03401038        DATA    EXTENDED    8      00 00 00 00 00 00 00 00 
  00000085     9:50:50.975.615             接收            3AF        DATA    STANDARD    8      07 00 00 00 00 00 00 FD 
  00000086     9:50:51.008.317             接收            3AF        DATA    STANDARD    8      01 00 00 00 00 00 00 FB 
  00000087     9:50:51.037.706             接收       03401040        DATA    EXTENDED    8      00 00 00 00 00 00 00 00 
  00000088     9:50:51.037.733             接收            3AF        DATA    STANDARD    8      02 00 00 00 00 00 00 F8 
  00000089     9:50:51.068.687             接收            3AF        DATA    STANDARD    8      03 00 00 00 00 00 00 F9 
  00000090     9:50:51.068.716             接收       03401008        DATA    EXTENDED    8      00 01 00 04 0A 07 D0 04 
  00000091     9:50:51.099.668             接收            3AF        DATA    STANDARD    8      04 00 00 00 00 00 00 FE 
  00000092     9:50:51.130.369             接收       03401010        DATA    EXTENDED    8      5F 18 01 00 00 0A D2 00 
  00000093     9:50:51.130.397             接收            3AF        DATA    STANDARD    8      05 00 00 00 00 00 00 FF 
  00000094     9:50:51.162.399             接收            3AF        DATA    STANDARD    8      06 00 00 00 00 00 00 FC 
  00000095     9:50:51.183.164             接收       03401012        DATA    EXTENDED    8      00 02 1A 5D 00 00 00 00 
  00000096     9:50:51.242.795             接收            3AF        DATA    STANDARD    8      07 00 00 00 00 00 00 FD 
  00000097     9:50:51.242.804             接收            3AF        DATA    STANDARD    8      01 00 00 00 00 00 00 FB 
  00000098     9:50:51.242.809             接收       03401014        DATA    EXTENDED    8      00 12 60 17 00 01 20 00 
  00000099     9:50:51.252.885             接收            3AF        DATA    STANDARD    8      02 00 00 00 00 00 00 F8 
  00000100     9:50:51.273.932             接收       03401020        DATA    EXTENDED    8      00 00 00 00 00 00 00 00 
  00000101     9:50:51.273.943             接收            3AF        DATA    STANDARD    8      03 00 00 00 00 00 00 F9 
  00000102     9:50:51.305.858             接收            3AF        DATA    STANDARD    8      04 00 00 00 00 00 00 FE 
  00000103     9:50:51.330.282             接收       03401030        DATA    EXTENDED    8      18 00 00 00 00 00 00 00 
  00000104     9:50:51.349.718             接收            3AF        DATA    STANDARD    8      05 00 00 00 00 00 00 FF 
  00000105     9:50:51.369.675             接收            3AF        DATA    STANDARD    8      06 00 00 00 00 00 00 FC 
  00000106     9:50:51.369.702             接收       03401038        DATA    EXTENDED    8      00 00 00 00 00 00 00 00 
  00000107     9:50:51.402.609             接收            3AF        DATA    STANDARD    8      07 00 00 00 00 00 00 FD 
  00000108     9:50:51.427.882             接收       03401040        DATA    EXTENDED    8      00 00 00 00 00 00 00 00 
  00000109     9:50:51.427.892             接收            3AF        DATA    STANDARD    8      01 00 00 00 00 00 00 FB 
  00000110     9:50:51.461.111             接收            3AF        DATA    STANDARD    8      02 00 00 00 00 00 00 F8 
  00000111     9:50:51.473.521             接收       03401008        DATA    EXTENDED    8      00 01 00 03 26 07 D0 04 
  00000112     9:50:51.500.872             接收            3AF        DATA    STANDARD    8      03 00 00 00 00 00 00 F9 
  00000113     9:50:51.549.330             接收            3AF        DATA    STANDARD    8      04 00 00 00 00 00 00 FE 
  00000114     9:50:51.549.339             接收       03401010        DATA    EXTENDED    8      5F 18 01 00 00 0A D2 00 
  00000115     9:50:51.549.345             接收            3AF        DATA    STANDARD    8      05 00 00 00 00 00 00 FF 
  00000116     9:50:51.568.681             接收       03401012        DATA    EXTENDED    8      00 02 1A 5D 00 00 00 00 
  00000117     9:50:51.588.965             接收            3AF        DATA    STANDARD    8      06 00 00 00 00 00 00 FC 
  00000118     9:50:51.616.992             接收            3AF        DATA    STANDARD    8      07 00 00 00 00 00 00 FD 
  00000119     9:50:51.617.019             接收       03401014        DATA    EXTENDED    8      00 12 60 17 00 01 20 00 
  00000120     9:50:51.641.981             接收            3AF        DATA    STANDARD    8      01 00 00 00 00 00 00 FB 
  00000121     9:50:51.663.818             接收            3AF        DATA    STANDARD    8      02 00 00 00 00 00 00 F8 
  00000122     9:50:51.678.438             接收       03401020        DATA    EXTENDED    8      00 00 00 00 00 00 00 00 
  00000123     9:50:51.694.256             接收            3AF        DATA    STANDARD    8      03 00 00 00 00 00 00 F9 
  00000124     9:50:51.724.140             接收       03401030        DATA    EXTENDED    8      18 00 00 00 00 00 00 00 
  00000125     9:50:51.724.163             接收            3AF        DATA    STANDARD    8      04 00 00 00 00 00 00 FE 
  00000126     9:50:51.756.910             接收            3AF        DATA    STANDARD    8      05 00 00 00 00 00 00 FF 
  00000127     9:50:51.770.038             接收       03401038        DATA    EXTENDED    8      00 00 00 00 00 00 00 00 
  00000128     9:50:51.786.694             接收            3AF        DATA    STANDARD    8      06 00 00 00 00 00 00 FC 
  00000129     9:50:51.870.050             接收            3AF        DATA    STANDARD    8      07 00 00 00 00 00 00 FD 
  00000130     9:50:51.870.060             接收       03401040        DATA    EXTENDED    8      00 00 00 00 00 00 00 00 
  00000131     9:50:51.870.065             接收            3AF        DATA    STANDARD    8      01 00 00 00 00 00 00 FB 
  00000132     9:50:51.870.070             接收       03401008        DATA    EXTENDED    8      00 01 00 02 54 07 D0 04 
  00000133     9:50:51.878.024             接收            3AF        DATA    STANDARD    8      02 00 00 00 00 00 00 F8 
  00000134     9:50:51.909.053             接收            3AF        DATA    STANDARD    8      03 00 00 00 00 00 00 F9 
  00000135     9:50:51.930.137             接收       03401010        DATA    EXTENDED    8      5F 18 01 00 00 0A D2 00 
  00000136     9:50:51.941.170             接收            3AF        DATA    STANDARD    8      04 00 00 00 00 00 00 FE 
  00000137     9:50:51.975.240             接收            3AF        DATA    STANDARD    8      05 00 00 00 00 00 00 FF 
  00000138     9:50:51.975.264             接收       03401012        DATA    EXTENDED    8      00 02 1A 5D 00 00 00 00 
  00000139     9:50:52.007.781             接收            3AF        DATA    STANDARD    8      06 00 00 00 00 00 00 FC 
  00000140     9:50:52.034.221             接收       03401014        DATA    EXTENDED    8      00 12 60 17 00 01 20 00 
  00000141     9:50:52.034.244             接收            3AF        DATA    STANDARD    8      07 00 00 00 00 00 00 FD 
  00000142     9:50:52.054.848             接收            3AF        DATA    STANDARD    8      01 00 00 00 00 00 00 FB 
  00000143     9:50:52.085.812             接收       03401020        DATA    EXTENDED    8      00 00 00 00 00 00 00 00 
  00000144     9:50:52.085.839             接收            3AF        DATA    STANDARD    8      02 00 00 00 00 00 00 F8 
  00000145     9:50:52.171.999             接收            3AF        DATA    STANDARD    8      03 00 00 00 00 00 00 F9 
  00000146     9:50:52.172.008             接收       03401030        DATA    EXTENDED    8      18 00 00 00 00 00 00 00 
  00000147     9:50:52.172.012             接收            3AF        DATA    STANDARD    8      04 00 00 00 00 00 00 FE 
  00000148     9:50:52.172.016             接收       03401038        DATA    EXTENDED    8      00 00 00 00 00 00 00 00 
  00000149     9:50:52.181.430             接收            3AF        DATA    STANDARD    8      05 00 00 00 00 00 00 FF 
  00000150     9:50:52.205.881             接收            3AF        DATA    STANDARD    8      06 00 00 00 00 00 00 FC 
  00000151     9:50:52.226.815             接收       03401040        DATA    EXTENDED    8      00 00 00 00 00 00 00 00 
  00000152     9:50:52.245.358             接收            3AF        DATA    STANDARD    8      07 00 00 00 00 00 00 FD 
  00000153     9:50:52.273.350             接收            3AF        DATA    STANDARD    8      01 00 00 00 00 00 00 FB 
