     index           time           Name             ID        Type      Format  Len      Data
  00000001     9:53:16.743.395             接收            3AF        DATA    STANDARD    8      07 00 00 00 00 00 00 FD 
  00000002     9:53:16.743.405             接收       03401010        DATA    EXTENDED    8      5F 18 01 00 00 0A D2 00 
  00000003     9:53:16.743.410             接收            3AF        DATA    STANDARD    8      01 00 00 00 00 00 00 FB 
  00000004     9:53:16.775.002             接收            3AF        DATA    STANDARD    8      02 00 00 00 00 00 00 F8 
  00000005     9:53:16.790.947             接收       03401012        DATA    EXTENDED    8      00 02 1A 60 00 00 00 00 
  00000006     9:53:16.790.972             接收            3AF        DATA    STANDARD    8      03 00 00 00 00 00 00 F9 
  00000007     9:53:16.836.534             接收            3AF        DATA    STANDARD    8      04 00 00 00 00 00 00 FE 
  00000008     9:53:16.836.545             接收       03401014        DATA    EXTENDED    8      00 10 60 10 9B 00 00 00 
  00000009     9:53:16.862.536             接收            3AF        DATA    STANDARD    8      05 00 00 00 00 00 00 FF 
  00000010     9:53:16.879.760             接收       03401020        DATA    EXTENDED    8      00 00 00 00 00 00 00 00 
  00000011     9:53:16.897.108             接收            3AF        DATA    STANDARD    8      06 00 00 00 00 00 00 FC 
  00000012     9:53:16.912.541             接收            3AF        DATA    STANDARD    8      07 00 00 00 00 00 00 FD 
  00000013     9:53:16.931.766             接收       03401030        DATA    EXTENDED    8      00 00 00 00 00 00 00 00 
  00000014     9:53:16.942.761             接收            3AF        DATA    STANDARD    8      01 00 00 00 00 00 00 FB 
  00000015     9:53:16.975.893             接收            3AF        DATA    STANDARD    8      02 00 00 00 00 00 00 F8 
  00000016     9:53:16.985.800             接收       03401038        DATA    EXTENDED    8      00 00 00 00 00 00 00 00 
  00000017     9:53:17.003.850             接收            3AF        DATA    STANDARD    8      03 00 00 00 00 00 00 F9 
  00000018     9:53:17.035.931             接收       03401040        DATA    EXTENDED    8      00 00 00 00 00 00 00 00 
  00000019     9:53:17.035.959             接收            3AF        DATA    STANDARD    8      04 00 00 00 00 00 00 FE 
  00000020     9:53:17.067.654             接收            3AF        DATA    STANDARD    8      05 00 00 00 00 00 00 FF 
  00000021     9:53:17.088.267             接收       03401008        DATA    EXTENDED    8      00 01 00 00 00 07 D0 04 
  00000022     9:53:17.101.509             接收            3AF        DATA    STANDARD    8      06 00 00 00 00 00 00 FC 
  00000023     9:53:17.190.998             接收            3AF        DATA    STANDARD    8      07 00 00 00 00 00 00 FD 
  00000024     9:53:17.191.006             接收       03401010        DATA    EXTENDED    8      5F 18 01 00 00 0A D2 00 
  00000025     9:53:17.191.010             接收            3AF        DATA    STANDARD    8      01 00 00 00 00 00 00 FB 
  00000026     9:53:17.191.015             接收       03401012        DATA    EXTENDED    8      00 02 1A 60 00 00 00 00 
  00000027     9:53:17.213.894             接收            3AF        DATA    STANDARD    8      03 00 00 00 00 00 00 F9 
  00000028     9:53:17.240.031             接收       03401014        DATA    EXTENDED    8      00 10 60 10 9B 00 00 00 
  00000029     9:53:17.258.178             接收            3AF        DATA    STANDARD    8      04 00 00 00 00 00 00 FE 
  00000030     9:53:17.291.227             接收            3AF        DATA    STANDARD    8      05 00 00 00 00 00 00 FF 
  00000031     9:53:17.291.252             接收       03401020        DATA    EXTENDED    8      00 00 00 00 00 00 00 00 
  00000032     9:53:17.308.907             接收            3AF        DATA    STANDARD    8      06 00 00 00 00 00 00 FC 
  00000033     9:53:17.334.733             接收       03401030        DATA    EXTENDED    8      00 00 00 00 00 00 00 00 
  00000034     9:53:17.334.781             接收            3AF        DATA    STANDARD    8      07 00 00 00 00 00 00 FD 
  00000035     9:53:17.367.637             接收            3AF        DATA    STANDARD    8      01 00 00 00 00 00 00 FB 
  00000036     9:53:17.380.863             接收       03401038        DATA    EXTENDED    8      00 00 00 00 00 00 00 00 
  00000037     9:53:17.400.475             接收            3AF        DATA    STANDARD    8      02 00 00 00 00 00 00 F8 
  00000038     9:53:17.432.510             接收            3AF        DATA    STANDARD    8      03 00 00 00 00 00 00 F9 
  00000039     9:53:17.432.534             接收       03401040        DATA    EXTENDED    8      00 00 00 00 00 00 00 00 
  00000040     9:53:17.474.472             接收            3AF        DATA    STANDARD    8      04 00 00 00 00 00 00 FE 
  00000041     9:53:17.493.469             接收       03401008        DATA    EXTENDED    8      00 01 00 00 00 07 D0 04 
  00000042     9:53:17.493.479             接收            3AF        DATA    STANDARD    8      05 00 00 00 00 00 00 FF 
  00000043     9:53:17.523.074             接收            3AF        DATA    STANDARD    8      06 00 00 00 00 00 00 FC 
  00000044     9:53:17.534.268             接收       03401010        DATA    EXTENDED    8      5F 18 01 00 00 0A D2 00 
  00000045     9:53:17.549.138             接收            3AF        DATA    STANDARD    8      07 00 00 00 00 00 00 FD 
  00000046     9:53:17.585.591             接收            3AF        DATA    STANDARD    8      01 00 00 00 00 00 00 FB 
  00000047     9:53:17.585.617             接收       03401012        DATA    EXTENDED    8      00 02 1A 60 00 00 00 00 
  00000048     9:53:17.618.951             接收            3AF        DATA    STANDARD    8      02 00 00 00 00 00 00 F8 
  00000049     9:53:17.631.927             接收       03401014        DATA    EXTENDED    8      00 10 60 10 9B 00 20 00 
  00000050     9:53:17.641.887             接收            3AF        DATA    STANDARD    8      03 00 00 00 00 00 00 F9 
  00000051     9:53:17.674.308             接收            3AF        DATA    STANDARD    8      04 00 00 00 00 00 00 FE 
  00000052     9:53:17.691.000             接收       03401020        DATA    EXTENDED    8      00 00 00 00 00 00 00 00 
  00000053     9:53:17.710.869             接收            3AF        DATA    STANDARD    8      05 00 00 00 00 00 00 FF 
  00000054     9:53:17.723.745             接收            3AF        DATA    STANDARD    8      06 00 00 00 00 00 00 FC 
  00000055     9:53:17.744.640             接收       03401030        DATA    EXTENDED    8      00 00 00 00 00 00 00 00 
