     index           time           Name             ID        Type      Format  Len      Data
  00000001     9:56:56.379.037             接收       03401010        DATA    EXTENDED    8      5F 18 01 00 00 0A D2 00 
  00000002     9:56:56.379.049             接收            3AF        DATA    STANDARD    8      07 00 00 00 00 00 00 FD 
  00000003     9:56:56.379.054             接收            3AF        DATA    STANDARD    8      01 00 00 00 00 00 00 FB 
  00000004     9:56:56.396.231             接收       03401012        DATA    EXTENDED    8      00 02 1A 66 00 00 00 00 
  00000005     9:56:56.417.175             接收            3AF        DATA    STANDARD    8      02 00 00 00 00 00 00 F8 
  00000006     9:56:56.443.826             接收            3AF        DATA    STANDARD    8      03 00 00 00 00 00 00 F9 
  00000007     9:56:56.443.838             接收       03401014        DATA    EXTENDED    8      00 00 60 00 98 01 20 00 
  00000008     9:56:56.473.134             接收            3AF        DATA    STANDARD    8      04 00 00 00 00 00 00 FE 
  00000009     9:56:56.499.804             接收       03401020        DATA    EXTENDED    8      00 00 00 00 00 00 00 00 
  00000010     9:56:56.499.844             接收            3AF        DATA    STANDARD    8      05 00 00 00 00 00 00 FF 
  00000011     9:56:56.543.527             接收            3AF        DATA    STANDARD    8      06 00 00 00 00 00 00 FC 
  00000012     9:56:56.543.537             接收       03401030        DATA    EXTENDED    8      00 00 00 00 00 00 00 00 
  00000013     9:56:56.555.947             接收            3AF        DATA    STANDARD    8      07 00 00 00 00 00 00 FD 
  00000014     9:56:56.586.723             接收            3AF        DATA    STANDARD    8      01 00 00 00 00 00 00 FB 
  00000015     9:56:56.599.770             接收       03401038        DATA    EXTENDED    8      00 00 00 00 00 00 00 00 
  00000016     9:56:56.620.668             接收            3AF        DATA    STANDARD    8      02 00 00 00 00 00 00 F8 
  00000017     9:56:56.647.571             接收       03401040        DATA    EXTENDED    8      00 00 00 00 00 00 00 00 
  00000018     9:56:56.647.582             接收            3AF        DATA    STANDARD    8      03 00 00 00 00 00 00 F9 
  00000019     9:56:56.679.482             接收            3AF        DATA    STANDARD    8      04 00 00 00 00 00 00 FE 
  00000020     9:56:56.711.197             接收       03401008        DATA    EXTENDED    8      00 01 00 00 00 07 D0 06 
  00000021     9:56:56.711.204             接收            3AF        DATA    STANDARD    8      05 00 00 00 00 00 00 FF 
  00000022     9:56:56.736.442             接收            3AF        DATA    STANDARD    8      06 00 00 00 00 00 00 FC 
  00000023     9:56:56.754.069             接收       03401010        DATA    EXTENDED    8      5F 18 01 00 00 0A D2 00 
  00000024     9:56:56.775.213             接收            3AF        DATA    STANDARD    8      07 00 00 00 00 00 00 FD 
  00000025     9:56:56.806.168             接收       03401012        DATA    EXTENDED    8      00 02 1A 66 00 00 00 00 
  00000026     9:56:56.806.194             接收            3AF        DATA    STANDARD    8      01 00 00 00 00 00 00 FB 
  00000027     9:56:56.857.331             接收            3AF        DATA    STANDARD    8      02 00 00 00 00 00 00 F8 
  00000028     9:56:56.857.339             接收       03401014        DATA    EXTENDED    8      00 00 60 00 98 01 20 00 
  00000029     9:56:56.857.344             接收            3AF        DATA    STANDARD    8      03 00 00 00 00 00 00 F9 
  00000030     9:56:56.899.919             接收            3AF        DATA    STANDARD    8      04 00 00 00 00 00 00 FE 
  00000031     9:56:56.899.944             接收       03401020        DATA    EXTENDED    8      00 00 00 00 00 00 00 00 
  00000032     9:56:56.931.855             接收            3AF        DATA    STANDARD    8      05 00 00 00 00 00 00 FF 
  00000033     9:56:56.942.728             接收       03401030        DATA    EXTENDED    8      00 00 00 00 00 00 00 00 
  00000034     9:56:56.955.818             接收            3AF        DATA    STANDARD    8      06 00 00 00 00 00 00 FC 
  00000035     9:56:56.975.509             接收            3AF        DATA    STANDARD    8      07 00 00 00 00 00 00 FD 
  00000036     9:56:56.995.850             接收       03401038        DATA    EXTENDED    8      00 00 00 00 00 00 00 00 
  00000037     9:56:57.023.597             接收            3AF        DATA    STANDARD    8      01 00 00 00 00 00 00 FB 
  00000038     9:56:57.037.301             接收            3AF        DATA    STANDARD    8      02 00 00 00 00 00 00 F8 
  00000039     9:56:57.057.511             接收       03401040        DATA    EXTENDED    8      00 00 00 00 00 00 00 00 
  00000040     9:56:57.068.742             接收            3AF        DATA    STANDARD    8      03 00 00 00 00 00 00 F9 
  00000041     9:56:57.100.401             接收       03401008        DATA    EXTENDED    8      00 01 00 00 00 07 D0 06 
  00000042     9:56:57.100.429             接收            3AF        DATA    STANDARD    8      04 00 00 00 00 00 00 FE 
  00000043     9:56:57.127.500             接收            3AF        DATA    STANDARD    8      05 00 00 00 00 00 00 FF 
  00000044     9:56:57.180.926             接收       03401010        DATA    EXTENDED    8      5F 18 01 00 00 0A D2 00 
  00000045     9:56:57.180.948             接收            3AF        DATA    STANDARD    8      06 00 00 00 00 00 00 FC 
  00000046     9:56:57.192.948             接收            3AF        DATA    STANDARD    8      07 00 00 00 00 00 00 FD 
  00000047     9:56:57.192.956             接收       03401012        DATA    EXTENDED    8      00 02 1A 66 00 00 00 00 
  00000048     9:56:57.221.833             接收            3AF        DATA    STANDARD    8      01 00 00 00 00 00 00 FB 
  00000049     9:56:57.252.958             接收       03401014        DATA    EXTENDED    8      00 00 60 00 98 01 20 00 
