     index           time           Name             ID        Type      Format  Len      Data
  00000000    10:58:29.388.051             接收            3AF        DATA    STANDARD    8      06 00 00 00 00 00 00 FC 
  00000001    10:58:29.445.733             接收       03401008        DATA    EXTENDED    8      00 01 00 00 00 07 D0 11 
  00000002    10:58:29.418.047             接收            3AF        DATA    STANDARD    8      07 00 00 00 00 00 00 FD 
  00000003    10:58:29.450.655             接收            3AF        DATA    STANDARD    8      01 00 00 00 00 00 00 FB 
  00000004    10:58:29.495.721             接收       03401010        DATA    EXTENDED    8      5F 18 01 00 00 0A D2 00 
  00000005    10:58:29.478.043             接收            3AF        DATA    STANDARD    8      02 00 00 00 00 00 00 F8 
  00000006    10:58:29.545.716             接收       03401012        DATA    EXTENDED    8      00 02 1A AD 00 00 00 00 
  00000007    10:58:29.508.033             接收            3AF        DATA    STANDARD    8      03 00 00 00 00 00 00 F9 
  00000008    10:58:29.538.076             接收            3AF        DATA    STANDARD    8      04 00 00 00 00 00 00 FE 
  00000009    10:58:29.195.794             接收       03401014        DATA    EXTENDED    8      00 00 60 00 98 01 20 00 
  00000010    10:58:29.568.028             接收            3AF        DATA    STANDARD    8      05 00 00 00 00 00 00 FF 
  00000011    10:58:29.245.857             接收       03401020        DATA    EXTENDED    8      00 00 00 00 00 00 00 00 
  00000012    10:58:29.295.872             接收       03401030        DATA    EXTENDED    8      00 00 00 00 00 00 00 00 
  00000013    10:58:29.345.890             接收       03401038        DATA    EXTENDED    8      00 00 00 00 00 00 00 00 
  00000014    10:58:29.395.927             接收       03401040        DATA    EXTENDED    8      00 00 00 00 00 00 00 00 
