     index           time           Name             ID        Type      Format  Len      Data
  00000000    11:01:32.264.560             接收            3AF        DATA    STANDARD    8      05 00 00 00 00 00 00 FF 
  00000001    11:01:32.369.159             接收       03401012        DATA    EXTENDED    8      00 02 1A AF 00 00 00 00 
  00000002    11:01:32.294.560             接收            3AF        DATA    STANDARD    8      06 00 00 00 00 00 00 FC 
  00000003    11:01:32.324.763             接收            3AF        DATA    STANDARD    8      07 00 00 00 00 00 00 FD 
  00000004    11:01:32.420.353             接收       03401014        DATA    EXTENDED    8      00 00 60 00 98 01 20 00 
  00000005    11:01:32.354.607             接收            3AF        DATA    STANDARD    8      01 00 00 00 00 00 00 FB 
  00000006    11:01:32.069.345             接收       03401020        DATA    EXTENDED    8      00 00 00 00 00 00 00 00 
  00000007    11:01:32.384.560             接收            3AF        DATA    STANDARD    8      02 00 00 00 00 00 00 F8 
  00000008    11:01:32.414.560             接收            3AF        DATA    STANDARD    8      03 00 00 00 00 00 00 F9 
  00000009    11:01:32.120.467             接收       03401030        DATA    EXTENDED    8      00 00 00 00 00 00 00 00 
  00000010    11:01:32.444.607             接收            3AF        DATA    STANDARD    8      04 00 00 00 00 00 00 FE 
  00000011    11:01:32.169.377             接收       03401038        DATA    EXTENDED    8      00 00 00 00 00 00 00 00 
  00000012    11:01:32.219.419             接收       03401040        DATA    EXTENDED    8      00 00 00 00 00 00 00 00 
  00000013    11:01:32.270.325             接收       03401008        DATA    EXTENDED    8      00 01 00 00 00 07 D0 11 
  00000014    11:01:32.319.217             接收       03401010        DATA    EXTENDED    8      5F 18 01 00 00 0A D2 00 
