     index           time           Name             ID        Type      Format  Len      Data
  00000001    11:46:59.635.026             接收            3AF        DATA    STANDARD    8      03 00 00 00 00 00 00 F9 
  00000002    11:46:59.635.058             接收       03401010        DATA    EXTENDED    8      5F 18 01 00 00 0A D2 00 
  00000003    11:46:59.635.063             接收            3AF        DATA    STANDARD    8      04 00 00 00 00 00 00 FE 
  00000004    11:46:59.635.068             接收            3AF        DATA    STANDARD    8      05 00 00 00 00 00 00 FF 
  00000005    11:46:59.635.073             接收       03401012        DATA    EXTENDED    8      00 02 1A BD 00 00 00 00 
  00000006    11:46:59.649.509             接收            3AF        DATA    STANDARD    8      06 00 00 00 00 00 00 FC 
  00000007    11:46:59.678.131             接收            3AF        DATA    STANDARD    8      07 00 00 00 00 00 00 FD 
  00000008    11:46:59.698.446             接收       03401014        DATA    EXTENDED    8      00 00 60 00 98 01 20 00 
  00000009    11:46:59.709.720             接收            3AF        DATA    STANDARD    8      01 00 00 00 00 00 00 FB 
  00000010    11:46:59.738.481             接收       03401020        DATA    EXTENDED    8      00 00 00 00 00 00 00 00 
  00000011    11:46:59.738.509             接收            3AF        DATA    STANDARD    8      02 00 00 00 00 00 00 F8 
  00000012    11:46:59.768.464             接收            3AF        DATA    STANDARD    8      03 00 00 00 00 00 00 F9 
  00000013    11:46:59.791.979             接收       03401030        DATA    EXTENDED    8      00 00 00 00 00 00 00 00 
  00000014    11:46:59.802.958             接收            3AF        DATA    STANDARD    8      04 00 00 00 00 00 00 FE 
  00000015    11:46:59.834.089             接收            3AF        DATA    STANDARD    8      05 00 00 00 00 00 00 FF 
  00000016    11:46:59.834.100             接收       03401038        DATA    EXTENDED    8      00 00 00 00 00 00 00 00 
  00000017    11:46:59.866.668             接收            3AF        DATA    STANDARD    8      06 00 00 00 00 00 00 FC 
  00000018    11:46:59.893.133             接收       03401040        DATA    EXTENDED    8      00 00 00 00 00 00 00 00 
  00000019    11:46:59.893.160             接收            3AF        DATA    STANDARD    8      07 00 00 00 00 00 00 FD 
  00000020    11:46:59.927.387             接收            3AF        DATA    STANDARD    8      01 00 00 00 00 00 00 FB 
  00000021    11:47:00.006.125             接收       03401008        DATA    EXTENDED    8      00 01 00 00 00 07 D0 0C 
  00000022    11:47:00.006.133             接收            3AF        DATA    STANDARD    8      02 00 00 00 00 00 00 F8 
  00000023    11:47:00.006.138             接收            3AF        DATA    STANDARD    8      03 00 00 00 00 00 00 F9 
  00000024    11:47:00.006.142             接收       03401010        DATA    EXTENDED    8      5F 18 01 00 00 0A D2 00 
  00000025    11:47:00.020.117             接收            3AF        DATA    STANDARD    8      04 00 00 00 00 00 00 FE 
  00000026    11:47:00.032.531             接收       03401012        DATA    EXTENDED    8      00 02 1A BD 00 00 00 00 
  00000027    11:47:00.052.424             接收            3AF        DATA    STANDARD    8      05 00 00 00 00 00 00 FF 
  00000028    11:47:00.072.517             接收            3AF        DATA    STANDARD    8      06 00 00 00 00 00 00 FC 
  00000029    11:47:00.083.749             接收       03401014        DATA    EXTENDED    8      00 00 60 00 98 01 20 00 
  00000030    11:47:00.104.439             接收            3AF        DATA    STANDARD    8      07 00 00 00 00 00 00 FD 
  00000031    11:47:00.136.276             接收            3AF        DATA    STANDARD    8      01 00 00 00 00 00 00 FB 
  00000032    11:47:00.136.305             接收       03401020        DATA    EXTENDED    8      00 00 00 00 00 00 00 00 
  00000033    11:47:00.158.945             接收            3AF        DATA    STANDARD    8      02 00 00 00 00 00 00 F8 
  00000034    11:47:00.196.435             接收       03401030        DATA    EXTENDED    8      00 00 00 00 00 00 00 00 
  00000035    11:47:00.196.466             接收            3AF        DATA    STANDARD    8      03 00 00 00 00 00 00 F9 
  00000036    11:47:00.227.026             接收            3AF        DATA    STANDARD    8      04 00 00 00 00 00 00 FE 
  00000037    11:47:00.241.168             接收       03401038        DATA    EXTENDED    8      00 00 00 00 00 00 00 00 
  00000038    11:47:00.328.725             接收            3AF        DATA    STANDARD    8      05 00 00 00 00 00 00 FF 
  00000039    11:47:00.328.734             接收            3AF        DATA    STANDARD    8      06 00 00 00 00 00 00 FC 
  00000040    11:47:00.328.738             接收       03401040        DATA    EXTENDED    8      00 00 00 00 00 00 00 00 
  00000041    11:47:00.328.742             接收            3AF        DATA    STANDARD    8      07 00 00 00 00 00 00 FD 
  00000042    11:47:00.334.795             接收       03401008        DATA    EXTENDED    8      00 01 00 00 00 07 D0 0C 
  00000043    11:47:00.354.047             接收            3AF        DATA    STANDARD    8      01 00 00 00 00 00 00 FB 
  00000044    11:47:00.380.578             接收            3AF        DATA    STANDARD    8      02 00 00 00 00 00 00 F8 
  00000045    11:47:00.396.184             接收       03401010        DATA    EXTENDED    8      5F 18 01 00 00 0A D2 00 
  00000046    11:47:00.438.502             接收            3AF        DATA    STANDARD    8      03 00 00 00 00 00 00 F9 
  00000047    11:47:00.438.527             接收            3AF        DATA    STANDARD    8      04 00 00 00 00 00 00 FE 
  00000048    11:47:00.438.553             接收       03401012        DATA    EXTENDED    8      00 02 1A BD 00 00 00 00 
  00000049    11:47:00.475.807             接收            3AF        DATA    STANDARD    8      05 00 00 00 00 00 00 FF 
  00000050    11:47:00.495.228             接收       03401014        DATA    EXTENDED    8      00 00 60 00 98 01 20 00 
  00000051    11:47:00.495.254             接收            3AF        DATA    STANDARD    8      06 00 00 00 00 00 00 FC 
  00000052    11:47:00.519.918             接收            3AF        DATA    STANDARD    8      07 00 00 00 00 00 00 FD 
  00000053    11:47:00.539.647             接收       03401020        DATA    EXTENDED    8      00 00 00 00 00 00 00 00 
  00000054    11:47:00.553.330             接收            3AF        DATA    STANDARD    8      01 00 00 00 00 00 00 FB 
  00000055    11:47:00.652.285             接收            3AF        DATA    STANDARD    8      02 00 00 00 00 00 00 F8 
  00000056    11:47:00.652.293             接收       03401030        DATA    EXTENDED    8      00 00 00 00 00 00 00 00 
  00000057    11:47:00.652.300             接收            3AF        DATA    STANDARD    8      03 00 00 00 00 00 00 F9 
  00000058    11:47:00.652.305             接收       03401038        DATA    EXTENDED    8      00 00 00 00 00 00 00 00 
  00000059    11:47:00.652.308             接收            3AF        DATA    STANDARD    8      04 00 00 00 00 00 00 FE 
  00000060    11:47:00.675.136             接收            3AF        DATA    STANDARD    8      05 00 00 00 00 00 00 FF 
  00000061    11:47:00.688.677             接收       03401040        DATA    EXTENDED    8      00 00 00 00 00 00 00 00 
  00000062    11:47:00.709.977             接收            3AF        DATA    STANDARD    8      06 00 00 00 00 00 00 FC 
  00000063    11:47:00.730.565             接收            3AF        DATA    STANDARD    8      07 00 00 00 00 00 00 FD 
  00000064    11:47:00.736.577             接收       03401008        DATA    EXTENDED    8      00 01 00 00 00 07 D0 0C 
  00000065    11:47:00.773.408             接收            3AF        DATA    STANDARD    8      01 00 00 00 00 00 00 FB 
  00000066    11:47:00.783.672             接收       03401010        DATA    EXTENDED    8      5F 18 01 00 00 0A D2 00 
  00000067    11:47:00.800.066             接收            3AF        DATA    STANDARD    8      02 00 00 00 00 00 00 F8 
  00000068    11:47:00.819.898             接收            3AF        DATA    STANDARD    8      03 00 00 00 00 00 00 F9 
  00000069    11:47:00.851.284             接收       03401012        DATA    EXTENDED    8      00 02 1A BD 00 00 00 00 
  00000070    11:47:00.851.311             接收            3AF        DATA    STANDARD    8      04 00 00 00 00 00 00 FE 
  00000071    11:47:00.947.896             接收            3AF        DATA    STANDARD    8      05 00 00 00 00 00 00 FF 
  00000072    11:47:00.947.904             接收       03401014        DATA    EXTENDED    8      00 00 60 00 98 01 20 00 
  00000073    11:47:00.947.909             接收            3AF        DATA    STANDARD    8      06 00 00 00 00 00 00 FC 
