     index           time           Name             ID        Type      Format  Len      Data
  00000001    11:41:40.390.815             接收            3AF        DATA    STANDARD    8      02 00 00 00 00 00 00 F8 
  00000002    11:41:40.390.824             接收       03401010        DATA    EXTENDED    8      5F 18 01 00 00 0A D2 00 
  00000003    11:41:40.390.829             接收            3AF        DATA    STANDARD    8      03 00 00 00 00 00 00 F9 
  00000004    11:41:40.421.183             接收       03401012        DATA    EXTENDED    8      00 02 1A BA 00 00 00 00 
  00000005    11:41:40.421.192             接收            3AF        DATA    STANDARD    8      04 00 00 00 00 00 00 FE 
  00000006    11:41:40.460.375             接收            3AF        DATA    STANDARD    8      05 00 00 00 00 00 00 FF 
  00000007    11:41:40.460.395             接收       03401014        DATA    EXTENDED    8      00 00 60 00 98 01 20 00 
  00000008    11:41:40.495.494             接收            3AF        DATA    STANDARD    8      06 00 00 00 00 00 00 FC 
  00000009    11:41:40.507.845             接收            3AF        DATA    STANDARD    8      07 00 00 00 00 00 00 FD 
  00000010    11:41:40.518.891             接收       03401020        DATA    EXTENDED    8      00 00 00 00 00 00 00 00 
  00000011    11:41:40.538.756             接收            3AF        DATA    STANDARD    8      01 00 00 00 00 00 00 FB 
  00000012    11:41:40.617.109             接收       03401030        DATA    EXTENDED    8      00 00 00 00 00 00 00 00 
  00000013    11:41:40.617.119             接收            3AF        DATA    STANDARD    8      02 00 00 00 00 00 00 F8 
  00000014    11:41:40.617.124             接收            3AF        DATA    STANDARD    8      03 00 00 00 00 00 00 F9 
  00000015    11:41:40.617.127             接收       03401038        DATA    EXTENDED    8      00 00 00 00 00 00 00 00 
  00000016    11:41:40.630.786             接收            3AF        DATA    STANDARD    8      04 00 00 00 00 00 00 FE 
  00000017    11:41:40.678.268             接收       03401040        DATA    EXTENDED    8      00 00 00 00 00 00 00 00 
  00000018    11:41:40.694.467             接收            3AF        DATA    STANDARD    8      06 00 00 00 00 00 00 FC 
  00000019    11:41:40.723.742             接收       03401008        DATA    EXTENDED    8      00 01 00 00 00 07 D0 11 
  00000020    11:41:40.723.764             接收            3AF        DATA    STANDARD    8      07 00 00 00 00 00 00 FD 
  00000021    11:41:40.756.154             接收            3AF        DATA    STANDARD    8      01 00 00 00 00 00 00 FB 
  00000022    11:41:40.772.487             接收       03401010        DATA    EXTENDED    8      5F 18 01 00 00 0A D2 00 
  00000023    11:41:40.787.192             接收            3AF        DATA    STANDARD    8      02 00 00 00 00 00 00 F8 
  00000024    11:41:40.816.445             接收            3AF        DATA    STANDARD    8      03 00 00 00 00 00 00 F9 
  00000025    11:41:40.816.468             接收       03401012        DATA    EXTENDED    8      00 02 1A BA 00 00 00 00 
  00000026    11:41:40.835.296             接收            3AF        DATA    STANDARD    8      04 00 00 00 00 00 00 FE 
  00000027    11:41:40.866.247             接收       03401014        DATA    EXTENDED    8      00 00 60 00 98 01 20 00 
  00000028    11:41:40.866.274             接收            3AF        DATA    STANDARD    8      05 00 00 00 00 00 00 FF 
  00000029    11:41:40.957.453             接收            3AF        DATA    STANDARD    8      06 00 00 00 00 00 00 FC 
  00000030    11:41:40.957.463             接收       03401020        DATA    EXTENDED    8      00 00 00 00 00 00 00 00 
  00000031    11:41:40.957.469             接收            3AF        DATA    STANDARD    8      07 00 00 00 00 00 00 FD 
  00000032    11:41:40.957.473             接收            3AF        DATA    STANDARD    8      01 00 00 00 00 00 00 FB 
  00000033    11:41:40.979.891             接收       03401030        DATA    EXTENDED    8      00 00 00 00 00 00 00 00 
  00000034    11:41:40.990.449             接收            3AF        DATA    STANDARD    8      02 00 00 00 00 00 00 F8 
  00000035    11:41:41.018.218             接收       03401038        DATA    EXTENDED    8      00 00 00 00 00 00 00 00 
  00000036    11:41:41.018.243             接收            3AF        DATA    STANDARD    8      03 00 00 00 00 00 00 F9 
  00000037    11:41:41.051.367             接收            3AF        DATA    STANDARD    8      04 00 00 00 00 00 00 FE 
  00000038    11:41:41.064.816             接收       03401040        DATA    EXTENDED    8      00 00 00 00 00 00 00 00 
  00000039    11:41:41.080.329             接收            3AF        DATA    STANDARD    8      05 00 00 00 00 00 00 FF 
  00000040    11:41:41.115.453             接收            3AF        DATA    STANDARD    8      06 00 00 00 00 00 00 FC 
  00000041    11:41:41.115.477             接收       03401008        DATA    EXTENDED    8      00 01 00 00 00 07 D0 11 
  00000042    11:41:41.134.049             接收            3AF        DATA    STANDARD    8      07 00 00 00 00 00 00 FD 
  00000043    11:41:41.165.990             接收       03401010        DATA    EXTENDED    8      5F 18 01 00 00 0A D2 00 
  00000044    11:41:41.166.016             接收            3AF        DATA    STANDARD    8      01 00 00 00 00 00 00 FB 
  00000045    11:41:41.264.856             接收            3AF        DATA    STANDARD    8      02 00 00 00 00 00 00 F8 
  00000046    11:41:41.264.864             接收       03401012        DATA    EXTENDED    8      00 02 1A BA 00 00 00 00 
  00000047    11:41:41.264.868             接收            3AF        DATA    STANDARD    8      03 00 00 00 00 00 00 F9 
  00000048    11:41:41.264.872             接收            3AF        DATA    STANDARD    8      04 00 00 00 00 00 00 FE 
  00000049    11:41:41.264.876             接收       03401014        DATA    EXTENDED    8      00 00 60 00 98 01 20 00 
  00000050    11:41:41.289.432             接收            3AF        DATA    STANDARD    8      05 00 00 00 00 00 00 FF 
  00000051    11:41:41.317.802             接收       03401020        DATA    EXTENDED    8      00 00 00 00 00 00 00 00 
  00000052    11:41:41.317.841             接收            3AF        DATA    STANDARD    8      06 00 00 00 00 00 00 FC 
  00000053    11:41:41.354.800             接收            3AF        DATA    STANDARD    8      07 00 00 00 00 00 00 FD 
  00000054    11:41:41.365.880             接收       03401030        DATA    EXTENDED    8      00 00 00 00 00 00 00 00 
  00000055    11:41:41.386.713             接收            3AF        DATA    STANDARD    8      01 00 00 00 00 00 00 FB 
  00000056    11:41:41.426.394             接收            3AF        DATA    STANDARD    8      02 00 00 00 00 00 00 F8 
  00000057    11:41:41.426.416             接收       03401038        DATA    EXTENDED    8      00 00 00 00 00 00 00 00 
  00000058    11:41:41.443.601             接收            3AF        DATA    STANDARD    8      03 00 00 00 00 00 00 F9 
  00000059    11:41:41.479.510             接收       03401040        DATA    EXTENDED    8      00 00 00 00 00 00 00 00 
  00000060    11:41:41.479.536             接收            3AF        DATA    STANDARD    8      04 00 00 00 00 00 00 FE 
  00000061    11:41:41.496.771             接收            3AF        DATA    STANDARD    8      05 00 00 00 00 00 00 FF 
  00000062    11:41:41.582.224             接收       03401008        DATA    EXTENDED    8      00 01 00 00 00 07 D0 11 
  00000063    11:41:41.582.234             接收            3AF        DATA    STANDARD    8      06 00 00 00 00 00 00 FC 
  00000064    11:41:41.582.239             接收            3AF        DATA    STANDARD    8      07 00 00 00 00 00 00 FD 
  00000065    11:41:41.582.244             接收       03401010        DATA    EXTENDED    8      5F 18 01 00 00 0A D2 00 
