     index           time           Name             ID        Type      Format  Len      Data
  00000001    11:50:04.488.351             接收            3AF        DATA    STANDARD    8      06 00 00 00 00 00 00 FC 
  00000002    11:50:04.488.362             接收       03401012        DATA    EXTENDED    8      00 02 1A BF 00 00 00 00 
  00000003    11:50:04.488.366             接收            3AF        DATA    STANDARD    8      07 00 00 00 00 00 00 FD 
  00000004    11:50:04.507.145             接收            3AF        DATA    STANDARD    8      01 00 00 00 00 00 00 FB 
  00000005    11:50:04.507.155             接收       03401014        DATA    EXTENDED    8      00 00 60 00 98 01 20 00 
  00000006    11:50:04.538.047             接收            3AF        DATA    STANDARD    8      02 00 00 00 00 00 00 F8 
  00000007    11:50:04.551.374             接收       03401020        DATA    EXTENDED    8      00 00 00 00 00 00 00 00 
  00000008    11:50:04.564.492             接收            3AF        DATA    STANDARD    8      03 00 00 00 00 00 00 F9 
  00000009    11:50:04.584.908             接收            3AF        DATA    STANDARD    8      04 00 00 00 00 00 00 FE 
  00000010    11:50:04.594.926             接收       03401030        DATA    EXTENDED    8      00 00 00 00 00 00 00 00 
  00000011    11:50:04.677.131             接收            3AF        DATA    STANDARD    8      06 00 00 00 00 00 00 FC 
  00000012    11:50:04.677.142             接收       03401038        DATA    EXTENDED    8      00 00 00 00 00 00 00 00 
  00000013    11:50:04.677.148             接收            3AF        DATA    STANDARD    8      07 00 00 00 00 00 00 FD 
  00000014    11:50:04.697.485             接收       03401040        DATA    EXTENDED    8      00 00 00 00 00 00 00 00 
  00000015    11:50:04.707.117             接收            3AF        DATA    STANDARD    8      01 00 00 00 00 00 00 FB 
  00000016    11:50:04.737.731             接收            3AF        DATA    STANDARD    8      02 00 00 00 00 00 00 F8 
  00000017    11:50:04.758.628             接收       03401008        DATA    EXTENDED    8      00 01 00 00 00 07 D0 0C 
  00000018    11:50:04.770.867             接收            3AF        DATA    STANDARD    8      03 00 00 00 00 00 00 F9 
  00000019    11:50:04.803.262             接收            3AF        DATA    STANDARD    8      04 00 00 00 00 00 00 FE 
  00000020    11:50:04.803.289             接收       03401010        DATA    EXTENDED    8      5F 18 01 00 00 0A D2 00 
  00000021    11:50:04.832.634             接收            3AF        DATA    STANDARD    8      05 00 00 00 00 00 00 FF 
  00000022    11:50:04.848.476             接收       03401012        DATA    EXTENDED    8      00 02 1A BF 00 00 00 00 
  00000023    11:50:04.865.477             接收            3AF        DATA    STANDARD    8      06 00 00 00 00 00 00 FC 
  00000024    11:50:04.893.144             接收            3AF        DATA    STANDARD    8      07 00 00 00 00 00 00 FD 
  00000025    11:50:04.913.179             接收       03401014        DATA    EXTENDED    8      00 00 60 00 98 01 20 00 
  00000026    11:50:04.913.191             接收            3AF        DATA    STANDARD    8      01 00 00 00 00 00 00 FB 
  00000027    11:50:05.006.968             接收            3AF        DATA    STANDARD    8      02 00 00 00 00 00 00 F8 
  00000028    11:50:05.006.976             接收       03401020        DATA    EXTENDED    8      00 00 00 00 00 00 00 00 
  00000029    11:50:05.006.981             接收            3AF        DATA    STANDARD    8      03 00 00 00 00 00 00 F9 
  00000030    11:50:05.006.985             接收       03401030        DATA    EXTENDED    8      00 00 00 00 00 00 00 00 
  00000031    11:50:05.006.989             接收            3AF        DATA    STANDARD    8      04 00 00 00 00 00 00 FE 
  00000032    11:50:05.041.839             接收            3AF        DATA    STANDARD    8      05 00 00 00 00 00 00 FF 
  00000033    11:50:05.050.960             接收       03401038        DATA    EXTENDED    8      00 00 00 00 00 00 00 00 
  00000034    11:50:05.068.856             接收            3AF        DATA    STANDARD    8      06 00 00 00 00 00 00 FC 
  00000035    11:50:05.096.758             接收            3AF        DATA    STANDARD    8      07 00 00 00 00 00 00 FD 
  00000036    11:50:05.112.901             接收       03401040        DATA    EXTENDED    8      00 00 00 00 00 00 00 00 
  00000037    11:50:05.132.869             接收            3AF        DATA    STANDARD    8      01 00 00 00 00 00 00 FB 
  00000038    11:50:05.143.889             接收       03401008        DATA    EXTENDED    8      00 01 00 00 00 07 D0 0C 
  00000039    11:50:05.164.653             接收            3AF        DATA    STANDARD    8      02 00 00 00 00 00 00 F8 
  00000040    11:50:05.197.885             接收            3AF        DATA    STANDARD    8      03 00 00 00 00 00 00 F9 
  00000041    11:50:05.197.916             接收       03401010        DATA    EXTENDED    8      5F 18 01 00 00 0A D2 00 
  00000042    11:50:05.222.869             接收            3AF        DATA    STANDARD    8      04 00 00 00 00 00 00 FE 
  00000043    11:50:05.332.525             接收            3AF        DATA    STANDARD    8      05 00 00 00 00 00 00 FF 
  00000044    11:50:05.332.535             接收       03401012        DATA    EXTENDED    8      00 02 1A BF 00 00 00 00 
  00000045    11:50:05.332.543             接收            3AF        DATA    STANDARD    8      06 00 00 00 00 00 00 FC 
  00000046    11:50:05.332.548             接收       03401014        DATA    EXTENDED    8      00 00 60 00 98 01 20 00 
  00000047    11:50:05.332.552             接收            3AF        DATA    STANDARD    8      07 00 00 00 00 00 00 FD 
  00000048    11:50:05.352.304             接收            3AF        DATA    STANDARD    8      01 00 00 00 00 00 00 FB 
  00000049    11:50:05.352.314             接收       03401020        DATA    EXTENDED    8      00 00 00 00 00 00 00 00 
  00000050    11:50:05.384.051             接收            3AF        DATA    STANDARD    8      02 00 00 00 00 00 00 F8 
  00000051    11:50:05.395.213             接收            3AF        DATA    STANDARD    8      03 00 00 00 00 00 00 F9 
  00000052    11:50:05.436.592             接收       03401030        DATA    EXTENDED    8      00 00 00 00 00 00 00 00 
  00000053    11:50:05.436.609             接收            3AF        DATA    STANDARD    8      04 00 00 00 00 00 00 FE 
  00000054    11:50:05.455.477             接收       03401038        DATA    EXTENDED    8      00 00 00 00 00 00 00 00 
  00000055    11:50:05.455.492             接收            3AF        DATA    STANDARD    8      05 00 00 00 00 00 00 FF 
  00000056    11:50:05.490.409             接收            3AF        DATA    STANDARD    8      06 00 00 00 00 00 00 FC 
  00000057    11:50:05.511.280             接收       03401040        DATA    EXTENDED    8      00 00 00 00 00 00 00 00 
  00000058    11:50:05.521.863             接收            3AF        DATA    STANDARD    8      07 00 00 00 00 00 00 FD 
  00000059    11:50:05.554.915             接收            3AF        DATA    STANDARD    8      01 00 00 00 00 00 00 FB 
  00000060    11:50:05.554.941             接收       03401008        DATA    EXTENDED    8      00 01 00 00 00 07 D0 0C 
  00000061    11:50:05.632.992             接收            3AF        DATA    STANDARD    8      02 00 00 00 00 00 00 F8 
  00000062    11:50:05.633.000             接收       03401010        DATA    EXTENDED    8      5F 18 01 00 00 0A D2 00 
  00000063    11:50:05.633.005             接收            3AF        DATA    STANDARD    8      03 00 00 00 00 00 00 F9 
  00000064    11:50:05.646.958             接收            3AF        DATA    STANDARD    8      04 00 00 00 00 00 00 FE 
  00000065    11:50:05.646.968             接收       03401012        DATA    EXTENDED    8      00 02 1A BF 00 00 00 00 
  00000066    11:50:05.679.431             接收            3AF        DATA    STANDARD    8      05 00 00 00 00 00 00 FF 
  00000067    11:50:05.705.078             接收            3AF        DATA    STANDARD    8      06 00 00 00 00 00 00 FC 
  00000068    11:50:05.705.104             接收       03401014        DATA    EXTENDED    8      00 00 60 00 98 01 20 00 
  00000069    11:50:05.726.175             接收            3AF        DATA    STANDARD    8      07 00 00 00 00 00 00 FD 
  00000070    11:50:05.752.109             接收       03401020        DATA    EXTENDED    8      00 00 00 00 00 00 00 00 
  00000071    11:50:05.769.372             接收            3AF        DATA    STANDARD    8      01 00 00 00 00 00 00 FB 
  00000072    11:50:05.790.288             接收            3AF        DATA    STANDARD    8      02 00 00 00 00 00 00 F8 
  00000073    11:50:05.802.408             接收       03401030        DATA    EXTENDED    8      00 00 00 00 00 00 00 00 
  00000074    11:50:05.822.904             接收            3AF        DATA    STANDARD    8      03 00 00 00 00 00 00 F9 
  00000075    11:50:05.854.801             接收            3AF        DATA    STANDARD    8      04 00 00 00 00 00 00 FE 
  00000076    11:50:05.854.830             接收       03401038        DATA    EXTENDED    8      00 00 00 00 00 00 00 00 
  00000077    11:50:05.955.119             接收            3AF        DATA    STANDARD    8      05 00 00 00 00 00 00 FF 
  00000078    11:50:05.955.128             接收       03401040        DATA    EXTENDED    8      00 00 00 00 00 00 00 00 
  00000079    11:50:05.955.133             接收            3AF        DATA    STANDARD    8      06 00 00 00 00 00 00 FC 
  00000080    11:50:05.955.136             接收            3AF        DATA    STANDARD    8      07 00 00 00 00 00 00 FD 
  00000081    11:50:05.955.140             接收       03401008        DATA    EXTENDED    8      00 01 00 00 00 07 D0 0C 
  00000082    11:50:05.970.498             接收            3AF        DATA    STANDARD    8      01 00 00 00 00 00 00 FB 
  00000083    11:50:06.007.402             接收            3AF        DATA    STANDARD    8      02 00 00 00 00 00 00 F8 
  00000084    11:50:06.007.427             接收       03401010        DATA    EXTENDED    8      5F 18 01 00 00 0A D2 00 
  00000085    11:50:06.039.291             接收            3AF        DATA    STANDARD    8      03 00 00 00 00 00 00 F9 
  00000086    11:50:06.052.534             接收       03401012        DATA    EXTENDED    8      00 02 1A BF 00 00 00 00 
  00000087    11:50:06.052.562             接收            3AF        DATA    STANDARD    8      04 00 00 00 00 00 00 FE 
  00000088    11:50:06.084.373             接收            3AF        DATA    STANDARD    8      05 00 00 00 00 00 00 FF 
  00000089    11:50:06.098.219             接收       03401014        DATA    EXTENDED    8      00 00 60 00 98 01 20 00 
  00000090    11:50:06.114.632             接收            3AF        DATA    STANDARD    8      06 00 00 00 00 00 00 FC 
  00000091    11:50:06.146.181             接收            3AF        DATA    STANDARD    8      07 00 00 00 00 00 00 FD 
  00000092    11:50:06.166.988             接收       03401020        DATA    EXTENDED    8      00 00 00 00 00 00 00 00 
  00000093    11:50:06.174.147             接收            3AF        DATA    STANDARD    8      01 00 00 00 00 00 00 FB 
  00000094    11:50:06.260.394             接收       03401030        DATA    EXTENDED    8      00 00 00 00 00 00 00 00 
  00000095    11:50:06.260.402             接收            3AF        DATA    STANDARD    8      02 00 00 00 00 00 00 F8 
  00000096    11:50:06.260.425             接收            3AF        DATA    STANDARD    8      03 00 00 00 00 00 00 F9 
  00000097    11:50:06.260.430             接收       03401038        DATA    EXTENDED    8      00 00 00 00 00 00 00 00 
  00000098    11:50:06.269.111             接收            3AF        DATA    STANDARD    8      04 00 00 00 00 00 00 FE 
  00000099    11:50:06.303.292             接收            3AF        DATA    STANDARD    8      05 00 00 00 00 00 00 FF 
  00000100    11:50:06.303.304             接收       03401040        DATA    EXTENDED    8      00 00 00 00 00 00 00 00 
  00000101    11:50:06.331.654             接收            3AF        DATA    STANDARD    8      06 00 00 00 00 00 00 FC 
  00000102    11:50:06.352.761             接收       03401008        DATA    EXTENDED    8      00 01 00 00 00 07 D0 0C 
  00000103    11:50:06.352.789             接收            3AF        DATA    STANDARD    8      07 00 00 00 00 00 00 FD 
  00000104    11:50:06.384.429             接收            3AF        DATA    STANDARD    8      01 00 00 00 00 00 00 FB 
  00000105    11:50:06.395.425             接收       03401010        DATA    EXTENDED    8      5F 18 01 00 00 0A D2 00 
  00000106    11:50:06.427.517             接收            3AF        DATA    STANDARD    8      02 00 00 00 00 00 00 F8 
  00000107    11:50:06.445.163             接收            3AF        DATA    STANDARD    8      03 00 00 00 00 00 00 F9 
  00000108    11:50:06.455.755             接收       03401012        DATA    EXTENDED    8      00 02 1A BF 00 00 00 00 
  00000109    11:50:06.476.617             接收            3AF        DATA    STANDARD    8      04 00 00 00 00 00 00 FE 
  00000110    11:50:06.498.086             接收       03401014        DATA    EXTENDED    8      00 00 60 00 98 01 20 00 
  00000111    11:50:06.568.959             接收            3AF        DATA    STANDARD    8      05 00 00 00 00 00 00 FF 
  00000112    11:50:06.568.967             接收            3AF        DATA    STANDARD    8      06 00 00 00 00 00 00 FC 
  00000113    11:50:06.568.971             接收       03401020        DATA    EXTENDED    8      00 00 00 00 00 00 00 00 
  00000114    11:50:06.568.976             接收            3AF        DATA    STANDARD    8      07 00 00 00 00 00 00 FD 
  00000115    11:50:06.595.112             接收            3AF        DATA    STANDARD    8      01 00 00 00 00 00 00 FB 
  00000116    11:50:06.615.483             接收       03401030        DATA    EXTENDED    8      00 00 00 00 00 00 00 00 
  00000117    11:50:06.629.840             接收            3AF        DATA    STANDARD    8      02 00 00 00 00 00 00 F8 
  00000118    11:50:06.646.476             接收       03401038        DATA    EXTENDED    8      00 00 00 00 00 00 00 00 
  00000119    11:50:06.666.786             接收            3AF        DATA    STANDARD    8      03 00 00 00 00 00 00 F9 
  00000120    11:50:06.693.924             接收            3AF        DATA    STANDARD    8      04 00 00 00 00 00 00 FE 
  00000121    11:50:06.708.830             接收       03401040        DATA    EXTENDED    8      00 00 00 00 00 00 00 00 
  00000122    11:50:06.729.620             接收            3AF        DATA    STANDARD    8      05 00 00 00 00 00 00 FF 
  00000123    11:50:06.754.169             接收            3AF        DATA    STANDARD    8      06 00 00 00 00 00 00 FC 
  00000124    11:50:06.754.197             接收       03401008        DATA    EXTENDED    8      00 01 00 00 00 07 D0 0C 
  00000125    11:50:06.791.506             接收            3AF        DATA    STANDARD    8      07 00 00 00 00 00 00 FD 
  00000126    11:50:06.804.445             接收       03401010        DATA    EXTENDED    8      5F 18 01 00 00 0A D2 00 
  00000127    11:50:06.804.473             接收            3AF        DATA    STANDARD    8      01 00 00 00 00 00 00 FB 
  00000128    11:50:06.888.637             接收            3AF        DATA    STANDARD    8      02 00 00 00 00 00 00 F8 
  00000129    11:50:06.888.645             接收       03401012        DATA    EXTENDED    8      00 02 1A BF 00 00 00 00 
  00000130    11:50:06.888.649             接收            3AF        DATA    STANDARD    8      03 00 00 00 00 00 00 F9 
  00000131    11:50:06.894.667             接收            3AF        DATA    STANDARD    8      04 00 00 00 00 00 00 FE 
  00000132    11:50:06.909.170             接收       03401014        DATA    EXTENDED    8      00 00 60 00 98 01 20 00 
  00000133    11:50:06.925.422             接收            3AF        DATA    STANDARD    8      05 00 00 00 00 00 00 FF 
  00000134    11:50:06.945.732             接收       03401020        DATA    EXTENDED    8      00 00 00 00 00 00 00 00 
  00000135    11:50:06.956.001             接收            3AF        DATA    STANDARD    8      06 00 00 00 00 00 00 FC 
  00000136    11:50:06.991.034             接收            3AF        DATA    STANDARD    8      07 00 00 00 00 00 00 FD 
  00000137    11:50:07.011.610             接收       03401030        DATA    EXTENDED    8      00 00 00 00 00 00 00 00 
  00000138    11:50:07.023.384             接收            3AF        DATA    STANDARD    8      01 00 00 00 00 00 00 FB 
  00000139    11:50:07.049.875             接收            3AF        DATA    STANDARD    8      02 00 00 00 00 00 00 F8 
  00000140    11:50:07.049.900             接收       03401038        DATA    EXTENDED    8      00 00 00 00 00 00 00 00 
