     index           time           Name             ID        Type      Format  Len      Data
  00000001    12:01:27.352.969             接收       03401012        DATA    EXTENDED    8      00 02 1A C5 00 00 00 00 
  00000002    12:01:27.352.979             接收            3AF        DATA    STANDARD    8      06 00 00 00 00 00 00 FC 
  00000003    12:01:27.352.984             接收            3AF        DATA    STANDARD    8      07 00 00 00 00 00 00 FD 
  00000004    12:01:27.352.988             接收       03401014        DATA    EXTENDED    8      00 00 60 00 98 01 20 00 
  00000005    12:01:27.362.773             接收            3AF        DATA    STANDARD    8      01 00 00 00 00 00 00 FB 
  00000006    12:01:27.393.556             接收            3AF        DATA    STANDARD    8      02 00 00 00 00 00 00 F8 
  00000007    12:01:27.393.566             接收       03401020        DATA    EXTENDED    8      00 00 00 00 00 00 00 00 
  00000008    12:01:27.429.866             接收            3AF        DATA    STANDARD    8      03 00 00 00 00 00 00 F9 
  00000009    12:01:27.463.595             接收       03401030        DATA    EXTENDED    8      00 00 00 00 00 00 00 00 
  00000010    12:01:27.463.605             接收            3AF        DATA    STANDARD    8      04 00 00 00 00 00 00 FE 
  00000011    12:01:27.488.826             接收            3AF        DATA    STANDARD    8      05 00 00 00 00 00 00 FF 
  00000012    12:01:27.501.671             接收       03401038        DATA    EXTENDED    8      00 00 00 00 00 00 00 00 
  00000013    12:01:27.520.961             接收            3AF        DATA    STANDARD    8      06 00 00 00 00 00 00 FC 
  00000014    12:01:27.541.345             接收            3AF        DATA    STANDARD    8      07 00 00 00 00 00 00 FD 
  00000015    12:01:27.554.587             接收       03401040        DATA    EXTENDED    8      00 00 00 00 00 00 00 00 
  00000016    12:01:27.586.063             接收            3AF        DATA    STANDARD    8      01 00 00 00 00 00 00 FB 
  00000017    12:01:27.596.423             接收       03401008        DATA    EXTENDED    8      00 01 00 00 00 07 D0 03 
  00000018    12:01:27.617.079             接收            3AF        DATA    STANDARD    8      02 00 00 00 00 00 00 F8 
  00000019    12:01:27.646.600             接收            3AF        DATA    STANDARD    8      03 00 00 00 00 00 00 F9 
  00000020    12:01:27.646.626             接收       03401010        DATA    EXTENDED    8      5F 18 01 00 00 0A D2 00 
  00000021    12:01:27.661.045             接收            3AF        DATA    STANDARD    8      04 00 00 00 00 00 00 FE 
  00000022    12:01:27.692.531             接收            3AF        DATA    STANDARD    8      05 00 00 00 00 00 00 FF 
  00000023    12:01:27.708.171             接收       03401012        DATA    EXTENDED    8      00 02 1A C5 00 00 00 00 
  00000024    12:01:27.727.680             接收            3AF        DATA    STANDARD    8      06 00 00 00 00 00 00 FC 
  00000025    12:01:27.813.604             接收       03401014        DATA    EXTENDED    8      00 00 60 00 98 01 20 00 
  00000026    12:01:27.813.612             接收            3AF        DATA    STANDARD    8      07 00 00 00 00 00 00 FD 
  00000027    12:01:27.813.616             接收            3AF        DATA    STANDARD    8      01 00 00 00 00 00 00 FB 
  00000028    12:01:27.813.620             接收       03401020        DATA    EXTENDED    8      00 00 00 00 00 00 00 00 
  00000029    12:01:27.813.624             接收            3AF        DATA    STANDARD    8      02 00 00 00 00 00 00 F8 
  00000030    12:01:27.851.513             接收            3AF        DATA    STANDARD    8      03 00 00 00 00 00 00 F9 
  00000031    12:01:27.851.532             接收       03401030        DATA    EXTENDED    8      00 00 00 00 00 00 00 00 
  00000032    12:01:27.889.630             接收            3AF        DATA    STANDARD    8      04 00 00 00 00 00 00 FE 
  00000033    12:01:27.889.657             接收       03401038        DATA    EXTENDED    8      00 00 00 00 00 00 00 00 
  00000034    12:01:27.897.753             接收            3AF        DATA    STANDARD    8      05 00 00 00 00 00 00 FF 
  00000035    12:01:27.940.443             接收            3AF        DATA    STANDARD    8      06 00 00 00 00 00 00 FC 
  00000036    12:01:27.940.470             接收       03401040        DATA    EXTENDED    8      00 00 00 00 00 00 00 00 
  00000037    12:01:27.959.575             接收            3AF        DATA    STANDARD    8      07 00 00 00 00 00 00 FD 
  00000038    12:01:27.990.063             接收            3AF        DATA    STANDARD    8      01 00 00 00 00 00 00 FB 
  00000039    12:01:28.010.230             接收       03401008        DATA    EXTENDED    8      00 01 00 00 00 07 D0 03 
  00000040    12:01:28.021.326             接收            3AF        DATA    STANDARD    8      02 00 00 00 00 00 00 F8 
  00000041    12:01:28.054.642             接收       03401010        DATA    EXTENDED    8      5F 18 01 00 00 0A D2 00 
  00000042    12:01:28.054.669             接收            3AF        DATA    STANDARD    8      03 00 00 00 00 00 00 F9 
  00000043    12:01:28.134.712             接收            3AF        DATA    STANDARD    8      04 00 00 00 00 00 00 FE 
  00000044    12:01:28.134.720             接收       03401012        DATA    EXTENDED    8      00 02 1A C5 00 00 00 00 
  00000045    12:01:28.134.724             接收            3AF        DATA    STANDARD    8      05 00 00 00 00 00 00 FF 
  00000046    12:01:28.143.667             接收            3AF        DATA    STANDARD    8      06 00 00 00 00 00 00 FC 
  00000047    12:01:28.143.676             接收       03401014        DATA    EXTENDED    8      00 00 60 00 98 01 20 00 
  00000048    12:01:28.174.648             接收            3AF        DATA    STANDARD    8      07 00 00 00 00 00 00 FD 
  00000049    12:01:28.196.168             接收       03401020        DATA    EXTENDED    8      00 00 00 00 00 00 00 00 
  00000050    12:01:28.207.104             接收            3AF        DATA    STANDARD    8      01 00 00 00 00 00 00 FB 
  00000051    12:01:28.228.048             接收            3AF        DATA    STANDARD    8      02 00 00 00 00 00 00 F8 
  00000052    12:01:28.241.485             接收       03401030        DATA    EXTENDED    8      00 00 00 00 00 00 00 00 
  00000053    12:01:28.271.075             接收            3AF        DATA    STANDARD    8      03 00 00 00 00 00 00 F9 
  00000054    12:01:28.292.095             接收            3AF        DATA    STANDARD    8      04 00 00 00 00 00 00 FE 
  00000055    12:01:28.300.129             接收       03401038        DATA    EXTENDED    8      00 00 00 00 00 00 00 00 
  00000056    12:01:28.320.639             接收            3AF        DATA    STANDARD    8      05 00 00 00 00 00 00 FF 
  00000057    12:01:28.351.671             接收       03401040        DATA    EXTENDED    8      00 00 00 00 00 00 00 00 
  00000058    12:01:28.351.698             接收            3AF        DATA    STANDARD    8      06 00 00 00 00 00 00 FC 
  00000059    12:01:28.457.316             接收            3AF        DATA    STANDARD    8      07 00 00 00 00 00 00 FD 
  00000060    12:01:28.457.326             接收       03401008        DATA    EXTENDED    8      00 01 00 00 00 07 D0 03 
  00000061    12:01:28.457.330             接收            3AF        DATA    STANDARD    8      01 00 00 00 00 00 00 FB 
  00000062    12:01:28.457.335             接收            3AF        DATA    STANDARD    8      02 00 00 00 00 00 00 F8 
  00000063    12:01:28.457.340             接收       03401010        DATA    EXTENDED    8      5F 18 01 00 00 0A D2 00 
  00000064    12:01:28.476.127             接收            3AF        DATA    STANDARD    8      03 00 00 00 00 00 00 F9 
  00000065    12:01:28.489.935             接收       03401012        DATA    EXTENDED    8      00 02 1A C5 00 00 00 00 
  00000066    12:01:28.507.016             接收            3AF        DATA    STANDARD    8      04 00 00 00 00 00 00 FE 
  00000067    12:01:28.538.898             接收            3AF        DATA    STANDARD    8      05 00 00 00 00 00 00 FF 
  00000068    12:01:28.551.057             接收       03401014        DATA    EXTENDED    8      00 00 60 00 98 01 20 00 
  00000069    12:01:28.597.047             接收            3AF        DATA    STANDARD    8      07 00 00 00 00 00 00 FD 
  00000070    12:01:28.597.072             接收       03401020        DATA    EXTENDED    8      00 00 00 00 00 00 00 00 
  00000071    12:01:28.633.774             接收            3AF        DATA    STANDARD    8      01 00 00 00 00 00 00 FB 
  00000072    12:01:28.645.111             接收       03401030        DATA    EXTENDED    8      00 00 00 00 00 00 00 00 
  00000073    12:01:28.665.684             接收            3AF        DATA    STANDARD    8      02 00 00 00 00 00 00 F8 
  00000074    12:01:28.678.973             接收            3AF        DATA    STANDARD    8      03 00 00 00 00 00 00 F9 
  00000075    12:01:28.759.531             接收       03401038        DATA    EXTENDED    8      00 00 00 00 00 00 00 00 
  00000076    12:01:28.759.538             接收            3AF        DATA    STANDARD    8      04 00 00 00 00 00 00 FE 
  00000077    12:01:28.759.543             接收            3AF        DATA    STANDARD    8      05 00 00 00 00 00 00 FF 
  00000078    12:01:28.759.547             接收       03401040        DATA    EXTENDED    8      00 00 00 00 00 00 00 00 
  00000079    12:01:28.771.866             接收            3AF        DATA    STANDARD    8      06 00 00 00 00 00 00 FC 
  00000080    12:01:28.800.265             接收       03401008        DATA    EXTENDED    8      00 01 00 00 00 07 D0 03 
  00000081    12:01:28.800.276             接收            3AF        DATA    STANDARD    8      07 00 00 00 00 00 00 FD 
  00000082    12:01:28.831.574             接收            3AF        DATA    STANDARD    8      01 00 00 00 00 00 00 FB 
  00000083    12:01:28.852.575             接收       03401010        DATA    EXTENDED    8      5F 18 01 00 00 0A D2 00 
  00000084    12:01:28.863.154             接收            3AF        DATA    STANDARD    8      02 00 00 00 00 00 00 F8 
  00000085    12:01:28.894.506             接收            3AF        DATA    STANDARD    8      03 00 00 00 00 00 00 F9 
  00000086    12:01:28.894.532             接收       03401012        DATA    EXTENDED    8      00 02 1A C5 00 00 00 00 
  00000087    12:01:28.927.997             接收            3AF        DATA    STANDARD    8      04 00 00 00 00 00 00 FE 
  00000088    12:01:28.948.164             接收       03401014        DATA    EXTENDED    8      00 00 60 00 98 01 20 00 
  00000089    12:01:28.948.192             接收            3AF        DATA    STANDARD    8      05 00 00 00 00 00 00 FF 
  00000090    12:01:28.987.466             接收            3AF        DATA    STANDARD    8      06 00 00 00 00 00 00 FC 
  00000091    12:01:29.085.224             接收       03401020        DATA    EXTENDED    8      00 00 00 00 00 00 00 00 
  00000092    12:01:29.085.232             接收            3AF        DATA    STANDARD    8      07 00 00 00 00 00 00 FD 
  00000093    12:01:29.085.236             接收            3AF        DATA    STANDARD    8      01 00 00 00 00 00 00 FB 
  00000094    12:01:29.085.240             接收       03401030        DATA    EXTENDED    8      00 00 00 00 00 00 00 00 
  00000095    12:01:29.085.244             接收            3AF        DATA    STANDARD    8      02 00 00 00 00 00 00 F8 
  00000096    12:01:29.104.685             接收       03401038        DATA    EXTENDED    8      00 00 00 00 00 00 00 00 
  00000097    12:01:29.104.695             接收            3AF        DATA    STANDARD    8      03 00 00 00 00 00 00 F9 
  00000098    12:01:29.128.659             接收            3AF        DATA    STANDARD    8      04 00 00 00 00 00 00 FE 
  00000099    12:01:29.145.097             接收       03401040        DATA    EXTENDED    8      00 00 00 00 00 00 00 00 
  00000100    12:01:29.164.741             接收            3AF        DATA    STANDARD    8      05 00 00 00 00 00 00 FF 
  00000101    12:01:29.191.073             接收            3AF        DATA    STANDARD    8      06 00 00 00 00 00 00 FC 
  00000102    12:01:29.205.996             接收       03401008        DATA    EXTENDED    8      00 01 00 00 00 07 D0 03 
  00000103    12:01:29.227.030             接收            3AF        DATA    STANDARD    8      07 00 00 00 00 00 00 FD 
  00000104    12:01:29.240.257             接收       03401010        DATA    EXTENDED    8      5F 18 01 00 00 0A D2 00 
  00000105    12:01:29.255.481             接收            3AF        DATA    STANDARD    8      01 00 00 00 00 00 00 FB 
  00000106    12:01:29.293.519             接收            3AF        DATA    STANDARD    8      02 00 00 00 00 00 00 F8 
  00000107    12:01:29.293.546             接收       03401012        DATA    EXTENDED    8      00 02 1A C5 00 00 00 00 
  00000108    12:01:29.386.833             接收            3AF        DATA    STANDARD    8      03 00 00 00 00 00 00 F9 
  00000109    12:01:29.386.841             接收            3AF        DATA    STANDARD    8      04 00 00 00 00 00 00 FE 
  00000110    12:01:29.386.845             接收       03401014        DATA    EXTENDED    8      00 00 60 00 98 01 20 00 
  00000111    12:01:29.386.849             接收            3AF        DATA    STANDARD    8      05 00 00 00 00 00 00 FF 
  00000112    12:01:29.392.268             接收       03401020        DATA    EXTENDED    8      00 00 00 00 00 00 00 00 
  00000113    12:01:29.418.521             接收            3AF        DATA    STANDARD    8      06 00 00 00 00 00 00 FC 
