     index           time           Name             ID        Type      Format  Len      Data
  00000001    11:36:20.865.611             接收            3AF        DATA    STANDARD    8      03 00 00 00 00 00 00 F9 
  00000002    11:36:20.865.621             接收            3AF        DATA    STANDARD    8      04 00 00 00 00 00 00 FE 
  00000003    11:36:20.865.625             接收       03401014        DATA    EXTENDED    8      00 00 60 00 98 01 20 00 
  00000004    11:36:20.865.630             接收            3AF        DATA    STANDARD    8      05 00 00 00 00 00 00 FF 
  00000005    11:36:20.885.542             接收            3AF        DATA    STANDARD    8      06 00 00 00 00 00 00 FC 
  00000006    11:36:20.896.003             接收       03401020        DATA    EXTENDED    8      00 00 00 00 00 00 00 00 
  00000007    11:36:20.909.474             接收            3AF        DATA    STANDARD    8      07 00 00 00 00 00 00 FD 
  00000008    11:36:20.949.395             接收       03401030        DATA    EXTENDED    8      00 00 00 00 00 00 00 00 
  00000009    11:36:20.949.421             接收            3AF        DATA    STANDARD    8      01 00 00 00 00 00 00 FB 
  00000010    11:36:20.975.799             接收            3AF        DATA    STANDARD    8      02 00 00 00 00 00 00 F8 
  00000011    11:36:20.991.594             接收       03401038        DATA    EXTENDED    8      00 00 00 00 00 00 00 00 
  00000012    11:36:21.001.261             接收            3AF        DATA    STANDARD    8      03 00 00 00 00 00 00 F9 
  00000013    11:36:21.043.152             接收            3AF        DATA    STANDARD    8      04 00 00 00 00 00 00 FE 
  00000014    11:36:21.043.177             接收       03401040        DATA    EXTENDED    8      00 00 00 00 00 00 00 00 
  00000015    11:36:21.070.093             接收            3AF        DATA    STANDARD    8      05 00 00 00 00 00 00 FF 
  00000016    11:36:21.102.021             接收       03401008        DATA    EXTENDED    8      00 01 00 00 00 07 D0 18 
  00000017    11:36:21.102.046             接收            3AF        DATA    STANDARD    8      06 00 00 00 00 00 00 FC 
  00000018    11:36:21.134.903             接收            3AF        DATA    STANDARD    8      07 00 00 00 00 00 00 FD 
  00000019    11:36:21.145.941             接收       03401010        DATA    EXTENDED    8      5F 18 01 00 00 0A D2 00 
  00000020    11:36:21.166.817             接收            3AF        DATA    STANDARD    8      01 00 00 00 00 00 00 FB 
  00000021    11:36:21.246.974             接收            3AF        DATA    STANDARD    8      02 00 00 00 00 00 00 F8 
  00000022    11:36:21.246.982             接收       03401012        DATA    EXTENDED    8      00 02 1A B9 00 00 00 00 
  00000023    11:36:21.246.986             接收            3AF        DATA    STANDARD    8      03 00 00 00 00 00 00 F9 
  00000024    11:36:21.246.990             接收       03401014        DATA    EXTENDED    8      00 00 60 00 98 01 20 00 
  00000025    11:36:21.246.994             接收            3AF        DATA    STANDARD    8      04 00 00 00 00 00 00 FE 
  00000026    11:36:21.289.023             接收            3AF        DATA    STANDARD    8      05 00 00 00 00 00 00 FF 
  00000027    11:36:21.301.853             接收       03401020        DATA    EXTENDED    8      00 00 00 00 00 00 00 00 
  00000028    11:36:21.301.873             接收            3AF        DATA    STANDARD    8      06 00 00 00 00 00 00 FC 
