3AF      04 00 00 00 00 00 00 FE 
03401014      00 00 60 00 98 01 20 00 
3AF      05 00 00 00 00 00 00 FF 
3AF      06 00 00 00 00 00 00 FC 
03401020      00 00 00 00 00 00 00 00 
3AF      07 00 00 00 00 00 00 FD 
03401030      00 00 00 00 00 00 00 00 
3AF      01 00 00 00 00 00 00 FB 
3AF      02 00 00 00 00 00 00 F8 
03401038      00 00 00 00 00 00 00 00 
3AF      03 00 00 00 00 00 00 F9 
03401040      00 00 00 00 00 00 00 00 
03401008      00 01 00 00 00 07 D0 11 
03401010      5F 18 01 00 00 0A D2 00 
03401012      00 02 1A BA 00 00 00 00 
03401014      00 00 60 20 98 01 20 00 
03401014      00 00 60 20 9B 00 00 00 
03401014      00 00 60 00 9B 02 00 00 
03401040      00 00 80 00 00 00 00 00 
03401014      00 10 60 00 9B 02 00 00 
03401014      00 10 60 10 9B 02 00 00 
03401014      00 10 60 10 9B 00 00 00 
03401014      00 10 60 10 9B 00 20 00 
03401012      00 02 1A BB 00 00 00 00 
03401014      00 10 60 14 18 01 20 00 
03401014      00 12 60 14 18 01 20 00 
03401014      00 12 60 15 18 01 20 00 
03401008      00 01 00 00 05 07 D0 11 
03401014      00 12 60 17 18 01 20 00 
03401008      00 01 00 00 16 07 D0 11 
03401008      00 01 00 00 6B 07 D0 11 
03401014      00 12 60 17 10 01 20 00 
03401008      00 01 00 01 21 07 D0 11 
03401008      00 01 00 01 FF 07 D0 11 
03401014      00 12 60 17 00 01 20 00 
03401008      00 01 00 02 E8 07 D0 11 
03401008      00 01 00 03 C0 07 D0 11 
03401008      00 01 00 04 98 07 D0 11 
03401008      00 01 00 05 81 07 D0 11 
03401008      00 01 00 06 53 07 D0 12 
03401008      00 01 00 07 2B 07 D0 12 
03401008      00 01 00 07 AD 07 D0 12 
03401008      00 01 00 07 E1 07 D0 12 
03401008      00 01 00 07 D5 07 D0 13 
03401008      00 01 00 07 E1 07 D0 13 
03401008      00 01 00 07 DB 07 D0 13 
03401008      00 01 00 07 DB 07 D0 14 
03401008      00 01 00 07 DB 07 D0 15 
03401014      00 12 60 17 08 01 20 00 
03401008      00 01 00 07 E1 07 D0 16 
03401008      00 01 00 07 DB 07 D0 16 
03401008      00 01 00 07 E1 07 D0 17 
03401008      00 01 00 07 DB 07 D0 17 
03401008      00 01 00 07 91 07 D0 17 
03401008      00 01 00 06 F2 07 D0 17 
03401008      00 01 00 06 14 07 D0 17 
03401008      00 01 00 05 26 07 D0 18 
03401008      00 01 00 04 4E 07 D0 18 
03401008      00 01 00 03 76 07 D0 18 
03401008      00 01 00 02 87 07 D0 18 
03401008      00 01 00 01 AF 07 D0 18 
03401008      00 01 00 00 D7 07 D0 18 
03401008      00 01 00 00 3E 07 D0 18 
03401008      00 01 00 00 11 07 D0 18 
03401008      00 01 00 00 00 07 D0 18 
03401014      00 12 60 00 18 01 20 00 
03401014      00 08 60 00 18 01 20 00 
03401014      00 08 60 20 98 01 20 00 
03401014      00 08 60 20 9B 00 00 00 
03401014      00 08 60 00 9B 02 00 00 
03401014      00 08 60 00 9B 02 80 00 
03401030      04 00 00 00 00 00 00 00 
