     index           time           Name             ID        Type      Format  Len      Data
  00000000    16:57:27.181.770             接收            009        DATA    STANDARD    8      42 87 00 00 00 00 00 00 
  00000001    16:57:26.610.294             接收            008        DATA    STANDARD    8      01 AA 00 00 00 00 00 00 
  00000002    16:57:26.616.457             接收            01F        DATA    STANDARD    8      00 AB 01 00 00 00 00 00 
  00000003    16:57:27.186.739             接收            00A        DATA    STANDARD    8      00 7E 00 00 00 00 00 00 
  00000004    16:57:25.510.161             接收            008        DATA    STANDARD    8      10 0A 00 00 00 00 00 00 
  00000005    16:57:25.560.270             接收            008        DATA    STANDARD    8      00 82 00 01 00 00 00 00 
  00000006    16:57:26.910.317             接收            008        DATA    STANDARD    8      02 AA 00 00 00 00 00 00 
  00000007    16:57:26.915.754             接收            020        DATA    STANDARD    8      00 AB 02 00 00 00 00 00 
  00000008    16:57:25.660.301             接收            008        DATA    STANDARD    8      00 83 00 00 00 00 00 00 
  00000009    16:57:25.710.223             接收            008        DATA    STANDARD    8      00 84 00 00 00 00 00 00 
  00000010    16:57:27.060.457             接收            008        DATA    STANDARD    8      03 AA 00 00 00 00 00 00 
  00000011    16:57:27.065.990             接收            021        DATA    STANDARD    8      00 AB 03 00 00 00 00 00 
  00000012    16:54:56.847.317             接收            008        DATA    STANDARD    8      00 85 00 00 00 20 20 32 
  00000013    16:54:53.197.132             接收            008        DATA    STANDARD    8      00 86 00 00 00 02 01 05 
  00000014    16:30:27.463.234             接收            008        DATA    STANDARD    8      14 0A 10 04 03 19 34 29 
  00000015    16:54:52.041.576             接收            008        DATA    STANDARD    8      01 BC 02 00 00 00 00 00 
  00000016    16:57:26.310.242             接收            008        DATA    STANDARD    8      04 AA 00 00 00 00 00 00 
  00000017    16:57:26.315.680             接收            022        DATA    STANDARD    8      00 AB 04 00 00 00 00 00 
  00000018    16:54:51.341.473             接收            008        DATA    STANDARD    8      00 01 02 00 00 02 0C 00 
  00000019    16:57:26.110.210             接收            008        DATA    STANDARD    8      01 0A 00 00 00 00 00 00 
  00000020    16:57:26.210.242             接收            008        DATA    STANDARD    8      02 0A 00 00 00 00 00 00 
  00000021    16:57:26.260.303             接收            008        DATA    STANDARD    8      03 0A 00 00 00 00 00 00 
  00000022    16:54:51.641.446             接收            008        DATA    STANDARD    8      04 0A 04 00 00 00 02 13 
  00000023    16:57:26.410.272             接收            008        DATA    STANDARD    8      05 0A 00 00 00 00 00 00 
  00000024    16:57:26.510.380             接收            008        DATA    STANDARD    8      06 0A 00 00 00 00 00 00 
  00000025    16:57:26.560.348             接收            008        DATA    STANDARD    8      07 0A 00 00 00 00 00 00 
  00000026    16:57:26.660.408             接收            008        DATA    STANDARD    8      08 0A 00 00 00 00 00 00 
  00000027    16:57:26.710.301             接收            008        DATA    STANDARD    8      09 0A 00 00 00 00 00 00 
  00000028    16:30:27.813.319             接收            008        DATA    STANDARD    8      0A 0A 00 00 02 19 34 30 
  00000029    16:57:26.860.395             接收            008        DATA    STANDARD    8      0B 0A 00 00 00 00 00 00 
  00000030    16:57:26.960.426             接收            008        DATA    STANDARD    8      0C 0A 00 00 00 00 00 00 
  00000031    16:57:27.010.397             接收            008        DATA    STANDARD    8      0D 0A 00 00 00 00 00 00 
  00000032    16:57:27.110.380             接收            008        DATA    STANDARD    8      0E 0A 00 00 00 00 00 00 
  00000033    16:57:27.160.441             接收            008        DATA    STANDARD    8      0F 0A 00 00 00 00 00 00 
  00000034    16:30:29.213.440             接收            008        DATA    STANDARD    8      14 0A 10 04 03 19 34 31 
  00000035    16:30:29.563.582             接收            008        DATA    STANDARD    8      0A 0A 00 00 02 19 34 32 
  00000036    16:30:30.413.660             接收            008        DATA    STANDARD    8      14 0A 10 04 03 19 34 32 
  00000037    16:30:30.963.674             接收            008        DATA    STANDARD    8      14 0A 10 04 03 19 34 33 
  00000038    16:30:31.313.756             接收            008        DATA    STANDARD    8      0A 0A 00 00 02 19 34 33 
  00000039    16:30:32.163.832             接收            008        DATA    STANDARD    8      14 0A 10 04 03 19 34 34 
  00000040    16:30:32.713.866             接收            008        DATA    STANDARD    8      14 0A 10 04 03 19 34 35 
  00000041    16:30:33.064.020             接收            008        DATA    STANDARD    8      0A 0A 00 00 02 19 34 35 
  00000042    16:30:34.464.129             接收            008        DATA    STANDARD    8      14 0A 10 04 03 19 34 36 
  00000043    16:30:34.814.192             接收            008        DATA    STANDARD    8      0A 0A 00 00 02 19 34 37 
  00000044    16:30:36.214.255             接收            008        DATA    STANDARD    8      14 0A 10 04 03 19 34 38 
  00000045    16:30:36.564.414             接收            008        DATA    STANDARD    8      0A 0A 00 00 02 19 34 38 
  00000046    16:30:37.414.506             接收            008        DATA    STANDARD    8      14 0A 10 04 03 19 34 39 
  00000047    16:30:37.964.570             接收            008        DATA    STANDARD    8      14 0A 10 04 03 19 34 40 
  00000048    16:30:38.314.677             接收            008        DATA    STANDARD    8      0A 0A 00 00 02 19 34 40 
  00000049    16:30:39.164.755             接收            008        DATA    STANDARD    8      14 0A 10 04 03 19 34 41 
  00000050    16:30:39.714.668             接收            008        DATA    STANDARD    8      14 0A 10 04 03 19 34 42 
  00000051    16:30:40.064.874             接收            008        DATA    STANDARD    8      0A 0A 00 00 02 19 34 42 
  00000052    16:30:41.464.940             接收            008        DATA    STANDARD    8      14 0A 10 04 03 19 34 43 
  00000053    16:30:41.815.020             接收            008        DATA    STANDARD    8      0A 0A 00 00 02 19 34 44 
  00000054    16:30:42.665.145             接收            008        DATA    STANDARD    8      14 0A 10 04 03 19 34 44 
  00000055    16:30:43.215.154             接收            008        DATA    STANDARD    8      14 0A 10 04 03 19 34 45 
  00000056    16:30:43.565.285             接收            008        DATA    STANDARD    8      0A 0A 00 00 02 19 34 45 
  00000057    16:30:44.415.252             接收            008        DATA    STANDARD    8      14 0A 10 04 03 19 34 46 
  00000058    16:30:44.965.396             接收            008        DATA    STANDARD    8      14 0A 10 04 03 19 34 47 
  00000059    16:30:45.315.459             接收            008        DATA    STANDARD    8      0A 0A 00 00 02 19 34 47 
  00000060    16:30:46.165.536             接收            008        DATA    STANDARD    8      14 0A 10 04 03 19 34 48 
  00000061    16:30:46.715.567             接收            008        DATA    STANDARD    8      14 0A 10 04 03 19 34 49 
  00000062    16:30:47.065.770             接收            008        DATA    STANDARD    8      0A 0A 00 00 02 19 34 49 
  00000063    16:30:48.465.879             接收            008        DATA    STANDARD    8      14 0A 10 04 03 19 34 50 
  00000064    16:30:48.815.895             接收            008        DATA    STANDARD    8      0A 0A 00 00 02 19 34 51 
  00000065    16:30:49.665.973             接收            008        DATA    STANDARD    8      14 0A 10 04 03 19 34 51 
  00000066    16:30:50.215.957             接收            008        DATA    STANDARD    8      14 0A 10 04 03 19 34 52 
  00000067    16:30:50.566.132             接收            008        DATA    STANDARD    8      0A 0A 00 00 02 19 34 52 
  00000068    16:30:51.416.099             接收            008        DATA    STANDARD    8      14 0A 10 04 03 19 34 53 
  00000069    16:30:51.966.224             接收            008        DATA    STANDARD    8      14 0A 10 04 03 19 34 54 
  00000070    16:30:52.316.346             接收            008        DATA    STANDARD    8      0A 0A 00 00 02 19 34 54 
  00000071    16:30:53.716.418             接收            008        DATA    STANDARD    8      14 0A 10 04 03 19 34 55 
  00000072    16:30:54.066.551             接收            008        DATA    STANDARD    8      0A 0A 00 00 02 19 34 56 
  00000073    16:30:55.466.709             接收            008        DATA    STANDARD    8      14 0A 10 04 03 19 34 57 
  00000074    16:30:55.816.788             接收            008        DATA    STANDARD    8      0A 0A 00 00 02 19 34 58 
  00000075    16:30:56.666.802             接收            008        DATA    STANDARD    8      14 0A 10 04 03 19 34 58 
  00000076    16:30:57.216.832             接收            008        DATA    STANDARD    8      14 0A 10 04 03 19 34 59 
  00000077    16:30:57.566.988             接收            008        DATA    STANDARD    8      0A 0A 00 00 02 19 34 59 
  00000078    16:30:58.417.114             接收            008        DATA    STANDARD    8      14 0A 10 04 03 19 35 00 
  00000079    16:30:58.967.099             接收            008        DATA    STANDARD    8      14 0A 10 04 03 19 35 01 
  00000080    16:30:59.317.182             接收            008        DATA    STANDARD    8      0A 0A 00 00 02 19 35 01 
  00000081    16:31:00.717.322             接收            008        DATA    STANDARD    8      14 0A 10 04 03 19 35 02 
  00000082    16:31:01.067.521             接收            008        DATA    STANDARD    8      0A 0A 00 00 02 19 35 03 
  00000083    16:31:02.467.564             接收            008        DATA    STANDARD    8      14 0A 10 04 03 19 35 04 
  00000084    16:31:02.817.618             接收            008        DATA    STANDARD    8      0A 0A 00 00 02 19 35 04 
  00000085    16:31:03.667.677             接收            008        DATA    STANDARD    8      14 0A 10 04 03 19 35 05 
  00000086    16:31:04.217.688             接收            008        DATA    STANDARD    8      14 0A 10 04 03 19 35 06 
  00000087    16:31:04.567.911             接收            008        DATA    STANDARD    8      0A 0A 00 00 02 19 35 06 
  00000088    16:31:05.417.868             接收            008        DATA    STANDARD    8      14 0A 10 04 03 19 35 07 
