     index           time           Name             ID        Type      Format  Len      Data
  00000000         000.049.993             接收            009        DATA    STANDARD    8      42 87 00 00 00 00 00 00 
  00000001         001.750.173             接收            008        DATA    STANDARD    8      01 0A 00 00 00 00 00 00 
  00000002         000.100.032             接收            00A        DATA    STANDARD    8      00 7E 00 00 00 00 00 00 
  00000003         001.750.128             接收            008        DATA    STANDARD    8      02 0A 00 00 00 00 00 00 
  00000004         001.750.268             接收            008        DATA    STANDARD    8      03 0A 00 00 00 00 00 00 
  00000005         001.750.268             接收            008        DATA    STANDARD    8      04 0A 04 00 00 00 02 20 
  00000006         001.750.139             接收            008        DATA    STANDARD    8      05 0A 00 00 00 00 00 00 
  00000007         001.750.158             接收            008        DATA    STANDARD    8      06 0A 00 00 00 00 00 00 
  00000008         001.750.270             接收            008        DATA    STANDARD    8      07 0A 00 00 00 00 00 00 
  00000009         001.750.274             接收            008        DATA    STANDARD    8      08 0A 00 00 00 00 00 00 
  00000010         001.750.152             接收            008        DATA    STANDARD    8      09 0A 00 00 00 00 00 00 
  00000011         000.000.000             接收            008        DATA    STANDARD    8      0A 0A 00 00 03 18 09 56 
  00000012         001.750.266             接收            008        DATA    STANDARD    8      0B 0A 00 00 00 00 00 00 
  00000013         001.750.291             接收            008        DATA    STANDARD    8      0C 0A 00 00 00 00 00 00 
  00000014         001.750.146             接收            008        DATA    STANDARD    8      0D 0A 00 00 00 00 00 00 
  00000015         001.750.171             接收            008        DATA    STANDARD    8      0E 0A 00 00 00 00 00 00 
  00000016         001.750.266             接收            008        DATA    STANDARD    8      0F 0A 00 00 00 00 00 00 
  00000017         001.750.219             接收            008        DATA    STANDARD    8      10 0A 00 00 00 00 00 00 
  00000018         001.744.844             接收            008        DATA    STANDARD    8      00 82 00 00 00 00 00 00 
  00000019         001.750.150             接收            008        DATA    STANDARD    8      00 83 00 00 00 00 00 00 
  00000020         001.750.220             接收            008        DATA    STANDARD    8      00 84 00 00 00 00 00 00 
  00000021         001.750.281             接收            008        DATA    STANDARD    8      00 85 00 00 00 20 20 32 
  00000022         001.750.157             接收            008        DATA    STANDARD    8      00 86 00 00 00 02 01 05 
  00000023         001.750.180             接收            008        DATA    STANDARD    8      00 01 02 00 00 02 00 00 
  00000024         000.750.127             接收            008        DATA    STANDARD    8      01 AA 00 00 00 00 00 00 
  00000025         000.749.999             接收            01F        DATA    STANDARD    8      00 AB 01 00 00 00 00 00 
  00000026         000.600.047             接收            008        DATA    STANDARD    8      02 AA 00 00 00 00 00 00 
  00000027         000.600.028             接收            020        DATA    STANDARD    8      00 AB 02 00 00 00 00 00 
  00000028         000.000.000             接收            008        DATA    STANDARD    8      14 0A 10 05 05 18 09 57 
  00000029         000.700.081             接收            008        DATA    STANDARD    8      03 AA 00 00 00 00 00 00 
  00000030         000.900.046             接收            021        DATA    STANDARD    8      00 AB 03 00 00 00 00 00 
  00000031         000.950.015             接收            008        DATA    STANDARD    8      01 BC 02 00 00 00 00 00 
  00000032         000.000.000             接收            008        DATA    STANDARD    8      0A 0A 00 00 03 18 09 57 
  00000033         000.900.137             接收            008        DATA    STANDARD    8      04 AA 00 00 00 00 00 00 
  00000034         000.899.998             接收            022        DATA    STANDARD    8      00 AB 04 00 00 00 00 00 
  00000035         000.000.000             接收            008        DATA    STANDARD    8      14 0A 10 05 05 18 09 58 
  00000036         000.000.000             接收            008        DATA    STANDARD    8      14 0A 10 05 05 18 09 59 
  00000037         000.000.000             接收            008        DATA    STANDARD    8      0A 0A 00 00 03 18 10 00 
  00000038         000.000.000             接收            008        DATA    STANDARD    8      14 0A 10 05 05 18 10 00 
  00000039         000.000.000             接收            008        DATA    STANDARD    8      14 0A 10 05 05 18 10 01 
  00000040         000.000.000             接收            008        DATA    STANDARD    8      0A 0A 00 00 03 18 10 01 
  00000041         000.000.000             接收            008        DATA    STANDARD    8      14 0A 10 05 05 18 10 02 
  00000042         000.000.000             接收            008        DATA    STANDARD    8      14 0A 10 05 05 18 10 03 
  00000043         000.000.000             接收            008        DATA    STANDARD    8      0A 0A 00 00 03 18 10 03 
  00000044         000.550.125             接收            008        DATA    STANDARD    8      14 0A 10 05 05 18 10 04 
  00000045         000.000.000             接收            008        DATA    STANDARD    8      0A 0A 00 00 03 18 10 05 
  00000046         000.550.031             接收            008        DATA    STANDARD    8      14 0A 10 05 05 18 10 06 
  00000047         003.600.423             接收            008        DATA    STANDARD    8      04 0A 04 00 00 01 02 20 
  00000048         001.000.148             接收            008        DATA    STANDARD    8      00 BC 02 00 00 00 00 00 
  00000049         000.000.000             接收            008        DATA    STANDARD    8      0A 0A 00 00 03 18 10 07 
  00000050         001.750.288             接收            008        DATA    STANDARD    8      00 01 02 03 00 02 02 00 
  00000051         000.000.000             接收            008        DATA    STANDARD    8      14 0A 10 05 05 18 10 08 
  00000052         000.000.000             接收            008        DATA    STANDARD    8      0A 0A 00 00 03 18 10 08 
  00000053         000.000.000             接收            008        DATA    STANDARD    8      14 0A 10 05 05 18 10 09 
  00000054         000.000.000             接收            008        DATA    STANDARD    8      14 0A 10 05 05 18 10 10 
  00000055         000.000.000             接收            008        DATA    STANDARD    8      0A 0A FF 79 03 18 10 10 
  00000056         000.593.223             接收            008        DATA    STANDARD    8      14 0A 10 05 05 18 10 11 
  00000057         001.749.399             接收            008        DATA    STANDARD    8      00 01 02 03 00 02 06 00 
  00000058         000.000.000             接收            008        DATA    STANDARD    8      0A 0A FF BF 02 18 10 12 
  00000059         000.551.063             接收            008        DATA    STANDARD    8      14 0A 10 05 05 18 10 13 
