     index           time           Name             ID        Type      Format  Len      Data
  00000000         000.049.999             接收            009        DATA    STANDARD    8      42 87 00 00 00 00 00 00 
  00000001         001.750.270             接收            008        DATA    STANDARD    8      0D 0A 00 00 00 00 00 00 
  00000002         000.100.078             接收            00A        DATA    STANDARD    8      00 7E 00 00 00 00 00 00 
  00000003         000.750.072             接收            008        DATA    STANDARD    8      02 AA 00 00 00 00 00 00 
  00000004         000.749.997             接收            020        DATA    STANDARD    8      00 AB 02 00 00 00 00 00 
  00000005         001.750.278             接收            008        DATA    STANDARD    8      0E 0A 00 00 00 00 00 00 
  00000006         001.750.152             接收            008        DATA    STANDARD    8      0F 0A 00 00 00 00 00 00 
  00000007         000.600.078             接收            008        DATA    STANDARD    8      03 AA 00 00 00 00 00 00 
  00000008         000.600.069             接收            021        DATA    STANDARD    8      00 AB 03 00 00 00 00 00 
  00000009         001.750.162             接收            008        DATA    STANDARD    8      10 0A 00 00 00 00 00 00 
  00000010         001.750.171             接收            008        DATA    STANDARD    8      20 82 00 01 00 00 00 00 
  00000011         000.700.079             接收            008        DATA    STANDARD    8      04 AA 00 00 00 00 00 00 
  00000012         000.699.967             接收            022        DATA    STANDARD    8      00 AB 04 00 00 00 00 00 
  00000013         001.750.282             接收            008        DATA    STANDARD    8      00 83 00 00 00 00 00 00 
  00000014         001.750.150             接收            008        DATA    STANDARD    8      00 84 00 00 00 00 00 00 
  00000015         000.900.141             接收            008        DATA    STANDARD    8      01 AA 00 00 00 00 00 00 
  00000016         000.900.000             接收            01F        DATA    STANDARD    8      00 AB 01 00 00 00 00 00 
  00000017         001.882.380             接收            008        DATA    STANDARD    8      00 85 00 00 00 20 20 31 
  00000018         001.750.169             接收            008        DATA    STANDARD    8      00 86 00 00 00 01 01 05 
  00000019         000.549.988             接收            008        DATA    STANDARD    8      14 0A 10 05 04 17 20 27 
  00000020         000.950.110             接收            008        DATA    STANDARD    8      01 BC 01 00 00 00 00 00 
  00000021         001.750.154             接收            008        DATA    STANDARD    8      00 01 01 00 00 01 0C 00 
  00000022         002.250.329             接收            008        DATA    STANDARD    8      01 0A 00 00 00 00 00 00 
  00000023         002.250.328             接收            008        DATA    STANDARD    8      02 0A 00 00 00 00 00 00 
  00000024         002.250.221             接收            008        DATA    STANDARD    8      03 0A 00 00 00 00 00 00 
  00000025         001.750.264             接收            008        DATA    STANDARD    8      04 0A 00 00 00 00 01 1E 
  00000026         002.250.328             接收            008        DATA    STANDARD    8      05 0A 00 00 00 00 00 00 
  00000027         002.000.279             接收            008        DATA    STANDARD    8      06 0A 00 00 00 00 00 00 
  00000028         002.000.269             接收            008        DATA    STANDARD    8      07 0A 00 00 00 00 00 00 
  00000029         002.000.231             接收            008        DATA    STANDARD    8      08 0A 00 00 00 00 00 00 
  00000030         002.000.271             接收            008        DATA    STANDARD    8      09 0A 00 00 00 00 00 00 
  00000031         000.000.000             接收            008        DATA    STANDARD    8      0A 0A 00 00 00 17 20 27 
  00000032         001.750.156             接收            008        DATA    STANDARD    8      0B 0A 00 00 00 00 00 00 
  00000033         001.750.167             接收            008        DATA    STANDARD    8      0C 0A 00 00 00 00 00 00 
  00000034         000.000.000             接收            008        DATA    STANDARD    8      14 0A 10 05 04 17 20 28 
  00000035         000.000.000             接收            008        DATA    STANDARD    8      14 0A 10 05 04 17 20 29 
  00000036         000.000.000             接收            008        DATA    STANDARD    8      0A 0A 00 00 00 17 20 29 
  00000037         000.000.000             接收            008        DATA    STANDARD    8      14 0A 10 05 04 17 20 30 
  00000038         000.000.000             接收            008        DATA    STANDARD    8      14 0A 10 05 04 17 20 31 
  00000039         000.000.000             接收            008        DATA    STANDARD    8      0A 0A 00 00 00 17 20 31 
  00000040         000.550.099             接收            008        DATA    STANDARD    8      14 0A 10 05 04 17 20 32 
  00000041         000.000.000             接收            008        DATA    STANDARD    8      0A 0A 00 00 00 17 20 33 
  00000042         000.000.000             接收            008        DATA    STANDARD    8      14 0A 10 05 04 17 20 33 
  00000043         000.000.000             接收            00A        DATA    STANDARD    8      01 6E 04 00 00 00 00 00 
  00000044         000.000.000             接收            008        DATA    STANDARD    8      00 01 01 01 00 01 0C 00 
  00000045         002.150.316             接收            008        DATA    STANDARD    8      03 0A 08 00 00 00 00 00 
  00000046         000.249.982             接收            008        DATA    STANDARD    8      04 0A 00 00 00 01 01 1E 
  00000047         002.456.853             接收            008        DATA    STANDARD    8      07 0A 08 00 00 00 00 00 
  00000048         001.900.240             接收            008        DATA    STANDARD    8      09 0A 08 00 00 00 00 00 
  00000049         000.000.000             接收            00A        DATA    STANDARD    8      00 6E 04 00 00 00 00 00 
  00000050         001.653.704             接收            008        DATA    STANDARD    8      00 01 01 02 00 01 0D 00 
  00000051         000.000.000             接收            008        DATA    STANDARD    8      14 0A 10 05 04 17 20 34 
  00000052         001.750.278             接收            008        DATA    STANDARD    8      00 82 00 01 00 00 00 00 
  00000053         001.950.563             接收            008        DATA    STANDARD    8      04 0A 04 00 00 01 01 1E 
  00000054         001.094.765             接收            008        DATA    STANDARD    8      00 BC 01 00 00 00 00 00 
  00000055         000.000.000             接收            008        DATA    STANDARD    8      0A 0A 00 00 00 17 20 35 
  00000056         000.305.302             接收            008        DATA    STANDARD    8      00 86 00 00 00 02 01 05 
  00000057         000.549.982             接收            008        DATA    STANDARD    8      14 0A 10 05 04 17 20 36 
  00000058         000.000.000             接收            008        DATA    STANDARD    8      0A 0A 00 B5 00 17 20 37 
  00000059         000.849.970             接收            008        DATA    STANDARD    8      00 01 01 02 00 01 05 00 
  00000060         001.749.938             接收            008        DATA    STANDARD    8      00 82 00 00 00 00 00 00 
  00000061         002.001.091             接收            008        DATA    STANDARD    8      00 86 00 00 00 03 01 05 
  00000062         000.600.026             接收            008        DATA    STANDARD    8      14 0A 10 05 04 17 20 38 
