     index           time           Name             ID        Type      Format  Len      Data
  00000000         000.049.922             接收            009        DATA    STANDARD    8      42 87 00 00 00 00 00 00 
  00000001         000.000.000             接收            008        DATA    STANDARD    8      0A 0A 00 00 00 17 48 00 
  00000002         001.750.172             接收            008        DATA    STANDARD    8      0B 0A 00 00 00 00 00 00 
  00000003         000.099.935             接收            00A        DATA    STANDARD    8      00 7E 00 00 00 00 00 00 
  00000004         000.700.075             接收            008        DATA    STANDARD    8      04 AA 00 00 00 00 00 00 
  00000005         000.700.013             接收            022        DATA    STANDARD    8      00 AB 04 00 00 00 00 00 
  00000006         001.750.190             接收            008        DATA    STANDARD    8      0C 0A 00 00 00 00 00 00 
  00000007         001.750.294             接收            008        DATA    STANDARD    8      0D 0A 00 00 00 00 00 00 
  00000008         000.750.001             接收            008        DATA    STANDARD    8      01 AA 00 00 00 00 00 00 
  00000009         000.750.022             接收            01F        DATA    STANDARD    8      00 AB 01 00 00 00 00 00 
  00000010         001.750.250             接收            008        DATA    STANDARD    8      0E 0A 00 00 00 00 00 00 
  00000011         001.750.146             接收            008        DATA    STANDARD    8      0F 0A 00 00 00 00 00 00 
  00000012         000.600.077             接收            008        DATA    STANDARD    8      02 AA 00 00 00 00 00 00 
  00000013         000.600.065             接收            020        DATA    STANDARD    8      00 AB 02 00 00 00 00 00 
  00000014         001.750.170             接收            008        DATA    STANDARD    8      10 0A 00 00 00 00 00 00 
  00000015         001.750.249             接收            008        DATA    STANDARD    8      00 82 00 01 00 00 00 00 
  00000016         000.700.047             接收            008        DATA    STANDARD    8      03 AA 00 00 00 00 00 00 
  00000017         000.700.010             接收            021        DATA    STANDARD    8      00 AB 03 00 00 00 00 00 
  00000018         001.750.261             接收            008        DATA    STANDARD    8      00 83 00 00 00 00 00 00 
  00000019         001.750.172             接收            008        DATA    STANDARD    8      00 84 00 00 00 00 00 00 
  00000020         001.899.327             接收            008        DATA    STANDARD    8      00 85 00 00 00 20 20 31 
  00000021         001.750.248             接收            008        DATA    STANDARD    8      00 86 00 00 00 01 01 05 
  00000022         000.550.109             接收            008        DATA    STANDARD    8      14 0A 10 05 05 17 48 01 
  00000023         000.950.188             接收            008        DATA    STANDARD    8      01 BC 01 00 00 00 00 00 
  00000024         001.750.242             接收            008        DATA    STANDARD    8      00 01 01 00 00 01 0C 00 
  00000025         001.750.172             接收            008        DATA    STANDARD    8      01 0A 00 00 00 00 00 00 
  00000026         001.750.264             接收            008        DATA    STANDARD    8      02 0A 00 00 00 00 00 00 
  00000027         001.750.144             接收            008        DATA    STANDARD    8      03 0A 00 00 00 00 00 00 
  00000028         001.750.171             接收            008        DATA    STANDARD    8      04 0A 04 00 00 00 01 17 
  00000029         001.750.247             接收            008        DATA    STANDARD    8      05 0A 00 00 00 00 00 00 
  00000030         001.750.262             接收            008        DATA    STANDARD    8      06 0A 00 00 00 00 00 00 
  00000031         001.750.182             接收            008        DATA    STANDARD    8      07 0A 00 00 00 00 00 00 
  00000032         001.750.188             接收            008        DATA    STANDARD    8      08 0A 00 00 00 00 00 00 
  00000033         001.750.252             接收            008        DATA    STANDARD    8      09 0A 00 00 00 00 00 00 
  00000034         000.000.000             接收            008        DATA    STANDARD    8      0A 0A 00 00 00 17 48 02 
  00000035         000.000.000             接收            008        DATA    STANDARD    8      14 0A 10 05 05 17 48 02 
  00000036         000.000.000             接收            008        DATA    STANDARD    8      14 0A 10 05 05 17 48 03 
  00000037         000.000.000             接收            008        DATA    STANDARD    8      0A 0A 00 00 00 17 48 03 
  00000038         000.000.000             接收            008        DATA    STANDARD    8      14 0A 10 05 05 17 48 04 
  00000039         000.000.000             接收            008        DATA    STANDARD    8      14 0A 10 05 05 17 48 05 
  00000040         000.000.000             接收            008        DATA    STANDARD    8      0A 0A 00 00 00 17 48 05 
  00000041         000.549.990             接收            008        DATA    STANDARD    8      14 0A 10 05 05 17 48 06 
  00000042         000.000.000             接收            008        DATA    STANDARD    8      0A 0A 00 00 00 17 48 07 
  00000043         000.850.147             接收            008        DATA    STANDARD    8      14 0A 10 05 05 17 48 08 
  00000044         000.000.000             接收            00A        DATA    STANDARD    8      01 6E 03 00 00 00 00 00 
  00000045         002.300.299             接收            008        DATA    STANDARD    8      07 0A 04 00 00 00 00 00 
  00000046         002.305.522             接收            008        DATA    STANDARD    8      09 0A 04 00 00 00 00 00 
  00000047         000.000.000             接收            008        DATA    STANDARD    8      00 01 01 01 00 01 0C 00 
  00000048         002.300.318             接收            008        DATA    STANDARD    8      03 0A 04 00 00 00 00 00 
  00000049         001.950.708             接收            008        DATA    STANDARD    8      04 0A 04 00 00 01 01 17 
  00000050         000.000.000             接收            00A        DATA    STANDARD    8      00 6E 03 00 00 00 00 00 
  00000051         001.700.205             接收            008        DATA    STANDARD    8      00 01 01 02 00 01 0D 00 
  00000052         001.097.321             接收            008        DATA    STANDARD    8      00 BC 01 00 00 00 00 00 
  00000053         000.000.000             接收            008        DATA    STANDARD    8      0A 0A 00 00 00 17 48 09 
  00000054         000.345.309             接收            008        DATA    STANDARD    8      00 86 00 00 00 02 01 05 
  00000055         000.550.140             接收            008        DATA    STANDARD    8      14 0A 10 05 05 17 48 10 
  00000056         000.000.000             接收            008        DATA    STANDARD    8      0A 0A 00 CB 00 17 48 11 
  00000057         000.900.115             接收            008        DATA    STANDARD    8      00 01 01 02 00 01 05 00 
  00000058         001.500.214             接收            008        DATA    STANDARD    8      00 82 00 00 00 00 00 00 
  00000059         001.750.243             接收            008        DATA    STANDARD    8      00 86 00 00 00 03 01 05 
  00000060         000.595.800             接收            008        DATA    STANDARD    8      14 0A 10 05 05 17 48 12 
  00000061         000.000.000             接收            008        DATA    STANDARD    8      00 01 01 02 00 01 01 00 
  00000062         001.149.303             接收            008        DATA    STANDARD    8      00 85 00 00 00 20 20 32 
  00000063         002.103.402             接收            008        DATA    STANDARD    8      00 01 02 02 00 02 01 00 
  00000064         001.805.436             接收            008        DATA    STANDARD    8      04 0A 04 00 00 01 02 17 
  00000065         000.950.062             接收            008        DATA    STANDARD    8      00 BC 02 00 00 00 00 00 
  00000066         000.000.000             接收            008        DATA    STANDARD    8      0A 0A 02 B8 01 17 48 13 
  00000067         000.000.000             接收            008        DATA    STANDARD    8      00 01 02 02 00 02 09 00 
  00000068         000.000.000             接收            008        DATA    STANDARD    8      00 01 02 02 00 02 0D 00 
  00000069         000.652.946             接收            008        DATA    STANDARD    8      14 0A 10 05 05 17 48 14 
  00000070         000.095.343             接收            008        DATA    STANDARD    8      00 01 02 02 00 02 05 00 
  00000071         000.000.000             接收            008        DATA    STANDARD    8      0A 0A 02 C1 03 17 48 15 
  00000072         001.750.142             接收            008        DATA    STANDARD    8      00 85 00 00 00 20 20 33 
  00000073         000.000.000             接收            008        DATA    STANDARD    8      00 01 03 02 00 03 01 00 
  00000074         000.000.000             接收            008        DATA    STANDARD    8      04 0A 04 00 00 01 03 17 
  00000075         000.000.000             接收            008        DATA    STANDARD    8      00 01 03 02 00 03 09 00 
  00000076         000.760.216             接收            008        DATA    STANDARD    8      14 0A 10 05 05 17 48 16 
  00000077         000.000.000             接收            008        DATA    STANDARD    8      02 82 00 00 00 00 00 00 
  00000078         000.200.063             接收            008        DATA    STANDARD    8      00 01 03 02 00 03 59 00 
  00000079         000.500.111             接收            008        DATA    STANDARD    8      04 0A 05 00 00 01 03 17 
  00000080         001.200.141             接收            008        DATA    STANDARD    8      00 BC 03 00 00 00 00 00 
  00000081         000.000.000             接收            008        DATA    STANDARD    8      00 01 03 02 00 03 49 00 
  00000082         000.000.000             接收            008        DATA    STANDARD    8      02 82 00 01 00 00 00 00 
  00000083         000.749.363             接收            008        DATA    STANDARD    8      00 01 03 02 00 03 4D 00 
  00000084         000.000.000             接收            008        DATA    STANDARD    8      00 01 03 02 00 03 5D 00 
  00000085         000.000.000             接收            008        DATA    STANDARD    8      0A 0A 00 49 04 17 48 17 
  00000086         001.750.150             接收            008        DATA    STANDARD    8      04 0A 04 00 00 00 03 17 
  00000087         000.000.000             接收            008        DATA    STANDARD    8      00 01 03 01 00 03 0D 00 
  00000088         000.000.000             接收            008        DATA    STANDARD    8      00 01 03 01 00 03 1D 00 
  00000089         000.000.000             接收            008        DATA    STANDARD    8      14 0A 10 05 05 17 48 18 
  00000090         001.000.126             接收            008        DATA    STANDARD    8      00 01 03 01 00 03 1C 00 
  00000091         001.050.188             接收            008        DATA    STANDARD    8      00 01 03 01 00 03 0C 00 
  00000092         000.000.000             接收            008        DATA    STANDARD    8      04 0A 04 20 00 00 03 17 
  00000093         000.000.000             接收            008        DATA    STANDARD    8      10 82 00 01 00 00 00 00 
  00000094         000.000.000             接收            008        DATA    STANDARD    8      00 01 03 09 00 03 1C 00 
  00000095         000.000.000             接收            008        DATA    STANDARD    8      14 0A 10 05 05 17 48 19 
  00000096         000.049.921             接收            009        DATA    STANDARD    8      43 87 00 00 00 00 00 00 
  00000097         003.900.504             接收            008        DATA    STANDARD    8      00 86 00 00 00 03 01 01 
  00000098         003.550.487             接收            008        DATA    STANDARD    8      00 86 00 00 00 03 01 00 
  00000099         000.000.000             接收            008        DATA    STANDARD    8      00 01 03 09 00 03 0C 00 
  00000100         000.950.156             接收            008        DATA    STANDARD    8      01 BC 03 00 00 00 00 00 
  00000101         000.050.064             接收            009        DATA    STANDARD    8      41 87 00 00 00 00 00 00 
  00000102         000.000.000             接收            008        DATA    STANDARD    8      0A 0A 00 00 04 17 48 19 
  00000103         002.100.234             接收            008        DATA    STANDARD    8      00 86 00 00 00 03 01 02 
  00000104         000.600.118             接收            008        DATA    STANDARD    8      14 0A 10 05 05 17 48 21 
  00000105         000.000.000             接收            008        DATA    STANDARD    8      0A 0A 00 00 04 17 48 22 
  00000106         000.000.000             接收            008        DATA    STANDARD    8      08 82 00 01 00 00 00 00 
  00000107         000.000.000             接收            008        DATA    STANDARD    8      00 01 03 11 00 03 0C 00 
  00000108         000.000.000             接收            008        DATA    STANDARD    8      04 0A 04 40 00 00 03 17 
  00000109         000.000.000             接收            008        DATA    STANDARD    8      14 0A 10 05 05 17 48 23 
  00000110         000.149.973             接收            008        DATA    STANDARD    8      00 01 03 11 00 03 1C 00 
  00000111         000.000.000             接收            008        DATA    STANDARD    8      00 01 03 10 00 03 0C 00 
  00000112         001.750.262             接收            008        DATA    STANDARD    8      00 01 03 00 00 03 0C 00 
  00000113         000.000.000             接收            008        DATA    STANDARD    8      14 0A 10 05 05 17 48 24 
  00000114         000.000.000             接收            008        DATA    STANDARD    8      0A 0A 00 00 04 17 48 24 
  00000115         000.550.125             接收            008        DATA    STANDARD    8      14 0A 10 05 05 17 48 25 
  00000116         000.000.000             接收            008        DATA    STANDARD    8      0A 0A 00 00 04 17 48 26 
  00000117         000.550.032             接收            008        DATA    STANDARD    8      14 0A 10 05 05 17 48 27 
  00000118         000.000.000             接收            008        DATA    STANDARD    8      0A 0A 00 00 04 17 48 27 
  00000119         000.000.000             接收            008        DATA    STANDARD    8      14 0A 10 05 05 17 48 28 
