     index           time           Name             ID        Type      Format  Len      Data
  00000000         000.100.078             接收            00A        DATA    STANDARD    8      00 7E 00 00 00 00 00 00 
  00000001         000.049.949             接收            009        DATA    STANDARD    8      42 87 00 00 00 00 00 00 
  00000002         002.050.267             接收            008        DATA    STANDARD    8      07 0A 00 00 00 00 00 00 
  00000003         000.600.065             接收            008        DATA    STANDARD    8      01 AA 00 00 00 00 00 00 
  00000004         000.599.978             接收            01F        DATA    STANDARD    8      00 AB 01 00 00 00 00 00 
  00000005         001.750.266             接收            008        DATA    STANDARD    8      08 0A 00 00 00 00 00 00 
  00000006         001.750.146             接收            008        DATA    STANDARD    8      09 0A 00 00 00 00 00 00 
  00000007         000.950.063             接收            008        DATA    STANDARD    8      01 BC 01 00 00 00 00 00 
  00000008         000.000.000             接收            008        DATA    STANDARD    8      0A 0A 00 00 00 16 27 56 
  00000009         001.750.253             接收            008        DATA    STANDARD    8      0B 0A 00 00 00 00 00 00 
  00000010         000.900.069             接收            008        DATA    STANDARD    8      02 AA 00 00 00 00 00 00 
  00000011         000.900.002             接收            020        DATA    STANDARD    8      00 AB 02 00 00 00 00 00 
  00000012         001.750.299             接收            008        DATA    STANDARD    8      0C 0A 00 00 00 00 00 00 
  00000013         001.750.191             接收            008        DATA    STANDARD    8      0D 0A 00 00 00 00 00 00 
  00000014         000.900.136             接收            008        DATA    STANDARD    8      03 AA 00 00 00 00 00 00 
  00000015         000.900.000             接收            021        DATA    STANDARD    8      00 AB 03 00 00 00 00 00 
  00000016         001.750.125             接收            008        DATA    STANDARD    8      0E 0A 00 00 00 00 00 00 
  00000017         001.750.251             接收            008        DATA    STANDARD    8      0F 0A 00 00 00 00 00 00 
  00000018         000.750.167             接收            008        DATA    STANDARD    8      04 AA 00 00 00 00 00 00 
  00000019         000.750.004             接收            022        DATA    STANDARD    8      00 AB 04 00 00 00 00 00 
  00000020         001.750.258             接收            008        DATA    STANDARD    8      10 0A 00 00 00 00 00 00 
  00000021         001.750.186             接收            008        DATA    STANDARD    8      20 82 00 01 00 00 00 00 
  00000022         001.750.171             接收            008        DATA    STANDARD    8      00 83 00 00 00 00 00 00 
  00000023         001.750.241             接收            008        DATA    STANDARD    8      00 84 00 00 00 00 00 00 
  00000024         001.902.454             接收            008        DATA    STANDARD    8      00 85 00 00 00 20 20 31 
  00000025         001.750.172             接收            008        DATA    STANDARD    8      00 86 00 00 00 01 01 05 
  00000026         000.000.000             接收            008        DATA    STANDARD    8      14 0A 10 05 04 16 27 57 
  00000027         001.750.173             接收            008        DATA    STANDARD    8      00 01 01 00 00 01 0C 00 
  00000028         002.350.216             接收            008        DATA    STANDARD    8      01 0A 00 00 00 00 00 00 
  00000029         002.350.248             接收            008        DATA    STANDARD    8      02 0A 00 00 00 00 00 00 
  00000030         002.150.324             接收            008        DATA    STANDARD    8      03 0A 00 00 00 00 00 00 
  00000031         000.000.000             接收            008        DATA    STANDARD    8      04 0A 00 00 00 00 01 1E 
  00000032         002.100.276             接收            008        DATA    STANDARD    8      05 0A 00 00 00 00 00 00 
  00000033         000.000.000             接收            008        DATA    STANDARD    8      14 0A 10 05 04 16 27 58 
  00000034         002.050.194             接收            008        DATA    STANDARD    8      06 0A 00 00 00 00 00 00 
  00000035         000.000.000             接收            008        DATA    STANDARD    8      0A 0A 00 00 00 16 27 58 
  00000036         000.000.000             接收            008        DATA    STANDARD    8      14 0A 10 05 04 16 27 59 
  00000037         000.000.000             接收            00A        DATA    STANDARD    8      01 6E 04 00 00 00 00 00 
  00000038         002.250.255             接收            008        DATA    STANDARD    8      07 0A 08 00 00 00 00 00 
  00000039         002.150.343             接收            008        DATA    STANDARD    8      09 0A 08 00 00 00 00 00 
  00000040         000.000.000             接收            008        DATA    STANDARD    8      00 01 01 01 00 01 0C 00 
  00000041         002.150.234             接收            008        DATA    STANDARD    8      03 0A 08 00 00 00 00 00 
  00000042         000.000.000             接收            00A        DATA    STANDARD    8      00 6E 04 00 00 00 00 00 
  00000043         000.050.062             接收            008        DATA    STANDARD    8      04 0A 00 00 00 01 01 1E 
  00000044         001.550.137             接收            008        DATA    STANDARD    8      00 01 01 02 00 01 0D 00 
  00000045         000.000.000             接收            008        DATA    STANDARD    8      14 0A 10 05 04 16 28 00 
  00000046         001.100.159             接收            008        DATA    STANDARD    8      00 BC 01 00 00 00 00 00 
  00000047         000.000.000             接收            008        DATA    STANDARD    8      0A 0A 00 00 00 16 28 00 
  00000048         001.950.330             接收            008        DATA    STANDARD    8      04 0A 04 00 00 01 01 1E 
  00000049         001.750.123             接收            008        DATA    STANDARD    8      00 82 00 01 00 00 00 00 
  00000050         000.249.985             接收            008        DATA    STANDARD    8      00 86 00 00 00 02 01 05 
  00000051         000.000.000             接收            008        DATA    STANDARD    8      14 0A 10 05 04 16 28 01 
  00000052         000.000.000             接收            008        DATA    STANDARD    8      14 0A 10 05 04 16 28 02 
  00000053         000.000.000             接收            008        DATA    STANDARD    8      0A 0A 00 87 00 16 28 02 
  00000054         001.000.130             接收            008        DATA    STANDARD    8      00 01 01 02 00 01 05 00 
  00000055         000.850.175             接收            008        DATA    STANDARD    8      00 82 00 00 00 00 00 00 
  00000056         002.000.236             接收            008        DATA    STANDARD    8      00 86 00 00 00 03 01 05 
  00000057         000.600.081             接收            008        DATA    STANDARD    8      14 0A 10 05 04 16 28 03 
  00000058         000.000.000             接收            008        DATA    STANDARD    8      00 01 01 02 00 01 01 00 
  00000059         001.096.057             接收            008        DATA    STANDARD    8      00 85 00 00 00 20 20 32 
  00000060         002.100.280             接收            008        DATA    STANDARD    8      00 01 02 02 00 02 01 00 
  00000061         001.745.018             接收            008        DATA    STANDARD    8      04 0A 04 00 00 01 02 1E 
  00000062         000.947.974             接收            008        DATA    STANDARD    8      00 BC 02 00 00 00 00 00 
  00000063         000.000.000             接收            008        DATA    STANDARD    8      0A 0A 02 BD 01 16 28 04 
  00000064         000.000.000             接收            008        DATA    STANDARD    8      00 01 02 02 00 02 09 00 
  00000065         000.000.000             接收            008        DATA    STANDARD    8      14 0A 10 05 04 16 28 05 
  00000066         000.147.396             接收            008        DATA    STANDARD    8      00 01 02 02 00 02 0D 00 
  00000067         000.000.000             接收            008        DATA    STANDARD    8      00 01 02 02 00 02 05 00 
  00000068         000.000.000             接收            008        DATA    STANDARD    8      14 0A 10 05 04 16 28 06 
  00000069         000.000.000             接收            008        DATA    STANDARD    8      0A 0A 02 BD 03 16 28 06 
  00000070         002.050.219             接收            008        DATA    STANDARD    8      00 85 00 00 00 20 20 33 
  00000071         001.750.177             接收            008        DATA    STANDARD    8      00 86 00 00 00 04 01 05 
  00000072         002.100.281             接收            008        DATA    STANDARD    8      00 01 03 02 00 03 01 00 
  00000073         001.053.283             接收            008        DATA    STANDARD    8      04 0A 04 00 00 01 03 1E 
  00000074         000.200.017             接收            008        DATA    STANDARD    8      00 01 03 02 00 03 09 00 
  00000075         000.000.000             接收            008        DATA    STANDARD    8      14 0A 10 05 04 16 28 07 
  00000076         001.001.250             接收            008        DATA    STANDARD    8      00 BC 03 00 00 00 00 00 
  00000077         000.000.000             接收            008        DATA    STANDARD    8      00 01 03 02 00 03 0D 00 
  00000078         000.000.000             接收            008        DATA    STANDARD    8      14 0A 10 05 04 16 28 08 
  00000079         000.000.000             接收            008        DATA    STANDARD    8      00 01 03 02 00 03 05 00 
  00000080         000.000.000             接收            008        DATA    STANDARD    8      0A 0A 02 B9 04 16 28 08 
  00000081         000.600.068             接收            008        DATA    STANDARD    8      04 0A 04 00 00 01 04 1E 
  00000082         001.750.244             接收            008        DATA    STANDARD    8      00 85 00 00 00 20 20 34 
  00000083         000.205.280             接收            008        DATA    STANDARD    8      00 01 04 02 00 04 01 00 
  00000084         000.000.000             接收            008        DATA    STANDARD    8      14 0A 10 05 04 16 28 09 
  00000085         001.200.152             接收            008        DATA    STANDARD    8      00 BC 04 00 00 00 00 00 
  00000086         000.000.000             接收            008        DATA    STANDARD    8      00 01 04 02 00 04 09 00 
  00000087         000.000.000             接收            008        DATA    STANDARD    8      00 01 04 02 00 04 A9 00 
  00000088         000.000.000             接收            008        DATA    STANDARD    8      04 0A 06 00 00 01 04 1E 
  00000089         000.000.000             接收            008        DATA    STANDARD    8      01 82 00 00 00 00 00 00 
  00000090         000.000.000             接收            008        DATA    STANDARD    8      14 0A 10 05 04 16 28 10 
  00000091         000.000.000             接收            008        DATA    STANDARD    8      0A 0A 01 96 06 16 28 10 
  00000092         000.000.000             接收            008        DATA    STANDARD    8      00 01 04 02 00 04 89 00 
  00000093         000.500.107             接收            008        DATA    STANDARD    8      01 82 00 01 00 00 00 00 
  00000094         000.149.973             接收            008        DATA    STANDARD    8      00 01 04 02 00 04 8D 00 
  00000095         000.000.000             接收            008        DATA    STANDARD    8      00 01 04 02 00 04 AD 00 
  00000096         000.000.000             接收            008        DATA    STANDARD    8      14 0A 10 05 04 16 28 12 
  00000097         000.000.000             接收            008        DATA    STANDARD    8      00 01 04 01 00 04 0D 00 
  00000098         001.500.210             接收            008        DATA    STANDARD    8      04 0A 04 00 00 00 04 1E 
