    index           time           Name             ID        Type      Format  Len      Data
  00000001         002.761.457             接收            009        DATA    STANDARD    8      42 87 00 00 00 00 00 00 
  00000002         000.020.856             接收            008        DATA    STANDARD    8      00 82 00 01 00 00 00 00 
  00000003         000.017.788             接收            00A        DATA    STANDARD    8      00 7E 00 00 00 00 00 00 
  00000004         000.011.440             接收            009        DATA    STANDARD    8      42 87 00 00 00 00 00 00 
  00000005         000.020.694             接收            008        DATA    STANDARD    8      04 AA 00 00 00 00 00 00 
  00000006         000.004.902             接收            022        DATA    STANDARD    8      00 AB 04 00 00 00 00 00 
  00000007         000.024.316             接收            009        DATA    STANDARD    8      42 87 00 00 00 00 00 00 
  00000008         000.020.891             接收            008        DATA    STANDARD    8      00 83 00 00 00 00 00 00 
  00000009         000.017.787             接收            00A        DATA    STANDARD    8      00 7E 00 00 00 00 00 00 
  00000010         000.011.416             接收            009        DATA    STANDARD    8      42 87 00 00 00 00 00 00 
  00000011         000.020.719             接收            008        DATA    STANDARD    8      00 84 00 00 00 00 00 00 
  00000012         000.029.181             接收            009        DATA    STANDARD    8      42 87 00 00 00 00 00 00 
  00000013         000.020.835             接收            008        DATA    STANDARD    8      01 AA 00 00 00 00 00 00 
  00000014         000.005.577             接收            01F        DATA    STANDARD    8      00 AB 01 00 00 00 00 00 
  00000015         000.012.342             接收            00A        DATA    STANDARD    8      00 7E 00 00 00 00 00 00 
  00000016         000.011.331             接收            009        DATA    STANDARD    8      42 87 00 00 00 00 00 00 
  00000017         000.020.672             接收            008        DATA    STANDARD    8      00 85 00 00 00 20 20 33 
  00000018         000.029.273             接收            009        DATA    STANDARD    8      42 87 00 00 00 00 00 00 
  00000019         000.020.790             接收            008        DATA    STANDARD    8      00 86 00 00 00 03 01 05 
  00000020         000.017.859             接收            00A        DATA    STANDARD    8      00 7E 00 00 00 00 00 00 
  00000021         000.011.436             接收            009        DATA    STANDARD    8      42 87 00 00 00 00 00 00 
  00000022         000.020.438             接收            008        DATA    STANDARD    8      14 0A 10 05 25 18 12 29 
  00000023         000.029.484             接收            009        DATA    STANDARD    8      42 87 00 00 00 00 00 00 
  00000024         000.020.815             接收            008        DATA    STANDARD    8      01 BC 03 00 00 00 00 00 
  00000025         000.017.859             接收            00A        DATA    STANDARD    8      00 7E 00 00 00 00 00 00 
  00000026         000.011.389             接收            009        DATA    STANDARD    8      42 87 00 00 00 00 00 00 
  00000027         000.020.671             接收            008        DATA    STANDARD    8      02 AA 00 00 00 00 00 00 
  00000028         000.006.611             接收            020        DATA    STANDARD    8      00 AB 02 00 00 00 00 00 
  00000029         000.022.640             接收            009        DATA    STANDARD    8      42 87 00 00 00 00 00 00 
  00000030         000.020.816             接收            008        DATA    STANDARD    8      00 01 03 00 00 03 0C 00 
  00000031         000.017.809             接收            00A        DATA    STANDARD    8      01 6E 01 00 00 00 00 00 
  00000032         000.011.452             接收            009        DATA    STANDARD    8      42 87 00 00 00 00 00 00 
  00000033         000.020.704             接收            008        DATA    STANDARD    8      07 0A 01 00 00 00 00 00 
  00000034         000.029.251             接收            009        DATA    STANDARD    8      42 87 00 00 00 00 00 00 
  00000035         000.020.784             接收            008        DATA    STANDARD    8      09 0A 01 00 00 00 00 00 
  00000036         000.017.841             接收            00A        DATA    STANDARD    8      00 7E 00 00 00 00 00 00 
  00000037         000.011.436             接收            009        DATA    STANDARD    8      42 87 00 00 00 00 00 00 
  00000038         000.020.766             接收            008        DATA    STANDARD    8      00 01 03 04 00 03 0C 00 
  00000039         000.029.156             接收            009        DATA    STANDARD    8      42 87 00 00 00 00 00 00 
  00000040         000.020.795             接收            008        DATA    STANDARD    8      03 0A 01 00 00 00 00 00 
  00000041         000.017.877             接收            00A        DATA    STANDARD    8      00 7E 00 00 00 00 00 00 
  00000042         000.011.393             接收            009        DATA    STANDARD    8      42 87 00 00 00 00 00 00 
  00000043         000.020.718             接收            008        DATA    STANDARD    8      04 0A 04 00 00 01 03 20 
  00000044         000.029.203             接收            009        DATA    STANDARD    8      42 87 00 00 00 00 00 00 
  00000045         000.020.881             接收            008        DATA    STANDARD    8      01 0A 00 00 00 00 00 00 
  00000046         000.017.790             接收            00A        DATA    STANDARD    8      00 6E 01 00 00 00 00 00 
  00000047         000.011.394             接收            009        DATA    STANDARD    8      42 87 00 00 00 00 00 00 
  00000048         000.020.808             接收            008        DATA    STANDARD    8      03 AA 00 00 00 00 00 00 
  00000049         000.004.970             接收            021        DATA    STANDARD    8      00 AB 03 00 00 00 00 00 
  00000050         000.024.190             接收            009        DATA    STANDARD    8      42 87 00 00 00 00 00 00 
  00000051         000.024.674             接收            008        DATA    STANDARD    8      00 01 03 03 00 03 0E 00 
  00000052         000.023.958             接收            00A        DATA    STANDARD    8      00 7E 00 00 00 00 00 00 
  00000053         000.010.006             接收            009        DATA    STANDARD    8      42 87 00 00 00 00 00 00 
  00000054         000.012.186             接收            008        DATA    STANDARD    8      02 0A 00 00 00 00 00 00 
