     index           time           Name             ID        Type      Format  Len      Data
  00000001        1862.252.483             接收            008        DATA    STANDARD    8      03 AA 00 00 00 00 00 00 
  00000002         000.005.030             接收            021        DATA    STANDARD    8      00 AB 03 00 00 00 00 00 
  00000003         000.017.470             接收            00A        DATA    STANDARD    8      00 7E 00 00 00 00 00 00 
  00000004         000.013.735             接收            009        DATA    STANDARD    8      42 87 00 00 00 00 00 00 
  00000005         000.013.782             接收            008        DATA    STANDARD    8      00 85 00 00 00 20 20 34 
  00000006         000.036.140             接收            009        DATA    STANDARD    8      42 87 00 00 00 00 00 00 
  00000007         000.013.780             接收            008        DATA    STANDARD    8      00 86 00 00 00 04 01 04 
  00000008         000.022.564             接收            00A        DATA    STANDARD    8      00 7E 00 00 00 00 00 00 
  00000009         000.013.718             接收            009        DATA    STANDARD    8      42 87 00 00 00 00 00 00 
  00000010         000.013.480             接收            008        DATA    STANDARD    8      14 0A 10 05 25 18 58 46 
  00000011         000.036.442             接收            009        DATA    STANDARD    8      42 87 00 00 00 00 00 00 
  00000012         000.013.828             接收            008        DATA    STANDARD    8      01 BC 04 00 00 00 00 00 
  00000013         000.022.526             接收            00A        DATA    STANDARD    8      00 7E 00 00 00 00 00 00 
  00000014         000.013.709             接收            009        DATA    STANDARD    8      42 87 00 00 00 00 00 00 
  00000015         000.013.845             接收            008        DATA    STANDARD    8      04 AA 00 00 00 00 00 00 
  00000016         000.006.075             接收            022        DATA    STANDARD    8      00 AB 04 00 00 00 00 00 
  00000017         000.030.048             接收            009        DATA    STANDARD    8      42 87 00 00 00 00 00 00 
  00000018         000.013.828             接收            008        DATA    STANDARD    8      00 01 04 00 00 04 0C 00 
  00000019         000.022.519             接收            00A        DATA    STANDARD    8      00 7E 00 00 00 00 00 00 
  00000020         000.013.715             接收            009        DATA    STANDARD    8      42 87 00 00 00 00 00 00 
  00000021         000.013.801             接收            008        DATA    STANDARD    8      01 0A 00 00 00 00 00 00 
  00000022         000.036.121             接收            009        DATA    STANDARD    8      42 87 00 00 00 00 00 00 
  00000023         000.013.831             接收            008        DATA    STANDARD    8      01 AA 00 00 00 00 00 00 
  00000024         000.006.726             接收            01F        DATA    STANDARD    8      00 AB 01 00 00 00 00 00 
  00000025         000.015.798             接收            00A        DATA    STANDARD    8      00 7E 00 00 00 00 00 00 
  00000026         000.013.710             接收            009        DATA    STANDARD    8      42 87 00 00 00 00 00 00 
  00000027         000.013.846             接收            008        DATA    STANDARD    8      02 0A 00 00 00 00 00 00 
  00000028         000.036.073             接收            009        DATA    STANDARD    8      42 87 00 00 00 00 00 00 
  00000029         000.013.877             接收            008        DATA    STANDARD    8      03 0A 00 00 00 00 00 00 
  00000030         000.022.500             接收            00A        DATA    STANDARD    8      00 7E 00 00 00 00 00 00 
  00000031         000.013.704             接收            009        DATA    STANDARD    8      42 87 00 00 00 00 00 00 
  00000032         000.013.810             接收            008        DATA    STANDARD    8      02 AA 00 00 00 00 00 00 
  00000033         000.005.267             接收            020        DATA    STANDARD    8      00 AB 02 00 00 00 00 00 
  00000034         000.030.873             接收            009        DATA    STANDARD    8      42 87 00 00 00 00 00 00 
  00000035         000.013.802             接收            008        DATA    STANDARD    8      04 0A 04 00 00 00 04 20 
  00000036         000.022.574             接收            00A        DATA    STANDARD    8      00 7E 00 00 00 00 00 00 
  00000037         000.013.702             接收            009        DATA    STANDARD    8      42 87 00 00 00 00 00 00 
  00000038         000.013.838             接收            008        DATA    STANDARD    8      05 0A 00 00 00 00 00 00 
  00000039         000.036.070             接收            009        DATA    STANDARD    8      42 87 00 00 00 00 00 00 
  00000040         000.013.640             接收            008        DATA    STANDARD    8      14 0A 10 05 25 18 58 47 
  00000041         000.022.735             接收            00A        DATA    STANDARD    8      00 7E 00 00 00 00 00 00 
  00000042         000.013.707             接收            009        DATA    STANDARD    8      42 87 00 00 00 00 00 00 
  00000043         000.013.995             接收            008        DATA    STANDARD    8      06 0A 00 00 00 00 00 00 
  00000044         000.035.925             接收            009        DATA    STANDARD    8      42 87 00 00 00 00 00 00 
  00000045         000.013.876             接收            008        DATA    STANDARD    8      07 0A 00 00 00 00 00 00 
  00000046         000.022.480             接收            00A        DATA    STANDARD    8      00 7E 00 00 00 00 00 00 
  00000047         000.013.716             接收            009        DATA    STANDARD    8      42 87 00 00 00 00 00 00 
  00000048         000.013.916             接收            008        DATA    STANDARD    8      03 AA 00 00 00 00 00 00 
  00000049         000.004.948             接收            021        DATA    STANDARD    8      00 AB 03 00 00 00 00 00 
  00000050         000.031.080             接收            009        DATA    STANDARD    8      42 87 00 00 00 00 00 00 
  00000051         000.013.919             接收            008        DATA    STANDARD    8      08 0A 00 00 00 00 00 00 
  00000052         000.022.453             接收            00A        DATA    STANDARD    8      00 7E 00 00 00 00 00 00 
  00000053         000.013.710             接收            009        DATA    STANDARD    8      42 87 00 00 00 00 00 00 
  00000054         000.013.853             接收            008        DATA    STANDARD    8      09 0A 00 00 00 00 00 00 
  00000055         000.036.065             接收            009        DATA    STANDARD    8      42 87 00 00 00 00 00 00 
  00000056         000.013.920             接收            008        DATA    STANDARD    8      01 BC 04 00 00 00 00 00 
  00000057         000.022.435             接收            00A        DATA    STANDARD    8      00 7E 00 00 00 00 00 00 
  00000058         000.013.735             接收            009        DATA    STANDARD    8      42 87 00 00 00 00 00 00 
  00000059         000.013.664             接收            008        DATA    STANDARD    8      0A 0A 00 00 06 18 58 47 
  00000060         000.036.238             接收            009        DATA    STANDARD    8      42 87 00 00 00 00 00 00 
  00000061         000.013.918             接收            008        DATA    STANDARD    8      0B 0A 00 00 00 00 00 00 
  00000062         000.022.430             接收            00A        DATA    STANDARD    8      00 7E 00 00 00 00 00 00 
  00000063         000.013.735             接收            009        DATA    STANDARD    8      42 87 00 00 00 00 00 00 
  00000064         000.013.921             接收            008        DATA    STANDARD    8      04 AA 00 00 00 00 00 00 
  00000065         000.006.001             接收            022        DATA    STANDARD    8      00 AB 04 00 00 00 00 00 
  00000066         000.030.025             接收            009        DATA    STANDARD    8      42 87 00 00 00 00 00 00 
  00000067         000.013.916             接收            008        DATA    STANDARD    8      00 01 04 08 00 04 0C 00 
  00000068         000.022.434             接收            00A        DATA    STANDARD    8      00 7E 00 00 00 00 00 00 
  00000069         000.013.734             接收            009        DATA    STANDARD    8      42 87 00 00 00 00 00 00 
