     index           time           Name             ID        Type      Format  Len      Data
  00004066         000.029.812             接收            008        DATA    STANDARD    8      00 85 00 00 00 20 20 31 
  00004067         000.020.202             接收            009        DATA    STANDARD    8      42 87 00 00 00 00 00 00 
  00004068         000.004.949             接收            00A        DATA    STANDARD    8      00 7E 00 00 00 00 00 00 
  00004069         000.024.838             接收            008        DATA    STANDARD    8      00 86 00 00 00 01 01 05 
  00004070         000.020.229             接收            009        DATA    STANDARD    8      42 87 00 00 00 00 00 00 
  00004071         000.029.626             接收            008        DATA    STANDARD    8      14 0A 10 11 12 15 44 50 
  00004072         000.020.390             接收            009        DATA    STANDARD    8      42 87 00 00 00 00 00 00 
  00004073         000.004.968             接收            00A        DATA    STANDARD    8      00 7E 00 00 00 00 00 00 
  00004074         000.024.823             接收            008        DATA    STANDARD    8      01 BC 01 00 00 00 00 00 
  00004075         000.020.200             接收            009        DATA    STANDARD    8      42 87 00 00 00 00 00 00 
  00004076         000.029.837             接收            008        DATA    STANDARD    8      01 AA 00 00 00 00 00 00 
  00004077         000.005.599             接收            01F        DATA    STANDARD    8      00 AB 01 00 00 00 00 00 
  00004078         000.014.651             接收            009        DATA    STANDARD    8      42 87 00 00 00 00 00 00 
  00004079         000.004.947             接收            00A        DATA    STANDARD    8      00 7E 00 00 00 00 00 00 
  00004080         000.024.772             接收            008        DATA    STANDARD    8      00 01 01 00 00 01 0C 00 
  00004081         000.020.203             接收            009        DATA    STANDARD    8      42 87 00 00 00 00 00 00 
  00004082         000.029.859             接收            008        DATA    STANDARD    8      01 0A 00 00 00 00 00 00 
  00004083         000.020.113             接收            009        DATA    STANDARD    8      42 87 00 00 00 00 00 00 
  00004084         000.004.966             接收            00A        DATA    STANDARD    8      00 7E 00 00 00 00 00 00 
  00004085         000.024.845             接收            008        DATA    STANDARD    8      02 AA 00 00 00 00 00 00 
  00004086         000.006.560             接收            020        DATA    STANDARD    8      00 AB 02 00 00 00 00 00 
  00004087         000.013.712             接收            009        DATA    STANDARD    8      42 87 00 00 00 00 00 00 
  00004088         000.029.789             接收            008        DATA    STANDARD    8      02 0A 00 00 00 00 00 00 
  00004089         000.020.169             接收            009        DATA    STANDARD    8      42 87 00 00 00 00 00 00 
  00004090         000.004.956             接收            00A        DATA    STANDARD    8      00 7E 00 00 00 00 00 00 
  00004091         000.024.846             接收            008        DATA    STANDARD    8      03 0A 00 00 00 00 00 00 
  00004092         000.020.201             接收            009        DATA    STANDARD    8      42 87 00 00 00 00 00 00 
  00004093         000.029.906             接收            008        DATA    STANDARD    8      03 AA 00 00 00 00 00 00 
  00004094         000.006.610             接收            021        DATA    STANDARD    8      02 AB 03 00 00 00 00 00 
  00004095         000.013.546             接收            009        DATA    STANDARD    8      42 87 00 00 00 00 00 00 
  00004096         000.004.969             接收            00A        DATA    STANDARD    8      00 7E 00 00 00 00 00 00 
  00004097         000.024.798             接收            008        DATA    STANDARD    8      04 0A 00 00 00 00 01 13 
  00004098         000.020.155             接收            009        DATA    STANDARD    8      42 87 00 00 00 00 00 00 
  00004099         000.029.881             接收            008        DATA    STANDARD    8      05 0A 00 00 00 00 00 00 
  00004100         000.020.134             接收            009        DATA    STANDARD    8      42 87 00 00 00 00 00 00 
  00004101         000.004.944             接收            00A        DATA    STANDARD    8      00 7E 00 00 00 00 00 00 
  00004102         000.024.560             接收            008        DATA    STANDARD    8      14 0A 10 11 12 15 44 51 
  00004103         000.020.480             接收            009        DATA    STANDARD    8      42 87 00 00 00 00 00 00 
  00004104         000.030.032             接收            008        DATA    STANDARD    8      06 0A 00 00 00 00 00 00 
  00004105         000.020.016             接收            009        DATA    STANDARD    8      42 87 00 00 00 00 00 00 
  00004106         000.004.946             接收            00A        DATA    STANDARD    8      00 7E 00 00 00 00 00 00 
  00004107         000.024.880             接收            008        DATA    STANDARD    8      07 0A 00 00 00 00 00 00 
  00004108         000.020.160             接收            009        DATA    STANDARD    8      42 87 00 00 00 00 00 00 
  00004109         000.029.889             接收            008        DATA    STANDARD    8      04 AA 00 00 00 00 00 00 
  00004110         000.005.269             接收            022        DATA    STANDARD    8      00 AB 04 00 00 00 00 00 
