     index           time           Name             ID        Type      Format  Len      Data
  00000001         030.166.330             接收            781        DATA    STANDARD    6      11 00 50 0A 0B 88 
  00000002         000.029.463             接收            249        DATA    STANDARD    4      0D 00 AE 10 
  00000003         000.508.690             接收            781        DATA    STANDARD    6      11 00 50 0A 0B 88 
  00000004         000.020.905             接收            249        DATA    STANDARD    4      0D 00 AE 10 
  00000005         000.519.424             接收            781        DATA    STANDARD    6      11 00 50 0A 0B 88 
  00000006         000.010.100             接收            249        DATA    STANDARD    4      0D 00 AE 10 
  00000007         000.529.100             接收            249        DATA    STANDARD    4      0D 00 AE 10 
  00000008         000.000.984             接收            781        DATA    STANDARD    6      11 00 50 09 0B 0A 
  00000009         000.487.782             接收            180        DATA    STANDARD    6      15 00 30 04 04 CD 
  00000010         000.040.595             接收            249        DATA    STANDARD    4      0D 00 AE 10 
  00000011         000.013.499             接收            781        DATA    STANDARD    6      11 00 50 0A 0B 88 
  00000012         000.046.127             接收            100        DATA    STANDARD    6      1D 00 73 FF 04 6C 
  00000013         000.003.200             接收            742        DATA    STANDARD    5      1D 00 20 FF 04 
  00000014         000.309.454             接收            740        DATA    STANDARD    7      1D 00 48 FF 00 FF 00 
  00000015         000.003.235             接收            740        DATA    STANDARD    8      1D 00 47 00 03 D8 00 00 
  00000016         000.001.687             接收            600        DATA    STANDARD    7      1D 00 40 D8 00 00 00 
  00000017         000.003.281             接收            500        DATA    STANDARD    7      1D 00 40 D8 00 00 00 
  00000018         000.001.875             接收            749        DATA    STANDARD    6      0D 00 AE 03 6C 00 
  00000019         000.002.859             接收            748        DATA    STANDARD    6      0D 00 AE 03 6C 00 
  00000020         000.001.317             接收            749        DATA    STANDARD    6      0D 00 AE 04 00 00 
  00000021         000.004.099             接收            748        DATA    STANDARD    6      0D 00 AE 04 00 00 
  00000022         000.002.133             接收            749        DATA    STANDARD    6      0D 00 AE 05 00 00 
  00000023         000.002.830             接收            748        DATA    STANDARD    6      0D 00 AE 05 00 00 
  00000024         000.002.043             接收            100        DATA    STANDARD    6      1D 00 73 FF 04 6D 
  00000025         000.003.142             接收            742        DATA    STANDARD    5      1D 00 50 FF 04 
  00000026         000.132.891             接收            249        DATA    STANDARD    4      0D 00 AE 10 
  00000027         000.528.701             接收            249        DATA    STANDARD    4      0D 00 AE 10 
  00000028         000.025.032             接收            781        DATA    STANDARD    6      11 00 50 09 0B 0A 
  00000029         000.502.376             接收            249        DATA    STANDARD    4      0D 00 AE 10 
  00000030         000.528.267             接收            249        DATA    STANDARD    4      0D 00 AE 10 
  00000031         000.529.076             接收            249        DATA    STANDARD    4      0D 00 AE 10 
  00000032         000.529.984             接收            249        DATA    STANDARD    4      0D 00 AE 10 
  00000033         000.049.692             接收            781        DATA    STANDARD    6      11 00 50 09 0B 0A 
  00000034         000.329.043             接收            180        DATA    STANDARD    6      15 00 32 01 31 CE 
  00000035         000.149.322             接收            249        DATA    STANDARD    4      0D 00 AE 10 
  00000036         000.530.056             接收            249        DATA    STANDARD    4      0D 00 AE 10 
  00000037         000.066.684             接收            781        DATA    STANDARD    6      11 00 50 09 0B 0A 
  00000038         000.462.443             接收            249        DATA    STANDARD    4      0D 00 AE 10 
  00000039         000.529.994             接收            249        DATA    STANDARD    4      0D 00 AE 10 
  00000040         000.268.360             接收            740        DATA    STANDARD    7      1D 00 48 FF 00 FF 00 
  00000041         000.002.953             接收            740        DATA    STANDARD    8      1D 00 47 00 03 D8 00 00 
  00000042         000.002.015             接收            600        DATA    STANDARD    7      1D 00 40 D8 00 00 00 
  00000043         000.003.330             接收            500        DATA    STANDARD    7      1D 00 40 D8 00 00 00 
  00000044         000.002.014             接收            749        DATA    STANDARD    6      0D 00 AE 03 6C 00 
  00000045         000.002.813             接收            748        DATA    STANDARD    6      0D 00 AE 03 6C 00 
  00000046         000.002.064             接收            749        DATA    STANDARD    6      0D 00 AE 04 00 00 
  00000047         000.003.279             接收            748        DATA    STANDARD    6      0D 00 AE 04 00 00 
  00000048         000.002.064             接收            749        DATA    STANDARD    6      0D 00 AE 05 00 00 
  00000049         000.002.834             接收            748        DATA    STANDARD    6      0D 00 AE 05 00 00 
  00000050         000.002.040             接收            100        DATA    STANDARD    6      1D 00 73 FF 04 6E 
  00000051         000.003.142             接收            742        DATA    STANDARD    5      1D 00 50 FF 04 
  00000052         000.238.829             接收            249        DATA    STANDARD    4      0D 00 AE 10 
  00000053         000.087.467             接收            781        DATA    STANDARD    6      11 00 50 09 0B 0A 
  00000054         000.439.781             接收            249        DATA    STANDARD    4      0D 00 AE 10 
  00000055         000.097.172             接收            781        DATA    STANDARD    6      11 00 50 0A 0B 88 
  00000056         000.430.782             接收            249        DATA    STANDARD    4      0D 00 AE 10 
  00000057         000.528.625             接收            249        DATA    STANDARD    4      0D 00 AE 10 
  00000058         000.527.819             接收            249        DATA    STANDARD    4      0D 00 AE 10 
  00000059         000.531.118             接收            249        DATA    STANDARD    4      0D 00 AE 10 
  00000060         000.138.999             接收            781        DATA    STANDARD    6      11 00 50 09 0B 0A 
  00000061         000.390.241             接收            249        DATA    STANDARD    4      0D 00 AE 10 
  00000062         000.529.853             接收            249        DATA    STANDARD    4      0D 00 AE 10 
  00000063         000.155.393             接收            781        DATA    STANDARD    6      11 00 50 0A 0B 88 
  00000064         000.376.104             接收            249        DATA    STANDARD    4      0D 00 AE 10 
  00000065         000.529.190             接收            249        DATA    STANDARD    4      0D 00 AE 10 
  00000066         000.157.005             接收            740        DATA    STANDARD    7      1D 00 48 FF 00 FF 00 
  00000067         000.003.403             接收            740        DATA    STANDARD    8      1D 00 47 00 03 D8 00 00 
  00000068         000.001.990             接收            600        DATA    STANDARD    7      1D 00 40 D8 00 00 00 
  00000069         000.002.838             接收            500        DATA    STANDARD    7      1D 00 40 D8 00 00 00 
  00000070         000.001.936             接收            749        DATA    STANDARD    6      0D 00 AE 03 6C 00 
  00000071         000.003.342             接收            748        DATA    STANDARD    6      0D 00 AE 03 6C 00 
  00000072         000.002.361             接收            749        DATA    STANDARD    6      0D 00 AE 04 00 00 
  00000073         000.004.594             接收            749        DATA    STANDARD    6      0D 00 AE 05 00 00 
  00000074         000.004.407             接收            748        DATA    STANDARD    6      0D 00 AE 05 00 00 
