
03080009      00 00 00 00 00 00 00 00                      
03080018      00 00 00 00 00 00 00 02                      
03080018      00 00 00 00 00 00 00 13                      
03080018      00 00 00 00 00 00 10 13                      
03080018      02 00 00 00 00 00 00 02                      
03080018      02 00 00 00 00 00 00 13                      
03080018      02 00 00 00 00 00 10 13                      
03080028      00 00 00 00 00 00 00 02                      
03080028      00 00 00 00 00 00 00 13                      
03080028      00 00 00 00 00 00 08 02                      
03080028      00 00 00 00 00 00 28 02                      
03080028      00 00 00 00 00 00 28 13                      
03080038      00 00 00 00 00 00 00 02                      
03080038      00 00 00 00 00 00 00 13                      
03080038      00 00 00 00 00 00 28 13                      
03080038      02 00 00 00 00 00 00 02                      
03080038      02 00 00 00 00 00 28 02                      
03080038      02 00 00 00 00 00 28 13                      
03080048      00 01 00 00 00 00 00 00                      
03080048      00 03 00 00 00 00 00 00                      
03080048      40 03 00 00 00 00 00 00                      
03080048      40 03 10 01 00 00 00 00                      
03080048      40 03 20 02 00 00 00 00                      
03080048      C0 01 00 02 00 00 00 00                      
03080048      C0 03 00 02 00 00 00 00                      
03080048      C0 03 00 22 00 00 00 00                      
03080048      C0 03 10 01 00 00 00 00                      
0308004A      00 00 00 00 00 00 00 0E                      
0308004A      02 00 00 00 00 00 00 0D                      
0308004A      02 00 00 00 00 00 00 0E                      
0308004A      02 00 40 20 00 00 00 0C                      
0308004A      02 00 40 20 00 00 00 0D                      
0308004A      02 00 80 10 00 00 00 0C                      
0308004A      02 00 80 10 00 00 00 0E                      
0308004A      83 00 00 20 00 00 00 0E                      
0308004A      83 00 80 10 00 00 00 0E                      
03220008      54 00 00 01 00 00 00 00                      
03220008      58 00 00 01 00 00 00 00                      
03220008      5C 00 00 01 00 00 00 00                      
03220010      00 00 00 00 00 00 00 F1                      
03220010      02 00 00 00 00 00 00 F1                      
03220040      7E 00 00 00 00 00 00 00                      
