     index           time           Name             ID        Type      Format  Len      Data
  00000001    17:19:56.118.548             接收            008        DATA    STANDARD    8      01 AA 00 00 00 00 00 00 
  00000002    17:19:56.139.945             接收            01F        DATA    STANDARD    8      00 AB 01 00 00 00 00 00 
  00000003    17:19:56.139.956             接收            00A        DATA    STANDARD    8      00 7E 00 00 00 00 00 00 
  00000004    17:19:56.139.960             接收            009        DATA    STANDARD    8      42 87 00 00 00 00 00 00 
  00000005    17:19:56.184.567             接收            008        DATA    STANDARD    8      04 0A 04 00 00 00 01 13 
  00000006    17:19:56.184.589             接收            009        DATA    STANDARD    8      42 87 00 00 00 00 00 00 
  00000007    17:19:56.230.332             接收            008        DATA    STANDARD    8      05 0A 00 00 00 00 00 00 
  00000008    17:19:56.244.238             接收            00A        DATA    STANDARD    8      00 7E 00 00 00 00 00 00 
  00000009    17:19:56.244.257             接收            009        DATA    STANDARD    8      42 87 00 00 00 00 00 00 
  00000010    17:19:56.274.934             接收            008        DATA    STANDARD    8      14 0A 10 04 21 01 02 11 
  00000011    17:19:56.335.260             接收            009        DATA    STANDARD    8      42 87 00 00 00 00 00 00 
  00000012    17:19:56.335.268             接收            008        DATA    STANDARD    8      06 0A 00 00 00 00 00 00 
  00000013    17:19:56.335.272             接收            00A        DATA    STANDARD    8      00 7E 00 00 00 00 00 00 
  00000014    17:19:56.338.509             接收            009        DATA    STANDARD    8      42 87 00 00 00 00 00 00 
  00000015    17:19:56.371.648             接收            008        DATA    STANDARD    8      07 0A 00 00 00 00 00 00 
  00000016    17:19:56.393.019             接收            009        DATA    STANDARD    8      42 87 00 00 00 00 00 00 
  00000017    17:19:56.432.601             接收            008        DATA    STANDARD    8      02 AA 00 00 00 00 00 00 
  00000018    17:19:56.432.621             接收            020        DATA    STANDARD    8      00 AB 02 00 00 00 00 00 
  00000019    17:19:56.453.578             接收            00A        DATA    STANDARD    8      00 7E 00 00 00 00 00 00 
  00000020    17:19:56.453.598             接收            009        DATA    STANDARD    8      42 87 00 00 00 00 00 00 
  00000021    17:19:56.480.006             接收            008        DATA    STANDARD    8      08 0A 00 00 00 00 00 00 
  00000022    17:19:56.494.040             接收            009        DATA    STANDARD    8      42 87 00 00 00 00 00 00 
  00000023    17:19:56.526.968             接收            008        DATA    STANDARD    8      09 0A 00 00 00 00 00 00 
  00000024    17:19:56.542.396             接收            00A        DATA    STANDARD    8      00 7E 00 00 00 00 00 00 
  00000025    17:19:56.542.416             接收            009        DATA    STANDARD    8      42 87 00 00 00 00 00 00 
  00000026    17:19:56.592.074             接收            008        DATA    STANDARD    8      01 BC 01 00 00 00 00 00 
  00000027    17:19:56.592.094             接收            009        DATA    STANDARD    8      42 87 00 00 00 00 00 00 
  00000028    17:19:56.656.094             接收            008        DATA    STANDARD    8      0A 0A 00 00 00 01 02 11 
  00000029    17:19:56.656.104             接收            00A        DATA    STANDARD    8      00 7E 00 00 00 00 00 00 
  00000030    17:19:56.656.108             接收            009        DATA    STANDARD    8      42 87 00 00 00 00 00 00 
  00000031    17:19:56.686.332             接收            008        DATA    STANDARD    8      0B 0A 00 00 00 00 00 00 
  00000032    17:19:56.686.348             接收            009        DATA    STANDARD    8      42 87 00 00 00 00 00 00 
  00000033    17:19:56.730.178             接收            008        DATA    STANDARD    8      03 AA 00 00 00 00 00 00 
  00000034    17:19:56.730.198             接收            021        DATA    STANDARD    8      00 AB 03 00 00 00 00 00 
  00000035    17:19:56.743.464             接收            00A        DATA    STANDARD    8      00 7E 00 00 00 00 00 00 
  00000036    17:19:56.743.485             接收            009        DATA    STANDARD    8      42 87 00 00 00 00 00 00 
  00000037    17:19:56.774.382             接收            008        DATA    STANDARD    8      0C 0A 00 00 00 00 00 00 
  00000038    17:19:56.791.700             接收            009        DATA    STANDARD    8      42 87 00 00 00 00 00 00 
  00000039    17:19:56.823.497             接收            008        DATA    STANDARD    8      0D 0A 00 00 00 00 00 00 
  00000040    17:19:56.840.498             接收            00A        DATA    STANDARD    8      00 7E 00 00 00 00 00 00 
  00000041    17:19:56.840.521             接收            009        DATA    STANDARD    8      42 87 00 00 00 00 00 00 
  00000042    17:19:56.869.976             接收            008        DATA    STANDARD    8      04 AA 00 00 00 00 00 00 
  00000043    17:19:56.891.060             接收            022        DATA    STANDARD    8      00 AB 04 00 00 00 00 00 
  00000044    17:19:56.891.081             接收            009        DATA    STANDARD    8      42 87 00 00 00 00 00 00 
  00000045    17:19:56.969.010             接收            008        DATA    STANDARD    8      0E 0A 00 00 00 00 00 00 
  00000046    17:19:56.969.020             接收            00A        DATA    STANDARD    8      00 7E 00 00 00 00 00 00 
  00000047    17:19:56.969.023             接收            009        DATA    STANDARD    8      42 87 00 00 00 00 00 00 
  00000048    17:19:56.969.027             接收            008        DATA    STANDARD    8      0F 0A 00 00 00 00 00 00 
  00000049    17:19:56.993.604             接收            009        DATA    STANDARD    8      42 87 00 00 00 00 00 00 
  00000050    17:19:57.026.336             接收            008        DATA    STANDARD    8      01 AA 00 00 00 00 00 00 
  00000051    17:19:57.026.357             接收            01F        DATA    STANDARD    8      00 AB 01 00 00 00 00 00 
  00000052    17:19:57.040.875             接收            00A        DATA    STANDARD    8      00 7E 00 00 00 00 00 00 
  00000053    17:19:57.040.896             接收            009        DATA    STANDARD    8      42 87 00 00 00 00 00 00 
  00000054    17:19:57.078.282             接收            008        DATA    STANDARD    8      10 0A 00 00 00 00 00 00 
  00000055    17:19:57.089.280             接收            009        DATA    STANDARD    8      42 87 00 00 00 00 00 00 
  00000056    17:19:57.120.400             接收            008        DATA    STANDARD    8      00 82 00 01 00 00 00 00 
  00000057    17:19:57.133.790             接收            00A        DATA    STANDARD    8      00 7E 00 00 00 00 00 00 
  00000058    17:19:57.152.230             接收            009        DATA    STANDARD    8      42 87 00 00 00 00 00 00 
  00000059    17:19:57.167.551             接收            008        DATA    STANDARD    8      02 AA 00 00 00 00 00 00 
  00000060    17:19:57.183.417             接收            020        DATA    STANDARD    8      00 AB 02 00 00 00 00 00 
  00000061    17:19:57.203.880             接收            009        DATA    STANDARD    8      42 87 00 00 00 00 00 00 
  00000062    17:19:57.283.359             接收            008        DATA    STANDARD    8      00 83 00 00 00 00 00 00 
  00000063    17:19:57.283.369             接收            00A        DATA    STANDARD    8      00 7E 00 00 00 00 00 00 
  00000064    17:19:57.283.372             接收            009        DATA    STANDARD    8      42 87 00 00 00 00 00 00 
  00000065    17:19:57.283.379             接收            008        DATA    STANDARD    8      00 84 00 00 00 00 00 00 
  00000066    17:19:57.290.127             接收            009        DATA    STANDARD    8      42 87 00 00 00 00 00 00 
  00000067    17:19:57.327.116             接收            008        DATA    STANDARD    8      03 AA 00 00 00 00 00 00 
  00000068    17:19:57.327.137             接收            021        DATA    STANDARD    8      00 AB 03 00 00 00 00 00 
  00000069    17:19:57.337.332             接收            00A        DATA    STANDARD    8      00 7E 00 00 00 00 00 00 
  00000070    17:19:57.354.678             接收            009        DATA    STANDARD    8      42 87 00 00 00 00 00 00 
  00000071    17:19:57.368.117             接收            008        DATA    STANDARD    8      00 85 00 00 00 20 20 31 
  00000072    17:19:57.389.537             接收            009        DATA    STANDARD    8      42 87 00 00 00 00 00 00 
  00000073    17:19:57.433.650             接收            008        DATA    STANDARD    8      00 86 00 00 00 01 01 05 
  00000074    17:19:57.433.671             接收            00A        DATA    STANDARD    8      00 7E 00 00 00 00 00 00 
  00000075    17:19:57.449.431             接收            009        DATA    STANDARD    8      42 87 00 00 00 00 00 00 
  00000076    17:19:57.478.764             接收            008        DATA    STANDARD    8      14 0A 10 04 21 01 02 12 
  00000077    17:19:57.492.927             接收            009        DATA    STANDARD    8      42 87 00 00 00 00 00 00 
  00000078    17:19:57.526.197             接收            008        DATA    STANDARD    8      01 BC 01 00 00 00 00 00 
  00000079    17:19:57.591.900             接收            00A        DATA    STANDARD    8      00 7E 00 00 00 00 00 00 
  00000080    17:19:57.591.909             接收            009        DATA    STANDARD    8      42 87 00 00 00 00 00 00 
  00000081    17:19:57.591.913             接收            008        DATA    STANDARD    8      04 AA 00 00 00 00 00 00 
  00000082    17:19:57.591.917             接收            022        DATA    STANDARD    8      00 AB 04 00 00 00 00 00 
  00000083    17:19:57.591.920             接收            009        DATA    STANDARD    8      42 87 00 00 00 00 00 00 
  00000084    17:19:57.619.074             接收            008        DATA    STANDARD    8      00 01 01 00 00 01 0C 00 
  00000085    17:19:57.639.466             接收            00A        DATA    STANDARD    8      00 7E 00 00 00 00 00 00 
  00000086    17:19:57.639.486             接收            009        DATA    STANDARD    8      42 87 00 00 00 00 00 00 
  00000087    17:19:57.681.497             接收            008        DATA    STANDARD    8      01 0A 00 00 00 00 00 00 
  00000088    17:19:57.702.417             接收            009        DATA    STANDARD    8      42 87 00 00 00 00 00 00 
  00000089    17:19:57.735.009             接收            008        DATA    STANDARD    8      01 AA 00 00 00 00 00 00 
  00000090    17:19:57.735.028             接收            01F        DATA    STANDARD    8      00 AB 01 00 00 00 00 00 
  00000091    17:19:57.735.043             接收            00A        DATA    STANDARD    8      00 7E 00 00 00 00 00 00 
  00000092    17:19:57.742.999             接收            009        DATA    STANDARD    8      42 87 00 00 00 00 00 00 
  00000093    17:19:57.776.144             接收            008        DATA    STANDARD    8      02 0A 00 00 00 00 00 00 
  00000094    17:19:57.792.811             接收            009        DATA    STANDARD    8      42 87 00 00 00 00 00 00 
  00000095    17:19:57.829.633             接收            008        DATA    STANDARD    8      03 0A 00 00 00 00 00 00 
  00000096    17:19:57.838.144             接收            00A        DATA    STANDARD    8      00 7E 00 00 00 00 00 00 
  00000097    17:19:57.838.164             接收            009        DATA    STANDARD    8      42 87 00 00 00 00 00 00 
  00000098    17:19:57.922.680             接收            008        DATA    STANDARD    8      02 AA 00 00 00 00 00 00 
  00000099    17:19:57.922.697             接收            020        DATA    STANDARD    8      00 AB 02 00 00 00 00 00 
  00000100    17:19:57.922.706             接收            009        DATA    STANDARD    8      42 87 00 00 00 00 00 00 
  00000101    17:19:57.922.714             接收            008        DATA    STANDARD    8      04 0A 04 00 00 00 01 13 
  00000102    17:19:57.934.160             接收            00A        DATA    STANDARD    8      00 7E 00 00 00 00 00 00 
  00000103    17:19:57.955.414             接收            009        DATA    STANDARD    8      42 87 00 00 00 00 00 00 
  00000104    17:19:57.978.703             接收            008        DATA    STANDARD    8      05 0A 00 00 00 00 00 00 
  00000105    17:19:57.996.825             接收            009        DATA    STANDARD    8      42 87 00 00 00 00 00 00 
  00000106    17:19:58.023.643             接收            008        DATA    STANDARD    8      14 0A 10 04 21 01 02 12 
  00000107    17:19:58.042.008             接收            00A        DATA    STANDARD    8      00 7E 00 00 00 00 00 00 
  00000108    17:19:58.042.029             接收            009        DATA    STANDARD    8      42 87 00 00 00 00 00 00 
