     index           time           Name             ID        Type      Format  Len      Data
  00000001    12:03:17.775.465             接收            3AF        DATA    STANDARD    8      05 00 00 00 00 00 00 FF 
  00000002    12:03:17.775.474             接收       03401014        DATA    EXTENDED    8      00 00 60 00 98 01 20 00 
  00000003    12:03:17.775.481             接收            3AF        DATA    STANDARD    8      06 00 00 00 00 00 00 FC 
  00000004    12:03:17.784.426             接收            3AF        DATA    STANDARD    8      07 00 00 00 00 00 00 FD 
  00000005    12:03:17.800.727             接收       03401020        DATA    EXTENDED    8      00 00 00 00 00 00 00 00 
  00000006    12:03:17.821.707             接收            3AF        DATA    STANDARD    8      01 00 00 00 00 00 00 FB 
  00000007    12:03:17.851.794             接收            3AF        DATA    STANDARD    8      02 00 00 00 00 00 00 F8 
  00000008    12:03:17.851.818             接收       03401030        DATA    EXTENDED    8      00 00 00 00 00 00 00 00 
  00000009    12:03:17.882.653             接收            3AF        DATA    STANDARD    8      03 00 00 00 00 00 00 F9 
  00000010    12:03:17.914.561             接收       03401038        DATA    EXTENDED    8      00 00 00 00 00 00 00 00 
  00000011    12:03:17.914.588             接收            3AF        DATA    STANDARD    8      04 00 00 00 00 00 00 FE 
  00000012    12:03:17.948.448             接收            3AF        DATA    STANDARD    8      05 00 00 00 00 00 00 FF 
  00000013    12:03:17.948.475             接收       03401040        DATA    EXTENDED    8      00 00 00 00 00 00 00 00 
  00000014    12:03:17.959.639             接收            3AF        DATA    STANDARD    8      06 00 00 00 00 00 00 FC 
  00000015    12:03:17.988.993             接收            3AF        DATA    STANDARD    8      07 00 00 00 00 00 00 FD 
  00000016    12:03:18.008.285             接收       03401008        DATA    EXTENDED    8      00 01 00 00 00 07 D0 03 
  00000017    12:03:18.019.422             接收            3AF        DATA    STANDARD    8      01 00 00 00 00 00 00 FB 
  00000018    12:03:18.052.440             接收       03401010        DATA    EXTENDED    8      5F 18 01 00 00 0A D2 00 
  00000019    12:03:18.052.467             接收            3AF        DATA    STANDARD    8      02 00 00 00 00 00 00 F8 
  00000020    12:03:18.131.356             接收            3AF        DATA    STANDARD    8      03 00 00 00 00 00 00 F9 
  00000021    12:03:18.131.364             接收       03401012        DATA    EXTENDED    8      00 02 1A C6 00 00 00 00 
  00000022    12:03:18.131.368             接收            3AF        DATA    STANDARD    8      04 00 00 00 00 00 00 FE 
  00000023    12:03:18.142.922             接收            3AF        DATA    STANDARD    8      05 00 00 00 00 00 00 FF 
  00000024    12:03:18.163.787             接收       03401014        DATA    EXTENDED    8      00 00 60 00 98 01 20 00 
  00000025    12:03:18.176.512             接收            3AF        DATA    STANDARD    8      06 00 00 00 00 00 00 FC 
  00000026    12:03:18.205.956             接收       03401020        DATA    EXTENDED    8      00 00 00 00 00 00 00 00 
  00000027    12:03:18.205.981             接收            3AF        DATA    STANDARD    8      07 00 00 00 00 00 00 FD 
  00000028    12:03:18.237.983             接收            3AF        DATA    STANDARD    8      01 00 00 00 00 00 00 FB 
  00000029    12:03:18.258.662             接收       03401030        DATA    EXTENDED    8      00 00 00 00 00 00 00 00 
  00000030    12:03:18.269.853             接收            3AF        DATA    STANDARD    8      02 00 00 00 00 00 00 F8 
  00000031    12:03:18.301.602             接收            3AF        DATA    STANDARD    8      03 00 00 00 00 00 00 F9 
  00000032    12:03:18.301.629             接收       03401038        DATA    EXTENDED    8      00 00 00 00 00 00 00 00 
  00000033    12:03:18.320.504             接收            3AF        DATA    STANDARD    8      04 00 00 00 00 00 00 FE 
  00000034    12:03:18.352.442             接收       03401040        DATA    EXTENDED    8      00 00 00 00 00 00 00 00 
  00000035    12:03:18.352.470             接收            3AF        DATA    STANDARD    8      05 00 00 00 00 00 00 FF 
  00000036    12:03:18.464.338             接收            3AF        DATA    STANDARD    8      06 00 00 00 00 00 00 FC 
  00000037    12:03:18.464.346             接收       03401008        DATA    EXTENDED    8      00 01 00 00 00 07 D0 03 
  00000038    12:03:18.464.350             接收            3AF        DATA    STANDARD    8      07 00 00 00 00 00 00 FD 
  00000039    12:03:18.464.354             接收            3AF        DATA    STANDARD    8      01 00 00 00 00 00 00 FB 
  00000040    12:03:18.464.358             接收       03401010        DATA    EXTENDED    8      5F 18 01 00 00 0A D2 00 
  00000041    12:03:18.475.062             接收            3AF        DATA    STANDARD    8      02 00 00 00 00 00 00 F8 
  00000042    12:03:18.505.898             接收       03401012        DATA    EXTENDED    8      00 02 1A C6 00 00 00 00 
  00000043    12:03:18.505.908             接收            3AF        DATA    STANDARD    8      03 00 00 00 00 00 00 F9 
