     index           time           Name             ID        Type      Format  Len      Data
  00000001     9:40:56.573.197             接收            3AF        DATA    STANDARD    8      07 00 00 00 00 00 00 FD 
  00000002     9:40:56.573.205             接收       03401038        DATA    EXTENDED    8      00 00 00 00 00 00 00 00 
  00000003     9:40:56.573.210             接收            3AF        DATA    STANDARD    8      01 00 00 00 00 00 00 FB 
  00000004     9:40:56.573.214             接收            3AF        DATA    STANDARD    8      02 00 00 00 00 00 00 F8 
  00000005     9:40:56.586.378             接收       03401040        DATA    EXTENDED    8      00 00 80 00 00 00 00 00 
  00000006     9:40:56.620.339             接收            3AF        DATA    STANDARD    8      03 00 00 00 00 00 00 F9 
  00000007     9:40:56.631.952             接收       03401008        DATA    EXTENDED    8      00 01 00 07 DB 07 D0 04 
  00000008     9:40:56.644.478             接收            3AF        DATA    STANDARD    8      04 00 00 00 00 00 00 FE 
  00000009     9:40:56.661.278             接收            3AF        DATA    STANDARD    8      05 00 00 00 00 00 00 FF 
  00000010     9:40:56.681.358             接收       03401010        DATA    EXTENDED    8      5F 18 01 00 00 0A D2 00 
  00000011     9:40:56.693.005             接收            3AF        DATA    STANDARD    8      06 00 00 00 00 00 00 FC 
  00000012     9:40:56.722.957             接收            3AF        DATA    STANDARD    8      07 00 00 00 00 00 00 FD 
  00000013     9:40:56.743.167             接收       03401012        DATA    EXTENDED    8      00 02 1A 54 00 00 00 00 
  00000014     9:40:56.756.513             接收            3AF        DATA    STANDARD    8      01 00 00 00 00 00 00 FB 
  00000015     9:40:56.786.462             接收       03401014        DATA    EXTENDED    8      00 12 60 17 00 01 20 00 
  00000016     9:40:56.804.896             接收            3AF        DATA    STANDARD    8      02 00 00 00 00 00 00 F8 
  00000017     9:40:56.859.171             接收            3AF        DATA    STANDARD    8      03 00 00 00 00 00 00 F9 
  00000018     9:40:56.859.179             接收       03401020        DATA    EXTENDED    8      00 00 00 00 00 00 00 00 
  00000019     9:40:56.859.193             接收            3AF        DATA    STANDARD    8      04 00 00 00 00 00 00 FE 
  00000020     9:40:56.877.906             接收            3AF        DATA    STANDARD    8      05 00 00 00 00 00 00 FF 
  00000021     9:40:56.896.567             接收       03401030        DATA    EXTENDED    8      00 00 00 00 00 00 00 00 
  00000022     9:40:56.909.690             接收            3AF        DATA    STANDARD    8      06 00 00 00 00 00 00 FC 
  00000023     9:40:56.928.523             接收       03401038        DATA    EXTENDED    8      00 00 00 00 00 00 00 00 
  00000024     9:40:56.941.907             接收            3AF        DATA    STANDARD    8      07 00 00 00 00 00 00 FD 
  00000025     9:40:56.976.915             接收            3AF        DATA    STANDARD    8      01 00 00 00 00 00 00 FB 
  00000026     9:40:56.990.220             接收       03401040        DATA    EXTENDED    8      00 00 80 00 00 00 00 00 
  00000027     9:40:57.007.910             接收            3AF        DATA    STANDARD    8      02 00 00 00 00 00 00 F8 
  00000028     9:40:57.037.095             接收            3AF        DATA    STANDARD    8      03 00 00 00 00 00 00 F9 
  00000029     9:40:57.037.121             接收       03401008        DATA    EXTENDED    8      00 01 00 07 DB 07 D0 04 
  00000030     9:40:57.056.341             接收            3AF        DATA    STANDARD    8      04 00 00 00 00 00 00 FE 
  00000031     9:40:57.098.989             接收       03401010        DATA    EXTENDED    8      5F 18 01 00 00 0A D2 00 
  00000032     9:40:57.099.014             接收            3AF        DATA    STANDARD    8      05 00 00 00 00 00 00 FF 
  00000033     9:40:57.119.434             接收            3AF        DATA    STANDARD    8      06 00 00 00 00 00 00 FC 
  00000034     9:40:57.177.561             接收       03401012        DATA    EXTENDED    8      00 02 1A 54 00 00 00 00 
  00000035     9:40:57.177.570             接收            3AF        DATA    STANDARD    8      07 00 00 00 00 00 00 FD 
  00000036     9:40:57.177.574             接收            3AF        DATA    STANDARD    8      01 00 00 00 00 00 00 FB 
  00000037     9:40:57.193.894             接收       03401014        DATA    EXTENDED    8      00 12 60 17 00 01 20 00 
  00000038     9:40:57.207.066             接收            3AF        DATA    STANDARD    8      02 00 00 00 00 00 00 F8 
  00000039     9:40:57.235.875             接收       03401020        DATA    EXTENDED    8      00 00 00 00 00 00 00 00 
  00000040     9:40:57.235.900             接收            3AF        DATA    STANDARD    8      03 00 00 00 00 00 00 F9 
  00000041     9:40:57.274.857             接收            3AF        DATA    STANDARD    8      04 00 00 00 00 00 00 FE 
  00000042     9:40:57.287.977             接收       03401030        DATA    EXTENDED    8      00 00 00 00 00 00 00 00 
  00000043     9:40:57.300.712             接收            3AF        DATA    STANDARD    8      05 00 00 00 00 00 00 FF 
  00000044     9:40:57.337.590             接收            3AF        DATA    STANDARD    8      06 00 00 00 00 00 00 FC 
  00000045     9:40:57.337.616             接收       03401038        DATA    EXTENDED    8      00 00 00 00 00 00 00 00 
  00000046     9:40:57.367.532             接收            3AF        DATA    STANDARD    8      07 00 00 00 00 00 00 FD 
  00000047     9:40:57.380.764             接收       03401040        DATA    EXTENDED    8      00 00 80 00 00 00 00 00 
  00000048     9:40:57.394.010             接收            3AF        DATA    STANDARD    8      01 00 00 00 00 00 00 FB 
  00000049     9:40:57.427.873             接收            3AF        DATA    STANDARD    8      02 00 00 00 00 00 00 F8 
  00000050     9:40:57.472.888             接收       03401008        DATA    EXTENDED    8      00 01 00 07 E1 07 D0 04 
  00000051     9:40:57.472.913             接收            3AF        DATA    STANDARD    8      03 00 00 00 00 00 00 F9 
  00000052     9:40:57.472.918             接收            3AF        DATA    STANDARD    8      04 00 00 00 00 00 00 FE 
  00000053     9:40:57.496.247             接收       03401010        DATA    EXTENDED    8      5F 18 01 00 00 0A D2 00 
  00000054     9:40:57.507.628             接收            3AF        DATA    STANDARD    8      05 00 00 00 00 00 00 FF 
  00000055     9:40:57.534.091             接收       03401012        DATA    EXTENDED    8      00 02 1A 54 00 00 00 00 
  00000056     9:40:57.534.102             接收            3AF        DATA    STANDARD    8      06 00 00 00 00 00 00 FC 
  00000057     9:40:57.566.033             接收            3AF        DATA    STANDARD    8      07 00 00 00 00 00 00 FD 
  00000058     9:40:57.586.874             接收       03401014        DATA    EXTENDED    8      00 12 60 17 08 01 20 00 
  00000059     9:40:57.599.999             接收            3AF        DATA    STANDARD    8      01 00 00 00 00 00 00 FB 
  00000060     9:40:57.632.019             接收            3AF        DATA    STANDARD    8      02 00 00 00 00 00 00 F8 
  00000061     9:40:57.632.046             接收       03401020        DATA    EXTENDED    8      00 00 00 00 00 00 00 00 
  00000062     9:40:57.662.274             接收            3AF        DATA    STANDARD    8      03 00 00 00 00 00 00 F9 
  00000063     9:40:57.682.544             接收       03401030        DATA    EXTENDED    8      00 00 00 00 00 00 00 00 
  00000064     9:40:57.693.771             接收            3AF        DATA    STANDARD    8      04 00 00 00 00 00 00 FE 
  00000065     9:40:57.712.504             接收            3AF        DATA    STANDARD    8      05 00 00 00 00 00 00 FF 
  00000066     9:40:57.737.395             接收       03401038        DATA    EXTENDED    8      00 00 00 00 00 00 00 00 
  00000067     9:40:57.803.673             接收            3AF        DATA    STANDARD    8      06 00 00 00 00 00 00 FC 
  00000068     9:40:57.803.681             接收            3AF        DATA    STANDARD    8      07 00 00 00 00 00 00 FD 
  00000069     9:40:57.803.685             接收       03401040        DATA    EXTENDED    8      00 00 80 00 00 00 00 00 
  00000070     9:40:57.803.689             接收            3AF        DATA    STANDARD    8      01 00 00 00 00 00 00 FB 
  00000071     9:40:57.831.944             接收       03401008        DATA    EXTENDED    8      00 01 00 07 DB 07 D0 04 
  00000072     9:40:57.850.459             接收            3AF        DATA    STANDARD    8      02 00 00 00 00 00 00 F8 
  00000073     9:40:57.882.255             接收            3AF        DATA    STANDARD    8      03 00 00 00 00 00 00 F9 
  00000074     9:40:57.882.281             接收       03401010        DATA    EXTENDED    8      5F 18 01 00 00 0A D2 00 
  00000075     9:40:57.892.069             接收            3AF        DATA    STANDARD    8      04 00 00 00 00 00 00 FE 
  00000076     9:40:57.923.177             接收            3AF        DATA    STANDARD    8      05 00 00 00 00 00 00 FF 
  00000077     9:40:57.944.868             接收       03401012        DATA    EXTENDED    8      00 02 1A 54 00 00 00 00 
  00000078     9:40:57.956.947             接收            3AF        DATA    STANDARD    8      06 00 00 00 00 00 00 FC 
  00000079     9:40:57.994.968             接收       03401014        DATA    EXTENDED    8      00 12 60 17 00 01 20 00 
  00000080     9:40:57.995.007             接收            3AF        DATA    STANDARD    8      07 00 00 00 00 00 00 FD 
  00000081     9:40:58.017.713             接收            3AF        DATA    STANDARD    8      01 00 00 00 00 00 00 FB 
  00000082     9:40:58.033.976             接收       03401020        DATA    EXTENDED    8      00 00 00 00 00 00 00 00 
  00000083     9:40:58.057.818             接收            3AF        DATA    STANDARD    8      02 00 00 00 00 00 00 F8 
  00000084     9:40:58.111.051             接收            3AF        DATA    STANDARD    8      03 00 00 00 00 00 00 F9 
  00000085     9:40:58.111.059             接收       03401030        DATA    EXTENDED    8      00 00 00 00 00 00 00 00 
  00000086     9:40:58.111.067             接收            3AF        DATA    STANDARD    8      04 00 00 00 00 00 00 FE 
  00000087     9:40:58.129.500             接收       03401038        DATA    EXTENDED    8      00 00 00 00 00 00 00 00 
  00000088     9:40:58.150.414             接收            3AF        DATA    STANDARD    8      05 00 00 00 00 00 00 FF 
  00000089     9:40:58.163.913             接收            3AF        DATA    STANDARD    8      06 00 00 00 00 00 00 FC 
  00000090     9:40:58.193.466             接收       03401040        DATA    EXTENDED    8      00 00 80 00 00 00 00 00 
  00000091     9:40:58.193.493             接收            3AF        DATA    STANDARD    8      07 00 00 00 00 00 00 FD 
  00000092     9:40:58.226.521             接收            3AF        DATA    STANDARD    8      01 00 00 00 00 00 00 FB 
  00000093     9:40:58.236.202             接收       03401008        DATA    EXTENDED    8      00 01 00 07 DB 07 D0 04 
  00000094     9:40:58.255.035             接收            3AF        DATA    STANDARD    8      02 00 00 00 00 00 00 F8 
  00000095     9:40:58.287.003             接收       03401010        DATA    EXTENDED    8      5F 18 01 00 00 0A D2 00 
  00000096     9:40:58.287.028             接收            3AF        DATA    STANDARD    8      03 00 00 00 00 00 00 F9 
  00000097     9:40:58.316.254             接收            3AF        DATA    STANDARD    8      04 00 00 00 00 00 00 FE 
  00000098     9:40:58.337.118             接收       03401012        DATA    EXTENDED    8      00 02 1A 54 00 00 00 00 
  00000099     9:40:58.350.167             接收            3AF        DATA    STANDARD    8      05 00 00 00 00 00 00 FF 
  00000100     9:40:58.434.294             接收            3AF        DATA    STANDARD    8      06 00 00 00 00 00 00 FC 
  00000101     9:40:58.434.304             接收       03401014        DATA    EXTENDED    8      00 12 60 17 00 01 20 00 
  00000102     9:40:58.434.308             接收            3AF        DATA    STANDARD    8      07 00 00 00 00 00 00 FD 
  00000103     9:40:58.434.312             接收       03401020        DATA    EXTENDED    8      00 00 00 00 00 00 00 00 
  00000104     9:40:58.434.316             接收            3AF        DATA    STANDARD    8      01 00 00 00 00 00 00 FB 
  00000105     9:40:58.461.549             接收            3AF        DATA    STANDARD    8      02 00 00 00 00 00 00 F8 
  00000106     9:40:58.496.390             接收       03401030        DATA    EXTENDED    8      00 00 00 00 00 00 00 00 
  00000107     9:40:58.496.415             接收            3AF        DATA    STANDARD    8      03 00 00 00 00 00 00 F9 
  00000108     9:40:58.534.725             接收            3AF        DATA    STANDARD    8      04 00 00 00 00 00 00 FE 
  00000109     9:40:58.534.751             接收       03401038        DATA    EXTENDED    8      00 00 00 00 00 00 00 00 
  00000110     9:40:58.555.327             接收            3AF        DATA    STANDARD    8      05 00 00 00 00 00 00 FF 
  00000111     9:40:58.587.243             接收       03401040        DATA    EXTENDED    8      00 00 80 00 00 00 00 00 
  00000112     9:40:58.587.271             接收            3AF        DATA    STANDARD    8      06 00 00 00 00 00 00 FC 
  00000113     9:40:58.612.254             接收            3AF        DATA    STANDARD    8      07 00 00 00 00 00 00 FD 
  00000114     9:40:58.631.789             接收       03401008        DATA    EXTENDED    8      00 01 00 07 DB 07 D0 04 
  00000115     9:40:58.651.078             接收            3AF        DATA    STANDARD    8      01 00 00 00 00 00 00 FB 
  00000116     9:40:58.682.995             接收            3AF        DATA    STANDARD    8      02 00 00 00 00 00 00 F8 
  00000117     9:40:58.683.024             接收       03401010        DATA    EXTENDED    8      5F 18 01 00 00 0A D2 00 
  00000118     9:40:58.739.191             接收            3AF        DATA    STANDARD    8      03 00 00 00 00 00 00 F9 
  00000119     9:40:58.739.200             接收       03401012        DATA    EXTENDED    8      00 02 1A 54 00 00 00 00 
