     index           time           Name             ID        Type      Format  Len      Data
  00000001     9:49:38.068.635             接收       03401014        DATA    EXTENDED    8      00 00 60 00 98 01 20 00 
  00000002     9:49:38.068.645             接收            3AF        DATA    STANDARD    8      04 00 00 00 00 00 00 FE 
  00000003     9:49:38.068.650             接收            3AF        DATA    STANDARD    8      05 00 00 00 00 00 00 FF 
  00000004     9:49:38.068.655             接收       03401020        DATA    EXTENDED    8      00 00 00 00 00 00 00 00 
  00000005     9:49:38.086.314             接收            3AF        DATA    STANDARD    8      06 00 00 00 00 00 00 FC 
  00000006     9:49:38.119.252             接收            3AF        DATA    STANDARD    8      07 00 00 00 00 00 00 FD 
  00000007     9:49:38.119.262             接收       03401030        DATA    EXTENDED    8      00 00 00 00 00 00 00 00 
  00000008     9:49:38.143.349             接收            3AF        DATA    STANDARD    8      01 00 00 00 00 00 00 FB 
  00000009     9:49:38.180.245             接收       03401038        DATA    EXTENDED    8      00 00 00 00 00 00 00 00 
  00000010     9:49:38.180.271             接收            3AF        DATA    STANDARD    8      02 00 00 00 00 00 00 F8 
  00000011     9:49:38.212.257             接收            3AF        DATA    STANDARD    8      03 00 00 00 00 00 00 F9 
  00000012     9:49:38.225.527             接收       03401040        DATA    EXTENDED    8      00 00 00 00 00 00 00 00 
  00000013     9:49:38.246.122             接收            3AF        DATA    STANDARD    8      04 00 00 00 00 00 00 FE 
  00000014     9:49:38.273.555             接收            3AF        DATA    STANDARD    8      05 00 00 00 00 00 00 FF 
  00000015     9:49:38.273.581             接收       03401008        DATA    EXTENDED    8      00 01 00 00 00 07 D0 0E 
  00000016     9:49:38.306.959             接收            3AF        DATA    STANDARD    8      06 00 00 00 00 00 00 FC 
  00000017     9:49:38.317.123             接收       03401010        DATA    EXTENDED    8      5F 18 01 00 00 0A D2 00 
  00000018     9:49:38.338.118             接收            3AF        DATA    STANDARD    8      07 00 00 00 00 00 00 FD 
  00000019     9:49:38.351.212             接收            3AF        DATA    STANDARD    8      01 00 00 00 00 00 00 FB 
  00000020     9:49:38.363.834             接收       03401012        DATA    EXTENDED    8      00 02 1A 5B 00 00 00 00 
  00000021     9:49:38.431.473             接收            3AF        DATA    STANDARD    8      02 00 00 00 00 00 00 F8 
  00000022     9:49:38.431.482             接收            3AF        DATA    STANDARD    8      03 00 00 00 00 00 00 F9 
  00000023     9:49:38.431.486             接收       03401014        DATA    EXTENDED    8      00 00 60 00 98 01 20 00 
  00000024     9:49:38.439.614             接收            3AF        DATA    STANDARD    8      04 00 00 00 00 00 00 FE 
  00000025     9:49:38.474.510             接收       03401020        DATA    EXTENDED    8      00 00 00 00 00 00 00 00 
  00000026     9:49:38.474.527             接收            3AF        DATA    STANDARD    8      05 00 00 00 00 00 00 FF 
  00000027     9:49:38.506.215             接收            3AF        DATA    STANDARD    8      06 00 00 00 00 00 00 FC 
