     index           time           Name             ID        Type      Format  Len      Data
  00000001    10:51:14.114.172             接收            3AF        DATA    STANDARD    8      06 00 00 00 00 00 00 FC 
  00000002    10:51:14.114.183             接收       03401038        DATA    EXTENDED    8      00 00 00 00 00 00 00 00 
  00000003    10:51:14.114.189             接收            3AF        DATA    STANDARD    8      07 00 00 00 00 00 00 FD 
  00000004    10:51:14.114.193             接收            3AF        DATA    STANDARD    8      01 00 00 00 00 00 00 FB 
  00000005    10:51:14.114.198             接收       03401040        DATA    EXTENDED    8      00 00 00 00 00 00 00 00 
  00000006    10:51:14.114.203             接收            3AF        DATA    STANDARD    8      02 00 00 00 00 00 00 F8 
  00000007    10:51:14.114.207             接收       03401008        DATA    EXTENDED    8      00 01 00 00 00 07 D0 0D 
  00000008    10:51:14.129.177             接收            3AF        DATA    STANDARD    8      03 00 00 00 00 00 00 F9 
  00000009    10:51:14.142.608             接收            3AF        DATA    STANDARD    8      04 00 00 00 00 00 00 FE 
  00000010    10:51:14.162.113             接收       03401010        DATA    EXTENDED    8      5F 18 01 00 00 0A D2 00 
  00000011    10:51:14.183.335             接收            3AF        DATA    STANDARD    8      05 00 00 00 00 00 00 FF 
  00000012    10:51:14.204.294             接收            3AF        DATA    STANDARD    8      06 00 00 00 00 00 00 FC 
  00000013    10:51:14.224.777             接收       03401012        DATA    EXTENDED    8      00 02 1A A6 00 00 00 00 
  00000014    10:51:14.245.106             接收            3AF        DATA    STANDARD    8      07 00 00 00 00 00 00 FD 
  00000015    10:51:14.271.585             接收       03401014        DATA    EXTENDED    8      00 00 60 00 98 01 20 00 
  00000016    10:51:14.271.611             接收            3AF        DATA    STANDARD    8      01 00 00 00 00 00 00 FB 
  00000017    10:51:14.307.893             接收            3AF        DATA    STANDARD    8      02 00 00 00 00 00 00 F8 
  00000018    10:51:14.367.520             接收       03401020        DATA    EXTENDED    8      00 00 00 00 00 00 00 00 
  00000019    10:51:14.367.528             接收            3AF        DATA    STANDARD    8      03 00 00 00 00 00 00 F9 
  00000020    10:51:14.367.532             接收            3AF        DATA    STANDARD    8      04 00 00 00 00 00 00 FE 
  00000021    10:51:14.367.537             接收       03401030        DATA    EXTENDED    8      00 00 00 00 00 00 00 00 
  00000022    10:51:14.399.720             接收            3AF        DATA    STANDARD    8      05 00 00 00 00 00 00 FF 
  00000023    10:51:14.430.173             接收       03401038        DATA    EXTENDED    8      00 00 00 00 00 00 00 00 
  00000024    10:51:14.430.196             接收            3AF        DATA    STANDARD    8      06 00 00 00 00 00 00 FC 
  00000025    10:51:14.440.500             接收            3AF        DATA    STANDARD    8      07 00 00 00 00 00 00 FD 
  00000026    10:51:14.473.821             接收       03401040        DATA    EXTENDED    8      00 00 00 00 00 00 00 00 
  00000027    10:51:14.473.830             接收            3AF        DATA    STANDARD    8      01 00 00 00 00 00 00 FB 
  00000028    10:51:14.503.696             接收            3AF        DATA    STANDARD    8      02 00 00 00 00 00 00 F8 
  00000029    10:51:14.518.680             接收       03401008        DATA    EXTENDED    8      00 01 00 00 00 07 D0 0D 
  00000030    10:51:14.535.908             接收            3AF        DATA    STANDARD    8      03 00 00 00 00 00 00 F9 
  00000031    10:51:14.566.683             接收       03401010        DATA    EXTENDED    8      5F 18 01 00 00 0A D2 00 
  00000032    10:51:14.566.708             接收            3AF        DATA    STANDARD    8      04 00 00 00 00 00 00 FE 
  00000033    10:51:14.604.213             接收            3AF        DATA    STANDARD    8      05 00 00 00 00 00 00 FF 
  00000034    10:51:14.611.607             接收       03401012        DATA    EXTENDED    8      00 02 1A A6 00 00 00 00 
  00000035    10:51:14.674.636             接收            3AF        DATA    STANDARD    8      06 00 00 00 00 00 00 FC 
