     index           time           Name             ID        Type      Format  Len      Data
  00000001    11:39:22.696.185             接收            3AF        DATA    STANDARD    8      03 00 00 00 00 00 00 F9 
  00000002    11:39:22.696.196             接收       03401040        DATA    EXTENDED    8      00 00 00 00 00 00 00 00 
  00000003    11:39:22.696.201             接收            3AF        DATA    STANDARD    8      04 00 00 00 00 00 00 FE 
  00000004    11:39:22.696.205             接收            3AF        DATA    STANDARD    8      05 00 00 00 00 00 00 FF 
  00000005    11:39:22.704.069             接收       03401008        DATA    EXTENDED    8      00 01 00 00 00 07 D0 18 
  00000006    11:39:22.725.080             接收            3AF        DATA    STANDARD    8      06 00 00 00 00 00 00 FC 
  00000007    11:39:22.786.555             接收       03401010        DATA    EXTENDED    8      5F 18 01 00 00 0A D2 00 
  00000008    11:39:22.786.572             接收            3AF        DATA    STANDARD    8      07 00 00 00 00 00 00 FD 
  00000009    11:39:22.786.578             接收            3AF        DATA    STANDARD    8      01 00 00 00 00 00 00 FB 
  00000010    11:39:22.802.432             接收       03401012        DATA    EXTENDED    8      00 02 1A B9 00 00 00 00 
  00000011    11:39:22.824.196             接收            3AF        DATA    STANDARD    8      02 00 00 00 00 00 00 F8 
  00000012    11:39:22.850.159             接收            3AF        DATA    STANDARD    8      03 00 00 00 00 00 00 F9 
  00000013    11:39:22.865.641             接收       03401014        DATA    EXTENDED    8      00 00 60 00 98 01 20 00 
  00000014    11:39:22.885.793             接收            3AF        DATA    STANDARD    8      04 00 00 00 00 00 00 FE 
  00000015    11:39:22.915.809             接收       03401020        DATA    EXTENDED    8      00 00 00 00 00 00 00 00 
  00000016    11:39:22.915.836             接收            3AF        DATA    STANDARD    8      05 00 00 00 00 00 00 FF 
  00000017    11:39:22.938.592             接收            3AF        DATA    STANDARD    8      06 00 00 00 00 00 00 FC 
  00000018    11:39:22.959.053             接收       03401030        DATA    EXTENDED    8      00 00 00 00 00 00 00 00 
  00000019    11:39:22.970.785             接收            3AF        DATA    STANDARD    8      07 00 00 00 00 00 00 FD 
  00000020    11:39:23.008.475             接收            3AF        DATA    STANDARD    8      01 00 00 00 00 00 00 FB 
  00000021    11:39:23.008.488             接收       03401038        DATA    EXTENDED    8      00 00 00 00 00 00 00 00 
  00000022    11:39:23.040.473             接收            3AF        DATA    STANDARD    8      02 00 00 00 00 00 00 F8 
  00000023    11:39:23.053.753             接收       03401040        DATA    EXTENDED    8      00 00 00 00 00 00 00 00 
  00000024    11:39:23.158.714             接收            3AF        DATA    STANDARD    8      03 00 00 00 00 00 00 F9 
  00000025    11:39:23.158.723             接收            3AF        DATA    STANDARD    8      04 00 00 00 00 00 00 FE 
  00000026    11:39:23.158.727             接收       03401008        DATA    EXTENDED    8      00 01 00 00 00 07 D0 18 
  00000027    11:39:23.158.730             接收            3AF        DATA    STANDARD    8      05 00 00 00 00 00 00 FF 
  00000028    11:39:23.158.734             接收            3AF        DATA    STANDARD    8      06 00 00 00 00 00 00 FC 
  00000029    11:39:23.158.738             接收       03401010        DATA    EXTENDED    8      5F 18 01 00 00 0A D2 00 
  00000030    11:39:23.175.838             接收            3AF        DATA    STANDARD    8      07 00 00 00 00 00 00 FD 
  00000031    11:39:23.207.637             接收       03401012        DATA    EXTENDED    8      00 02 1A B9 00 00 00 00 
  00000032    11:39:23.207.650             接收            3AF        DATA    STANDARD    8      01 00 00 00 00 00 00 FB 
  00000033    11:39:23.241.010             接收            3AF        DATA    STANDARD    8      02 00 00 00 00 00 00 F8 
  00000034    11:39:23.258.577             接收       03401014        DATA    EXTENDED    8      00 00 60 00 98 01 20 00 
  00000035    11:39:23.269.383             接收            3AF        DATA    STANDARD    8      03 00 00 00 00 00 00 F9 
  00000036    11:39:23.303.537             接收            3AF        DATA    STANDARD    8      04 00 00 00 00 00 00 FE 
  00000037    11:39:23.303.556             接收       03401020        DATA    EXTENDED    8      00 00 00 00 00 00 00 00 
  00000038    11:39:23.333.707             接收            3AF        DATA    STANDARD    8      05 00 00 00 00 00 00 FF 
  00000039    11:39:23.354.594             接收       03401030        DATA    EXTENDED    8      00 00 00 00 00 00 00 00 
  00000040    11:39:23.367.763             接收            3AF        DATA    STANDARD    8      06 00 00 00 00 00 00 FC 
  00000041    11:39:23.446.707             接收            3AF        DATA    STANDARD    8      07 00 00 00 00 00 00 FD 
  00000042    11:39:23.446.715             接收       03401038        DATA    EXTENDED    8      00 00 00 00 00 00 00 00 
  00000043    11:39:23.446.719             接收            3AF        DATA    STANDARD    8      01 00 00 00 00 00 00 FB 
  00000044    11:39:23.446.723             接收            3AF        DATA    STANDARD    8      02 00 00 00 00 00 00 F8 
  00000045    11:39:23.453.905             接收       03401040        DATA    EXTENDED    8      00 00 00 00 00 00 00 00 
  00000046    11:39:23.488.557             接收            3AF        DATA    STANDARD    8      03 00 00 00 00 00 00 F9 
  00000047    11:39:23.501.224             接收       03401008        DATA    EXTENDED    8      00 01 00 00 00 07 D0 18 
  00000048    11:39:23.522.573             接收            3AF        DATA    STANDARD    8      04 00 00 00 00 00 00 FE 
  00000049    11:39:23.542.111             接收            3AF        DATA    STANDARD    8      05 00 00 00 00 00 00 FF 
  00000050    11:39:23.570.041             接收       03401010        DATA    EXTENDED    8      5F 18 01 00 00 0A D2 00 
  00000051    11:39:23.570.068             接收            3AF        DATA    STANDARD    8      06 00 00 00 00 00 00 FC 
  00000052    11:39:23.601.954             接收            3AF        DATA    STANDARD    8      07 00 00 00 00 00 00 FD 
  00000053    11:39:23.601.980             接收       03401012        DATA    EXTENDED    8      00 02 1A B9 00 00 00 00 
  00000054    11:39:23.629.364             接收            3AF        DATA    STANDARD    8      01 00 00 00 00 00 00 FB 
  00000055    11:39:23.664.792             接收       03401014        DATA    EXTENDED    8      00 00 60 00 98 01 20 00 
  00000056    11:39:23.664.804             接收            3AF        DATA    STANDARD    8      02 00 00 00 00 00 00 F8 
  00000057    11:39:23.763.211             接收            3AF        DATA    STANDARD    8      03 00 00 00 00 00 00 F9 
  00000058    11:39:23.763.218             接收       03401020        DATA    EXTENDED    8      00 00 00 00 00 00 00 00 
  00000059    11:39:23.763.223             接收            3AF        DATA    STANDARD    8      04 00 00 00 00 00 00 FE 
  00000060    11:39:23.763.227             接收            3AF        DATA    STANDARD    8      05 00 00 00 00 00 00 FF 
  00000061    11:39:23.763.234             接收       03401030        DATA    EXTENDED    8      00 00 00 00 00 00 00 00 
  00000062    11:39:23.792.665             接收            3AF        DATA    STANDARD    8      06 00 00 00 00 00 00 FC 
  00000063    11:39:23.819.815             接收       03401038        DATA    EXTENDED    8      00 00 00 00 00 00 00 00 
  00000064    11:39:23.819.839             接收            3AF        DATA    STANDARD    8      07 00 00 00 00 00 00 FD 
  00000065    11:39:23.851.248             接收            3AF        DATA    STANDARD    8      01 00 00 00 00 00 00 FB 
  00000066    11:39:23.865.858             接收       03401040        DATA    EXTENDED    8      00 00 00 00 00 00 00 00 
  00000067    11:39:23.865.883             接收            3AF        DATA    STANDARD    8      02 00 00 00 00 00 00 F8 
  00000068    11:39:23.913.122             接收            3AF        DATA    STANDARD    8      03 00 00 00 00 00 00 F9 
  00000069    11:39:23.913.147             接收       03401008        DATA    EXTENDED    8      00 01 00 00 00 07 D0 18 
  00000070    11:39:23.944.531             接收            3AF        DATA    STANDARD    8      04 00 00 00 00 00 00 FE 
  00000071    11:39:23.955.987             接收       03401010        DATA    EXTENDED    8      5F 18 01 00 00 0A D2 00 
  00000072    11:39:23.956.011             接收            3AF        DATA    STANDARD    8      05 00 00 00 00 00 00 FF 
  00000073    11:39:23.987.719             接收            3AF        DATA    STANDARD    8      06 00 00 00 00 00 00 FC 
  00000074    11:39:24.085.944             接收       03401012        DATA    EXTENDED    8      00 02 1A B9 00 00 00 00 
  00000075    11:39:24.085.954             接收            3AF        DATA    STANDARD    8      07 00 00 00 00 00 00 FD 
  00000076    11:39:24.085.959             接收            3AF        DATA    STANDARD    8      01 00 00 00 00 00 00 FB 
  00000077    11:39:24.085.964             接收       03401014        DATA    EXTENDED    8      00 00 60 00 98 01 20 00 
  00000078    11:39:24.085.969             接收            3AF        DATA    STANDARD    8      02 00 00 00 00 00 00 F8 
  00000079    11:39:24.110.938             接收       03401020        DATA    EXTENDED    8      00 00 00 00 00 00 00 00 
  00000080    11:39:24.110.949             接收            3AF        DATA    STANDARD    8      03 00 00 00 00 00 00 F9 
  00000081    11:39:24.143.438             接收            3AF        DATA    STANDARD    8      04 00 00 00 00 00 00 FE 
  00000082    11:39:24.163.278             接收       03401030        DATA    EXTENDED    8      00 00 00 00 00 00 00 00 
  00000083    11:39:24.176.671             接收            3AF        DATA    STANDARD    8      05 00 00 00 00 00 00 FF 
  00000084    11:39:24.196.125             接收            3AF        DATA    STANDARD    8      06 00 00 00 00 00 00 FC 
  00000085    11:39:24.206.072             接收       03401038        DATA    EXTENDED    8      00 00 00 00 00 00 00 00 
