     index           time           Name             ID        Type      Format  Len      Data
  00000001    10:22:26.397.588             接收       03401038        DATA    EXTENDED    8      00 00 00 00 00 00 00 00 
  00000002    10:22:26.397.598             接收            3AF        DATA    STANDARD    8      01 00 00 00 00 00 00 FB 
  00000003    10:22:26.397.603             接收            3AF        DATA    STANDARD    8      02 00 00 00 00 00 00 F8 
  00000004    10:22:26.397.607             接收       03401040        DATA    EXTENDED    8      00 00 00 00 00 00 00 00 
  00000005    10:22:26.397.611             接收            3AF        DATA    STANDARD    8      03 00 00 00 00 00 00 F9 
  00000006    10:22:26.397.615             接收       03401008        DATA    EXTENDED    8      00 01 00 00 00 07 D0 18 
  00000007    10:22:26.416.498             接收            3AF        DATA    STANDARD    8      04 00 00 00 00 00 00 FE 
  00000008    10:22:26.431.313             接收            3AF        DATA    STANDARD    8      05 00 00 00 00 00 00 FF 
  00000009    10:22:26.454.492             接收       03401010        DATA    EXTENDED    8      5F 18 01 00 00 0A D2 00 
  00000010    10:22:26.472.361             接收            3AF        DATA    STANDARD    8      06 00 00 00 00 00 00 FC 
  00000011    10:22:26.495.306             接收            3AF        DATA    STANDARD    8      07 00 00 00 00 00 00 FD 
  00000012    10:22:26.495.317             接收       03401012        DATA    EXTENDED    8      00 02 1A 7D 00 00 00 00 
  00000013    10:22:26.546.922             接收            3AF        DATA    STANDARD    8      01 00 00 00 00 00 00 FB 
  00000014    10:22:26.546.931             接收       03401014        DATA    EXTENDED    8      00 00 60 00 98 01 20 00 
  00000015    10:22:26.556.837             接收            3AF        DATA    STANDARD    8      02 00 00 00 00 00 00 F8 
  00000016    10:22:26.580.886             接收            3AF        DATA    STANDARD    8      03 00 00 00 00 00 00 F9 
  00000017    10:22:26.599.712             接收       03401020        DATA    EXTENDED    8      00 00 00 00 00 00 00 00 
  00000018    10:22:26.620.822             接收            3AF        DATA    STANDARD    8      04 00 00 00 00 00 00 FE 
  00000019    10:22:26.647.780             接收            3AF        DATA    STANDARD    8      05 00 00 00 00 00 00 FF 
  00000020    10:22:26.647.809             接收       03401030        DATA    EXTENDED    8      00 00 00 00 00 00 00 00 
  00000021    10:22:26.673.731             接收            3AF        DATA    STANDARD    8      06 00 00 00 00 00 00 FC 
  00000022    10:22:26.710.626             接收       03401038        DATA    EXTENDED    8      00 00 00 00 00 00 00 00 
  00000023    10:22:26.710.652             接收            3AF        DATA    STANDARD    8      07 00 00 00 00 00 00 FD 
  00000024    10:22:26.743.495             接收            3AF        DATA    STANDARD    8      01 00 00 00 00 00 00 FB 
  00000025    10:22:26.743.521             接收       03401040        DATA    EXTENDED    8      00 00 00 00 00 00 00 00 
