     index           time           Name             ID        Type      Format  Len      Data
  00000001    10:38:06.491.644             接收       03401008        DATA    EXTENDED    8      00 01 00 00 00 07 D0 05 
  00000002    10:38:06.491.655             接收            3AF        DATA    STANDARD    8      03 00 00 00 00 00 00 F9 
  00000003    10:38:06.496.538             接收            3AF        DATA    STANDARD    8      04 00 00 00 00 00 00 FE 
  00000004    10:38:06.512.259             接收       03401010        DATA    EXTENDED    8      5F 18 01 00 00 0A D2 00 
  00000005    10:38:06.524.354             接收            3AF        DATA    STANDARD    8      05 00 00 00 00 00 00 FF 
  00000006    10:38:06.568.513             接收            3AF        DATA    STANDARD    8      06 00 00 00 00 00 00 FC 
  00000007    10:38:06.568.541             接收       03401012        DATA    EXTENDED    8      00 02 1A 93 00 00 00 00 
  00000008    10:38:06.589.189             接收            3AF        DATA    STANDARD    8      07 00 00 00 00 00 00 FD 
  00000009    10:38:06.617.131             接收       03401014        DATA    EXTENDED    8      00 00 60 00 98 01 20 00 
  00000010    10:38:06.617.164             接收            3AF        DATA    STANDARD    8      01 00 00 00 00 00 00 FB 
  00000011    10:38:06.664.724             接收            3AF        DATA    STANDARD    8      02 00 00 00 00 00 00 F8 
  00000012    10:38:06.664.753             接收       03401020        DATA    EXTENDED    8      00 00 00 00 00 00 00 00 
  00000013    10:38:06.694.390             接收            3AF        DATA    STANDARD    8      03 00 00 00 00 00 00 F9 
  00000014    10:38:06.713.850             接收            3AF        DATA    STANDARD    8      04 00 00 00 00 00 00 FE 
  00000015    10:38:06.713.879             接收       03401030        DATA    EXTENDED    8      00 00 00 00 00 00 00 00 
  00000016    10:38:06.742.783             接收            3AF        DATA    STANDARD    8      05 00 00 00 00 00 00 FF 
  00000017    10:38:06.761.874             接收       03401038        DATA    EXTENDED    8      00 00 00 00 00 00 00 00 
  00000018    10:38:06.773.212             接收            3AF        DATA    STANDARD    8      06 00 00 00 00 00 00 FC 
  00000019    10:38:06.803.410             接收            3AF        DATA    STANDARD    8      07 00 00 00 00 00 00 FD 
  00000020    10:38:06.854.862             接收       03401040        DATA    EXTENDED    8      00 00 00 00 00 00 00 00 
  00000021    10:38:06.854.872             接收            3AF        DATA    STANDARD    8      01 00 00 00 00 00 00 FB 
  00000022    10:38:06.854.877             接收            3AF        DATA    STANDARD    8      02 00 00 00 00 00 00 F8 
  00000023    10:38:06.861.551             接收       03401008        DATA    EXTENDED    8      00 01 00 00 00 07 D0 05 
  00000024    10:38:06.900.273             接收            3AF        DATA    STANDARD    8      03 00 00 00 00 00 00 F9 
  00000025    10:38:06.911.774             接收       03401010        DATA    EXTENDED    8      5F 18 01 00 00 0A D2 00 
  00000026    10:38:06.932.296             接收            3AF        DATA    STANDARD    8      04 00 00 00 00 00 00 FE 
  00000027    10:38:06.963.150             接收            3AF        DATA    STANDARD    8      05 00 00 00 00 00 00 FF 
  00000028    10:38:06.963.180             接收       03401012        DATA    EXTENDED    8      00 02 1A 93 00 00 00 00 
  00000029    10:38:06.976.213             接收            3AF        DATA    STANDARD    8      06 00 00 00 00 00 00 FC 
  00000030    10:38:07.006.483             接收            3AF        DATA    STANDARD    8      07 00 00 00 00 00 00 FD 
  00000031    10:38:07.027.028             接收       03401014        DATA    EXTENDED    8      00 00 60 00 98 01 20 00 
  00000032    10:38:07.036.800             接收            3AF        DATA    STANDARD    8      01 00 00 00 00 00 00 FB 
  00000033    10:38:07.069.749             接收       03401020        DATA    EXTENDED    8      00 00 00 00 00 00 00 00 
  00000034    10:38:07.069.779             接收            3AF        DATA    STANDARD    8      02 00 00 00 00 00 00 F8 
  00000035    10:38:07.098.569             接收            3AF        DATA    STANDARD    8      03 00 00 00 00 00 00 F9 
  00000036    10:38:07.117.806             接收       03401030        DATA    EXTENDED    8      00 00 00 00 00 00 00 00 
  00000037    10:38:07.171.643             接收            3AF        DATA    STANDARD    8      04 00 00 00 00 00 00 FE 
  00000038    10:38:07.171.652             接收            3AF        DATA    STANDARD    8      05 00 00 00 00 00 00 FF 
  00000039    10:38:07.171.657             接收       03401038        DATA    EXTENDED    8      00 00 00 00 00 00 00 00 
  00000040    10:38:07.190.644             接收            3AF        DATA    STANDARD    8      06 00 00 00 00 00 00 FC 
  00000041    10:38:07.210.045             接收       03401040        DATA    EXTENDED    8      00 00 00 00 00 00 00 00 
  00000042    10:38:07.222.845             接收            3AF        DATA    STANDARD    8      07 00 00 00 00 00 00 FD 
  00000043    10:38:07.256.550             接收            3AF        DATA    STANDARD    8      01 00 00 00 00 00 00 FB 
  00000044    10:38:07.256.620             接收       03401008        DATA    EXTENDED    8      00 01 00 00 00 07 D0 05 
  00000045    10:38:07.277.586             接收            3AF        DATA    STANDARD    8      02 00 00 00 00 00 00 F8 
  00000046    10:38:07.320.008             接收            3AF        DATA    STANDARD    8      03 00 00 00 00 00 00 F9 
  00000047    10:38:07.320.034             接收       03401010        DATA    EXTENDED    8      5F 18 01 00 00 0A D2 00 
  00000048    10:38:07.346.877             接收            3AF        DATA    STANDARD    8      04 00 00 00 00 00 00 FE 
  00000049    10:38:07.367.201             接收       03401012        DATA    EXTENDED    8      00 02 1A 93 00 00 00 00 
  00000050    10:38:07.367.228             接收            3AF        DATA    STANDARD    8      05 00 00 00 00 00 00 FF 
  00000051    10:38:07.401.052             接收            3AF        DATA    STANDARD    8      06 00 00 00 00 00 00 FC 
  00000052    10:38:07.433.524             接收       03401014        DATA    EXTENDED    8      00 00 60 00 98 01 20 00 
  00000053    10:38:07.433.549             接收            3AF        DATA    STANDARD    8      07 00 00 00 00 00 00 FD 
  00000054    10:38:07.478.245             接收            3AF        DATA    STANDARD    8      01 00 00 00 00 00 00 FB 
  00000055    10:38:07.478.253             接收       03401020        DATA    EXTENDED    8      00 00 00 00 00 00 00 00 
  00000056    10:38:07.493.202             接收            3AF        DATA    STANDARD    8      02 00 00 00 00 00 00 F8 
