     index           time           Name             ID        Type      Format  Len      Data
  00000001    11:51:24.129.529             接收       03401014        DATA    EXTENDED    8      00 00 60 00 98 01 20 00 
  00000002    11:51:24.129.539             接收            3AF        DATA    STANDARD    8      02 00 00 00 00 00 00 F8 
  00000003    11:51:24.144.138             接收            3AF        DATA    STANDARD    8      03 00 00 00 00 00 00 F9 
  00000004    11:51:24.165.349             接收       03401020        DATA    EXTENDED    8      00 00 00 00 00 00 00 00 
  00000005    11:51:24.177.878             接收            3AF        DATA    STANDARD    8      04 00 00 00 00 00 00 FE 
  00000006    11:51:24.206.413             接收            3AF        DATA    STANDARD    8      05 00 00 00 00 00 00 FF 
  00000007    11:51:24.206.437             接收       03401030        DATA    EXTENDED    8      00 00 00 00 00 00 00 00 
  00000008    11:51:24.227.650             接收            3AF        DATA    STANDARD    8      06 00 00 00 00 00 00 FC 
  00000009    11:51:24.257.313             接收       03401038        DATA    EXTENDED    8      00 00 00 00 00 00 00 00 
  00000010    11:51:24.257.338             接收            3AF        DATA    STANDARD    8      07 00 00 00 00 00 00 FD 
  00000011    11:51:24.289.934             接收            3AF        DATA    STANDARD    8      01 00 00 00 00 00 00 FB 
  00000012    11:51:24.301.886             接收       03401040        DATA    EXTENDED    8      00 00 00 00 00 00 00 00 
  00000013    11:51:24.359.860             接收            3AF        DATA    STANDARD    8      02 00 00 00 00 00 00 F8 
  00000014    11:51:24.359.869             接收            3AF        DATA    STANDARD    8      03 00 00 00 00 00 00 F9 
  00000015    11:51:24.359.873             接收       03401008        DATA    EXTENDED    8      00 01 00 00 00 07 D0 0C 
  00000016    11:51:24.383.015             接收            3AF        DATA    STANDARD    8      04 00 00 00 00 00 00 FE 
  00000017    11:51:24.428.828             接收       03401010        DATA    EXTENDED    8      5F 18 01 00 00 0A D2 00 
  00000018    11:51:24.428.837             接收            3AF        DATA    STANDARD    8      05 00 00 00 00 00 00 FF 
  00000019    11:51:24.447.757             接收            3AF        DATA    STANDARD    8      06 00 00 00 00 00 00 FC 
  00000020    11:51:24.458.689             接收       03401012        DATA    EXTENDED    8      00 02 1A BF 00 00 00 00 
  00000021    11:51:24.479.687             接收            3AF        DATA    STANDARD    8      07 00 00 00 00 00 00 FD 
  00000022    11:51:24.496.945             接收            3AF        DATA    STANDARD    8      01 00 00 00 00 00 00 FB 
  00000023    11:51:24.503.704             接收       03401014        DATA    EXTENDED    8      00 00 60 00 98 01 20 00 
  00000024    11:51:24.540.592             接收            3AF        DATA    STANDARD    8      02 00 00 00 00 00 00 F8 
  00000025    11:51:24.550.142             接收       03401020        DATA    EXTENDED    8      00 00 00 00 00 00 00 00 
  00000026    11:51:24.569.512             接收            3AF        DATA    STANDARD    8      03 00 00 00 00 00 00 F9 
  00000027    11:51:24.601.422             接收            3AF        DATA    STANDARD    8      04 00 00 00 00 00 00 FE 
  00000028    11:51:24.601.448             接收       03401030        DATA    EXTENDED    8      00 00 00 00 00 00 00 00 
  00000029    11:51:24.707.639             接收            3AF        DATA    STANDARD    8      05 00 00 00 00 00 00 FF 
  00000030    11:51:24.707.655             接收            3AF        DATA    STANDARD    8      06 00 00 00 00 00 00 FC 
  00000031    11:51:24.707.660             接收       03401038        DATA    EXTENDED    8      00 00 00 00 00 00 00 00 
  00000032    11:51:24.707.664             接收            3AF        DATA    STANDARD    8      07 00 00 00 00 00 00 FD 
  00000033    11:51:24.707.668             接收       03401040        DATA    EXTENDED    8      00 00 00 00 00 00 00 00 
  00000034    11:51:24.723.870             接收            3AF        DATA    STANDARD    8      01 00 00 00 00 00 00 FB 
  00000035    11:51:24.738.013             接收            3AF        DATA    STANDARD    8      02 00 00 00 00 00 00 F8 
  00000036    11:51:24.759.134             接收       03401008        DATA    EXTENDED    8      00 01 00 00 00 07 D0 0C 
  00000037    11:51:24.770.066             接收            3AF        DATA    STANDARD    8      03 00 00 00 00 00 00 F9 
  00000038    11:51:24.804.304             接收            3AF        DATA    STANDARD    8      04 00 00 00 00 00 00 FE 
  00000039    11:51:24.804.330             接收       03401010        DATA    EXTENDED    8      5F 18 01 00 00 0A D2 00 
  00000040    11:51:24.835.119             接收            3AF        DATA    STANDARD    8      05 00 00 00 00 00 00 FF 
  00000041    11:51:24.863.336             接收       03401012        DATA    EXTENDED    8      00 02 1A BF 00 00 00 00 
  00000042    11:51:24.863.362             接收            3AF        DATA    STANDARD    8      06 00 00 00 00 00 00 FC 
