     index           time           Name             ID        Type      Format  Len      Data
  00000001    10:45:02.568.300             接收            3AF        DATA    STANDARD    8      06 00 00 00 00 00 00 FC 
  00000002    10:45:02.568.310             接收       03401010        DATA    EXTENDED    8      5F 18 01 00 00 0A D2 00 
  00000003    10:45:02.568.315             接收            3AF        DATA    STANDARD    8      07 00 00 00 00 00 00 FD 
  00000004    10:45:02.588.524             接收       03401012        DATA    EXTENDED    8      00 02 1A 9E 00 00 00 00 
  00000005    10:45:02.601.070             接收            3AF        DATA    STANDARD    8      01 00 00 00 00 00 00 FB 
  00000006    10:45:02.632.481             接收            3AF        DATA    STANDARD    8      02 00 00 00 00 00 00 F8 
  00000007    10:45:02.652.394             接收       03401014        DATA    EXTENDED    8      00 00 60 00 98 01 20 00 
  00000008    10:45:02.652.420             接收            3AF        DATA    STANDARD    8      03 00 00 00 00 00 00 F9 
  00000009    10:45:02.682.396             接收            3AF        DATA    STANDARD    8      04 00 00 00 00 00 00 FE 
  00000010    10:45:02.692.734             接收       03401020        DATA    EXTENDED    8      00 00 00 00 00 00 00 00 
  00000011    10:45:02.726.581             接收            3AF        DATA    STANDARD    8      05 00 00 00 00 00 00 FF 
  00000012    10:45:02.738.284             接收       03401030        DATA    EXTENDED    8      00 00 00 00 00 00 00 00 
  00000013    10:45:02.785.596             接收            3AF        DATA    STANDARD    8      06 00 00 00 00 00 00 FC 
  00000014    10:45:02.785.604             接收            3AF        DATA    STANDARD    8      07 00 00 00 00 00 00 FD 
  00000015    10:45:02.785.608             接收       03401038        DATA    EXTENDED    8      00 00 00 00 00 00 00 00 
  00000016    10:45:02.799.857             接收            3AF        DATA    STANDARD    8      01 00 00 00 00 00 00 FB 
  00000017    10:45:02.846.776             接收            3AF        DATA    STANDARD    8      02 00 00 00 00 00 00 F8 
  00000018    10:45:02.846.798             接收       03401040        DATA    EXTENDED    8      00 00 00 00 00 00 00 00 
  00000019    10:45:02.868.080             接收            3AF        DATA    STANDARD    8      03 00 00 00 00 00 00 F9 
  00000020    10:45:02.901.996             接收       03401008        DATA    EXTENDED    8      00 01 00 00 00 07 D0 06 
  00000021    10:45:02.902.024             接收            3AF        DATA    STANDARD    8      04 00 00 00 00 00 00 FE 
  00000022    10:45:02.928.498             接收            3AF        DATA    STANDARD    8      05 00 00 00 00 00 00 FF 
  00000023    10:45:02.943.647             接收       03401010        DATA    EXTENDED    8      5F 18 01 00 00 0A D2 00 
  00000024    10:45:02.963.839             接收            3AF        DATA    STANDARD    8      06 00 00 00 00 00 00 FC 
  00000025    10:45:02.995.328             接收            3AF        DATA    STANDARD    8      07 00 00 00 00 00 00 FD 
  00000026    10:45:02.995.355             接收       03401012        DATA    EXTENDED    8      00 02 1A 9E 00 00 00 00 
  00000027    10:45:03.026.568             接收            3AF        DATA    STANDARD    8      01 00 00 00 00 00 00 FB 
  00000028    10:45:03.038.554             接收       03401014        DATA    EXTENDED    8      00 00 60 00 98 01 20 00 
  00000029    10:45:03.053.016             接收            3AF        DATA    STANDARD    8      02 00 00 00 00 00 00 F8 
  00000030    10:45:03.122.395             接收            3AF        DATA    STANDARD    8      03 00 00 00 00 00 00 F9 
  00000031    10:45:03.122.405             接收       03401020        DATA    EXTENDED    8      00 00 00 00 00 00 00 00 
  00000032    10:45:03.122.410             接收            3AF        DATA    STANDARD    8      04 00 00 00 00 00 00 FE 
  00000033    10:45:03.129.944             接收            3AF        DATA    STANDARD    8      05 00 00 00 00 00 00 FF 
  00000034    10:45:03.143.511             接收       03401030        DATA    EXTENDED    8      00 00 00 00 00 00 00 00 
  00000035    10:45:03.180.332             接收            3AF        DATA    STANDARD    8      06 00 00 00 00 00 00 FC 
  00000036    10:45:03.191.544             接收       03401038        DATA    EXTENDED    8      00 00 00 00 00 00 00 00 
  00000037    10:45:03.191.572             接收            3AF        DATA    STANDARD    8      07 00 00 00 00 00 00 FD 
  00000038    10:45:03.226.979             接收            3AF        DATA    STANDARD    8      01 00 00 00 00 00 00 FB 
  00000039    10:45:03.246.003             接收       03401040        DATA    EXTENDED    8      00 00 00 00 00 00 00 00 
  00000040    10:45:03.253.883             接收            3AF        DATA    STANDARD    8      02 00 00 00 00 00 00 F8 
  00000041    10:45:03.287.465             接收            3AF        DATA    STANDARD    8      03 00 00 00 00 00 00 F9 
  00000042    10:45:03.287.491             接收       03401008        DATA    EXTENDED    8      00 01 00 00 00 07 D0 06 
  00000043    10:45:03.317.887             接收            3AF        DATA    STANDARD    8      04 00 00 00 00 00 00 FE 
  00000044    10:45:03.338.808             接收       03401010        DATA    EXTENDED    8      5F 18 01 00 00 0A D2 00 
  00000045    10:45:03.345.819             接收            3AF        DATA    STANDARD    8      05 00 00 00 00 00 00 FF 
  00000046    10:45:03.423.668             接收            3AF        DATA    STANDARD    8      06 00 00 00 00 00 00 FC 
  00000047    10:45:03.423.677             接收       03401012        DATA    EXTENDED    8      00 02 1A 9E 00 00 00 00 
  00000048    10:45:03.423.681             接收            3AF        DATA    STANDARD    8      07 00 00 00 00 00 00 FD 
  00000049    10:45:03.429.654             接收            3AF        DATA    STANDARD    8      01 00 00 00 00 00 00 FB 
  00000050    10:45:03.443.425             接收       03401014        DATA    EXTENDED    8      00 00 60 00 98 01 20 00 
  00000051    10:45:03.464.630             接收            3AF        DATA    STANDARD    8      02 00 00 00 00 00 00 F8 
  00000052    10:45:03.498.408             接收       03401020        DATA    EXTENDED    8      00 00 00 00 00 00 00 00 
  00000053    10:45:03.498.432             接收            3AF        DATA    STANDARD    8      03 00 00 00 00 00 00 F9 
  00000054    10:45:03.524.573             接收            3AF        DATA    STANDARD    8      04 00 00 00 00 00 00 FE 
  00000055    10:45:03.535.726             接收       03401030        DATA    EXTENDED    8      00 00 00 00 00 00 00 00 
  00000056    10:45:03.556.348             接收            3AF        DATA    STANDARD    8      05 00 00 00 00 00 00 FF 
  00000057    10:45:03.600.432             接收            3AF        DATA    STANDARD    8      06 00 00 00 00 00 00 FC 
  00000058    10:45:03.600.458             接收       03401038        DATA    EXTENDED    8      00 00 00 00 00 00 00 00 
  00000059    10:45:03.619.284             接收            3AF        DATA    STANDARD    8      07 00 00 00 00 00 00 FD 
  00000060    10:45:03.642.249             接收       03401040        DATA    EXTENDED    8      00 00 00 00 00 00 00 00 
  00000061    10:45:03.642.299             接收            3AF        DATA    STANDARD    8      01 00 00 00 00 00 00 FB 
  00000062    10:45:03.673.143             接收            3AF        DATA    STANDARD    8      02 00 00 00 00 00 00 F8 
  00000063    10:45:03.743.203             接收       03401008        DATA    EXTENDED    8      00 01 00 00 00 07 D0 06 
  00000064    10:45:03.743.212             接收            3AF        DATA    STANDARD    8      03 00 00 00 00 00 00 F9 
  00000065    10:45:03.743.216             接收            3AF        DATA    STANDARD    8      04 00 00 00 00 00 00 FE 
  00000066    10:45:03.743.220             接收       03401010        DATA    EXTENDED    8      5F 18 01 00 00 0A D2 00 
  00000067    10:45:03.775.849             接收            3AF        DATA    STANDARD    8      05 00 00 00 00 00 00 FF 
  00000068    10:45:03.787.664             接收       03401012        DATA    EXTENDED    8      00 02 1A 9E 00 00 00 00 
  00000069    10:45:03.803.872             接收            3AF        DATA    STANDARD    8      06 00 00 00 00 00 00 FC 
  00000070    10:45:03.838.823             接收            3AF        DATA    STANDARD    8      07 00 00 00 00 00 00 FD 
  00000071    10:45:03.838.850             接收       03401014        DATA    EXTENDED    8      00 00 60 00 98 01 20 00 
  00000072    10:45:03.866.723             接收            3AF        DATA    STANDARD    8      01 00 00 00 00 00 00 FB 
  00000073    10:45:03.879.814             接收            3AF        DATA    STANDARD    8      02 00 00 00 00 00 00 F8 
  00000074    10:45:03.901.204             接收       03401020        DATA    EXTENDED    8      00 00 00 00 00 00 00 00 
  00000075    10:45:03.910.628             接收            3AF        DATA    STANDARD    8      03 00 00 00 00 00 00 F9 
  00000076    10:45:03.939.746             接收       03401030        DATA    EXTENDED    8      00 00 00 00 00 00 00 00 
  00000077    10:45:03.960.427             接收            3AF        DATA    STANDARD    8      04 00 00 00 00 00 00 FE 
  00000078    10:45:03.973.474             接收            3AF        DATA    STANDARD    8      05 00 00 00 00 00 00 FF 
  00000079    10:45:03.994.498             接收       03401038        DATA    EXTENDED    8      00 00 00 00 00 00 00 00 
  00000080    10:45:04.050.554             接收            3AF        DATA    STANDARD    8      06 00 00 00 00 00 00 FC 
  00000081    10:45:04.050.563             接收            3AF        DATA    STANDARD    8      07 00 00 00 00 00 00 FD 
  00000082    10:45:04.050.571             接收       03401040        DATA    EXTENDED    8      00 00 00 00 00 00 00 00 
  00000083    10:45:04.064.812             接收            3AF        DATA    STANDARD    8      01 00 00 00 00 00 00 FB 
  00000084    10:45:04.086.104             接收       03401008        DATA    EXTENDED    8      00 01 00 00 00 07 D0 06 
  00000085    10:45:04.097.968             接收            3AF        DATA    STANDARD    8      02 00 00 00 00 00 00 F8 
  00000086    10:45:04.119.271             接收            3AF        DATA    STANDARD    8      03 00 00 00 00 00 00 F9 
  00000087    10:45:04.145.666             接收       03401010        DATA    EXTENDED    8      5F 18 01 00 00 0A D2 00 
  00000088    10:45:04.161.907             接收            3AF        DATA    STANDARD    8      04 00 00 00 00 00 00 FE 
  00000089    10:45:04.182.137             接收            3AF        DATA    STANDARD    8      05 00 00 00 00 00 00 FF 
  00000090    10:45:04.193.392             接收       03401012        DATA    EXTENDED    8      00 02 1A 9E 00 00 00 00 
  00000091    10:45:04.214.051             接收            3AF        DATA    STANDARD    8      06 00 00 00 00 00 00 FC 
  00000092    10:45:04.242.019             接收       03401014        DATA    EXTENDED    8      00 00 60 00 98 01 20 00 
  00000093    10:45:04.242.048             接收            3AF        DATA    STANDARD    8      07 00 00 00 00 00 00 FD 
  00000094    10:45:04.285.644             接收            3AF        DATA    STANDARD    8      01 00 00 00 00 00 00 FB 
  00000095    10:45:04.285.670             接收       03401020        DATA    EXTENDED    8      00 00 00 00 00 00 00 00 
  00000096    10:45:04.304.982             接收            3AF        DATA    STANDARD    8      02 00 00 00 00 00 00 F8 
  00000097    10:45:04.353.665             接收            3AF        DATA    STANDARD    8      03 00 00 00 00 00 00 F9 
  00000098    10:45:04.353.673             接收       03401030        DATA    EXTENDED    8      00 00 00 00 00 00 00 00 
  00000099    10:45:04.366.618             接收            3AF        DATA    STANDARD    8      04 00 00 00 00 00 00 FE 
  00000100    10:45:04.397.800             接收       03401038        DATA    EXTENDED    8      00 00 00 00 00 00 00 00 
  00000101    10:45:04.397.826             接收            3AF        DATA    STANDARD    8      05 00 00 00 00 00 00 FF 
  00000102    10:45:04.429.132             接收            3AF        DATA    STANDARD    8      06 00 00 00 00 00 00 FC 
  00000103    10:45:04.443.866             接收       03401040        DATA    EXTENDED    8      00 00 00 00 00 00 00 00 
  00000104    10:45:04.455.647             接收            3AF        DATA    STANDARD    8      07 00 00 00 00 00 00 FD 
  00000105    10:45:04.493.795             接收            3AF        DATA    STANDARD    8      01 00 00 00 00 00 00 FB 
  00000106    10:45:04.493.820             接收       03401008        DATA    EXTENDED    8      00 01 00 00 00 07 D0 06 
  00000107    10:45:04.525.738             接收            3AF        DATA    STANDARD    8      02 00 00 00 00 00 00 F8 
  00000108    10:45:04.535.396             接收       03401010        DATA    EXTENDED    8      5F 18 01 00 00 0A D2 00 
  00000109    10:45:04.555.693             接收            3AF        DATA    STANDARD    8      03 00 00 00 00 00 00 F9 
  00000110    10:45:04.580.133             接收            3AF        DATA    STANDARD    8      04 00 00 00 00 00 00 FE 
  00000111    10:45:04.599.199             接收       03401012        DATA    EXTENDED    8      00 02 1A 9E 00 00 00 00 
