3AF      03 00 00 00 00 00 00 F9 
03401012      00 02 1A A1 00 00 00 00 
3AF      04 00 00 00 00 00 00 FE 
03401014      00 00 60 00 98 01 20 00 
3AF      05 00 00 00 00 00 00 FF 
3AF      06 00 00 00 00 00 00 FC 
03401020      00 00 00 00 00 00 00 00 
3AF      07 00 00 00 00 00 00 FD 
3AF      01 00 00 00 00 00 00 FB 
03401030      00 00 00 00 00 00 00 00 
3AF      02 00 00 00 00 00 00 F8 
03401038      00 00 00 00 00 00 00 00 
03401040      00 00 00 00 00 00 00 00 
03401008      00 01 00 00 00 07 D0 03 
03401010      5F 18 01 00 00 0A D2 00 
03401030      00 08 00 00 00 00 00 00 
03401012      00 02 1A A2 00 00 00 00 
03401014      00 12 60 14 18 01 20 00 
03401014      00 12 60 17 18 01 20 00 
03401008      00 01 00 00 11 07 D0 03 
03401014      00 12 60 17 10 01 20 00 
03401008      00 01 00 00 38 07 D0 03 
03401008      00 01 00 00 D2 07 D0 03 
03401008      00 01 00 01 9E 07 D0 03 
03401014      00 12 60 17 00 01 20 00 
03401008      00 01 00 02 82 07 D0 03 
03401008      00 01 00 03 65 07 D0 03 
03401008      00 01 00 04 37 07 D0 03 
03401008      00 01 00 05 1A 07 D0 03 
03401008      00 01 00 05 F8 07 D0 03 
03401008      00 01 00 06 D0 07 D0 03 
03401008      00 01 00 07 80 07 D0 03 
03401008      00 01 00 07 D0 07 D0 04 
03401008      00 01 00 07 E6 07 D0 04 
03401008      00 01 00 07 D5 07 D0 04 
03401008      00 01 00 07 E1 07 D0 04 
03401014      00 12 60 17 08 01 20 00 
03401008      00 01 00 07 DB 07 D0 04 
03401008      00 01 00 07 DB 07 D0 05 
03401008      00 01 00 07 E1 07 D0 05 
03401008      00 01 00 07 DB 07 D0 06 
03401008      00 01 00 07 DB 07 D0 07 
03401008      00 01 00 07 DB 07 D0 08 
03401008      00 01 00 07 E1 07 D0 08 
03401008      00 01 00 07 DB 07 D0 09 
03401008      00 01 00 07 E1 07 D0 09 
03401008      00 01 00 07 DB 07 D0 0A 
03401008      00 01 00 07 E1 07 D0 0A 
03401008      00 01 00 07 DB 07 D0 0B 
03401008      00 01 00 07 9C 07 D0 0B 
03401008      00 01 00 06 F8 07 D0 0B 
03401008      00 01 00 06 20 07 D0 0B 
03401008      00 01 00 05 37 07 D0 0C 
03401008      00 01 00 04 5F 07 D0 0C 
03401008      00 01 00 03 7C 07 D0 0C 
03401008      00 01 00 02 98 07 D0 0C 
03401008      00 01 00 01 B5 07 D0 0C 
03401008      00 01 00 00 DD 07 D0 0C 
03401008      00 01 00 00 44 07 D0 0C 
03401008      00 01 00 00 11 07 D0 0C 
03401008      00 01 00 00 05 07 D0 0C 
03401008      00 01 00 00 00 07 D0 0C 
03401014      00 12 60 00 18 01 20 00 
03401014      00 10 60 00 18 01 20 00 
03401014      00 10 60 20 98 01 20 00 
03401014      00 10 60 20 9B 00 20 00 
03401014      00 10 60 20 9B 00 00 00 
03401014      00 10 60 00 9B 02 00 00 
03401014      00 10 60 10 9B 02 00 00 
03401014      00 10 60 10 9B 00 00 00 
