3AF      03 00 00 00 00 00 00 F9 
03401040      00 00 00 00 00 00 00 00 
3AF      04 00 00 00 00 00 00 FE 
3AF      05 00 00 00 00 00 00 FF 
03401008      00 01 00 00 00 07 D0 18 
3AF      06 00 00 00 00 00 00 FC 
03401010      5F 18 01 00 00 0A D2 00 
3AF      07 00 00 00 00 00 00 FD 
3AF      01 00 00 00 00 00 00 FB 
03401012      00 02 1A B9 00 00 00 00 
3AF      02 00 00 00 00 00 00 F8 
03401014      00 00 60 00 98 01 20 00 
03401020      00 00 00 00 00 00 00 00 
03401030      00 00 00 00 00 00 00 00 
03401038      00 00 00 00 00 00 00 00 
03401012      00 02 1A BA 00 00 00 00 
03401014      00 08 60 14 18 01 20 00 
03401030      00 00 01 00 00 00 00 00 
03401014      00 0A 60 14 18 01 20 00 
03401014      00 0A 60 17 18 01 20 00 
03401008      00 01 00 00 11 07 D0 18 
03401008      00 01 00 00 7D 07 D0 18 
03401014      00 0A 60 17 08 01 20 00 
03401008      00 01 00 01 38 07 D0 18 
03401008      00 01 00 02 1B 07 D0 18 
03401014      00 0A 60 17 00 01 20 00 
03401008      00 01 00 03 04 07 D0 18 
03401008      00 01 00 03 D6 07 D0 18 
03401008      00 01 00 04 B4 07 D0 18 
03401008      00 01 00 05 97 07 D0 18 
03401008      00 01 00 06 6F 07 D0 17 
03401008      00 01 00 07 3C 07 D0 17 
03401008      00 01 00 07 B9 07 D0 17 
03401008      00 01 00 07 E1 07 D0 17 
03401008      00 01 00 07 DB 07 D0 17 
03401008      00 01 00 07 D5 07 D0 17 
03401008      00 01 00 07 DB 07 D0 16 
03401008      00 01 00 07 DB 07 D0 15 
03401008      00 01 00 07 D5 07 D0 15 
03401008      00 01 00 07 DB 07 D0 14 
03401008      00 01 00 07 E1 07 D0 13 
03401008      00 01 00 07 DB 07 D0 13 
03401008      00 01 00 07 D5 07 D0 12 
03401014      00 0A 60 17 10 01 20 00 
03401008      00 01 00 07 86 07 D0 12 
03401008      00 01 00 06 E1 07 D0 12 
03401008      00 01 00 05 FE 07 D0 12 
03401008      00 01 00 05 1A 07 D0 11 
03401008      00 01 00 04 3D 07 D0 11 
03401008      00 01 00 03 65 07 D0 11 
03401008      00 01 00 02 7C 07 D0 11 
03401008      00 01 00 01 A4 07 D0 11 
03401008      00 01 00 00 C6 07 D0 11 
03401008      00 01 00 00 3E 07 D0 11 
03401008      00 01 00 00 11 07 D0 11 
03401008      00 01 00 00 05 07 D0 11 
03401008      00 01 00 00 00 07 D0 11 
03401014      00 0A 60 00 18 01 20 00 
03401014      00 08 60 00 18 01 20 00 
03401014      00 08 60 20 98 01 20 00 
03401014      00 08 60 20 9B 00 00 00 
03401014      00 08 60 00 9B 02 00 00 
03401014      00 08 60 10 9B 00 00 00 
03401014      00 08 60 10 9B 00 20 00 
