3AF      01 00 00 00 00 00 00 FB 
03401012      00 02 1A AC 00 00 00 00 
3AF      02 00 00 00 00 00 00 F8 
3AF      03 00 00 00 00 00 00 F9 
03401014      00 00 60 00 98 01 20 00 
3AF      04 00 00 00 00 00 00 FE 
03401020      00 00 00 00 00 00 00 00 
3AF      05 00 00 00 00 00 00 FF 
3AF      06 00 00 00 00 00 00 FC 
03401030      00 00 00 00 00 00 00 00 
3AF      07 00 00 00 00 00 00 FD 
03401038      00 00 00 00 00 00 00 00 
03401040      00 00 00 00 00 00 00 00 
03401008      00 01 00 00 00 07 D0 18 
03401010      5F 18 01 00 00 0A D2 00 
03401030      00 00 01 00 00 00 00 00 
03401012      00 02 1A AD 00 00 00 00 
03401014      00 0A 60 14 18 01 20 00 
03401008      00 01 00 00 05 07 D0 18 
03401014      00 0A 60 17 18 01 20 00 
03401008      00 01 00 00 33 07 D0 18 
03401008      00 01 00 00 C6 07 D0 18 
03401014      00 0A 60 17 08 01 20 00 
03401008      00 01 00 01 99 07 D0 18 
03401014      00 0A 60 17 00 01 20 00 
03401008      00 01 00 02 82 07 D0 18 
03401008      00 01 00 03 5F 07 D0 18 
03401008      00 01 00 04 37 07 D0 18 
03401008      00 01 00 05 15 07 D0 18 
03401008      00 01 00 05 F8 07 D0 17 
03401008      00 01 00 06 CA 07 D0 17 
03401008      00 01 00 07 80 07 D0 17 
03401014      00 0A 60 17 10 01 20 00 
03401008      00 01 00 07 D5 07 D0 17 
03401008      00 01 00 07 E1 07 D0 17 
03401008      00 01 00 07 DB 07 D0 17 
03401008      00 01 00 07 DB 07 D0 16 
03401008      00 01 00 07 E1 07 D0 16 
03401008      00 01 00 07 DB 07 D0 15 
03401008      00 01 00 07 DB 07 D0 14 
03401008      00 01 00 07 D5 07 D0 13 
03401008      00 01 00 07 DB 07 D0 13 
03401008      00 01 00 07 DB 07 D0 12 
03401008      00 01 00 07 C4 07 D0 12 
03401008      00 01 00 07 47 07 D0 12 
03401008      00 01 00 06 86 07 D0 12 
03401008      00 01 00 05 9D 07 D0 11 
03401008      00 01 00 04 BA 07 D0 11 
03401008      00 01 00 03 E2 07 D0 11 
03401008      00 01 00 02 FF 07 D0 11 
03401008      00 01 00 02 1B 07 D0 11 
03401008      00 01 00 01 43 07 D0 11 
03401008      00 01 00 00 7D 07 D0 11 
03401008      00 01 00 00 27 07 D0 11 
03401008      00 01 00 00 00 07 D0 11 
03401008      00 01 00 00 05 07 D0 11 
03401014      00 0A 60 03 18 01 20 00 
03401014      00 0A 60 00 18 01 20 00 
03401014      00 08 60 00 18 01 20 00 
03401014      00 08 60 20 98 01 20 00 
03401014      00 08 60 20 9B 00 00 00 
03401014      00 08 60 00 9B 02 00 00 
