     index           time           Name             ID        Type      Format  Len      Data
  00000001     9:55:36.335.861             接收            3AF        DATA    STANDARD    8      06 00 00 00 00 00 00 FC 
  00000002     9:55:36.335.872             接收       03401010        DATA    EXTENDED    8      5F 18 01 00 00 0A D2 00 
  00000003     9:55:36.350.801             接收            3AF        DATA    STANDARD    8      07 00 00 00 00 00 00 FD 
  00000004     9:55:36.382.650             接收            3AF        DATA    STANDARD    8      01 00 00 00 00 00 00 FB 
  00000005     9:55:36.392.653             接收       03401012        DATA    EXTENDED    8      00 02 1A 63 00 00 00 00 
  00000006     9:55:36.428.575             接收            3AF        DATA    STANDARD    8      02 00 00 00 00 00 00 F8 
  00000007     9:55:36.440.493             接收            3AF        DATA    STANDARD    8      03 00 00 00 00 00 00 F9 
  00000008     9:55:36.440.505             接收       03401014        DATA    EXTENDED    8      00 00 60 00 98 01 20 00 
  00000009     9:55:36.460.442             接收            3AF        DATA    STANDARD    8      04 00 00 00 00 00 00 FE 
  00000010     9:55:36.501.105             接收       03401020        DATA    EXTENDED    8      00 00 00 00 00 00 00 00 
  00000011     9:55:36.501.130             接收            3AF        DATA    STANDARD    8      05 00 00 00 00 00 00 FF 
  00000012     9:55:36.541.689             接收            3AF        DATA    STANDARD    8      06 00 00 00 00 00 00 FC 
  00000013     9:55:36.541.697             接收       03401030        DATA    EXTENDED    8      00 00 00 00 00 00 00 00 
  00000014     9:55:36.554.227             接收            3AF        DATA    STANDARD    8      07 00 00 00 00 00 00 FD 
  00000015     9:55:36.584.678             接收            3AF        DATA    STANDARD    8      01 00 00 00 00 00 00 FB 
  00000016     9:55:36.597.176             接收       03401038        DATA    EXTENDED    8      00 00 00 00 00 00 00 00 
  00000017     9:55:36.616.021             接收            3AF        DATA    STANDARD    8      02 00 00 00 00 00 00 F8 
  00000018     9:55:36.649.164             接收       03401040        DATA    EXTENDED    8      00 00 00 00 00 00 00 00 
  00000019     9:55:36.649.189             接收            3AF        DATA    STANDARD    8      03 00 00 00 00 00 00 F9 
  00000020     9:55:36.675.013             接收            3AF        DATA    STANDARD    8      04 00 00 00 00 00 00 FE 
