     index           time           Name             ID        Type      Format  Len      Data
  00000001    10:05:36.609.103             接收            3AF        DATA    STANDARD    8      01 00 00 00 00 00 00 FB 
  00000002    10:05:36.609.111             接收       03401020        DATA    EXTENDED    8      00 00 00 00 00 00 00 00 
  00000003    10:05:36.609.115             接收            3AF        DATA    STANDARD    8      02 00 00 00 00 00 00 F8 
  00000004    10:05:36.609.119             接收            3AF        DATA    STANDARD    8      03 00 00 00 00 00 00 F9 
  00000005    10:05:36.609.123             接收       03401030        DATA    EXTENDED    8      00 00 00 00 00 00 00 00 
  00000006    10:05:36.609.127             接收            3AF        DATA    STANDARD    8      04 00 00 00 00 00 00 FE 
  00000007    10:05:36.630.093             接收            3AF        DATA    STANDARD    8      05 00 00 00 00 00 00 FF 
  00000008    10:05:36.630.102             接收       03401038        DATA    EXTENDED    8      00 00 00 00 00 00 00 00 
  00000009    10:05:36.660.804             接收            3AF        DATA    STANDARD    8      06 00 00 00 00 00 00 FC 
  00000010    10:05:36.682.104             接收       03401040        DATA    EXTENDED    8      00 00 00 00 00 00 00 00 
  00000011    10:05:36.682.129             接收            3AF        DATA    STANDARD    8      07 00 00 00 00 00 00 FD 
  00000012    10:05:36.724.135             接收            3AF        DATA    STANDARD    8      01 00 00 00 00 00 00 FB 
  00000013    10:05:36.743.932             接收       03401008        DATA    EXTENDED    8      00 01 00 00 00 07 D0 04 
  00000014    10:05:36.743.958             接收            3AF        DATA    STANDARD    8      02 00 00 00 00 00 00 F8 
  00000015    10:05:36.788.454             接收            3AF        DATA    STANDARD    8      03 00 00 00 00 00 00 F9 
  00000016    10:05:36.788.481             接收       03401010        DATA    EXTENDED    8      5F 18 01 00 00 0A D2 00 
  00000017    10:05:36.807.756             接收            3AF        DATA    STANDARD    8      04 00 00 00 00 00 00 FE 
  00000018    10:05:36.868.358             接收       03401012        DATA    EXTENDED    8      00 02 1A 71 00 00 00 00 
  00000019    10:05:36.868.366             接收            3AF        DATA    STANDARD    8      05 00 00 00 00 00 00 FF 
  00000020    10:05:36.868.370             接收            3AF        DATA    STANDARD    8      06 00 00 00 00 00 00 FC 
  00000021    10:05:36.879.444             接收       03401014        DATA    EXTENDED    8      00 00 60 00 98 01 20 00 
  00000022    10:05:36.900.428             接收            3AF        DATA    STANDARD    8      07 00 00 00 00 00 00 FD 
  00000023    10:05:36.926.485             接收            3AF        DATA    STANDARD    8      01 00 00 00 00 00 00 FB 
  00000024    10:05:36.943.146             接收       03401020        DATA    EXTENDED    8      00 00 00 00 00 00 00 00 
