     index           time           Name             ID        Type      Format  Len      Data
  00000001     9:54:22.548.985             接收            3AF        DATA    STANDARD    8      03 00 00 00 00 00 00 F9 
  00000002     9:54:22.548.995             接收       03401030        DATA    EXTENDED    8      00 00 00 00 00 00 00 00 
  00000003     9:54:22.549.000             接收            3AF        DATA    STANDARD    8      04 00 00 00 00 00 00 FE 
  00000004     9:54:22.586.620             接收            3AF        DATA    STANDARD    8      05 00 00 00 00 00 00 FF 
  00000005     9:54:22.586.632             接收       03401038        DATA    EXTENDED    8      00 00 00 00 00 00 00 00 
  00000006     9:54:22.620.623             接收            3AF        DATA    STANDARD    8      06 00 00 00 00 00 00 FC 
  00000007     9:54:22.648.072             接收       03401040        DATA    EXTENDED    8      00 00 00 00 00 00 00 00 
  00000008     9:54:22.648.097             接收            3AF        DATA    STANDARD    8      07 00 00 00 00 00 00 FD 
  00000009     9:54:22.681.429             接收            3AF        DATA    STANDARD    8      01 00 00 00 00 00 00 FB 
  00000010     9:54:22.693.391             接收       03401008        DATA    EXTENDED    8      00 01 00 00 00 07 D0 05 
  00000011     9:54:22.713.476             接收            3AF        DATA    STANDARD    8      02 00 00 00 00 00 00 F8 
  00000012     9:54:22.726.539             接收            3AF        DATA    STANDARD    8      03 00 00 00 00 00 00 F9 
  00000013     9:54:22.744.015             接收       03401010        DATA    EXTENDED    8      5F 18 01 00 00 0A D2 00 
  00000014     9:54:22.795.676             接收            3AF        DATA    STANDARD    8      04 00 00 00 00 00 00 FE 
  00000015     9:54:22.795.685             接收       03401012        DATA    EXTENDED    8      00 02 1A 61 00 00 00 00 
  00000016     9:54:22.795.689             接收            3AF        DATA    STANDARD    8      05 00 00 00 00 00 00 FF 
  00000017     9:54:22.830.984             接收            3AF        DATA    STANDARD    8      06 00 00 00 00 00 00 FC 
  00000018     9:54:22.850.789             接收       03401014        DATA    EXTENDED    8      00 00 60 00 98 01 20 00 
  00000019     9:54:22.850.813             接收            3AF        DATA    STANDARD    8      07 00 00 00 00 00 00 FD 
  00000020     9:54:22.883.176             接收            3AF        DATA    STANDARD    8      01 00 00 00 00 00 00 FB 
  00000021     9:54:22.883.200             接收       03401020        DATA    EXTENDED    8      00 00 00 00 00 00 00 00 
  00000022     9:54:22.911.170             接收            3AF        DATA    STANDARD    8      02 00 00 00 00 00 00 F8 
  00000023     9:54:22.931.890             接收       03401030        DATA    EXTENDED    8      00 00 00 00 00 00 00 00 
  00000024     9:54:22.941.930             接收            3AF        DATA    STANDARD    8      03 00 00 00 00 00 00 F9 
  00000025     9:54:22.973.985             接收            3AF        DATA    STANDARD    8      04 00 00 00 00 00 00 FE 
  00000026     9:54:22.995.149             接收       03401038        DATA    EXTENDED    8      00 00 00 00 00 00 00 00 
  00000027     9:54:23.005.972             接收            3AF        DATA    STANDARD    8      05 00 00 00 00 00 00 FF 
  00000028     9:54:23.036.761             接收            3AF        DATA    STANDARD    8      06 00 00 00 00 00 00 FC 
  00000029     9:54:23.036.787             接收       03401040        DATA    EXTENDED    8      00 00 00 00 00 00 00 00 
  00000030     9:54:23.057.450             接收            3AF        DATA    STANDARD    8      07 00 00 00 00 00 00 FD 
  00000031     9:54:23.123.090             接收       03401008        DATA    EXTENDED    8      00 01 00 00 00 07 D0 05 
  00000032     9:54:23.123.098             接收            3AF        DATA    STANDARD    8      01 00 00 00 00 00 00 FB 
  00000033     9:54:23.123.102             接收            3AF        DATA    STANDARD    8      02 00 00 00 00 00 00 F8 
  00000034     9:54:23.132.270             接收       03401010        DATA    EXTENDED    8      5F 18 01 00 00 0A D2 00 
  00000035     9:54:23.161.917             接收            3AF        DATA    STANDARD    8      03 00 00 00 00 00 00 F9 
  00000036     9:54:23.177.129             接收            3AF        DATA    STANDARD    8      04 00 00 00 00 00 00 FE 
  00000037     9:54:23.194.372             接收       03401012        DATA    EXTENDED    8      00 02 1A 61 00 00 00 00 
  00000038     9:54:23.214.048             接收            3AF        DATA    STANDARD    8      05 00 00 00 00 00 00 FF 
  00000039     9:54:23.242.207             接收       03401014        DATA    EXTENDED    8      00 00 60 00 98 01 20 00 
  00000040     9:54:23.242.232             接收            3AF        DATA    STANDARD    8      06 00 00 00 00 00 00 FC 
  00000041     9:54:23.275.073             接收            3AF        DATA    STANDARD    8      07 00 00 00 00 00 00 FD 
  00000042     9:54:23.287.310             接收       03401020        DATA    EXTENDED    8      00 00 00 00 00 00 00 00 
  00000043     9:54:23.299.339             接收            3AF        DATA    STANDARD    8      01 00 00 00 00 00 00 FB 
  00000044     9:54:23.335.286             接收            3AF        DATA    STANDARD    8      02 00 00 00 00 00 00 F8 
  00000045     9:54:23.335.320             接收       03401030        DATA    EXTENDED    8      00 00 00 00 00 00 00 00 
  00000046     9:54:23.368.631             接收            3AF        DATA    STANDARD    8      03 00 00 00 00 00 00 F9 
  00000047     9:54:23.426.708             接收       03401038        DATA    EXTENDED    8      00 00 00 00 00 00 00 00 
  00000048     9:54:23.426.716             接收            3AF        DATA    STANDARD    8      04 00 00 00 00 00 00 FE 
  00000049     9:54:23.426.720             接收            3AF        DATA    STANDARD    8      05 00 00 00 00 00 00 FF 
  00000050     9:54:23.432.612             接收       03401040        DATA    EXTENDED    8      00 00 00 00 00 00 00 00 
  00000051     9:54:23.461.271             接收            3AF        DATA    STANDARD    8      06 00 00 00 00 00 00 FC 
  00000052     9:54:23.502.395             接收            3AF        DATA    STANDARD    8      07 00 00 00 00 00 00 FD 
  00000053     9:54:23.502.418             接收       03401008        DATA    EXTENDED    8      00 01 00 00 00 07 D0 05 
  00000054     9:54:23.521.676             接收            3AF        DATA    STANDARD    8      01 00 00 00 00 00 00 FB 
  00000055     9:54:23.537.225             接收       03401010        DATA    EXTENDED    8      5F 18 01 00 00 0A D2 00 
  00000056     9:54:23.537.249             接收            3AF        DATA    STANDARD    8      02 00 00 00 00 00 00 F8 
  00000057     9:54:23.568.328             接收            3AF        DATA    STANDARD    8      03 00 00 00 00 00 00 F9 
  00000058     9:54:23.588.953             接收       03401012        DATA    EXTENDED    8      00 02 1A 61 00 00 00 00 
  00000059     9:54:23.597.712             接收            3AF        DATA    STANDARD    8      04 00 00 00 00 00 00 FE 
  00000060     9:54:23.630.752             接收            3AF        DATA    STANDARD    8      05 00 00 00 00 00 00 FF 
  00000061     9:54:23.650.856             接收       03401014        DATA    EXTENDED    8      00 00 60 00 98 01 20 00 
  00000062     9:54:23.662.685             接收            3AF        DATA    STANDARD    8      06 00 00 00 00 00 00 FC 
  00000063     9:54:23.682.741             接收       03401020        DATA    EXTENDED    8      00 00 00 00 00 00 00 00 
  00000064     9:54:23.734.676             接收            3AF        DATA    STANDARD    8      07 00 00 00 00 00 00 FD 
  00000065     9:54:23.734.684             接收            3AF        DATA    STANDARD    8      01 00 00 00 00 00 00 FB 
  00000066     9:54:23.734.689             接收       03401030        DATA    EXTENDED    8      00 00 00 00 00 00 00 00 
  00000067     9:54:23.755.350             接收            3AF        DATA    STANDARD    8      02 00 00 00 00 00 00 F8 
  00000068     9:54:23.786.022             接收            3AF        DATA    STANDARD    8      03 00 00 00 00 00 00 F9 
  00000069     9:54:23.786.046             接收       03401038        DATA    EXTENDED    8      00 00 00 00 00 00 00 00 
  00000070     9:54:23.815.624             接收            3AF        DATA    STANDARD    8      04 00 00 00 00 00 00 FE 
  00000071     9:54:23.834.399             接收       03401040        DATA    EXTENDED    8      00 00 00 00 00 00 00 00 
  00000072     9:54:23.848.186             接收            3AF        DATA    STANDARD    8      05 00 00 00 00 00 00 FF 
  00000073     9:54:23.868.248             接收            3AF        DATA    STANDARD    8      06 00 00 00 00 00 00 FC 
