     index           time           Name             ID        Type      Format  Len      Data
  00000001    10:06:38.838.238             接收            3AF        DATA    STANDARD    8      05 00 00 00 00 00 00 FF 
  00000002    10:06:38.838.267             接收       03401010        DATA    EXTENDED    8      5F 18 01 00 00 0A D2 00 
  00000003    10:06:38.838.298             接收            3AF        DATA    STANDARD    8      06 00 00 00 00 00 00 FC 
  00000004    10:06:38.838.304             接收       03401012        DATA    EXTENDED    8      00 02 1A 72 00 00 00 00 
  00000005    10:06:38.838.309             接收            3AF        DATA    STANDARD    8      07 00 00 00 00 00 00 FD 
  00000006    10:06:38.870.484             接收            3AF        DATA    STANDARD    8      01 00 00 00 00 00 00 FB 
  00000007    10:06:38.898.498             接收       03401014        DATA    EXTENDED    8      00 00 60 00 98 01 20 00 
  00000008    10:06:38.898.523             接收            3AF        DATA    STANDARD    8      02 00 00 00 00 00 00 F8 
  00000009    10:06:38.932.467             接收            3AF        DATA    STANDARD    8      03 00 00 00 00 00 00 F9 
  00000010    10:06:38.945.862             接收       03401020        DATA    EXTENDED    8      00 00 00 00 00 00 00 00 
  00000011    10:06:38.974.429             接收            3AF        DATA    STANDARD    8      04 00 00 00 00 00 00 FE 
  00000012    10:06:38.995.412             接收       03401030        DATA    EXTENDED    8      00 00 00 00 00 00 00 00 
  00000013    10:06:38.995.437             接收            3AF        DATA    STANDARD    8      05 00 00 00 00 00 00 FF 
  00000014    10:06:39.057.182             接收            3AF        DATA    STANDARD    8      06 00 00 00 00 00 00 FC 
  00000015    10:06:39.057.191             接收       03401038        DATA    EXTENDED    8      00 00 00 00 00 00 00 00 
  00000016    10:06:39.057.196             接收            3AF        DATA    STANDARD    8      07 00 00 00 00 00 00 FD 
  00000017    10:06:39.084.906             接收            3AF        DATA    STANDARD    8      01 00 00 00 00 00 00 FB 
  00000018    10:06:39.084.917             接收       03401040        DATA    EXTENDED    8      00 00 00 00 00 00 00 00 
  00000019    10:06:39.116.914             接收            3AF        DATA    STANDARD    8      02 00 00 00 00 00 00 F8 
  00000020    10:06:39.150.842             接收       03401008        DATA    EXTENDED    8      00 01 00 00 00 07 D0 06 
  00000021    10:06:39.150.868             接收            3AF        DATA    STANDARD    8      03 00 00 00 00 00 00 F9 
  00000022    10:06:39.177.304             接收            3AF        DATA    STANDARD    8      04 00 00 00 00 00 00 FE 
  00000023    10:06:39.193.477             接收       03401010        DATA    EXTENDED    8      5F 18 01 00 00 0A D2 00 
  00000024    10:06:39.213.680             接收            3AF        DATA    STANDARD    8      05 00 00 00 00 00 00 FF 
  00000025    10:06:39.243.720             接收            3AF        DATA    STANDARD    8      06 00 00 00 00 00 00 FC 
  00000026    10:06:39.243.747             接收       03401012        DATA    EXTENDED    8      00 02 1A 72 00 00 00 00 
  00000027    10:06:39.256.763             接收            3AF        DATA    STANDARD    8      07 00 00 00 00 00 00 FD 
  00000028    10:06:39.288.487             接收       03401014        DATA    EXTENDED    8      00 00 60 00 98 01 20 00 
  00000029    10:06:39.288.512             接收            3AF        DATA    STANDARD    8      01 00 00 00 00 00 00 FB 
  00000030    10:06:39.360.111             接收            3AF        DATA    STANDARD    8      02 00 00 00 00 00 00 F8 
  00000031    10:06:39.360.120             接收       03401020        DATA    EXTENDED    8      00 00 00 00 00 00 00 00 
  00000032    10:06:39.360.124             接收            3AF        DATA    STANDARD    8      03 00 00 00 00 00 00 F9 
  00000033    10:06:39.380.174             接收            3AF        DATA    STANDARD    8      04 00 00 00 00 00 00 FE 
  00000034    10:06:39.393.270             接收       03401030        DATA    EXTENDED    8      00 00 00 00 00 00 00 00 
  00000035    10:06:39.427.405             接收            3AF        DATA    STANDARD    8      05 00 00 00 00 00 00 FF 
  00000036    10:06:39.440.002             接收       03401038        DATA    EXTENDED    8      00 00 00 00 00 00 00 00 
  00000037    10:06:39.440.014             接收            3AF        DATA    STANDARD    8      06 00 00 00 00 00 00 FC 
  00000038    10:06:39.474.133             接收            3AF        DATA    STANDARD    8      07 00 00 00 00 00 00 FD 
  00000039    10:06:39.493.415             接收       03401040        DATA    EXTENDED    8      00 00 00 00 00 00 00 00 
  00000040    10:06:39.505.165             接收            3AF        DATA    STANDARD    8      01 00 00 00 00 00 00 FB 
  00000041    10:06:39.534.535             接收            3AF        DATA    STANDARD    8      02 00 00 00 00 00 00 F8 
  00000042    10:06:39.534.561             接收       03401008        DATA    EXTENDED    8      00 01 00 00 00 07 D0 06 
  00000043    10:06:39.565.757             接收            3AF        DATA    STANDARD    8      03 00 00 00 00 00 00 F9 
  00000044    10:06:39.585.644             接收       03401010        DATA    EXTENDED    8      5F 18 01 00 00 0A D2 00 
  00000045    10:06:39.598.904             接收            3AF        DATA    STANDARD    8      04 00 00 00 00 00 00 FE 
  00000046    10:06:39.682.119             接收            3AF        DATA    STANDARD    8      05 00 00 00 00 00 00 FF 
  00000047    10:06:39.682.127             接收       03401012        DATA    EXTENDED    8      00 02 1A 72 00 00 00 00 
  00000048    10:06:39.682.132             接收            3AF        DATA    STANDARD    8      06 00 00 00 00 00 00 FC 
  00000049    10:06:39.682.136             接收            3AF        DATA    STANDARD    8      07 00 00 00 00 00 00 FD 
  00000050    10:06:39.682.140             接收       03401014        DATA    EXTENDED    8      00 00 60 00 98 01 20 00 
  00000051    10:06:39.723.308             接收            3AF        DATA    STANDARD    8      01 00 00 00 00 00 00 FB 
  00000052    10:06:39.744.215             接收       03401020        DATA    EXTENDED    8      00 00 00 00 00 00 00 00 
  00000053    10:06:39.744.241             接收            3AF        DATA    STANDARD    8      02 00 00 00 00 00 00 F8 
  00000054    10:06:39.767.160             接收            3AF        DATA    STANDARD    8      03 00 00 00 00 00 00 F9 
  00000055    10:06:39.789.722             接收       03401030        DATA    EXTENDED    8      00 00 00 00 00 00 00 00 
  00000056    10:06:39.798.115             接收            3AF        DATA    STANDARD    8      04 00 00 00 00 00 00 FE 
  00000057    10:06:39.832.506             接收            3AF        DATA    STANDARD    8      05 00 00 00 00 00 00 FF 
