     index           time           Name             ID        Type      Format  Len      Data
  00000001     9:58:54.755.201             接收            3AF        DATA    STANDARD    8      02 00 00 00 00 00 00 F8 
  00000002     9:58:54.755.210             接收       03401040        DATA    EXTENDED    8      00 00 00 00 00 00 00 00 
  00000003     9:58:54.755.214             接收            3AF        DATA    STANDARD    8      03 00 00 00 00 00 00 F9 
  00000004     9:58:54.755.218             接收            3AF        DATA    STANDARD    8      04 00 00 00 00 00 00 FE 
  00000005     9:58:54.755.222             接收       03401008        DATA    EXTENDED    8      00 01 00 00 00 07 D0 06 
  00000006     9:58:54.755.226             接收            3AF        DATA    STANDARD    8      05 00 00 00 00 00 00 FF 
  00000007     9:58:54.755.230             接收            3AF        DATA    STANDARD    8      06 00 00 00 00 00 00 FC 
  00000008     9:58:54.755.234             接收       03401010        DATA    EXTENDED    8      5F 18 01 00 00 0A D2 00 
  00000009     9:58:54.787.675             接收            3AF        DATA    STANDARD    8      07 00 00 00 00 00 00 FD 
  00000010     9:58:54.806.596             接收       03401012        DATA    EXTENDED    8      00 02 1A 69 00 00 00 00 
  00000011     9:58:54.806.615             接收            3AF        DATA    STANDARD    8      01 00 00 00 00 00 00 FB 
  00000012     9:58:54.838.606             接收            3AF        DATA    STANDARD    8      02 00 00 00 00 00 00 F8 
  00000013     9:58:54.860.532             接收       03401014        DATA    EXTENDED    8      00 00 60 00 98 01 20 00 
  00000014     9:58:54.880.199             接收            3AF        DATA    STANDARD    8      03 00 00 00 00 00 00 F9 
  00000015     9:58:54.900.440             接收            3AF        DATA    STANDARD    8      04 00 00 00 00 00 00 FE 
  00000016     9:58:54.900.466             接收       03401020        DATA    EXTENDED    8      00 00 00 00 00 00 00 00 
  00000017     9:58:54.932.379             接收            3AF        DATA    STANDARD    8      05 00 00 00 00 00 00 FF 
  00000018     9:58:54.989.943             接收       03401030        DATA    EXTENDED    8      00 00 00 00 00 00 00 00 
  00000019     9:58:54.989.951             接收            3AF        DATA    STANDARD    8      06 00 00 00 00 00 00 FC 
  00000020     9:58:54.989.955             接收            3AF        DATA    STANDARD    8      07 00 00 00 00 00 00 FD 
  00000021     9:58:55.001.775             接收       03401038        DATA    EXTENDED    8      00 00 00 00 00 00 00 00 
  00000022     9:58:55.022.306             接收            3AF        DATA    STANDARD    8      01 00 00 00 00 00 00 FB 
  00000023     9:58:55.054.287             接收            3AF        DATA    STANDARD    8      02 00 00 00 00 00 00 F8 
  00000024     9:58:55.054.313             接收       03401040        DATA    EXTENDED    8      00 00 00 00 00 00 00 00 
  00000025     9:58:55.081.212             接收            3AF        DATA    STANDARD    8      03 00 00 00 00 00 00 F9 
  00000026     9:58:55.100.760             接收       03401008        DATA    EXTENDED    8      00 01 00 00 00 07 D0 06 
  00000027     9:58:55.120.090             接收            3AF        DATA    STANDARD    8      04 00 00 00 00 00 00 FE 
  00000028     9:58:55.148.806             接收            3AF        DATA    STANDARD    8      05 00 00 00 00 00 00 FF 
  00000029     9:58:55.160.632             接收       03401010        DATA    EXTENDED    8      5F 18 01 00 00 0A D2 00 
  00000030     9:58:55.179.031             接收            3AF        DATA    STANDARD    8      06 00 00 00 00 00 00 FC 
  00000031     9:58:55.195.708             接收            3AF        DATA    STANDARD    8      07 00 00 00 00 00 00 FD 
  00000032     9:58:55.208.175             接收       03401012        DATA    EXTENDED    8      00 02 1A 69 00 00 00 00 
  00000033     9:58:55.223.999             接收            3AF        DATA    STANDARD    8      01 00 00 00 00 00 00 FB 
  00000034     9:58:55.312.626             接收       03401014        DATA    EXTENDED    8      00 00 60 00 98 01 20 00 
  00000035     9:58:55.312.635             接收            3AF        DATA    STANDARD    8      02 00 00 00 00 00 00 F8 
  00000036     9:58:55.312.638             接收            3AF        DATA    STANDARD    8      03 00 00 00 00 00 00 F9 
  00000037     9:58:55.312.642             接收       03401020        DATA    EXTENDED    8      00 00 00 00 00 00 00 00 
  00000038     9:58:55.314.813             接收            3AF        DATA    STANDARD    8      04 00 00 00 00 00 00 FE 
  00000039     9:58:55.350.172             接收            3AF        DATA    STANDARD    8      05 00 00 00 00 00 00 FF 
  00000040     9:58:55.350.183             接收       03401030        DATA    EXTENDED    8      00 00 00 00 00 00 00 00 
  00000041     9:58:55.378.436             接收            3AF        DATA    STANDARD    8      06 00 00 00 00 00 00 FC 
  00000042     9:58:55.431.092             接收       03401038        DATA    EXTENDED    8      00 00 00 00 00 00 00 00 
  00000043     9:58:55.431.117             接收            3AF        DATA    STANDARD    8      07 00 00 00 00 00 00 FD 
  00000044     9:58:55.440.321             接收            3AF        DATA    STANDARD    8      01 00 00 00 00 00 00 FB 
  00000045     9:58:55.460.030             接收       03401040        DATA    EXTENDED    8      00 00 00 00 00 00 00 00 
  00000046     9:58:55.471.987             接收            3AF        DATA    STANDARD    8      02 00 00 00 00 00 00 F8 
  00000047     9:58:55.500.788             接收            3AF        DATA    STANDARD    8      03 00 00 00 00 00 00 F9 
  00000048     9:58:55.500.814             接收       03401008        DATA    EXTENDED    8      00 01 00 00 00 07 D0 06 
  00000049     9:58:55.534.865             接收            3AF        DATA    STANDARD    8      04 00 00 00 00 00 00 FE 
  00000050     9:58:55.553.864             接收       03401010        DATA    EXTENDED    8      5F 18 01 00 00 0A D2 00 
  00000051     9:58:55.615.968             接收            3AF        DATA    STANDARD    8      05 00 00 00 00 00 00 FF 
  00000052     9:58:55.615.978             接收            3AF        DATA    STANDARD    8      06 00 00 00 00 00 00 FC 
  00000053     9:58:55.615.983             接收       03401012        DATA    EXTENDED    8      00 02 1A 69 00 00 00 00 
  00000054     9:58:55.615.988             接收            3AF        DATA    STANDARD    8      07 00 00 00 00 00 00 FD 
  00000055     9:58:55.648.081             接收            3AF        DATA    STANDARD    8      01 00 00 00 00 00 00 FB 
  00000056     9:58:55.662.440             接收       03401014        DATA    EXTENDED    8      00 00 60 00 98 01 20 00 
  00000057     9:58:55.682.558             接收            3AF        DATA    STANDARD    8      02 00 00 00 00 00 00 F8 
  00000058     9:58:55.714.569             接收       03401020        DATA    EXTENDED    8      00 00 00 00 00 00 00 00 
  00000059     9:58:55.714.595             接收            3AF        DATA    STANDARD    8      03 00 00 00 00 00 00 F9 
  00000060     9:58:55.741.427             接收            3AF        DATA    STANDARD    8      04 00 00 00 00 00 00 FE 
  00000061     9:58:55.754.041             接收       03401030        DATA    EXTENDED    8      00 00 00 00 00 00 00 00 
  00000062     9:58:55.774.327             接收            3AF        DATA    STANDARD    8      05 00 00 00 00 00 00 FF 
  00000063     9:58:55.807.250             接收            3AF        DATA    STANDARD    8      06 00 00 00 00 00 00 FC 
  00000064     9:58:55.807.277             接收       03401038        DATA    EXTENDED    8      00 00 00 00 00 00 00 00 
  00000065     9:58:55.831.739             接收            3AF        DATA    STANDARD    8      07 00 00 00 00 00 00 FD 
  00000066     9:58:55.862.315             接收       03401040        DATA    EXTENDED    8      00 00 00 00 00 00 00 00 
  00000067     9:58:55.862.340             接收            3AF        DATA    STANDARD    8      01 00 00 00 00 00 00 FB 
  00000068     9:58:55.924.961             接收            3AF        DATA    STANDARD    8      02 00 00 00 00 00 00 F8 
  00000069     9:58:55.924.969             接收       03401008        DATA    EXTENDED    8      00 01 00 00 00 07 D0 06 
  00000070     9:58:55.924.974             接收            3AF        DATA    STANDARD    8      03 00 00 00 00 00 00 F9 
  00000071     9:58:55.943.783             接收            3AF        DATA    STANDARD    8      04 00 00 00 00 00 00 FE 
  00000072     9:58:55.956.141             接收       03401010        DATA    EXTENDED    8      5F 18 01 00 00 0A D2 00 
  00000073     9:58:55.975.509             接收            3AF        DATA    STANDARD    8      05 00 00 00 00 00 00 FF 
  00000074     9:58:56.006.820             接收       03401012        DATA    EXTENDED    8      00 02 1A 69 00 00 00 00 
  00000075     9:58:56.006.846             接收            3AF        DATA    STANDARD    8      06 00 00 00 00 00 00 FC 
  00000076     9:58:56.035.563             接收            3AF        DATA    STANDARD    8      07 00 00 00 00 00 00 FD 
  00000077     9:58:56.055.700             接收       03401014        DATA    EXTENDED    8      00 00 60 00 98 01 20 00 
  00000078     9:58:56.065.842             接收            3AF        DATA    STANDARD    8      01 00 00 00 00 00 00 FB 
