     index           time           Name             ID        Type      Format  Len      Data
  00000001    10:43:19.654.626             接收       03401038        DATA    EXTENDED    8      00 00 00 00 00 00 00 00 
  00000002    10:43:19.654.636             接收            3AF        DATA    STANDARD    8      04 00 00 00 00 00 00 FE 
  00000003    10:43:19.654.641             接收            3AF        DATA    STANDARD    8      05 00 00 00 00 00 00 FF 
  00000004    10:43:19.654.645             接收       03401040        DATA    EXTENDED    8      00 00 00 00 00 00 00 00 
  00000005    10:43:19.654.649             接收            3AF        DATA    STANDARD    8      06 00 00 00 00 00 00 FC 
  00000006    10:43:19.675.510             接收            3AF        DATA    STANDARD    8      07 00 00 00 00 00 00 FD 
  00000007    10:43:19.691.369             接收       03401008        DATA    EXTENDED    8      00 01 00 00 00 07 D0 03 
  00000008    10:43:19.711.232             接收            3AF        DATA    STANDARD    8      01 00 00 00 00 00 00 FB 
  00000009    10:43:19.744.380             接收       03401010        DATA    EXTENDED    8      5F 18 01 00 00 0A D2 00 
  00000010    10:43:19.744.407             接收            3AF        DATA    STANDARD    8      02 00 00 00 00 00 00 F8 
  00000011    10:43:19.767.336             接收            3AF        DATA    STANDARD    8      03 00 00 00 00 00 00 F9 
  00000012    10:43:19.785.192             接收       03401012        DATA    EXTENDED    8      00 02 1A 9C 00 00 00 00 
  00000013    10:43:19.798.764             接收            3AF        DATA    STANDARD    8      04 00 00 00 00 00 00 FE 
  00000014    10:43:19.819.815             接收            3AF        DATA    STANDARD    8      05 00 00 00 00 00 00 FF 
  00000015    10:43:19.839.114             接收       03401014        DATA    EXTENDED    8      00 08 60 00 9B 02 00 00 
  00000016    10:43:19.868.029             接收            3AF        DATA    STANDARD    8      06 00 00 00 00 00 00 FC 
  00000017    10:43:19.881.344             接收       03401020        DATA    EXTENDED    8      00 00 00 00 00 00 00 00 
  00000018    10:43:19.894.258             接收            3AF        DATA    STANDARD    8      07 00 00 00 00 00 00 FD 
  00000019    10:43:19.910.802             接收            3AF        DATA    STANDARD    8      01 00 00 00 00 00 00 FB 
  00000020    10:43:19.930.896             接收       03401030        DATA    EXTENDED    8      00 00 00 00 00 00 00 00 
  00000021    10:43:19.985.920             接收            3AF        DATA    STANDARD    8      02 00 00 00 00 00 00 F8 
  00000022    10:43:19.985.928             接收            3AF        DATA    STANDARD    8      03 00 00 00 00 00 00 F9 
  00000023    10:43:19.985.933             接收       03401038        DATA    EXTENDED    8      00 00 00 00 00 00 00 00 
  00000024    10:43:20.006.819             接收            3AF        DATA    STANDARD    8      04 00 00 00 00 00 00 FE 
  00000025    10:43:20.036.453             接收       03401040        DATA    EXTENDED    8      00 00 00 00 00 00 00 00 
  00000026    10:43:20.036.479             接收            3AF        DATA    STANDARD    8      05 00 00 00 00 00 00 FF 
  00000027    10:43:20.068.331             接收            3AF        DATA    STANDARD    8      06 00 00 00 00 00 00 FC 
  00000028    10:43:20.088.137             接收       03401008        DATA    EXTENDED    8      00 01 00 00 00 07 D0 03 
  00000029    10:43:20.088.163             接收            3AF        DATA    STANDARD    8      07 00 00 00 00 00 00 FD 
  00000030    10:43:20.131.795             接收            3AF        DATA    STANDARD    8      01 00 00 00 00 00 00 FB 
  00000031    10:43:20.131.820             接收       03401010        DATA    EXTENDED    8      5F 18 01 00 00 0A D2 00 
  00000032    10:43:20.151.785             接收            3AF        DATA    STANDARD    8      02 00 00 00 00 00 00 F8 
  00000033    10:43:20.180.744             接收       03401012        DATA    EXTENDED    8      00 02 1A 9C 00 00 00 00 
  00000034    10:43:20.191.505             接收            3AF        DATA    STANDARD    8      03 00 00 00 00 00 00 F9 
  00000035    10:43:20.210.653             接收            3AF        DATA    STANDARD    8      04 00 00 00 00 00 00 FE 
  00000036    10:43:20.241.746             接收       03401014        DATA    EXTENDED    8      00 08 60 10 9B 02 00 00 
  00000037    10:43:20.241.757             接收            3AF        DATA    STANDARD    8      05 00 00 00 00 00 00 FF 
  00000038    10:43:20.293.809             接收            3AF        DATA    STANDARD    8      06 00 00 00 00 00 00 FC 
  00000039    10:43:20.293.820             接收       03401020        DATA    EXTENDED    8      00 00 00 00 00 00 00 00 
  00000040    10:43:20.306.306             接收            3AF        DATA    STANDARD    8      07 00 00 00 00 00 00 FD 
  00000041    10:43:20.329.152             接收       03401030        DATA    EXTENDED    8      00 00 00 00 00 00 00 00 
  00000042    10:43:20.348.760             接收            3AF        DATA    STANDARD    8      01 00 00 00 00 00 00 FB 
  00000043    10:43:20.367.255             接收            3AF        DATA    STANDARD    8      02 00 00 00 00 00 00 F8 
