     index           time           Name             ID        Type      Format  Len      Data
  00000000    10:48:56.608.861             接收            3AF        DATA    STANDARD    8      02 00 00 00 00 00 00 F8 
  00000001    10:48:56.674.576             接收       03401012        DATA    EXTENDED    8      00 02 1A A1 00 00 00 00 
  00000002    10:48:56.638.861             接收            3AF        DATA    STANDARD    8      03 00 00 00 00 00 00 F9 
  00000003    10:48:56.668.904             接收            3AF        DATA    STANDARD    8      04 00 00 00 00 00 00 FE 
  00000004    10:48:56.722.154             接收       03401014        DATA    EXTENDED    8      00 00 60 00 98 01 20 00 
  00000005    10:48:56.698.857             接收            3AF        DATA    STANDARD    8      05 00 00 00 00 00 00 FF 
  00000006    10:48:56.772.169             接收       03401020        DATA    EXTENDED    8      00 00 00 00 00 00 00 00 
  00000007    10:48:56.729.093             接收            3AF        DATA    STANDARD    8      06 00 00 00 00 00 00 FC 
  00000008    10:48:56.758.857             接收            3AF        DATA    STANDARD    8      07 00 00 00 00 00 00 FD 
  00000009    10:48:56.422.173             接收       03401030        DATA    EXTENDED    8      00 00 00 00 00 00 00 00 
  00000010    10:48:56.788.904             接收            3AF        DATA    STANDARD    8      01 00 00 00 00 00 00 FB 
  00000011    10:48:56.472.169             接收       03401038        DATA    EXTENDED    8      00 00 00 00 00 00 00 00 
  00000012    10:48:56.524.877             接收       03401040        DATA    EXTENDED    8      00 00 00 00 00 00 00 00 
  00000013    10:48:56.572.075             接收       03401008        DATA    EXTENDED    8      00 01 00 00 00 07 D0 03 
  00000014    10:48:56.622.030             接收       03401010        DATA    EXTENDED    8      5F 18 01 00 00 0A D2 00 
