     index           time           Name             ID        Type      Format  Len      Data
  00000001    11:22:43.150.090             接收            3AF        DATA    STANDARD    8      01 00 00 00 00 00 00 FB 
  00000002    11:22:43.150.099             接收       03401010        DATA    EXTENDED    8      5F 18 01 00 00 0A D2 00 
  00000003    11:22:43.150.104             接收            3AF        DATA    STANDARD    8      02 00 00 00 00 00 00 F8 
  00000004    11:22:43.150.109             接收            3AF        DATA    STANDARD    8      03 00 00 00 00 00 00 F9 
  00000005    11:22:43.150.113             接收       03401012        DATA    EXTENDED    8      00 02 1A B7 00 00 00 00 
  00000006    11:22:43.150.117             接收            3AF        DATA    STANDARD    8      04 00 00 00 00 00 00 FE 
  00000007    11:22:43.178.207             接收            3AF        DATA    STANDARD    8      05 00 00 00 00 00 00 FF 
  00000008    11:22:43.191.416             接收       03401014        DATA    EXTENDED    8      00 00 20 00 98 01 20 00 
  00000009    11:22:43.212.581             接收            3AF        DATA    STANDARD    8      06 00 00 00 00 00 00 FC 
  00000010    11:22:43.235.560             接收       03401020        DATA    EXTENDED    8      00 00 00 00 00 00 00 00 
  00000011    11:22:43.254.608             接收            3AF        DATA    STANDARD    8      07 00 00 00 00 00 00 FD 
  00000012    11:22:43.267.572             接收            3AF        DATA    STANDARD    8      01 00 00 00 00 00 00 FB 
  00000013    11:22:43.288.108             接收       03401030        DATA    EXTENDED    8      00 00 00 00 00 00 00 00 
  00000014    11:22:43.305.346             接收            3AF        DATA    STANDARD    8      02 00 00 00 00 00 00 F8 
  00000015    11:22:43.335.276             接收            3AF        DATA    STANDARD    8      03 00 00 00 00 00 00 F9 
  00000016    11:22:43.335.305             接收       03401038        DATA    EXTENDED    8      00 00 00 00 00 00 00 00 
  00000017    11:22:43.369.608             接收            3AF        DATA    STANDARD    8      04 00 00 00 00 00 00 FE 
  00000018    11:22:43.441.773             接收       03401040        DATA    EXTENDED    8      00 00 00 00 00 00 00 00 
  00000019    11:22:43.441.782             接收            3AF        DATA    STANDARD    8      05 00 00 00 00 00 00 FF 
  00000020    11:22:43.441.786             接收            3AF        DATA    STANDARD    8      06 00 00 00 00 00 00 FC 
  00000021    11:22:43.441.790             接收       03401008        DATA    EXTENDED    8      00 01 00 00 00 07 D0 03 
  00000022    11:22:43.460.903             接收            3AF        DATA    STANDARD    8      07 00 00 00 00 00 00 FD 
  00000023    11:22:43.488.725             接收            3AF        DATA    STANDARD    8      01 00 00 00 00 00 00 FB 
  00000024    11:22:43.488.736             接收       03401010        DATA    EXTENDED    8      5F 18 01 00 00 0A D2 00 
  00000025    11:22:43.524.719             接收            3AF        DATA    STANDARD    8      02 00 00 00 00 00 00 F8 
  00000026    11:22:43.535.711             接收       03401012        DATA    EXTENDED    8      00 02 1A B7 00 00 00 00 
  00000027    11:22:43.555.713             接收            3AF        DATA    STANDARD    8      03 00 00 00 00 00 00 F9 
  00000028    11:22:43.567.039             接收            3AF        DATA    STANDARD    8      04 00 00 00 00 00 00 FE 
  00000029    11:22:43.586.610             接收       03401014        DATA    EXTENDED    8      00 00 20 00 98 01 20 00 
  00000030    11:22:43.599.280             接收            3AF        DATA    STANDARD    8      05 00 00 00 00 00 00 FF 
  00000031    11:22:43.628.942             接收            3AF        DATA    STANDARD    8      06 00 00 00 00 00 00 FC 
  00000032    11:22:43.648.410             接收       03401020        DATA    EXTENDED    8      00 00 00 00 00 00 00 00 
  00000033    11:22:43.658.914             接收            3AF        DATA    STANDARD    8      07 00 00 00 00 00 00 FD 
  00000034    11:22:43.744.916             接收       03401030        DATA    EXTENDED    8      00 00 00 00 00 00 00 00 
  00000035    11:22:43.744.926             接收            3AF        DATA    STANDARD    8      01 00 00 00 00 00 00 FB 
  00000036    11:22:43.744.931             接收            3AF        DATA    STANDARD    8      02 00 00 00 00 00 00 F8 
  00000037    11:22:43.744.935             接收       03401038        DATA    EXTENDED    8      00 00 00 00 00 00 00 00 
  00000038    11:22:43.754.734             接收            3AF        DATA    STANDARD    8      03 00 00 00 00 00 00 F9 
  00000039    11:22:43.775.016             接收            3AF        DATA    STANDARD    8      04 00 00 00 00 00 00 FE 
  00000040    11:22:43.787.612             接收       03401040        DATA    EXTENDED    8      00 00 00 00 00 00 00 00 
  00000041    11:22:43.807.023             接收            3AF        DATA    STANDARD    8      05 00 00 00 00 00 00 FF 
  00000042    11:22:43.835.482             接收       03401008        DATA    EXTENDED    8      00 01 00 00 00 07 D0 03 
  00000043    11:22:43.864.919             接收            3AF        DATA    STANDARD    8      06 00 00 00 00 00 00 FC 
  00000044    11:22:43.880.285             接收            3AF        DATA    STANDARD    8      07 00 00 00 00 00 00 FD 
  00000045    11:22:43.901.746             接收       03401010        DATA    EXTENDED    8      5F 18 01 00 00 0A D2 00 
  00000046    11:22:43.901.770             接收            3AF        DATA    STANDARD    8      01 00 00 00 00 00 00 FB 
  00000047    11:22:43.925.702             接收            3AF        DATA    STANDARD    8      02 00 00 00 00 00 00 F8 
  00000048    11:22:43.941.312             接收       03401012        DATA    EXTENDED    8      00 02 1A B7 00 00 00 00 
  00000049    11:22:43.961.626             接收            3AF        DATA    STANDARD    8      03 00 00 00 00 00 00 F9 
  00000050    11:22:43.994.699             接收       03401014        DATA    EXTENDED    8      00 00 20 00 98 01 20 00 
  00000051    11:22:43.994.724             接收            3AF        DATA    STANDARD    8      04 00 00 00 00 00 00 FE 
  00000052    11:22:44.047.782             接收            3AF        DATA    STANDARD    8      05 00 00 00 00 00 00 FF 
  00000053    11:22:44.047.792             接收       03401020        DATA    EXTENDED    8      00 00 00 00 00 00 00 00 
  00000054    11:22:44.047.797             接收            3AF        DATA    STANDARD    8      06 00 00 00 00 00 00 FC 
  00000055    11:22:44.085.262             接收            3AF        DATA    STANDARD    8      07 00 00 00 00 00 00 FD 
  00000056    11:22:44.098.556             接收       03401030        DATA    EXTENDED    8      00 00 00 00 00 00 00 00 
  00000057    11:22:44.173.196             接收            3AF        DATA    STANDARD    8      01 00 00 00 00 00 00 FB 
  00000058    11:22:44.173.206             接收       03401038        DATA    EXTENDED    8      00 00 00 00 00 00 00 00 
  00000059    11:22:44.173.210             接收            3AF        DATA    STANDARD    8      02 00 00 00 00 00 00 F8 
  00000060    11:22:44.173.214             接收            3AF        DATA    STANDARD    8      03 00 00 00 00 00 00 F9 
  00000061    11:22:44.190.239             接收       03401040        DATA    EXTENDED    8      00 00 00 00 00 00 00 00 
