     index           time           Name             ID        Type      Format  Len      Data
  00000001    10:55:19.242.234             接收       03401030        DATA    EXTENDED    8      00 00 00 00 00 00 00 00 
  00000002    10:55:19.242.244             接收            3AF        DATA    STANDARD    8      04 00 00 00 00 00 00 FE 
  00000003    10:55:19.242.249             接收            3AF        DATA    STANDARD    8      05 00 00 00 00 00 00 FF 
  00000004    10:55:19.242.253             接收       03401038        DATA    EXTENDED    8      00 00 00 00 00 00 00 00 
  00000005    10:55:19.253.431             接收            3AF        DATA    STANDARD    8      06 00 00 00 00 00 00 FC 
  00000006    10:55:19.286.755             接收       03401040        DATA    EXTENDED    8      00 00 00 00 00 00 00 00 
  00000007    10:55:19.286.765             接收            3AF        DATA    STANDARD    8      07 00 00 00 00 00 00 FD 
  00000008    10:55:19.341.743             接收            3AF        DATA    STANDARD    8      01 00 00 00 00 00 00 FB 
  00000009    10:55:19.341.753             接收       03401008        DATA    EXTENDED    8      00 01 00 00 00 07 D0 18 
  00000010    10:55:19.341.759             接收            3AF        DATA    STANDARD    8      02 00 00 00 00 00 00 F8 
  00000011    10:55:19.380.203             接收            3AF        DATA    STANDARD    8      03 00 00 00 00 00 00 F9 
  00000012    10:55:19.380.213             接收       03401010        DATA    EXTENDED    8      5F 18 01 00 00 0A D2 00 
  00000013    10:55:19.401.182             接收            3AF        DATA    STANDARD    8      04 00 00 00 00 00 00 FE 
  00000014    10:55:19.434.032             接收       03401012        DATA    EXTENDED    8      00 02 1A AC 00 00 00 00 
  00000015    10:55:19.434.055             接收            3AF        DATA    STANDARD    8      05 00 00 00 00 00 00 FF 
  00000016    10:55:19.462.924             接收            3AF        DATA    STANDARD    8      06 00 00 00 00 00 00 FC 
  00000017    10:55:19.475.390             接收       03401014        DATA    EXTENDED    8      00 00 60 00 98 01 20 00 
  00000018    10:55:19.495.085             接收            3AF        DATA    STANDARD    8      07 00 00 00 00 00 00 FD 
  00000019    10:55:19.536.389             接收            3AF        DATA    STANDARD    8      01 00 00 00 00 00 00 FB 
  00000020    10:55:19.536.421             接收       03401020        DATA    EXTENDED    8      00 00 00 00 00 00 00 00 
  00000021    10:55:19.556.754             接收            3AF        DATA    STANDARD    8      02 00 00 00 00 00 00 F8 
  00000022    10:55:19.580.722             接收       03401030        DATA    EXTENDED    8      00 00 00 00 00 00 00 00 
  00000023    10:55:19.580.776             接收            3AF        DATA    STANDARD    8      03 00 00 00 00 00 00 F9 
  00000024    10:55:19.619.602             接收            3AF        DATA    STANDARD    8      04 00 00 00 00 00 00 FE 
  00000025    10:55:19.680.256             接收       03401038        DATA    EXTENDED    8      00 00 00 00 00 00 00 00 
  00000026    10:55:19.680.265             接收            3AF        DATA    STANDARD    8      05 00 00 00 00 00 00 FF 
  00000027    10:55:19.680.269             接收            3AF        DATA    STANDARD    8      06 00 00 00 00 00 00 FC 
  00000028    10:55:19.680.273             接收       03401040        DATA    EXTENDED    8      00 00 00 00 00 00 00 00 
  00000029    10:55:19.704.477             接收            3AF        DATA    STANDARD    8      07 00 00 00 00 00 00 FD 
  00000030    10:55:19.743.261             接收       03401008        DATA    EXTENDED    8      00 01 00 00 00 07 D0 18 
  00000031    10:55:19.743.288             接收            3AF        DATA    STANDARD    8      01 00 00 00 00 00 00 FB 
  00000032    10:55:19.777.240             接收            3AF        DATA    STANDARD    8      02 00 00 00 00 00 00 F8 
  00000033    10:55:19.777.266             接收       03401010        DATA    EXTENDED    8      5F 18 01 00 00 0A D2 00 
  00000034    10:55:19.791.441             接收            3AF        DATA    STANDARD    8      03 00 00 00 00 00 00 F9 
  00000035    10:55:19.839.110             接收            3AF        DATA    STANDARD    8      04 00 00 00 00 00 00 FE 
  00000036    10:55:19.839.138             接收       03401012        DATA    EXTENDED    8      00 02 1A AC 00 00 00 00 
  00000037    10:55:19.849.347             接收            3AF        DATA    STANDARD    8      05 00 00 00 00 00 00 FF 
  00000038    10:55:19.881.753             接收       03401014        DATA    EXTENDED    8      00 00 60 00 98 01 20 00 
  00000039    10:55:19.881.782             接收            3AF        DATA    STANDARD    8      06 00 00 00 00 00 00 FC 
  00000040    10:55:19.909.540             接收            3AF        DATA    STANDARD    8      07 00 00 00 00 00 00 FD 
  00000041    10:55:19.925.293             接收       03401020        DATA    EXTENDED    8      00 00 00 00 00 00 00 00 
  00000042    10:55:20.004.126             接收            3AF        DATA    STANDARD    8      01 00 00 00 00 00 00 FB 
