     index           time           Name             ID        Type      Format  Len      Data
  00000001     9:22:41.413.898             接收            3AF        DATA    STANDARD    8      05 00 00 00 00 00 00 FF 
  00000002     9:22:41.413.910             接收       03401010        DATA    EXTENDED    8      5F 18 01 00 00 0A D2 00 
  00000003     9:22:41.430.249             接收            3AF        DATA    STANDARD    8      06 00 00 00 00 00 00 FC 
  00000004     9:22:41.460.360             接收            3AF        DATA    STANDARD    8      07 00 00 00 00 00 00 FD 
  00000005     9:22:41.460.372             接收       03401012        DATA    EXTENDED    8      00 02 1A 47 00 00 00 00 
  00000006     9:22:41.493.189             接收            3AF        DATA    STANDARD    8      01 00 00 00 00 00 00 FB 
  00000007     9:22:41.536.531             接收       03401014        DATA    EXTENDED    8      00 00 20 00 98 01 20 00 
  00000008     9:22:41.536.541             接收            3AF        DATA    STANDARD    8      02 00 00 00 00 00 00 F8 
  00000009     9:22:41.556.119             接收            3AF        DATA    STANDARD    8      03 00 00 00 00 00 00 F9 
  00000010     9:22:41.556.129             接收       03401020        DATA    EXTENDED    8      00 00 00 00 00 00 00 00 
  00000011     9:22:41.580.019             接收            3AF        DATA    STANDARD    8      04 00 00 00 00 00 00 FE 
  00000012     9:22:41.620.000             接收            3AF        DATA    STANDARD    8      05 00 00 00 00 00 00 FF 
  00000013     9:22:41.620.025             接收       03401030        DATA    EXTENDED    8      00 00 00 00 00 00 00 00 
  00000014     9:22:41.633.063             接收            3AF        DATA    STANDARD    8      06 00 00 00 00 00 00 FC 
  00000015     9:22:41.659.262             接收       03401038        DATA    EXTENDED    8      00 00 00 00 00 00 00 00 
  00000016     9:22:41.679.808             接收            3AF        DATA    STANDARD    8      07 00 00 00 00 00 00 FD 
  00000017     9:22:41.691.142             接收            3AF        DATA    STANDARD    8      01 00 00 00 00 00 00 FB 
  00000018     9:22:41.710.272             接收       03401040        DATA    EXTENDED    8      00 00 00 00 00 00 00 00 
  00000019     9:22:41.723.201             接收            3AF        DATA    STANDARD    8      02 00 00 00 00 00 00 F8 
  00000020     9:22:41.756.791             接收            3AF        DATA    STANDARD    8      03 00 00 00 00 00 00 F9 
  00000021     9:22:41.756.817             接收       03401008        DATA    EXTENDED    8      00 01 00 00 00 07 D0 18 
  00000022     9:22:41.784.600             接收            3AF        DATA    STANDARD    8      04 00 00 00 00 00 00 FE 
  00000023     9:22:41.862.248             接收       03401010        DATA    EXTENDED    8      5F 18 01 00 00 0A D2 00 
  00000024     9:22:41.862.259             接收            3AF        DATA    STANDARD    8      05 00 00 00 00 00 00 FF 
  00000025     9:22:41.862.265             接收            3AF        DATA    STANDARD    8      06 00 00 00 00 00 00 FC 
  00000026     9:22:41.862.270             接收       03401012        DATA    EXTENDED    8      00 02 1A 47 00 00 00 00 
  00000027     9:22:41.879.844             接收            3AF        DATA    STANDARD    8      07 00 00 00 00 00 00 FD 
  00000028     9:22:41.910.408             接收            3AF        DATA    STANDARD    8      01 00 00 00 00 00 00 FB 
  00000029     9:22:41.910.420             接收       03401014        DATA    EXTENDED    8      00 00 20 00 98 01 20 00 
  00000030     9:22:41.941.785             接收            3AF        DATA    STANDARD    8      02 00 00 00 00 00 00 F8 
  00000031     9:22:41.962.548             接收       03401020        DATA    EXTENDED    8      00 00 00 00 00 00 00 00 
  00000032     9:22:41.962.577             接收            3AF        DATA    STANDARD    8      03 00 00 00 00 00 00 F9 
  00000033     9:22:42.004.512             接收            3AF        DATA    STANDARD    8      04 00 00 00 00 00 00 FE 
  00000034     9:22:42.004.541             接收       03401030        DATA    EXTENDED    8      00 00 00 00 00 00 00 00 
  00000035     9:22:42.023.448             接收            3AF        DATA    STANDARD    8      05 00 00 00 00 00 00 FF 
  00000036     9:22:42.057.231             接收            3AF        DATA    STANDARD    8      06 00 00 00 00 00 00 FC 
  00000037     9:22:42.057.260             接收       03401038        DATA    EXTENDED    8      00 00 00 00 00 00 00 00 
  00000038     9:22:42.089.161             接收            3AF        DATA    STANDARD    8      07 00 00 00 00 00 00 FD 
  00000039     9:22:42.117.069             接收       03401040        DATA    EXTENDED    8      00 00 00 00 00 00 00 00 
  00000040     9:22:42.117.098             接收            3AF        DATA    STANDARD    8      01 00 00 00 00 00 00 FB 
  00000041     9:22:42.182.182             接收            3AF        DATA    STANDARD    8      02 00 00 00 00 00 00 F8 
  00000042     9:22:42.182.192             接收       03401008        DATA    EXTENDED    8      00 01 00 00 00 07 D0 18 
  00000043     9:22:42.182.199             接收            3AF        DATA    STANDARD    8      03 00 00 00 00 00 00 F9 
  00000044     9:22:42.211.719             接收            3AF        DATA    STANDARD    8      04 00 00 00 00 00 00 FE 
  00000045     9:22:42.211.731             接收       03401010        DATA    EXTENDED    8      5F 18 01 00 00 0A D2 00 
  00000046     9:22:42.236.782             接收            3AF        DATA    STANDARD    8      05 00 00 00 00 00 00 FF 
  00000047     9:22:42.256.466             接收       03401012        DATA    EXTENDED    8      00 02 1A 47 00 00 00 00 
  00000048     9:22:42.276.726             接收            3AF        DATA    STANDARD    8      06 00 00 00 00 00 00 FC 
  00000049     9:22:42.307.582             接收            3AF        DATA    STANDARD    8      07 00 00 00 00 00 00 FD 
  00000050     9:22:42.307.609             接收       03401014        DATA    EXTENDED    8      00 00 20 00 98 01 20 00 
  00000051     9:22:42.339.496             接收            3AF        DATA    STANDARD    8      01 00 00 00 00 00 00 FB 
  00000052     9:22:42.361.968             接收            3AF        DATA    STANDARD    8      02 00 00 00 00 00 00 F8 
  00000053     9:22:42.362.008             接收       03401020        DATA    EXTENDED    8      00 00 00 00 00 00 00 00 
  00000054     9:22:42.380.384             接收            3AF        DATA    STANDARD    8      03 00 00 00 00 00 00 F9 
  00000055     9:22:42.429.120             接收       03401030        DATA    EXTENDED    8      00 00 00 00 00 00 00 00 
  00000056     9:22:42.429.131             接收            3AF        DATA    STANDARD    8      04 00 00 00 00 00 00 FE 
  00000057     9:22:42.475.997             接收            3AF        DATA    STANDARD    8      05 00 00 00 00 00 00 FF 
  00000058     9:22:42.476.006             接收       03401038        DATA    EXTENDED    8      00 00 00 00 00 00 00 00 
  00000059     9:22:42.476.011             接收            3AF        DATA    STANDARD    8      06 00 00 00 00 00 00 FC 
  00000060     9:22:42.504.935             接收            3AF        DATA    STANDARD    8      07 00 00 00 00 00 00 FD 
  00000061     9:22:42.504.945             接收       03401040        DATA    EXTENDED    8      00 00 00 00 00 00 00 00 
  00000062     9:22:42.535.974             接收            3AF        DATA    STANDARD    8      01 00 00 00 00 00 00 FB 
  00000063     9:22:42.556.045             接收       03401008        DATA    EXTENDED    8      00 01 00 00 00 07 D0 18 
  00000064     9:22:42.567.095             接收            3AF        DATA    STANDARD    8      02 00 00 00 00 00 00 F8 
  00000065     9:22:42.598.845             接收            3AF        DATA    STANDARD    8      03 00 00 00 00 00 00 F9 
  00000066     9:22:42.619.639             接收       03401010        DATA    EXTENDED    8      5F 18 01 00 00 0A D2 00 
  00000067     9:22:42.619.666             接收            3AF        DATA    STANDARD    8      04 00 00 00 00 00 00 FE 
  00000068     9:22:42.662.241             接收            3AF        DATA    STANDARD    8      05 00 00 00 00 00 00 FF 
  00000069     9:22:42.662.266             接收       03401012        DATA    EXTENDED    8      00 02 1A 47 00 00 00 00 
  00000070     9:22:42.694.096             接收            3AF        DATA    STANDARD    8      06 00 00 00 00 00 00 FC 
  00000071     9:22:42.713.457             接收       03401014        DATA    EXTENDED    8      00 00 20 00 98 01 20 00 
  00000072     9:22:42.713.485             接收            3AF        DATA    STANDARD    8      07 00 00 00 00 00 00 FD 
  00000073     9:22:42.804.964             接收            3AF        DATA    STANDARD    8      01 00 00 00 00 00 00 FB 
  00000074     9:22:42.804.973             接收       03401020        DATA    EXTENDED    8      00 00 00 00 00 00 00 00 
  00000075     9:22:42.804.977             接收            3AF        DATA    STANDARD    8      02 00 00 00 00 00 00 F8 
  00000076     9:22:42.804.981             接收            3AF        DATA    STANDARD    8      03 00 00 00 00 00 00 F9 
  00000077     9:22:42.804.986             接收       03401030        DATA    EXTENDED    8      00 00 00 00 00 00 00 00 
  00000078     9:22:42.836.028             接收            3AF        DATA    STANDARD    8      04 00 00 00 00 00 00 FE 
  00000079     9:22:42.870.043             接收       03401038        DATA    EXTENDED    8      00 00 00 00 00 00 00 00 
  00000080     9:22:42.870.069             接收            3AF        DATA    STANDARD    8      05 00 00 00 00 00 00 FF 
  00000081     9:22:42.897.021             接收            3AF        DATA    STANDARD    8      06 00 00 00 00 00 00 FC 
  00000082     9:22:42.913.686             接收       03401040        DATA    EXTENDED    8      00 00 00 00 00 00 00 00 
  00000083     9:22:42.932.902             接收            3AF        DATA    STANDARD    8      07 00 00 00 00 00 00 FD 
  00000084     9:22:42.964.821             接收            3AF        DATA    STANDARD    8      01 00 00 00 00 00 00 FB 
  00000085     9:22:42.964.847             接收       03401008        DATA    EXTENDED    8      00 01 00 00 00 07 D0 18 
  00000086     9:22:42.994.898             接收            3AF        DATA    STANDARD    8      02 00 00 00 00 00 00 F8 
  00000087     9:22:43.007.994             接收       03401010        DATA    EXTENDED    8      5F 18 01 00 00 0A D2 00 
  00000088     9:22:43.021.095             接收            3AF        DATA    STANDARD    8      03 00 00 00 00 00 00 F9 
  00000089     9:22:43.056.547             接收            3AF        DATA    STANDARD    8      04 00 00 00 00 00 00 FE 
  00000090     9:22:43.056.573             接收       03401012        DATA    EXTENDED    8      00 02 1A 47 00 00 00 00 
  00000091     9:22:43.112.652             接收            3AF        DATA    STANDARD    8      05 00 00 00 00 00 00 FF 
  00000092     9:22:43.112.661             接收            3AF        DATA    STANDARD    8      06 00 00 00 00 00 00 FC 
  00000093     9:22:43.112.665             接收       03401014        DATA    EXTENDED    8      00 00 20 00 98 01 20 00 
  00000094     9:22:43.130.149             接收            3AF        DATA    STANDARD    8      07 00 00 00 00 00 00 FD 
  00000095     9:22:43.161.573             接收       03401020        DATA    EXTENDED    8      00 00 00 00 00 00 00 00 
  00000096     9:22:43.161.597             接收            3AF        DATA    STANDARD    8      01 00 00 00 00 00 00 FB 
  00000097     9:22:43.193.824             接收            3AF        DATA    STANDARD    8      02 00 00 00 00 00 00 F8 
  00000098     9:22:43.212.210             接收       03401030        DATA    EXTENDED    8      00 00 00 00 00 00 00 00 
  00000099     9:22:43.225.499             接收            3AF        DATA    STANDARD    8      03 00 00 00 00 00 00 F9 
  00000100     9:22:43.257.325             接收            3AF        DATA    STANDARD    8      04 00 00 00 00 00 00 FE 
  00000101     9:22:43.257.350             接收       03401038        DATA    EXTENDED    8      00 00 00 00 00 00 00 00 
  00000102     9:22:43.288.152             接收            3AF        DATA    STANDARD    8      05 00 00 00 00 00 00 FF 
  00000103     9:22:43.307.954             接收       03401040        DATA    EXTENDED    8      00 00 00 00 00 00 00 00 
  00000104     9:22:43.319.170             接收            3AF        DATA    STANDARD    8      06 00 00 00 00 00 00 FC 
  00000105     9:22:43.351.633             接收            3AF        DATA    STANDARD    8      07 00 00 00 00 00 00 FD 
  00000106     9:22:43.360.837             接收       03401008        DATA    EXTENDED    8      00 01 00 00 00 07 D0 18 
  00000107     9:22:43.434.866             接收            3AF        DATA    STANDARD    8      01 00 00 00 00 00 00 FB 
  00000108     9:22:43.434.874             接收            3AF        DATA    STANDARD    8      02 00 00 00 00 00 00 F8 
  00000109     9:22:43.434.878             接收       03401010        DATA    EXTENDED    8      5F 18 01 00 00 0A D2 00 
  00000110     9:22:43.434.882             接收            3AF        DATA    STANDARD    8      03 00 00 00 00 00 00 F9 
  00000111     9:22:43.459.708             接收       03401012        DATA    EXTENDED    8      00 02 1A 47 00 00 00 00 
  00000112     9:22:43.471.724             接收            3AF        DATA    STANDARD    8      04 00 00 00 00 00 00 FE 
  00000113     9:22:43.499.803             接收            3AF        DATA    STANDARD    8      05 00 00 00 00 00 00 FF 
  00000114     9:22:43.505.591             接收       03401014        DATA    EXTENDED    8      00 00 20 00 98 01 20 00 
  00000115     9:22:43.526.382             接收            3AF        DATA    STANDARD    8      06 00 00 00 00 00 00 FC 
  00000116     9:22:43.552.353             接收            3AF        DATA    STANDARD    8      07 00 00 00 00 00 00 FD 
  00000117     9:22:43.569.246             接收       03401020        DATA    EXTENDED    8      00 00 00 00 00 00 00 00 
  00000118     9:22:43.589.151             接收            3AF        DATA    STANDARD    8      01 00 00 00 00 00 00 FB 
  00000119     9:22:43.617.909             接收       03401030        DATA    EXTENDED    8      00 00 00 00 00 00 00 00 
  00000120     9:22:43.617.921             接收            3AF        DATA    STANDARD    8      02 00 00 00 00 00 00 F8 
  00000121     9:22:43.649.958             接收            3AF        DATA    STANDARD    8      03 00 00 00 00 00 00 F9 
  00000122     9:22:43.661.355             接收       03401038        DATA    EXTENDED    8      00 00 00 00 00 00 00 00 
  00000123     9:22:43.676.526             接收            3AF        DATA    STANDARD    8      04 00 00 00 00 00 00 FE 
  00000124     9:22:43.739.704             接收            3AF        DATA    STANDARD    8      05 00 00 00 00 00 00 FF 
  00000125     9:22:43.739.713             接收       03401040        DATA    EXTENDED    8      00 00 00 00 00 00 00 00 
  00000126     9:22:43.739.717             接收            3AF        DATA    STANDARD    8      06 00 00 00 00 00 00 FC 
  00000127     9:22:43.767.512             接收       03401008        DATA    EXTENDED    8      00 01 00 00 00 07 D0 18 
  00000128     9:22:43.767.522             接收            3AF        DATA    STANDARD    8      07 00 00 00 00 00 00 FD 
  00000129     9:22:43.789.566             接收            3AF        DATA    STANDARD    8      01 00 00 00 00 00 00 FB 
  00000130     9:22:43.808.639             接收       03401010        DATA    EXTENDED    8      5F 18 01 00 00 0A D2 00 
  00000131     9:22:43.835.574             接收            3AF        DATA    STANDARD    8      02 00 00 00 00 00 00 F8 
  00000132     9:22:43.869.475             接收            3AF        DATA    STANDARD    8      03 00 00 00 00 00 00 F9 
  00000133     9:22:43.869.503             接收       03401012        DATA    EXTENDED    8      00 02 1A 47 00 00 00 00 
  00000134     9:22:43.882.732             接收            3AF        DATA    STANDARD    8      04 00 00 00 00 00 00 FE 
  00000135     9:22:43.909.034             接收       03401014        DATA    EXTENDED    8      00 00 20 00 98 01 20 00 
  00000136     9:22:43.929.334             接收            3AF        DATA    STANDARD    8      05 00 00 00 00 00 00 FF 
  00000137     9:22:43.940.613             接收            3AF        DATA    STANDARD    8      06 00 00 00 00 00 00 FC 
  00000138     9:22:43.960.218             接收       03401020        DATA    EXTENDED    8      00 00 00 00 00 00 00 00 
  00000139     9:22:43.973.443             接收            3AF        DATA    STANDARD    8      07 00 00 00 00 00 00 FD 
  00000140     9:22:44.044.447             接收            3AF        DATA    STANDARD    8      01 00 00 00 00 00 00 FB 
  00000141     9:22:44.044.455             接收       03401030        DATA    EXTENDED    8      00 00 00 00 00 00 00 00 
  00000142     9:22:44.044.459             接收            3AF        DATA    STANDARD    8      02 00 00 00 00 00 00 F8 
  00000143     9:22:44.056.905             接收       03401038        DATA    EXTENDED    8      00 00 00 00 00 00 00 00 
  00000144     9:22:44.067.561             接收            3AF        DATA    STANDARD    8      03 00 00 00 00 00 00 F9 
  00000145     9:22:44.096.342             接收            3AF        DATA    STANDARD    8      04 00 00 00 00 00 00 FE 
  00000146     9:22:44.116.322             接收       03401040        DATA    EXTENDED    8      00 00 00 00 00 00 00 00 
  00000147     9:22:44.128.890             接收            3AF        DATA    STANDARD    8      05 00 00 00 00 00 00 FF 
  00000148     9:22:44.149.722             接收            3AF        DATA    STANDARD    8      06 00 00 00 00 00 00 FC 
  00000149     9:22:44.160.782             接收       03401008        DATA    EXTENDED    8      00 01 00 00 00 07 D0 18 
  00000150     9:22:44.181.660             接收            3AF        DATA    STANDARD    8      07 00 00 00 00 00 00 FD 
  00000151     9:22:44.205.595             接收       03401010        DATA    EXTENDED    8      5F 18 01 00 00 0A D2 00 
  00000152     9:22:44.222.654             接收            3AF        DATA    STANDARD    8      01 00 00 00 00 00 00 FB 
  00000153     9:22:44.242.473             接收            3AF        DATA    STANDARD    8      02 00 00 00 00 00 00 F8 
  00000154     9:22:44.255.917             接收       03401012        DATA    EXTENDED    8      00 02 1A 47 00 00 00 00 
  00000155     9:22:44.276.435             接收            3AF        DATA    STANDARD    8      03 00 00 00 00 00 00 F9 
  00000156     9:22:44.308.576             接收            3AF        DATA    STANDARD    8      04 00 00 00 00 00 00 FE 
  00000157     9:22:44.308.604             接收       03401014        DATA    EXTENDED    8      00 00 20 00 98 01 20 00 
  00000158     9:22:44.371.063             接收            3AF        DATA    STANDARD    8      05 00 00 00 00 00 00 FF 
  00000159     9:22:44.371.073             接收       03401020        DATA    EXTENDED    8      00 00 00 00 00 00 00 00 
  00000160     9:22:44.371.079             接收            3AF        DATA    STANDARD    8      06 00 00 00 00 00 00 FC 
  00000161     9:22:44.401.080             接收            3AF        DATA    STANDARD    8      07 00 00 00 00 00 00 FD 
  00000162     9:22:44.432.128             接收       03401030        DATA    EXTENDED    8      00 00 00 00 00 00 00 00 
  00000163     9:22:44.432.151             接收            3AF        DATA    STANDARD    8      01 00 00 00 00 00 00 FB 
  00000164     9:22:44.461.050             接收            3AF        DATA    STANDARD    8      02 00 00 00 00 00 00 F8 
  00000165     9:22:44.461.061             接收       03401038        DATA    EXTENDED    8      00 00 00 00 00 00 00 00 
  00000166     9:22:44.502.180             接收            3AF        DATA    STANDARD    8      03 00 00 00 00 00 00 F9 
  00000167     9:22:44.507.580             接收       03401040        DATA    EXTENDED    8      00 00 00 00 00 00 00 00 
  00000168     9:22:44.517.541             接收            3AF        DATA    STANDARD    8      04 00 00 00 00 00 00 FE 
  00000169     9:22:44.553.215             接收            3AF        DATA    STANDARD    8      05 00 00 00 00 00 00 FF 
  00000170     9:22:44.568.494             接收       03401008        DATA    EXTENDED    8      00 01 00 00 00 07 D0 18 
  00000171     9:22:44.583.068             接收            3AF        DATA    STANDARD    8      06 00 00 00 00 00 00 FC 
  00000172     9:22:44.601.679             接收            3AF        DATA    STANDARD    8      07 00 00 00 00 00 00 FD 
  00000173     9:22:44.615.372             接收       03401010        DATA    EXTENDED    8      5F 18 01 00 00 0A D2 00 
  00000174     9:22:44.681.508             接收            3AF        DATA    STANDARD    8      01 00 00 00 00 00 00 FB 
  00000175     9:22:44.681.519             接收       03401012        DATA    EXTENDED    8      00 02 1A 47 00 00 00 00 
  00000176     9:22:44.681.525             接收            3AF        DATA    STANDARD    8      02 00 00 00 00 00 00 F8 
  00000177     9:22:44.709.544             接收            3AF        DATA    STANDARD    8      03 00 00 00 00 00 00 F9 
  00000178     9:22:44.709.555             接收       03401014        DATA    EXTENDED    8      00 00 20 00 98 01 20 00 
  00000179     9:22:44.722.245             接收            3AF        DATA    STANDARD    8      04 00 00 00 00 00 00 FE 
  00000180     9:22:44.754.458             接收            3AF        DATA    STANDARD    8      05 00 00 00 00 00 00 FF 
  00000181     9:22:44.767.839             接收       03401020        DATA    EXTENDED    8      00 00 00 00 00 00 00 00 
  00000182     9:22:44.789.342             接收            3AF        DATA    STANDARD    8      06 00 00 00 00 00 00 FC 
  00000183     9:22:44.803.857             接收       03401030        DATA    EXTENDED    8      00 00 00 00 00 00 00 00 
  00000184     9:22:44.818.036             接收            3AF        DATA    STANDARD    8      07 00 00 00 00 00 00 FD 
  00000185     9:22:44.847.817             接收            3AF        DATA    STANDARD    8      01 00 00 00 00 00 00 FB 
  00000186     9:22:44.867.612             接收       03401038        DATA    EXTENDED    8      00 00 00 00 00 00 00 00 
  00000187     9:22:44.881.094             接收            3AF        DATA    STANDARD    8      02 00 00 00 00 00 00 F8 
  00000188     9:22:44.909.291             接收            3AF        DATA    STANDARD    8      03 00 00 00 00 00 00 F9 
  00000189     9:22:44.909.318             接收       03401040        DATA    EXTENDED    8      00 00 00 00 00 00 00 00 
  00000190     9:22:44.994.329             接收            3AF        DATA    STANDARD    8      04 00 00 00 00 00 00 FE 
  00000191     9:22:44.994.341             接收       03401008        DATA    EXTENDED    8      00 01 00 00 00 07 D0 18 
  00000192     9:22:44.994.347             接收            3AF        DATA    STANDARD    8      05 00 00 00 00 00 00 FF 
  00000193     9:22:44.994.352             接收            3AF        DATA    STANDARD    8      06 00 00 00 00 00 00 FC 
  00000194     9:22:45.022.788             接收       03401010        DATA    EXTENDED    8      5F 18 01 00 00 0A D2 00 
  00000195     9:22:45.022.799             接收            3AF        DATA    STANDARD    8      07 00 00 00 00 00 00 FD 
  00000196     9:22:45.054.705             接收            3AF        DATA    STANDARD    8      01 00 00 00 00 00 00 FB 
  00000197     9:22:45.054.732             接收       03401012        DATA    EXTENDED    8      00 02 1A 47 00 00 00 00 
  00000198     9:22:45.084.715             接收            3AF        DATA    STANDARD    8      02 00 00 00 00 00 00 F8 
  00000199     9:22:45.119.275             接收       03401014        DATA    EXTENDED    8      00 00 20 00 98 01 20 00 
  00000200     9:22:45.119.304             接收            3AF        DATA    STANDARD    8      03 00 00 00 00 00 00 F9 
  00000201     9:22:45.152.530             接收            3AF        DATA    STANDARD    8      04 00 00 00 00 00 00 FE 
  00000202     9:22:45.162.311             接收       03401020        DATA    EXTENDED    8      00 00 00 00 00 00 00 00 
  00000203     9:22:45.182.462             接收            3AF        DATA    STANDARD    8      05 00 00 00 00 00 00 FF 
  00000204     9:22:45.205.953             接收            3AF        DATA    STANDARD    8      06 00 00 00 00 00 00 FC 
  00000205     9:22:45.223.728             接收       03401030        DATA    EXTENDED    8      00 00 00 00 00 00 00 00 
