     index           time           Name             ID        Type      Format  Len      Data
  00000001     9:51:55.675.060             接收       03401012        DATA    EXTENDED    8      00 02 1A 5E 00 00 00 00 
  00000002     9:51:55.675.070             接收            3AF        DATA    STANDARD    8      05 00 00 00 00 00 00 FF 
  00000003     9:51:55.675.074             接收            3AF        DATA    STANDARD    8      06 00 00 00 00 00 00 FC 
  00000004     9:51:55.675.078             接收       03401014        DATA    EXTENDED    8      00 00 60 00 98 01 20 00 
  00000005     9:51:55.675.082             接收            3AF        DATA    STANDARD    8      07 00 00 00 00 00 00 FD 
  00000006     9:51:55.675.085             接收       03401020        DATA    EXTENDED    8      00 00 00 00 00 00 00 00 
  00000007     9:51:55.680.755             接收            3AF        DATA    STANDARD    8      01 00 00 00 00 00 00 FB 
  00000008     9:51:55.710.866             接收            3AF        DATA    STANDARD    8      02 00 00 00 00 00 00 F8 
  00000009     9:51:55.723.118             接收       03401030        DATA    EXTENDED    8      00 00 00 00 00 00 00 00 
  00000010     9:51:55.742.088             接收            3AF        DATA    STANDARD    8      03 00 00 00 00 00 00 F9 
  00000011     9:51:55.776.033             接收            3AF        DATA    STANDARD    8      04 00 00 00 00 00 00 FE 
  00000012     9:51:55.776.063             接收       03401038        DATA    EXTENDED    8      00 00 00 00 00 00 00 00 
  00000013     9:51:55.804.179             接收            3AF        DATA    STANDARD    8      05 00 00 00 00 00 00 FF 
  00000014     9:51:55.835.229             接收       03401040        DATA    EXTENDED    8      00 00 00 00 00 00 00 00 
  00000015     9:51:55.835.256             接收            3AF        DATA    STANDARD    8      06 00 00 00 00 00 00 FC 
  00000016     9:51:55.861.695             接收            3AF        DATA    STANDARD    8      07 00 00 00 00 00 00 FD 
  00000017     9:51:55.925.633             接收       03401008        DATA    EXTENDED    8      00 01 00 00 00 07 D0 05 
  00000018     9:51:55.925.641             接收            3AF        DATA    STANDARD    8      01 00 00 00 00 00 00 FB 
  00000019     9:51:55.925.645             接收            3AF        DATA    STANDARD    8      02 00 00 00 00 00 00 F8 
  00000020     9:51:55.925.649             接收       03401010        DATA    EXTENDED    8      5F 18 01 00 00 0A D2 00 
  00000021     9:51:55.954.923             接收            3AF        DATA    STANDARD    8      03 00 00 00 00 00 00 F9 
  00000022     9:51:55.974.688             接收       03401012        DATA    EXTENDED    8      00 02 1A 5E 00 00 00 00 
  00000023     9:51:55.995.014             接收            3AF        DATA    STANDARD    8      04 00 00 00 00 00 00 FE 
  00000024     9:51:56.007.979             接收            3AF        DATA    STANDARD    8      05 00 00 00 00 00 00 FF 
  00000025     9:51:56.033.750             接收       03401014        DATA    EXTENDED    8      00 00 60 00 98 01 20 00 
  00000026     9:51:56.053.877             接收            3AF        DATA    STANDARD    8      06 00 00 00 00 00 00 FC 
  00000027     9:51:56.085.182             接收            3AF        DATA    STANDARD    8      07 00 00 00 00 00 00 FD 
  00000028     9:51:56.085.208             接收       03401020        DATA    EXTENDED    8      00 00 00 00 00 00 00 00 
  00000029     9:51:56.117.723             接收            3AF        DATA    STANDARD    8      01 00 00 00 00 00 00 FB 
  00000030     9:51:56.130.727             接收       03401030        DATA    EXTENDED    8      00 00 00 00 00 00 00 00 
  00000031     9:51:56.130.753             接收            3AF        DATA    STANDARD    8      02 00 00 00 00 00 00 F8 
  00000032     9:51:56.162.348             接收            3AF        DATA    STANDARD    8      03 00 00 00 00 00 00 F9 
  00000033     9:51:56.177.535             接收       03401038        DATA    EXTENDED    8      00 00 00 00 00 00 00 00 
  00000034     9:51:56.243.546             接收            3AF        DATA    STANDARD    8      04 00 00 00 00 00 00 FE 
  00000035     9:51:56.243.554             接收            3AF        DATA    STANDARD    8      05 00 00 00 00 00 00 FF 
  00000036     9:51:56.243.558             接收       03401040        DATA    EXTENDED    8      00 00 00 00 00 00 00 00 
  00000037     9:51:56.257.110             接收            3AF        DATA    STANDARD    8      06 00 00 00 00 00 00 FC 
  00000038     9:51:56.288.633             接收       03401008        DATA    EXTENDED    8      00 01 00 00 00 07 D0 05 
  00000039     9:51:56.288.657             接收            3AF        DATA    STANDARD    8      07 00 00 00 00 00 00 FD 
  00000040     9:51:56.318.263             接收            3AF        DATA    STANDARD    8      01 00 00 00 00 00 00 FB 
  00000041     9:51:56.339.036             接收       03401010        DATA    EXTENDED    8      5F 18 01 00 00 0A D2 00 
  00000042     9:51:56.339.063             接收            3AF        DATA    STANDARD    8      02 00 00 00 00 00 00 F8 
  00000043     9:51:56.379.132             接收            3AF        DATA    STANDARD    8      03 00 00 00 00 00 00 F9 
  00000044     9:51:56.379.157             接收       03401012        DATA    EXTENDED    8      00 02 1A 5E 00 00 00 00 
  00000045     9:51:56.430.437             接收            3AF        DATA    STANDARD    8      04 00 00 00 00 00 00 FE 
  00000046     9:51:56.430.465             接收       03401014        DATA    EXTENDED    8      00 00 60 00 98 01 20 00 
  00000047     9:51:56.430.479             接收            3AF        DATA    STANDARD    8      05 00 00 00 00 00 00 FF 
  00000048     9:51:56.460.635             接收            3AF        DATA    STANDARD    8      06 00 00 00 00 00 00 FC 
  00000049     9:51:56.472.288             接收       03401020        DATA    EXTENDED    8      00 00 00 00 00 00 00 00 
  00000050     9:51:56.495.429             接收            3AF        DATA    STANDARD    8      07 00 00 00 00 00 00 FD 
  00000051     9:51:56.530.722             接收            3AF        DATA    STANDARD    8      01 00 00 00 00 00 00 FB 
  00000052     9:51:56.530.729             接收       03401030        DATA    EXTENDED    8      00 00 00 00 00 00 00 00 
  00000053     9:51:56.554.441             接收            3AF        DATA    STANDARD    8      02 00 00 00 00 00 00 F8 
  00000054     9:51:56.586.416             接收       03401038        DATA    EXTENDED    8      00 00 00 00 00 00 00 00 
