     index           time           Name             ID        Type      Format  Len      Data
  00000000    11:05:45.855.685             接收       03401040        DATA    EXTENDED    8      00 00 00 00 00 00 00 00 
  00000001    11:05:45.759.778             接收            3AF        DATA    STANDARD    8      06 00 00 00 00 00 00 FC 
  00000002    11:05:45.789.778             接收            3AF        DATA    STANDARD    8      07 00 00 00 00 00 00 FD 
  00000003    11:05:45.901.877             接收       03401008        DATA    EXTENDED    8      00 01 00 00 00 07 D0 05 
  00000004    11:05:45.819.807             接收            3AF        DATA    STANDARD    8      01 00 00 00 00 00 00 FB 
  00000005    11:05:45.555.501             接收       03401010        DATA    EXTENDED    8      5F 18 01 00 00 0A D2 00 
  00000006    11:05:45.849.778             接收            3AF        DATA    STANDARD    8      02 00 00 00 00 00 00 F8 
  00000007    11:05:45.879.759             接收            3AF        DATA    STANDARD    8      03 00 00 00 00 00 00 F9 
  00000008    11:05:45.601.789             接收       03401012        DATA    EXTENDED    8      00 02 1A B1 00 00 00 00 
  00000009    11:05:45.909.795             接收            3AF        DATA    STANDARD    8      04 00 00 00 00 00 00 FE 
  00000010    11:05:45.729.779             接收            3AF        DATA    STANDARD    8      05 00 00 00 00 00 00 FF 
  00000011    11:05:45.651.873             接收       03401014        DATA    EXTENDED    8      00 00 60 00 98 01 20 00 
  00000012    11:05:45.705.689             接收       03401020        DATA    EXTENDED    8      00 00 00 00 00 00 00 00 
  00000013    11:05:45.751.975             接收       03401030        DATA    EXTENDED    8      00 00 00 00 00 00 00 00 
  00000014    11:05:45.802.013             接收       03401038        DATA    EXTENDED    8      00 00 00 00 00 00 00 00 
