     index           time           Name             ID        Type      Format  Len      Data
  00000001    11:54:59.809.994             接收            3AF        DATA    STANDARD    8      02 00 00 00 00 00 00 F8 
  00000002    11:54:59.810.005             接收       03401020        DATA    EXTENDED    8      00 00 00 00 00 00 00 00 
  00000003    11:54:59.810.010             接收            3AF        DATA    STANDARD    8      03 00 00 00 00 00 00 F9 
  00000004    11:54:59.819.334             接收       03401030        DATA    EXTENDED    8      00 00 00 00 00 00 00 00 
  00000005    11:54:59.819.342             接收            3AF        DATA    STANDARD    8      04 00 00 00 00 00 00 FE 
  00000006    11:54:59.854.614             接收            3AF        DATA    STANDARD    8      05 00 00 00 00 00 00 FF 
  00000007    11:54:59.864.446             接收       03401038        DATA    EXTENDED    8      00 00 00 00 00 00 00 00 
  00000008    11:54:59.879.573             接收            3AF        DATA    STANDARD    8      06 00 00 00 00 00 00 FC 
  00000009    11:54:59.911.514             接收            3AF        DATA    STANDARD    8      07 00 00 00 00 00 00 FD 
  00000010    11:54:59.926.636             接收       03401040        DATA    EXTENDED    8      00 00 00 00 00 00 00 00 
  00000011    11:54:59.992.278             接收            3AF        DATA    STANDARD    8      01 00 00 00 00 00 00 FB 
  00000012    11:54:59.992.286             接收       03401008        DATA    EXTENDED    8      00 01 00 00 00 07 D0 0E 
  00000013    11:54:59.992.290             接收            3AF        DATA    STANDARD    8      02 00 00 00 00 00 00 F8 
  00000014    11:55:00.001.437             接收            3AF        DATA    STANDARD    8      03 00 00 00 00 00 00 F9 
  00000015    11:55:00.020.050             接收       03401010        DATA    EXTENDED    8      5F 18 01 00 00 0A D2 00 
  00000016    11:55:00.041.168             接收            3AF        DATA    STANDARD    8      04 00 00 00 00 00 00 FE 
  00000017    11:55:00.073.442             接收            3AF        DATA    STANDARD    8      05 00 00 00 00 00 00 FF 
  00000018    11:55:00.073.469             接收       03401012        DATA    EXTENDED    8      00 02 1A C2 00 00 00 00 
  00000019    11:55:00.096.583             接收            3AF        DATA    STANDARD    8      06 00 00 00 00 00 00 FC 
  00000020    11:55:00.133.134             接收       03401014        DATA    EXTENDED    8      00 00 60 00 98 01 20 00 
  00000021    11:55:00.133.162             接收            3AF        DATA    STANDARD    8      07 00 00 00 00 00 00 FD 
  00000022    11:55:00.165.024             接收            3AF        DATA    STANDARD    8      01 00 00 00 00 00 00 FB 
  00000023    11:55:00.165.055             接收       03401020        DATA    EXTENDED    8      00 00 00 00 00 00 00 00 
  00000024    11:55:00.192.099             接收            3AF        DATA    STANDARD    8      02 00 00 00 00 00 00 F8 
  00000025    11:55:00.210.173             接收            3AF        DATA    STANDARD    8      03 00 00 00 00 00 00 F9 
  00000026    11:55:00.229.953             接收       03401030        DATA    EXTENDED    8      00 00 00 00 00 00 00 00 
  00000027    11:55:00.240.861             接收            3AF        DATA    STANDARD    8      04 00 00 00 00 00 00 FE 
  00000028    11:55:00.325.975             接收       03401038        DATA    EXTENDED    8      00 00 00 00 00 00 00 00 
  00000029    11:55:00.325.983             接收            3AF        DATA    STANDARD    8      05 00 00 00 00 00 00 FF 
  00000030    11:55:00.325.987             接收            3AF        DATA    STANDARD    8      06 00 00 00 00 00 00 FC 
  00000031    11:55:00.325.991             接收       03401040        DATA    EXTENDED    8      00 00 00 00 00 00 00 00 
  00000032    11:55:00.332.234             接收            3AF        DATA    STANDARD    8      07 00 00 00 00 00 00 FD 
  00000033    11:55:00.363.136             接收            3AF        DATA    STANDARD    8      01 00 00 00 00 00 00 FB 
  00000034    11:55:00.384.504             接收       03401008        DATA    EXTENDED    8      00 01 00 00 00 07 D0 0E 
  00000035    11:55:00.395.653             接收            3AF        DATA    STANDARD    8      02 00 00 00 00 00 00 F8 
  00000036    11:55:00.427.884             接收       03401010        DATA    EXTENDED    8      5F 18 01 00 00 0A D2 00 
  00000037    11:55:00.427.894             接收            3AF        DATA    STANDARD    8      03 00 00 00 00 00 00 F9 
  00000038    11:55:00.458.590             接收            3AF        DATA    STANDARD    8      04 00 00 00 00 00 00 FE 
  00000039    11:55:00.479.297             接收       03401012        DATA    EXTENDED    8      00 02 1A C2 00 00 00 00 
  00000040    11:55:00.479.324             接收            3AF        DATA    STANDARD    8      05 00 00 00 00 00 00 FF 
  00000041    11:55:00.509.336             接收            3AF        DATA    STANDARD    8      06 00 00 00 00 00 00 FC 
  00000042    11:55:00.519.684             接收       03401014        DATA    EXTENDED    8      00 00 60 00 98 01 20 00 
  00000043    11:55:00.539.288             接收            3AF        DATA    STANDARD    8      07 00 00 00 00 00 00 FD 
  00000044    11:55:00.645.900             接收       03401020        DATA    EXTENDED    8      00 00 00 00 00 00 00 00 
  00000045    11:55:00.645.907             接收            3AF        DATA    STANDARD    8      01 00 00 00 00 00 00 FB 
  00000046    11:55:00.645.912             接收            3AF        DATA    STANDARD    8      02 00 00 00 00 00 00 F8 
  00000047    11:55:00.645.915             接收       03401030        DATA    EXTENDED    8      00 00 00 00 00 00 00 00 
  00000048    11:55:00.645.919             接收            3AF        DATA    STANDARD    8      03 00 00 00 00 00 00 F9 
  00000049    11:55:00.663.735             接收            3AF        DATA    STANDARD    8      04 00 00 00 00 00 00 FE 
  00000050    11:55:00.676.571             接收       03401038        DATA    EXTENDED    8      00 00 00 00 00 00 00 00 
  00000051    11:55:00.697.753             接收            3AF        DATA    STANDARD    8      05 00 00 00 00 00 00 FF 
  00000052    11:55:00.728.943             接收       03401040        DATA    EXTENDED    8      00 00 00 00 00 00 00 00 
  00000053    11:55:00.728.971             接收            3AF        DATA    STANDARD    8      06 00 00 00 00 00 00 FC 
  00000054    11:55:00.755.672             接收            3AF        DATA    STANDARD    8      07 00 00 00 00 00 00 FD 
  00000055    11:55:00.770.740             接收       03401008        DATA    EXTENDED    8      00 01 00 00 00 07 D0 0E 
  00000056    11:55:00.792.334             接收            3AF        DATA    STANDARD    8      01 00 00 00 00 00 00 FB 
  00000057    11:55:00.821.373             接收            3AF        DATA    STANDARD    8      02 00 00 00 00 00 00 F8 
  00000058    11:55:00.821.402             接收       03401010        DATA    EXTENDED    8      5F 18 01 00 00 0A D2 00 
  00000059    11:55:00.850.486             接收            3AF        DATA    STANDARD    8      03 00 00 00 00 00 00 F9 
  00000060    11:55:00.958.557             接收       03401012        DATA    EXTENDED    8      00 02 1A C2 00 00 00 00 
  00000061    11:55:00.958.566             接收            3AF        DATA    STANDARD    8      04 00 00 00 00 00 00 FE 
  00000062    11:55:00.958.570             接收            3AF        DATA    STANDARD    8      05 00 00 00 00 00 00 FF 
  00000063    11:55:00.958.574             接收       03401014        DATA    EXTENDED    8      00 00 60 00 98 01 20 00 
  00000064    11:55:00.958.578             接收            3AF        DATA    STANDARD    8      06 00 00 00 00 00 00 FC 
  00000065    11:55:00.958.582             接收            3AF        DATA    STANDARD    8      07 00 00 00 00 00 00 FD 
  00000066    11:55:00.972.915             接收       03401020        DATA    EXTENDED    8      00 00 00 00 00 00 00 00 
  00000067    11:55:01.007.437             接收            3AF        DATA    STANDARD    8      01 00 00 00 00 00 00 FB 
  00000068    11:55:01.018.671             接收       03401030        DATA    EXTENDED    8      00 00 00 00 00 00 00 00 
  00000069    11:55:01.039.371             接收            3AF        DATA    STANDARD    8      02 00 00 00 00 00 00 F8 
  00000070    11:55:01.052.323             接收            3AF        DATA    STANDARD    8      03 00 00 00 00 00 00 F9 
  00000071    11:55:01.065.324             接收       03401038        DATA    EXTENDED    8      00 00 00 00 00 00 00 00 
  00000072    11:55:01.082.553             接收            3AF        DATA    STANDARD    8      04 00 00 00 00 00 00 FE 
  00000073    11:55:01.115.482             接收            3AF        DATA    STANDARD    8      05 00 00 00 00 00 00 FF 
  00000074    11:55:01.115.506             接收       03401040        DATA    EXTENDED    8      00 00 00 00 00 00 00 00 
  00000075    11:55:01.146.296             接收            3AF        DATA    STANDARD    8      06 00 00 00 00 00 00 FC 
  00000076    11:55:01.167.026             接收       03401008        DATA    EXTENDED    8      00 01 00 00 00 07 D0 0E 
