     index           time           Name             ID        Type      Format  Len      Data
  00000001    11:55:40.371.148             接收            3AF        DATA    STANDARD    8      01 00 00 00 00 00 00 FB 
  00000002    11:55:40.371.159             接收       03401038        DATA    EXTENDED    8      00 00 00 00 00 00 00 00 
  00000003    11:55:40.371.163             接收            3AF        DATA    STANDARD    8      02 00 00 00 00 00 00 F8 
  00000004    11:55:40.371.168             接收       03401040        DATA    EXTENDED    8      00 00 00 00 00 00 00 00 
  00000005    11:55:40.371.172             接收            3AF        DATA    STANDARD    8      03 00 00 00 00 00 00 F9 
  00000006    11:55:40.371.177             接收            3AF        DATA    STANDARD    8      04 00 00 00 00 00 00 FE 
  00000007    11:55:40.371.181             接收       03401008        DATA    EXTENDED    8      00 01 00 00 00 07 D0 0E 
  00000008    11:55:40.383.709             接收            3AF        DATA    STANDARD    8      05 00 00 00 00 00 00 FF 
  00000009    11:55:40.436.053             接收            3AF        DATA    STANDARD    8      06 00 00 00 00 00 00 FC 
  00000010    11:55:40.436.079             接收       03401010        DATA    EXTENDED    8      5F 18 01 00 00 0A D2 00 
  00000011    11:55:40.436.093             接收            3AF        DATA    STANDARD    8      07 00 00 00 00 00 00 FD 
  00000012    11:55:40.479.075             接收       03401012        DATA    EXTENDED    8      00 02 1A C2 00 00 00 00 
  00000013    11:55:40.479.102             接收            3AF        DATA    STANDARD    8      01 00 00 00 00 00 00 FB 
  00000014    11:55:40.508.910             接收            3AF        DATA    STANDARD    8      02 00 00 00 00 00 00 F8 
  00000015    11:55:40.519.091             接收       03401014        DATA    EXTENDED    8      00 00 60 00 98 01 20 00 
  00000016    11:55:40.538.854             接收            3AF        DATA    STANDARD    8      03 00 00 00 00 00 00 F9 
  00000017    11:55:40.632.847             接收            3AF        DATA    STANDARD    8      04 00 00 00 00 00 00 FE 
  00000018    11:55:40.632.857             接收       03401020        DATA    EXTENDED    8      00 00 00 00 00 00 00 00 
  00000019    11:55:40.632.862             接收       03401030        DATA    EXTENDED    8      00 00 00 00 00 00 00 00 
  00000020    11:55:40.632.867             接收            3AF        DATA    STANDARD    8      06 00 00 00 00 00 00 FC 
  00000021    11:55:40.662.510             接收            3AF        DATA    STANDARD    8      07 00 00 00 00 00 00 FD 
  00000022    11:55:40.675.319             接收       03401038        DATA    EXTENDED    8      00 00 00 00 00 00 00 00 
  00000023    11:55:40.675.330             接收            3AF        DATA    STANDARD    8      01 00 00 00 00 00 00 FB 
  00000024    11:55:40.707.588             接收            3AF        DATA    STANDARD    8      02 00 00 00 00 00 00 F8 
  00000025    11:55:40.728.403             接收       03401040        DATA    EXTENDED    8      00 00 00 00 00 00 00 00 
  00000026    11:55:40.739.466             接收            3AF        DATA    STANDARD    8      03 00 00 00 00 00 00 F9 
  00000027    11:55:40.770.433             接收       03401008        DATA    EXTENDED    8      00 01 00 00 00 07 D0 0E 
  00000028    11:55:40.770.460             接收            3AF        DATA    STANDARD    8      04 00 00 00 00 00 00 FE 
  00000029    11:55:40.803.757             接收            3AF        DATA    STANDARD    8      05 00 00 00 00 00 00 FF 
  00000030    11:55:40.818.998             接收       03401010        DATA    EXTENDED    8      5F 18 01 00 00 0A D2 00 
  00000031    11:55:40.832.779             接收            3AF        DATA    STANDARD    8      06 00 00 00 00 00 00 FC 
  00000032    11:55:40.863.247             接收            3AF        DATA    STANDARD    8      07 00 00 00 00 00 00 FD 
  00000033    11:55:40.941.142             接收       03401012        DATA    EXTENDED    8      00 02 1A C2 00 00 00 00 
  00000034    11:55:40.941.154             接收            3AF        DATA    STANDARD    8      01 00 00 00 00 00 00 FB 
  00000035    11:55:40.941.159             接收       03401014        DATA    EXTENDED    8      00 00 60 00 98 01 20 00 
  00000036    11:55:40.941.163             接收            3AF        DATA    STANDARD    8      02 00 00 00 00 00 00 F8 
  00000037    11:55:40.956.918             接收            3AF        DATA    STANDARD    8      03 00 00 00 00 00 00 F9 
  00000038    11:55:40.971.565             接收       03401020        DATA    EXTENDED    8      00 00 00 00 00 00 00 00 
  00000039    11:55:40.989.183             接收            3AF        DATA    STANDARD    8      04 00 00 00 00 00 00 FE 
  00000040    11:55:41.011.031             接收            3AF        DATA    STANDARD    8      05 00 00 00 00 00 00 FF 
  00000041    11:55:41.019.101             接收       03401030        DATA    EXTENDED    8      00 00 00 00 00 00 00 00 
  00000042    11:55:41.037.814             接收            3AF        DATA    STANDARD    8      06 00 00 00 00 00 00 FC 
  00000043    11:55:41.070.704             接收       03401038        DATA    EXTENDED    8      00 00 00 00 00 00 00 00 
  00000044    11:55:41.083.629             接收            3AF        DATA    STANDARD    8      07 00 00 00 00 00 00 FD 
  00000045    11:55:41.100.003             接收            3AF        DATA    STANDARD    8      01 00 00 00 00 00 00 FB 
  00000046    11:55:41.128.408             接收       03401040        DATA    EXTENDED    8      00 00 00 00 00 00 00 00 
  00000047    11:55:41.128.436             接收            3AF        DATA    STANDARD    8      02 00 00 00 00 00 00 F8 
  00000048    11:55:41.164.568             接收            3AF        DATA    STANDARD    8      03 00 00 00 00 00 00 F9 
  00000049    11:55:41.177.593             接收       03401008        DATA    EXTENDED    8      00 01 00 00 00 07 D0 0E 
  00000050    11:55:41.270.077             接收            3AF        DATA    STANDARD    8      04 00 00 00 00 00 00 FE 
  00000051    11:55:41.270.085             接收       03401010        DATA    EXTENDED    8      5F 18 01 00 00 0A D2 00 
  00000052    11:55:41.270.089             接收            3AF        DATA    STANDARD    8      05 00 00 00 00 00 00 FF 
  00000053    11:55:41.270.093             接收            3AF        DATA    STANDARD    8      06 00 00 00 00 00 00 FC 
  00000054    11:55:41.270.096             接收       03401012        DATA    EXTENDED    8      00 02 1A C2 00 00 00 00 
  00000055    11:55:41.288.607             接收            3AF        DATA    STANDARD    8      07 00 00 00 00 00 00 FD 
  00000056    11:55:41.320.365             接收            3AF        DATA    STANDARD    8      01 00 00 00 00 00 00 FB 
  00000057    11:55:41.320.391             接收       03401014        DATA    EXTENDED    8      00 00 60 00 98 01 20 00 
  00000058    11:55:41.352.463             接收            3AF        DATA    STANDARD    8      02 00 00 00 00 00 00 F8 
  00000059    11:55:41.378.848             接收       03401020        DATA    EXTENDED    8      00 00 00 00 00 00 00 00 
  00000060    11:55:41.378.874             接收            3AF        DATA    STANDARD    8      03 00 00 00 00 00 00 F9 
  00000061    11:55:41.436.139             接收            3AF        DATA    STANDARD    8      04 00 00 00 00 00 00 FE 
  00000062    11:55:41.436.150             接收       03401030        DATA    EXTENDED    8      00 00 00 00 00 00 00 00 
  00000063    11:55:41.436.156             接收            3AF        DATA    STANDARD    8      05 00 00 00 00 00 00 FF 
  00000064    11:55:41.458.566             接收            3AF        DATA    STANDARD    8      06 00 00 00 00 00 00 FC 
  00000065    11:55:41.479.947             接收       03401038        DATA    EXTENDED    8      00 00 00 00 00 00 00 00 
  00000066    11:55:41.497.372             接收            3AF        DATA    STANDARD    8      07 00 00 00 00 00 00 FD 
  00000067    11:55:41.575.760             接收       03401040        DATA    EXTENDED    8      00 00 00 00 00 00 00 00 
  00000068    11:55:41.575.769             接收            3AF        DATA    STANDARD    8      01 00 00 00 00 00 00 FB 
  00000069    11:55:41.575.773             接收            3AF        DATA    STANDARD    8      02 00 00 00 00 00 00 F8 
  00000070    11:55:41.575.780             接收       03401008        DATA    EXTENDED    8      00 01 00 00 00 07 D0 0E 
  00000071    11:55:41.575.784             接收            3AF        DATA    STANDARD    8      03 00 00 00 00 00 00 F9 
  00000072    11:55:41.613.130             接收            3AF        DATA    STANDARD    8      04 00 00 00 00 00 00 FE 
  00000073    11:55:41.634.487             接收       03401010        DATA    EXTENDED    8      5F 18 01 00 00 0A D2 00 
  00000074    11:55:41.645.527             接收            3AF        DATA    STANDARD    8      05 00 00 00 00 00 00 FF 
  00000075    11:55:41.676.641             接收       03401012        DATA    EXTENDED    8      00 02 1A C2 00 00 00 00 
  00000076    11:55:41.676.669             接收            3AF        DATA    STANDARD    8      06 00 00 00 00 00 00 FC 
  00000077    11:55:41.697.404             接收            3AF        DATA    STANDARD    8      07 00 00 00 00 00 00 FD 
  00000078    11:55:41.728.212             接收       03401014        DATA    EXTENDED    8      00 00 60 00 98 01 20 00 
  00000079    11:55:41.728.239             接收            3AF        DATA    STANDARD    8      01 00 00 00 00 00 00 FB 
  00000080    11:55:41.768.623             接收            3AF        DATA    STANDARD    8      02 00 00 00 00 00 00 F8 
  00000081    11:55:41.768.645             接收       03401020        DATA    EXTENDED    8      00 00 00 00 00 00 00 00 
  00000082    11:55:41.790.051             接收            3AF        DATA    STANDARD    8      03 00 00 00 00 00 00 F9 
  00000083    11:55:41.894.581             接收       03401030        DATA    EXTENDED    8      00 00 00 00 00 00 00 00 
  00000084    11:55:41.894.589             接收            3AF        DATA    STANDARD    8      04 00 00 00 00 00 00 FE 
  00000085    11:55:41.894.593             接收            3AF        DATA    STANDARD    8      05 00 00 00 00 00 00 FF 
  00000086    11:55:41.894.597             接收       03401038        DATA    EXTENDED    8      00 00 00 00 00 00 00 00 
  00000087    11:55:41.894.600             接收            3AF        DATA    STANDARD    8      06 00 00 00 00 00 00 FC 
  00000088    11:55:41.914.854             接收            3AF        DATA    STANDARD    8      07 00 00 00 00 00 00 FD 
  00000089    11:55:41.928.110             接收       03401040        DATA    EXTENDED    8      00 00 00 00 00 00 00 00 
  00000090    11:55:41.948.613             接收            3AF        DATA    STANDARD    8      01 00 00 00 00 00 00 FB 
  00000091    11:55:41.971.604             接收       03401008        DATA    EXTENDED    8      00 01 00 00 00 07 D0 0E 
  00000092    11:55:41.988.115             接收            3AF        DATA    STANDARD    8      02 00 00 00 00 00 00 F8 
  00000093    11:55:42.008.472             接收            3AF        DATA    STANDARD    8      03 00 00 00 00 00 00 F9 
  00000094    11:55:42.019.474             接收       03401010        DATA    EXTENDED    8      5F 18 01 00 00 0A D2 00 
  00000095    11:55:42.032.935             接收            3AF        DATA    STANDARD    8      04 00 00 00 00 00 00 FE 
  00000096    11:55:42.073.319             接收            3AF        DATA    STANDARD    8      05 00 00 00 00 00 00 FF 
  00000097    11:55:42.073.344             接收       03401012        DATA    EXTENDED    8      00 02 1A C2 00 00 00 00 
  00000098    11:55:42.097.716             接收            3AF        DATA    STANDARD    8      06 00 00 00 00 00 00 FC 
  00000099    11:55:42.198.632             接收       03401014        DATA    EXTENDED    8      00 00 60 00 98 01 20 00 
  00000100    11:55:42.198.641             接收            3AF        DATA    STANDARD    8      07 00 00 00 00 00 00 FD 
  00000101    11:55:42.198.645             接收            3AF        DATA    STANDARD    8      01 00 00 00 00 00 00 FB 
  00000102    11:55:42.198.649             接收       03401020        DATA    EXTENDED    8      00 00 00 00 00 00 00 00 
  00000103    11:55:42.198.652             接收            3AF        DATA    STANDARD    8      02 00 00 00 00 00 00 F8 
  00000104    11:55:42.226.159             接收            3AF        DATA    STANDARD    8      03 00 00 00 00 00 00 F9 
  00000105    11:55:42.226.168             接收       03401030        DATA    EXTENDED    8      00 00 00 00 00 00 00 00 
  00000106    11:55:42.239.796             接收            3AF        DATA    STANDARD    8      04 00 00 00 00 00 00 FE 
  00000107    11:55:42.272.264             接收       03401038        DATA    EXTENDED    8      00 00 00 00 00 00 00 00 
  00000108    11:55:42.272.289             接收            3AF        DATA    STANDARD    8      05 00 00 00 00 00 00 FF 
  00000109    11:55:42.294.870             接收            3AF        DATA    STANDARD    8      06 00 00 00 00 00 00 FC 
  00000110    11:55:42.320.701             接收       03401040        DATA    EXTENDED    8      00 00 00 00 00 00 00 00 
  00000111    11:55:42.331.072             接收            3AF        DATA    STANDARD    8      07 00 00 00 00 00 00 FD 
  00000112    11:55:42.365.509             接收            3AF        DATA    STANDARD    8      01 00 00 00 00 00 00 FB 
  00000113    11:55:42.385.920             接收       03401008        DATA    EXTENDED    8      00 01 00 00 00 07 D0 0E 
  00000114    11:55:42.396.918             接收            3AF        DATA    STANDARD    8      02 00 00 00 00 00 00 F8 
  00000115    11:55:42.426.905             接收       03401010        DATA    EXTENDED    8      5F 18 01 00 00 0A D2 00 
  00000116    11:55:42.426.914             接收            3AF        DATA    STANDARD    8      03 00 00 00 00 00 00 F9 
  00000117    11:55:42.505.109             接收            3AF        DATA    STANDARD    8      04 00 00 00 00 00 00 FE 
  00000118    11:55:42.505.118             接收       03401012        DATA    EXTENDED    8      00 02 1A C2 00 00 00 00 
  00000119    11:55:42.505.122             接收            3AF        DATA    STANDARD    8      05 00 00 00 00 00 00 FF 
  00000120    11:55:42.511.544             接收            3AF        DATA    STANDARD    8      06 00 00 00 00 00 00 FC 
  00000121    11:55:42.521.922             接收       03401014        DATA    EXTENDED    8      00 00 60 00 98 01 20 00 
  00000122    11:55:42.552.509             接收            3AF        DATA    STANDARD    8      07 00 00 00 00 00 00 FD 
  00000123    11:55:42.573.394             接收       03401020        DATA    EXTENDED    8      00 00 00 00 00 00 00 00 
  00000124    11:55:42.573.420             接收            3AF        DATA    STANDARD    8      01 00 00 00 00 00 00 FB 
  00000125    11:55:42.605.301             接收            3AF        DATA    STANDARD    8      02 00 00 00 00 00 00 F8 
