     index           time           Name             ID        Type      Format  Len      Data
  00000001    11:42:31.724.270             接收            3AF        DATA    STANDARD    8      04 00 00 00 00 00 00 FE 
  00000002    11:42:31.724.282             接收       03401014        DATA    EXTENDED    8      00 00 60 00 98 01 20 00 
  00000003    11:42:31.724.287             接收            3AF        DATA    STANDARD    8      05 00 00 00 00 00 00 FF 
  00000004    11:42:31.724.292             接收            3AF        DATA    STANDARD    8      06 00 00 00 00 00 00 FC 
  00000005    11:42:31.724.296             接收       03401020        DATA    EXTENDED    8      00 00 00 00 00 00 00 00 
  00000006    11:42:31.751.117             接收            3AF        DATA    STANDARD    8      07 00 00 00 00 00 00 FD 
  00000007    11:42:31.771.293             接收       03401030        DATA    EXTENDED    8      00 00 00 00 00 00 00 00 
  00000008    11:42:31.771.305             接收            3AF        DATA    STANDARD    8      01 00 00 00 00 00 00 FB 
  00000009    11:42:31.803.661             接收            3AF        DATA    STANDARD    8      02 00 00 00 00 00 00 F8 
  00000010    11:42:31.852.055             接收       03401038        DATA    EXTENDED    8      00 00 00 00 00 00 00 00 
  00000011    11:42:31.852.064             接收            3AF        DATA    STANDARD    8      03 00 00 00 00 00 00 F9 
  00000012    11:42:31.864.333             接收            3AF        DATA    STANDARD    8      04 00 00 00 00 00 00 FE 
  00000013    11:42:31.885.507             接收       03401040        DATA    EXTENDED    8      00 00 00 00 00 00 00 00 
  00000014    11:42:31.896.687             接收            3AF        DATA    STANDARD    8      05 00 00 00 00 00 00 FF 
  00000015    11:42:31.917.407             接收       03401008        DATA    EXTENDED    8      00 01 00 00 00 07 D0 11 
  00000016    11:42:31.924.333             接收            3AF        DATA    STANDARD    8      06 00 00 00 00 00 00 FC 
  00000017    11:42:31.955.839             接收            3AF        DATA    STANDARD    8      07 00 00 00 00 00 00 FD 
  00000018    11:42:31.974.948             接收       03401010        DATA    EXTENDED    8      5F 18 01 00 00 0A D2 00 
  00000019    11:42:31.990.655             接收            3AF        DATA    STANDARD    8      01 00 00 00 00 00 00 FB 
  00000020    11:42:32.011.249             接收            3AF        DATA    STANDARD    8      02 00 00 00 00 00 00 F8 
  00000021    11:42:32.021.528             接收       03401012        DATA    EXTENDED    8      00 02 1A BA 00 00 00 00 
  00000022    11:42:32.051.820             接收            3AF        DATA    STANDARD    8      03 00 00 00 00 00 00 F9 
  00000023    11:42:32.068.149             接收       03401014        DATA    EXTENDED    8      00 00 60 00 98 01 20 00 
  00000024    11:42:32.082.671             接收            3AF        DATA    STANDARD    8      04 00 00 00 00 00 00 FE 
  00000025    11:42:32.103.418             接收            3AF        DATA    STANDARD    8      05 00 00 00 00 00 00 FF 
  00000026    11:42:32.216.823             接收       03401020        DATA    EXTENDED    8      00 00 00 00 00 00 00 00 
  00000027    11:42:32.216.832             接收            3AF        DATA    STANDARD    8      06 00 00 00 00 00 00 FC 
  00000028    11:42:32.216.836             接收            3AF        DATA    STANDARD    8      07 00 00 00 00 00 00 FD 
  00000029    11:42:32.216.839             接收       03401030        DATA    EXTENDED    8      00 00 00 00 00 00 00 00 
  00000030    11:42:32.216.843             接收            3AF        DATA    STANDARD    8      01 00 00 00 00 00 00 FB 
  00000031    11:42:32.216.847             接收       03401038        DATA    EXTENDED    8      00 00 00 00 00 00 00 00 
  00000032    11:42:32.225.491             接收            3AF        DATA    STANDARD    8      02 00 00 00 00 00 00 F8 
  00000033    11:42:32.258.619             接收            3AF        DATA    STANDARD    8      03 00 00 00 00 00 00 F9 
  00000034    11:42:32.268.805             接收       03401040        DATA    EXTENDED    8      00 00 00 00 00 00 00 00 
  00000035    11:42:32.290.600             接收            3AF        DATA    STANDARD    8      04 00 00 00 00 00 00 FE 
  00000036    11:42:32.321.448             接收            3AF        DATA    STANDARD    8      05 00 00 00 00 00 00 FF 
  00000037    11:42:32.321.475             接收       03401008        DATA    EXTENDED    8      00 01 00 00 00 07 D0 11 
  00000038    11:42:32.352.447             接收            3AF        DATA    STANDARD    8      06 00 00 00 00 00 00 FC 
  00000039    11:42:32.381.382             接收       03401010        DATA    EXTENDED    8      5F 18 01 00 00 0A D2 00 
  00000040    11:42:32.381.410             接收            3AF        DATA    STANDARD    8      07 00 00 00 00 00 00 FD 
  00000041    11:42:32.431.503             接收            3AF        DATA    STANDARD    8      01 00 00 00 00 00 00 FB 
  00000042    11:42:32.431.525             接收       03401012        DATA    EXTENDED    8      00 02 1A BA 00 00 00 00 
  00000043    11:42:32.431.538             接收            3AF        DATA    STANDARD    8      02 00 00 00 00 00 00 F8 
  00000044    11:42:32.492.972             接收            3AF        DATA    STANDARD    8      03 00 00 00 00 00 00 F9 
