     index           time           Name             ID        Type      Format  Len      Data
  00000001    11:11:14.919.542             接收            3AF        DATA    STANDARD    8      05 00 00 00 00 00 00 FF 
  00000002    11:11:14.919.553             接收            3AF        DATA    STANDARD    8      06 00 00 00 00 00 00 FC 
  00000003    11:11:14.919.558             接收       03401038        DATA    EXTENDED    8      00 00 00 00 00 00 00 00 
  00000004    11:11:14.919.564             接收            3AF        DATA    STANDARD    8      07 00 00 00 00 00 00 FD 
  00000005    11:11:14.950.185             接收       03401040        DATA    EXTENDED    8      00 00 00 00 00 00 00 00 
  00000006    11:11:14.950.193             接收            3AF        DATA    STANDARD    8      01 00 00 00 00 00 00 FB 
  00000007    11:11:14.973.429             接收            3AF        DATA    STANDARD    8      02 00 00 00 00 00 00 F8 
  00000008    11:11:15.005.408             接收       03401008        DATA    EXTENDED    8      00 01 00 00 00 07 D0 06 
  00000009    11:11:15.005.435             接收            3AF        DATA    STANDARD    8      03 00 00 00 00 00 00 F9 
  00000010    11:11:15.036.645             接收            3AF        DATA    STANDARD    8      04 00 00 00 00 00 00 FE 
  00000011    11:11:15.057.428             接收       03401010        DATA    EXTENDED    8      5F 18 01 00 00 0A D2 00 
  00000012    11:11:15.068.660             接收            3AF        DATA    STANDARD    8      05 00 00 00 00 00 00 FF 
  00000013    11:11:15.100.036             接收       03401012        DATA    EXTENDED    8      00 02 1A B2 00 00 00 00 
  00000014    11:11:15.100.063             接收            3AF        DATA    STANDARD    8      06 00 00 00 00 00 00 FC 
  00000015    11:11:15.132.724             接收            3AF        DATA    STANDARD    8      07 00 00 00 00 00 00 FD 
  00000016    11:11:15.142.311             接收       03401014        DATA    EXTENDED    8      00 00 60 00 98 01 20 00 
  00000017    11:11:15.158.783             接收            3AF        DATA    STANDARD    8      01 00 00 00 00 00 00 FB 
  00000018    11:11:15.193.542             接收            3AF        DATA    STANDARD    8      02 00 00 00 00 00 00 F8 
  00000019    11:11:15.193.554             接收       03401020        DATA    EXTENDED    8      00 00 00 00 00 00 00 00 
  00000020    11:11:15.223.444             接收            3AF        DATA    STANDARD    8      03 00 00 00 00 00 00 F9 
  00000021    11:11:15.243.045             接收       03401030        DATA    EXTENDED    8      00 00 00 00 00 00 00 00 
  00000022    11:11:15.304.939             接收            3AF        DATA    STANDARD    8      04 00 00 00 00 00 00 FE 
  00000023    11:11:15.304.948             接收            3AF        DATA    STANDARD    8      05 00 00 00 00 00 00 FF 
  00000024    11:11:15.304.952             接收       03401038        DATA    EXTENDED    8      00 00 00 00 00 00 00 00 
  00000025    11:11:15.304.956             接收            3AF        DATA    STANDARD    8      06 00 00 00 00 00 00 FC 
  00000026    11:11:15.332.629             接收            3AF        DATA    STANDARD    8      07 00 00 00 00 00 00 FD 
  00000027    11:11:15.351.007             接收       03401040        DATA    EXTENDED    8      00 00 00 00 00 00 00 00 
  00000028    11:11:15.380.190             接收            3AF        DATA    STANDARD    8      01 00 00 00 00 00 00 FB 
  00000029    11:11:15.394.911             接收       03401008        DATA    EXTENDED    8      00 01 00 00 00 07 D0 06 
  00000030    11:11:15.394.932             接收            3AF        DATA    STANDARD    8      02 00 00 00 00 00 00 F8 
  00000031    11:11:15.428.089             接收            3AF        DATA    STANDARD    8      03 00 00 00 00 00 00 F9 
  00000032    11:11:15.441.769             接收       03401010        DATA    EXTENDED    8      5F 18 01 00 00 0A D2 00 
  00000033    11:11:15.461.289             接收            3AF        DATA    STANDARD    8      04 00 00 00 00 00 00 FE 
  00000034    11:11:15.494.280             接收            3AF        DATA    STANDARD    8      05 00 00 00 00 00 00 FF 
  00000035    11:11:15.494.291             接收       03401012        DATA    EXTENDED    8      00 02 1A B2 00 00 00 00 
  00000036    11:11:15.516.651             接收            3AF        DATA    STANDARD    8      06 00 00 00 00 00 00 FC 
  00000037    11:11:15.558.604             接收       03401014        DATA    EXTENDED    8      00 00 60 00 98 01 20 00 
  00000038    11:11:15.558.632             接收            3AF        DATA    STANDARD    8      07 00 00 00 00 00 00 FD 
  00000039    11:11:15.626.378             接收            3AF        DATA    STANDARD    8      01 00 00 00 00 00 00 FB 
  00000040    11:11:15.626.389             接收       03401020        DATA    EXTENDED    8      00 00 00 00 00 00 00 00 
  00000041    11:11:15.626.395             接收            3AF        DATA    STANDARD    8      02 00 00 00 00 00 00 F8 
  00000042    11:11:15.647.485             接收            3AF        DATA    STANDARD    8      03 00 00 00 00 00 00 F9 
  00000043    11:11:15.647.495             接收       03401030        DATA    EXTENDED    8      00 00 00 00 00 00 00 00 
  00000044    11:11:15.679.471             接收            3AF        DATA    STANDARD    8      04 00 00 00 00 00 00 FE 
  00000045    11:11:15.692.909             接收       03401038        DATA    EXTENDED    8      00 00 00 00 00 00 00 00 
  00000046    11:11:15.711.215             接收            3AF        DATA    STANDARD    8      05 00 00 00 00 00 00 FF 
  00000047    11:11:15.724.519             接收            3AF        DATA    STANDARD    8      06 00 00 00 00 00 00 FC 
  00000048    11:11:15.756.945             接收       03401040        DATA    EXTENDED    8      00 00 00 00 00 00 00 00 
  00000049    11:11:15.756.971             接收            3AF        DATA    STANDARD    8      07 00 00 00 00 00 00 FD 
  00000050    11:11:15.786.203             接收            3AF        DATA    STANDARD    8      01 00 00 00 00 00 00 FB 
  00000051    11:11:15.805.921             接收       03401008        DATA    EXTENDED    8      00 01 00 00 00 07 D0 06 
  00000052    11:11:15.816.172             接收            3AF        DATA    STANDARD    8      02 00 00 00 00 00 00 F8 
  00000053    11:11:15.850.987             接收       03401010        DATA    EXTENDED    8      5F 18 01 00 00 0A D2 00 
  00000054    11:11:15.851.013             接收            3AF        DATA    STANDARD    8      03 00 00 00 00 00 00 F9 
  00000055    11:11:15.926.081             接收            3AF        DATA    STANDARD    8      04 00 00 00 00 00 00 FE 
  00000056    11:11:15.926.090             接收       03401012        DATA    EXTENDED    8      00 02 1A B2 00 00 00 00 
  00000057    11:11:15.926.094             接收            3AF        DATA    STANDARD    8      05 00 00 00 00 00 00 FF 
  00000058    11:11:15.943.471             接收            3AF        DATA    STANDARD    8      06 00 00 00 00 00 00 FC 
  00000059    11:11:15.943.480             接收       03401014        DATA    EXTENDED    8      00 00 60 00 98 01 20 00 
  00000060    11:11:15.976.185             接收            3AF        DATA    STANDARD    8      07 00 00 00 00 00 00 FD 
  00000061    11:11:15.995.632             接收       03401020        DATA    EXTENDED    8      00 00 00 00 00 00 00 00 
  00000062    11:11:15.995.657             接收            3AF        DATA    STANDARD    8      01 00 00 00 00 00 00 FB 
  00000063    11:11:16.022.396             接收            3AF        DATA    STANDARD    8      02 00 00 00 00 00 00 F8 
  00000064    11:11:16.054.198             接收       03401030        DATA    EXTENDED    8      00 00 00 00 00 00 00 00 
  00000065    11:11:16.054.210             接收            3AF        DATA    STANDARD    8      03 00 00 00 00 00 00 F9 
  00000066    11:11:16.085.968             接收            3AF        DATA    STANDARD    8      04 00 00 00 00 00 00 FE 
  00000067    11:11:16.097.782             接收       03401038        DATA    EXTENDED    8      00 00 00 00 00 00 00 00 
  00000068    11:11:16.118.130             接收            3AF        DATA    STANDARD    8      05 00 00 00 00 00 00 FF 
  00000069    11:11:16.152.044             接收       03401040        DATA    EXTENDED    8      00 00 00 00 00 00 00 00 
  00000070    11:11:16.152.071             接收            3AF        DATA    STANDARD    8      06 00 00 00 00 00 00 FC 
  00000071    11:11:16.178.559             接收            3AF        DATA    STANDARD    8      07 00 00 00 00 00 00 FD 
  00000072    11:11:16.235.834             接收       03401008        DATA    EXTENDED    8      00 01 00 00 00 07 D0 06 
  00000073    11:11:16.235.843             接收            3AF        DATA    STANDARD    8      01 00 00 00 00 00 00 FB 
  00000074    11:11:16.235.848             接收            3AF        DATA    STANDARD    8      02 00 00 00 00 00 00 F8 
  00000075    11:11:16.240.829             接收       03401010        DATA    EXTENDED    8      5F 18 01 00 00 0A D2 00 
  00000076    11:11:16.274.651             接收            3AF        DATA    STANDARD    8      03 00 00 00 00 00 00 F9 
  00000077    11:11:16.300.099             接收       03401012        DATA    EXTENDED    8      00 02 1A B2 00 00 00 00 
  00000078    11:11:16.300.125             接收            3AF        DATA    STANDARD    8      04 00 00 00 00 00 00 FE 
  00000079    11:11:16.336.537             接收            3AF        DATA    STANDARD    8      05 00 00 00 00 00 00 FF 
  00000080    11:11:16.349.757             接收       03401014        DATA    EXTENDED    8      00 00 60 00 98 01 20 00 
  00000081    11:11:16.370.447             接收            3AF        DATA    STANDARD    8      06 00 00 00 00 00 00 FC 
  00000082    11:11:16.398.012             接收            3AF        DATA    STANDARD    8      07 00 00 00 00 00 00 FD 
  00000083    11:11:16.398.045             接收       03401020        DATA    EXTENDED    8      00 00 00 00 00 00 00 00 
  00000084    11:11:16.431.711             接收            3AF        DATA    STANDARD    8      01 00 00 00 00 00 00 FB 
  00000085    11:11:16.441.470             接收       03401030        DATA    EXTENDED    8      00 00 00 00 00 00 00 00 
  00000086    11:11:16.461.146             接收            3AF        DATA    STANDARD    8      02 00 00 00 00 00 00 F8 
  00000087    11:11:16.473.485             接收            3AF        DATA    STANDARD    8      03 00 00 00 00 00 00 F9 
  00000088    11:11:16.501.858             接收       03401038        DATA    EXTENDED    8      00 00 00 00 00 00 00 00 
  00000089    11:11:16.501.885             接收            3AF        DATA    STANDARD    8      04 00 00 00 00 00 00 FE 
  00000090    11:11:16.554.815             接收            3AF        DATA    STANDARD    8      05 00 00 00 00 00 00 FF 
  00000091    11:11:16.554.823             接收       03401040        DATA    EXTENDED    8      00 00 00 00 00 00 00 00 
  00000092    11:11:16.566.071             接收            3AF        DATA    STANDARD    8      06 00 00 00 00 00 00 FC 
  00000093    11:11:16.600.301             接收       03401008        DATA    EXTENDED    8      00 01 00 00 00 07 D0 06 
  00000094    11:11:16.600.327             接收            3AF        DATA    STANDARD    8      07 00 00 00 00 00 00 FD 
  00000095    11:11:16.632.780             接收            3AF        DATA    STANDARD    8      01 00 00 00 00 00 00 FB 
  00000096    11:11:16.642.016             接收       03401010        DATA    EXTENDED    8      5F 18 01 00 00 0A D2 00 
  00000097    11:11:16.663.185             接收            3AF        DATA    STANDARD    8      02 00 00 00 00 00 00 F8 
  00000098    11:11:16.683.044             接收            3AF        DATA    STANDARD    8      03 00 00 00 00 00 00 F9 
  00000099    11:11:16.694.564             接收       03401012        DATA    EXTENDED    8      00 02 1A B2 00 00 00 00 
  00000100    11:11:16.714.969             接收            3AF        DATA    STANDARD    8      04 00 00 00 00 00 00 FE 
  00000101    11:11:16.754.858             接收       03401014        DATA    EXTENDED    8      00 00 60 00 98 01 20 00 
  00000102    11:11:16.754.888             接收            3AF        DATA    STANDARD    8      05 00 00 00 00 00 00 FF 
  00000103    11:11:16.775.824             接收            3AF        DATA    STANDARD    8      06 00 00 00 00 00 00 FC 
  00000104    11:11:16.804.946             接收       03401020        DATA    EXTENDED    8      00 00 00 00 00 00 00 00 
  00000105    11:11:16.863.926             接收            3AF        DATA    STANDARD    8      01 00 00 00 00 00 00 FB 
  00000106    11:11:16.863.935             接收       03401030        DATA    EXTENDED    8      00 00 00 00 00 00 00 00 
  00000107    11:11:16.863.940             接收            3AF        DATA    STANDARD    8      02 00 00 00 00 00 00 F8 
  00000108    11:11:16.892.751             接收       03401038        DATA    EXTENDED    8      00 00 00 00 00 00 00 00 
  00000109    11:11:16.908.695             接收            3AF        DATA    STANDARD    8      03 00 00 00 00 00 00 F9 
  00000110    11:11:16.928.603             接收            3AF        DATA    STANDARD    8      04 00 00 00 00 00 00 FE 
  00000111    11:11:16.939.763             接收       03401040        DATA    EXTENDED    8      00 00 00 00 00 00 00 00 
  00000112    11:11:16.960.038             接收            3AF        DATA    STANDARD    8      05 00 00 00 00 00 00 FF 
  00000113    11:11:16.993.613             接收            3AF        DATA    STANDARD    8      06 00 00 00 00 00 00 FC 
  00000114    11:11:16.993.641             接收       03401008        DATA    EXTENDED    8      00 01 00 00 00 07 D0 06 
  00000115    11:11:17.026.546             接收            3AF        DATA    STANDARD    8      07 00 00 00 00 00 00 FD 
  00000116    11:11:17.049.498             接收       03401010        DATA    EXTENDED    8      5F 18 01 00 00 0A D2 00 
  00000117    11:11:17.049.528             接收            3AF        DATA    STANDARD    8      01 00 00 00 00 00 00 FB 
  00000118    11:11:17.085.928             接收            3AF        DATA    STANDARD    8      02 00 00 00 00 00 00 F8 
  00000119    11:11:17.098.505             接收       03401012        DATA    EXTENDED    8      00 02 1A B2 00 00 00 00 
  00000120    11:11:17.119.275             接收            3AF        DATA    STANDARD    8      03 00 00 00 00 00 00 F9 
  00000121    11:11:17.187.590             接收            3AF        DATA    STANDARD    8      04 00 00 00 00 00 00 FE 
  00000122    11:11:17.187.601             接收       03401014        DATA    EXTENDED    8      00 00 60 00 98 01 20 00 
  00000123    11:11:17.187.607             接收            3AF        DATA    STANDARD    8      05 00 00 00 00 00 00 FF 
  00000124    11:11:17.195.205             接收       03401020        DATA    EXTENDED    8      00 00 00 00 00 00 00 00 
  00000125    11:11:17.195.216             接收            3AF        DATA    STANDARD    8      06 00 00 00 00 00 00 FC 
  00000126    11:11:17.222.599             接收            3AF        DATA    STANDARD    8      07 00 00 00 00 00 00 FD 
  00000127    11:11:17.243.937             接收       03401030        DATA    EXTENDED    8      00 00 00 00 00 00 00 00 
